,Council,City
0,Alpine S  ,Abbeyard
1,Yarra C  ,Abbotsford
2,Moonee Valley C  ,Aberfeldie
3,Baw Baw S  ,Aberfeldy
4,Murrindindi S  ,Acheron
5,Baw Baw S  ,Ada
6,Bass Coast S  ,Adams
7,Ballarat C  ,Addington
8,Central Goldfields S  ,Adelaide
9,South Gippsland S  ,Agnes
10,Yarriambiack S  ,Ailsa
11,Colac Otway S  ,Aire
12,Surf Coast S  ,Aireys
13,Wellington S  ,Airly
14,Moonee Valley C  ,Airport
15,Hindmarsh S  ,Albacutya
16,Yarriambiack S  ,Albacutya
17,Brimbank C  ,Albanvale
18,Port Phillip C  ,Albert
19,Wellington S  ,Alberton
20,Wellington S  ,Alberton
21,Brimbank C  ,Albion
22,Murrindindi S  ,Alexandra
23,Ballarat C  ,Alfredton
24,Baw Baw S  ,Allambee
25,Baw Baw S  ,Allambee
26,Sth Gippsland S  ,Allambee
27,Baw Baw S  ,Allambee
28,South Gippsland S  ,Allambee
29,Indigo S  ,Allans
30,Moyne S  ,Allansford
31,Warrnambool C  ,Allansford
32,Hepburn S  ,Allendale
33,Glenelg S  ,Allestree
34,Central Goldfields S  ,Alma
35,Moira S  ,Almonds
36,Bass Coast S  ,Almurta
37,Darebin C  ,Alphington
38,Yarra C  ,Alphington
39,Hobsons Bay C  ,Altona
40,Hobsons Bay C  ,Altona
41,Hobsons Bay C  ,Altona
42,Hobsons Bay C  ,Altona
43,Colac Otway S  ,Alvie
44,Corangamite S  ,Alvie
45,Central Goldfields S  ,Amherst
46,Baw Baw S  ,Amor
47,Pyrenees S  ,Amphitheatre
48,Golden Plains S  ,Anakie
49,Greater Geelong C  ,Anakie
50,Mansfield S  ,Ancona
51,Bass Coast S  ,Anderson
52,Yarriambiack S  ,Angip
53,East Gippsland S  ,Anglers
54,Surf Coast S  ,Anglesea
55,Swan Hill RC  ,Annuello
56,Hindmarsh S  ,Antwerp
57,Colac Otway S  ,Apollo
58,Gannawarra S  ,Appin
59,Gannawarra S  ,Appin
60,Gannawarra S  ,Appin
61,Loddon S  ,Appin
62,West Wimmera S  ,Apsley
63,Horsham RC  ,Arapiles
64,Ararat RC  ,Ararat
65,South Gippsland S  ,Arawata
66,Wellington S  ,Arbuckle
67,Greater Shepparton C  ,Arcadia
68,Strathbogie S  ,Arcadia
69,Central Goldfields S  ,Archdale
70,Northern Grampians S  ,Archdale
71,Central GoldfieldsS  ,Archdale
72,Nthn Grampians S  ,Archdale
73,Benalla RC  ,Archerton
74,Wangaratta RC  ,Archerton
75,Bass Coast S  ,Archies
76,Brimbank C  ,Ardeer
77,Greater Shepparton C  ,Ardmona
78,Yarriambiack S  ,Areegra
79,Greater Bendigo C  ,Argyle
80,Stonnington C  ,Armadale
81,Ararat RC  ,Armstrong
82,Loddon S  ,Arnold
83,Loddon S  ,Arnold
84,Nillumbik S  ,Arthurs
85,Mornington Pen S  ,Arthurs
86,Ballarat C  ,Ascot
87,Greater Bendigo C  ,Ascot
88,Moonee Valley C  ,Ascot
89,Macedon Ranges S  ,Ashbourne
90,Boroondara C  ,Ashburton
91,Monash C  ,Ashwood
92,Kingston C  ,Aspendale
93,Kingston C  ,Aspendale
94,Baw Baw S  ,Athlone
95,Hume C  ,Attwood
96,Yarriambiack S  ,Aubrey
97,Boroondara C  ,Auburn
98,Boroondara C  ,Auburn
99,Loddon S  ,Auchmore
100,Greater Geelong C  ,Avalon
101,Mitchell S  ,Avenel
102,Strathbogie S  ,Avenel
103,Pyrenees S  ,Avoca
104,Northern Grampians S  ,Avon
105,Moonee Valley C  ,Avondale
106,Greater Bendigo C  ,Avonmore
107,Cardinia S  ,Avonsleigh
108,Greater Bendigo C  ,Axe
109,Greater Bendigo C  ,Axedale
110,Corangamite S  ,Ayrford
111,Moyne S  ,Ayrford
112,Moorabool S  ,Bacchus
113,Benalla RC  ,Baddaginnie
114,Strathbogie S  ,Baddaginnie
115,Yarra Ranges S  ,Badger
116,Gannawarra S  ,Bael
117,Greater Bendigo C  ,Bagshot
118,Greater Bendigo C  ,Bagshot
119,Glenelg S  ,Bahgallah
120,Strathbogie S  ,Bailieston
121,East Gippsland S  ,Bairnsdale
122,East Gippsland S  ,Bairnsdale
123,Ballarat C  ,Bakery
124,Port Phillip C  ,Balaclava
125,Ballarat C  ,Bald
126,Hepburn S  ,Bald
127,Colac Otway S  ,Balintore
128,Moorabool S  ,Ballan
129,Moyne S  ,Ballangeich
130,Buloke S  ,Ballapur
131,Ballarat C  ,Ballarat
132,Ballarat C  ,Ballarat
133,Campaspe S  ,Ballendella
134,Greater Geelong C  ,Balliang
135,Moorabool S  ,Balliang
136,Moorabool S  ,Balliang
137,Ararat RC  ,Ballyrogan
138,Pyrenees S  ,Ballyrogan
139,Strathbogie S  ,Balmattum
140,Southern Grampians S  ,Balmoral
141,Mornington Peninsula S  ,Balnarring
142,Mornington Pen S  ,Balnarring
143,Latrobe C  ,Balook
144,Wellington S  ,Balook
145,Boroondara C  ,Balwyn
146,Boroondara C  ,Balwyn
147,Whitehorse C  ,Balwyn
148,Campaspe S  ,Bamawm
149,Campaspe S  ,Bamawm
150,Surf Coast S  ,Bambra
151,Golden Plains S  ,Bamganie
152,Wodonga RC  ,Bandiana
153,Yarriambiack S  ,Bangerang
154,Greater Dandenong C  ,Bangholme
155,Swan Hill RC  ,Bannerton
156,Golden Plains S  ,Bannockburn
157,Buloke S  ,Banyan
158,Northern Grampians S  ,Banyena
159,Buloke S  ,Banyenong
160,Wodonga RC  ,Baranduda
161,Greater Geelong C  ,Bareena
162,Mount Alexander S  ,Barfold
163,Mount Alexander S  ,Baringhup
164,Mount Alexander S  ,Baringhup
165,Benalla RC  ,Barjarg
166,Mansfield S  ,Barjarg
167,Mount Alexander S  ,Barkers
168,Northern Grampians S  ,Barkly
169,Pyrenees S  ,Barkly
170,Moorabool S  ,Barkstead
171,Moira S  ,Barmah
172,Greater Bendigo C  ,Barnadown
173,Indigo S  ,Barnawartha
174,Wodonga RC  ,Barnawartha
175,South Gippsland S  ,Baromi
176,Colac Otway S  ,Barongarook
177,Colac Otway S  ,Barongarook
178,Surf Coast S  ,Barrabool
179,Buloke S  ,Barrakee
180,Colac Otway S  ,Barramunga
181,Loddon S  ,Barraport
182,Loddon S  ,Barraport
183,Moorabool S  ,Barrys
184,Golden Plains S  ,Barunah
185,Alpine S  ,Barwidgee
186,Mansfield S  ,Barwite
187,Colac Otway S  ,Barwon
188,Greater Geelong C  ,Barwon
189,Hepburn S  ,Basalt
190,Bass Coast S  ,Bass
191,Golden Plains S  ,Batesford
192,Greater Geelong C  ,Batesford
193,Moira S  ,Bathumi
194,Moreland C  ,Batman
195,Baw Baw S  ,Baw
196,Baw Baw S  ,Baw
197,Mornington Peninsula S  ,Baxter
198,Ararat RC  ,Bayindeen
199,Cardinia S  ,Bayles
200,Macedon Ranges S  ,Baynton
201,Macedon Ranges S  ,Baynton
202,Knox C  ,Bayswater
203,Maroondah C  ,Bayswater
204,Cardinia S  ,Beaconsfield
205,Casey C  ,Beaconsfield
206,Cardinia S  ,Beaconsfield
207,Central Goldfields S  ,Bealiba
208,Loddon S  ,Bealiba
209,Moira S  ,Bearii
210,Loddon S  ,Bears
211,Gannawarra S  ,Beauchamp
212,Swan Hill RC  ,Beauchamp
213,Pyrenees S  ,Beaufort
214,Bayside C  ,Beaumaris
215,Nthn Grampians S  ,Beazleys
216,Colac Otway S  ,Beeac
217,Colac Otway S  ,Beech
218,Indigo S  ,Beechworth
219,Yarra Ranges S  ,Beenak
220,Yarra Ranges S  ,Belgrave
221,Yarra Ranges S  ,Belgrave
222,Yarra Ranges S  ,Belgrave
223,Greater Geelong C  ,Bell
224,Greater Geelong C  ,Bell
225,Greater Geelong C  ,Bellarine
226,East Gippsland S  ,Bellbird
227,Surf Coast S  ,Bellbrae
228,Towong S  ,Bellbridge
229,Northern Grampians S  ,Bellellen
230,Banyule C  ,Bellfield
231,Northern Grampians S  ,Bellfield
232,Southern Grampians S  ,Bellfield
233,Surf Coast S  ,Bells
234,Greater Geelong C  ,Belmont
235,East Gippsland S  ,Bemm
236,South Gippsland S  ,Bena
237,Benalla RC  ,Benalla
238,East Gippsland S  ,Benambra
239,West Wimmera S  ,Benayeo
240,Nillumbik S  ,Bend
241,Greater Bendigo C  ,Bendigo
242,Greater Bendigo C  ,Bendigo
243,Greater Bendigo C  ,Bendigo
244,Greater Bendigo C  ,Bendigo
245,East Gippsland S  ,Bendoc
246,East Gippsland S  ,Bengworden
247,Gannawarra S  ,Benjeroop
248,Macedon Ranges S  ,Benloch
249,Whitehorse C  ,Bennettswood
250,South Gippsland S  ,Bennison
251,Glen Eira C  ,Bentleigh
252,Glen Eira C  ,Bentleigh
253,Surf Coast S  ,Benwerrin
254,Moorabool S  ,Beremboke
255,Loddon S  ,Berrimal
256,Golden Plains S  ,Berringa
257,Towong S  ,Berringama
258,Buloke S  ,Berriwillock
259,Corangamite S  ,Berrybank
260,Golden Plains S  ,Berrybank
261,South Gippsland S  ,Berrys
262,Casey C  ,Berwick
263,Glenelg S  ,Bessiebelle
264,Moyne S  ,Bessiebelle
265,Central Goldfields S  ,Bet
266,East Gippsland S  ,Bete
267,East Gippsland S  ,Bete
268,Towong S  ,Bethanga
269,Central Goldfields S  ,Betley
270,Yarriambiack S  ,Beulah
271,Swan Hill RC  ,Beverford
272,Mitchell S  ,Beveridge
273,Whittlesea C  ,Beveridge
274,Hindmarsh S  ,Big
275,Mildura RC  ,Big
276,West Wimmera S  ,Big
277,Greater Bendigo C  ,Big
278,Surf Coast S  ,Big
279,Yarra Ranges S  ,Big
280,Towong S  ,Biggara
281,Wellington S  ,Billabong
282,Buloke S  ,Bimbourie
283,East Gippsland S  ,Bindi
284,South Gippsland S  ,Binginwarri
285,Wellington S  ,Binginwarri
