,Council,City
818,Colac Otway S  ,Cundare
819,Colac Otway S  ,Cundare
820,Corangamite S  ,Cundare
821,Corangamite S  ,Curdie
822,Moyne S  ,Curdie
823,Corangamite S  ,Curdies
824,Greater Geelong C  ,Curlewis
825,Buloke S  ,Curyo
826,Horsham RC  ,Dadswells
827,Nthn Grampians S  ,Dadswells
828,Central Goldfields S  ,Daisy
829,Moorabool S  ,Dales
830,Hume C  ,Dallas
831,Cardinia S  ,Dalmore
832,Gannawarra S  ,Daltons
833,Northern Grampians S  ,Dalyenong
834,Bass Coast S  ,Dalyston
835,Greater Dandenong C  ,Dandenong
836,Gr Dandenong C  ,Dandenong
837,Gr Dandenong C  ,Dandenong
838,Alpine S  ,Dandongadale
839,Alpine S  ,Dargo
840,Wellington S  ,Dargo
841,Northern Grampians S  ,Darkbonee
842,Moorabool S  ,Darley
843,Latrobe C  ,Darlimurla
844,South Gippsland S  ,Darlimurla
845,Corangamite S  ,Darlington
846,Moyne S  ,Darlington
847,Baw Baw S  ,Darnum
848,Macedon Ranges S  ,Darraweit
849,Wellington S  ,Darriman
850,Glenelg S  ,Dartmoor
851,East Gippsland S  ,Dartmouth
852,Towong S  ,Dartmouth
853,Wellington S  ,Dawson
854,Hepburn S  ,Daylesford
855,Hepburn S  ,Dean
856,Surf Coast S  ,Deans
857,East Gippsland S  ,Deddick
858,Alpine S  ,Dederang
859,Northern Grampians S  ,Deep
860,Brimbank C  ,Deer
861,Ballarat C  ,Delacombe
862,Brimbank C  ,Delahey
863,Mansfield S  ,Delatite
864,Baw Baw S  ,Delburn
865,Latrobe C  ,Delburn
866,South Gippsland S  ,Delburn
867,East Gippsland S  ,Delegate
868,East Gippsland S  ,Dellicknora
869,Bayside C  ,Dendy
870,Ararat RC  ,Denicull
871,Wellington S  ,Denison
872,Moyne S  ,Dennington
873,Warrnambool C  ,Dennington
874,Hepburn S  ,Denver
875,Macedon Ranges S  ,Denver
876,East Gippsland S  ,Deptford
877,Loddon S  ,Derby
878,Golden Plains S  ,Dereel
879,Glenelg S  ,Dergholm
880,West Wimmera S  ,Dergholm
881,Brimbank C  ,Derrimut
882,Greater Bendigo C  ,Derrinal
883,Corangamite S  ,Derrinallum
884,Benalla RC  ,Devenish
885,Murrindindi S  ,Devils
886,Casey C  ,Devon
887,Wellington S  ,Devon
888,Cardinia S  ,Dewhurst
889,Greater Shepparton C  ,Dhurringile
890,Nillumbik S  ,Diamond
891,Greater Bendigo C  ,Diamond
892,Glenelg S  ,Digby
893,Hume C  ,Diggers
894,Melton S  ,Diggers
895,Campaspe S  ,Diggora
896,Hindmarsh S  ,Dimboola
897,Campaspe S  ,Dingee
898,Loddon S  ,Dingee
899,Kingston C  ,Dingley
900,Gannawarra S  ,Dingwall
901,Alpine S  ,Dinner
902,Corangamite S  ,Dixie
903,Yarra Ranges S  ,Dixons
904,Ararat RC  ,Dobie
905,Wangaratta RC  ,Docker
906,Wangaratta RC  ,Dockers
907,Melbourne C  ,Docklands
908,East Gippsland S  ,Doctors
909,South Gippsland S  ,Dollar
910,Yarra Ranges S  ,Don
911,Buloke S  ,Donald
912,Manningham C  ,Doncaster
913,Manningham C  ,Doncaster
914,Whittlesea C  ,Donnybrook
915,Manningham C  ,Donvale
916,Buloke S  ,Dooboobetic
917,Horsham RC  ,Dooen
918,Greater Shepparton C  ,Dookie
919,Gr Shepparton C  ,Dookie
920,Nillumbik S  ,Doreen
921,Whittlesea C  ,Doreen
922,West Wimmera S  ,Dorodong
923,East Gippsland S  ,Double
924,Horsham RC  ,Douglas
925,West Wimmera S  ,Douglas
926,Casey C  ,Doveton
927,Colac Otway S  ,Dreeite
928,Corangamite S  ,Dreeite
929,Colac Otway S  ,Dreeite
930,Corangamite S  ,Dreeite
931,Baw Baw S  ,Driffield
932,Latrobe C  ,Driffield
933,Glenelg S  ,Drik
934,Mornington Peninsula S  ,Dromana
935,Murrindindi S  ,Dropmore
936,Baw Baw S  ,Drouin
937,Baw Baw S  ,Drouin
938,Baw Baw S  ,Drouin
939,Baw Baw S  ,Drouin
940,Moira S  ,Drumanure
941,Glenelg S  ,Drumborg
942,Greater Geelong C  ,Drumcondra
943,Campaspe S  ,Drummartin
944,Greater Bendigo C  ,Drummartin
945,Hepburn S  ,Drummond
946,Macedon Ranges S  ,Drummond
947,Hepburn S  ,Drummond
948,Macedon Ranges S  ,Drummond
949,Mt Alexander S  ,Drummond
950,Horsham RC  ,Drung
951,Hepburn S  ,Dry
952,Greater Geelong C  ,Drysdale
953,Horsham RC  ,Duchembegarra
954,Bass Coast S  ,Dudley
955,South Gippsland S  ,Dumbalk
956,South Gippsland S  ,Dumbalk
957,Buloke S  ,Dumosa
958,Central Goldfields S  ,Dunach
959,Hepburn S  ,Dunach
960,Moyne S  ,Dundonnell
961,Greater Dandenong C  ,Dunearn
962,Ararat RC  ,Dunkeld
963,Southern Grampians S  ,Dunkeld
964,Greater Shepparton C  ,Dunkirk
965,Central Goldfields S  ,Dunluce
966,Ararat RC  ,Dunneworthy
967,Nthn Grampians S  ,Dunneworthy
968,Moorabool S  ,Dunnstown
969,Central Goldfields S  ,Dunolly
970,Loddon S  ,Dunolly
971,Glenelg S  ,Dunrobin
972,Golden Plains S  ,Durdidwarrah
973,Ballarat C  ,Durham
974,Golden Plains S  ,Durham
975,Moorabool S  ,Durham
976,Loddon S  ,Durham
977,Wellington S  ,Dutson
978,Wellington S  ,Dutson
979,Glenelg S  ,Dutton
980,Corangamite S  ,Duverney
981,Mitchell S  ,Dysart
982,East Gippsland S  ,Eagle
983,Greater Bendigo C  ,Eaglehawk
984,Gr Bendigo C  ,Eaglehawk
985,Banyule C  ,Eaglemont
986,Strathbogie S  ,Earlston
987,Melbourne C  ,East
988,Surf Coast S  ,Eastern
989,Loddon S  ,Eastville
990,Mount Alexander S  ,Eastville
991,Wodonga RC  ,Ebden
992,Campaspe S  ,Echuca
993,Campaspe S  ,Echuca
994,Campaspe S  ,Echuca
995,Corangamite S  ,Ecklin
996,Moyne S  ,Ecklin
997,Central Goldfields S  ,Eddington
998,Loddon S  ,Eddington
999,Mount Alexander S  ,Eddington
1000,Whittlesea C  ,Eden
1001,West Wimmera S  ,Edenhope
1002,Macedon Ranges S  ,Edgecombe
1003,Wangaratta RC  ,Edi
1004,Wangaratta RC  ,Edi
1005,Kingston C  ,Edithvale
1006,Hepburn S  ,Eganstown
1007,Mansfield S  ,Eildon
1008,Murrindindi S  ,Eildon
1009,Moorabool S  ,Elaine
1010,Northern Grampians S  ,Elberton
1011,Wangaratta RC  ,Eldorado
1012,Hepburn S  ,Elevated
1013,Corangamite S  ,Elingamite
1014,Corangamite S  ,Elingamite
1015,East Gippsland S  ,Ellaswood
1016,Moyne S  ,Ellerslie
1017,Colac Otway S  ,Elliminyt
1018,Baw Baw S  ,Ellinbank
1019,Ararat RC  ,Elmhurst
1020,Pyrenees S  ,Elmhurst
1021,Campaspe S  ,Elmore
1022,Greater Bendigo C  ,Elmore
1023,Mount Alexander S  ,Elphinstone
1024,Glen Eira C  ,Elsternwick
1025,Banyule C  ,Eltham
1026,Nillumbik S  ,Eltham
1027,Banyule C  ,Eltham
1028,Nillumbik S  ,Eltham
1029,Port Phillip C  ,Elwood
1030,Cardinia S  ,Emerald
1031,Yarra Ranges S  ,Emerald
1032,Central Goldfields S  ,Emu
1033,Loddon S  ,Emu
1034,Northern Grampians S  ,Emu
1035,Greater Bendigo C  ,Emu
1036,Mitchell S  ,Emu
1037,Casey C  ,Endeavour
1038,Golden Plains S  ,Enfield
1039,Southern Grampians S  ,Englefield
1040,East Gippsland S  ,Ensay
1041,East Gippsland S  ,Ensay
1042,Greater Bendigo C  ,Eppalock
1043,Whittlesea C  ,Epping
1044,Greater Bendigo C  ,Epsom
1045,Ballarat C  ,Ercildoune
1046,Pyrenees S  ,Ercildoune
1047,Baw Baw S  ,Erica
1048,East Gippsland S  ,Erinunderra
1049,Towong S  ,Eskdale
1050,Moira S  ,Esmond
1051,Moonee Valley C  ,Essendon
1052,Moonee Valley C  ,Essendon
1053,Moonee Valley C  ,Essendon
1054,Casey C  ,Eumemmerring
1055,Colac Otway S  ,Eurack
1056,Ballarat C  ,Eureka
1057,Strathbogie S  ,Euroa
1058,Alpine S  ,Eurobin
1059,Hepburn S  ,Evansford
1060,Pyrenees S  ,Evansford
1061,Ararat RC  ,Eversley
1062,Pyrenees S  ,Eversley
1063,Wangaratta RC  ,Everton
1064,Wangaratta RC  ,Everton
1065,Melton S  ,Exford
1066,Melton S  ,Eynesbury
1067,Wyndham C  ,Eynesbury
1068,South Gippsland S  ,Fairbank
1069,Darebin C  ,Fairfield
1070,Yarra C  ,Fairfield
1071,Surf Coast S  ,Fairhaven
1072,Gannawarra S  ,Fairley
1073,Campaspe S  ,Fairy
1074,East Gippsland S  ,Fairy
1075,Alpine S  ,Falls
1076,Mount Alexander S  ,Faraday
1077,Murrindindi S  ,Fawcett
1078,Hume C  ,Fawkner
1079,Moreland C  ,Fawkner
1080,Loddon S  ,Fentons
1081,Colac Otway S  ,Ferguson
1082,Hepburn S  ,Fern
1083,Macedon Ranges S  ,Fern
1084,East Gippsland S  ,Fernbank
1085,Wellington S  ,Fernbank
1086,Baw Baw S  ,Ferndale
1087,Loddon S  ,Fernihurst
1088,Yarra Ranges S  ,Fernshaw
1089,Knox C  ,Ferntree
1090,Yarra Ranges S  ,Ferny
1091,Loddon S  ,Fiery
1092,Mornington Peninsula S  ,Fingal
1093,South Gippsland S  ,Fish
1094,Swan Hill RC  ,Fish
1095,Moorabool S  ,Fiskville
1096,Yarra C  ,Fitzroy
1097,Moreland C  ,Fitzroy
1098,Yarra C  ,Fitzroy
1099,East Gippsland S  ,Flaggy
1100,Central Goldfields S  ,Flagstaff
1101,Wellington S  ,Flamingo
1102,Melbourne C  ,Flemington
1103,Moonee Valley C  ,Flemington
1104,Mornington Peninsula S  ,Flinders
1105,Greater Bendigo C  ,Flora
1106,Mitchell S  ,Flowerdale
1107,Murrindindi S  ,Flowerdale
1108,Latrobe C  ,Flynn
1109,Wellington S  ,Flynn
1110,Latrobe C  ,Flynns
1111,Wellington S  ,Flynns
1112,Maribyrnong C  ,Footscray
1113,Maribyrnong C  ,Footscray
1114,Mitchell S  ,Forbes
1115,Whitehorse C  ,Forest
1116,East Gippsland S  ,Forge
1117,Colac Otway S  ,Forrest
1118,South Gippsland S  ,Foster
1119,South Gippsland S  ,Foster
1120,Greater Bendigo C  ,Fosterville
1121,Casey C  ,Fountain
1122,Corangamite S  ,Foxhow
1123,Moyne S  ,Framlingham
1124,Moyne S  ,Framlingham
1125,Hepburn S  ,Franklinford
1126,Mount Alexander S  ,Franklinford
1127,Frankston C  ,Frankston
1128,Frankston C  ,Frankston
1129,Frankston C  ,Frankston
1130,Alpine S  ,Freeburgh
1131,Pyrenees S  ,Frenchmans
1132,Surf Coast S  ,Freshwater
1133,Mount Alexander S  ,Fryerstown
1134,Wellington S  ,Fulham
1135,Baw Baw S  ,Fumina
1136,Baw Baw S  ,Fumina
1137,Northern Grampians S  ,Fyans
1138,Greater Geelong C  ,Fyansford
1139,Mansfield S  ,Gaffneys
1140,Baw Baw S  ,Gainsborough
1141,Gannawarra S  ,Gannawarra
1142,Alpine S  ,Gapsted
1143,Port Phillip C  ,Garden
1144,Glen Eira C  ,Gardenvale
1145,Cardinia S  ,Garfield
1146,Cardinia S  ,Garfield
1147,Golden Plains S  ,Garibaldi
1148,Corangamite S  ,Garvoc
1149,Moyne S  ,Garvoc
1150,Wodonga RC  ,Gateway
1151,Southern Grampians S  ,Gatum
1152,Moyne S  ,Gazette
1153,Southern Grampians S  ,Gazette
1154,Greater Geelong C  ,Geelong
1155,Greater Geelong C  ,Geelong
1156,Greater Geelong C  ,Geelong
1157,Greater Geelong C  ,Geelong
1158,Greater Geelong C  ,Geelong
1159,East Gippsland S  ,Gelantipy
1160,Colac Otway S  ,Gellibrand
1161,Colac Otway S  ,Gellibrand
1162,Corangamite S  ,Gellibrand
1163,Wellington S  ,Gelliondale
1164,Cardinia S  ,Gembrook
1165,East Gippsland S  ,Genoa
1166,Baw Baw S  ,Gentle
1167,Towong S  ,Georges
1168,Swan Hill RC  ,Gerahmin
1169,Hindmarsh S  ,Gerang
1170,Colac Otway S  ,Gerangamete
1171,Northern Grampians S  ,Germania
1172,Alpine S  ,Germantown
1173,Moyne S  ,Gerrigerrup
1174,Surf Coast S  ,Gherang
1175,Golden Plains S  ,Gheringhap
1176,Murrindindi S  ,Ghin
1177,Wellington S  ,Giffard
1178,Wellington S  ,Giffard
1179,Buloke S  ,Gil
1180,Yarra Ranges S  ,Gilderoy
1181,Greater Shepparton C  ,Gillieston
1182,Wellington S  ,Gillum
1183,East Gippsland S  ,Gipsy
1184,Campaspe S  ,Girgarre
1185,Greater Shepparton C  ,Girgarre
1186,Macedon Ranges S  ,Gisborne
1187,Macedon Ranges S  ,Gisborne
1188,Loddon S  ,Gladfield
1189,Hume C  ,Gladstone
1190,Yarra Ranges S  ,Gladysdale
1191,Bass Coast S  ,Glen
1192,Alpine S  ,Glen
1193,Wellington S  ,Glen
1194,Bass Coast S  ,Glen
1195,Glen Eira C  ,Glen
1196,Boroondara C  ,Glen
1197,Stonnington C  ,Glen
1198,Ballarat C  ,Glen
1199,Moorabool S  ,Glen
1200,East Gippsland S  ,Glen
1201,Monash C  ,Glen
1202,East Gippsland S  ,Glen
1203,Colac Otway S  ,Glenaire
1204,East Gippsland S  ,Glenaladale
1205,Loddon S  ,Glenalbyn
1206,Mitchell S  ,Glenaroua
1207,Pyrenees S  ,Glenbrae
1208,Murrindindi S  ,Glenburn
1209,Ballarat C  ,Glendaruel
1210,Ballarat C  ,Glendonnel
1211,Boroondara C  ,Glenferrie
1212,Corangamite S  ,Glenfyne
1213,Brimbank C  ,Glengara
1214,Latrobe C  ,Glengarry
1215,Wellington S  ,Glengarry
1216,Baw Baw S  ,Glengarry
1217,Latrobe C  ,Glengarry
1218,Latrobe C  ,Glengarry
1219,Central Goldfields S  ,Glengower
1220,Hepburn S  ,Glengower
1221,Macedon Ranges S  ,Glenhope
1222,Mitchell S  ,Glenhope
1223,Mitchell S  ,Glenhope
1224,Northern Grampians S  ,Glenisla
1225,Southern Grampians S  ,Glenisla
1226,Hindmarsh S  ,Glenlee
1227,Pyrenees S  ,Glenlofty
1228,Ararat RC  ,Glenlogie
1229,Pyrenees S  ,Glenlogie
1230,Buloke S  ,Glenloth
1231,Buloke S  ,Glenloth
1232,Loddon S  ,Glenloth
1233,Mount Alexander S  ,Glenluce
1234,Hepburn S  ,Glenlyon
1235,Wellington S  ,Glenmaggie
1236,Moorabool S  ,Glenmore
1237,Northern Grampians S  ,Glenorchy
1238,Corangamite S  ,Glenormiston
1239,Moyne S  ,Glenormiston
1240,Corangamite S  ,Glenormiston
1241,Pyrenees S  ,Glenpatrick
1242,Benalla RC  ,Glenrowan
1243,Wangaratta RC  ,Glenrowan
1244,Benalla RC  ,Glenrowan
1245,Moreland C  ,Glenroy
1246,Ararat RC  ,Glenthompson
1247,Sthn Grampians S  ,Glenthompson
1248,Wellington S  ,Glomar
1249,Surf Coast S  ,Gnarwarre
1250,Corangamite S  ,Gnotuk
1251,Murrindindi S  ,Gobur
1252,Wellington S  ,Golden
1253,Greater Bendigo C  ,Golden
1254,Ballarat C  ,Golden
1255,Central Goldfields S  ,Golden
1256,Mount Alexander S  ,Golden
1257,Greater Bendigo C  ,Golden
1258,Macedon Ranges S  ,Goldie
1259,Central Goldfields S  ,Goldsborough
1260,Loddon S  ,Goldsborough
1261,Ballarat C  ,Gong
1262,Gannawarra S  ,Gonn
1263,Benalla RC  ,Goomalibee
1264,East Gippsland S  ,Goon
1265,East Gippsland S  ,Goongerah
1266,Murrindindi S  ,Gooram
1267,Strathbogie S  ,Gooram
1268,Indigo S  ,Gooramadda
1269,Benalla RC  ,Goorambat
1270,Greater Bendigo C  ,Goornong
1271,Northern Grampians S  ,Gooroc
1272,Glenelg S  ,Gorae
1273,Glenelg S  ,Gorae
1274,Moorabool S  ,Gordon
1275,Wellington S  ,Gormandale
1276,West Wimmera S  ,Goroke
1277,Swan Hill RC  ,Goschen
1278,Mansfield S  ,Goughs
1279,Strathbogie S  ,Goulburn
1280,Moreland C  ,Gowanbrae
1281,Swan Hill RC  ,Gowanford
1282,Gr Shepparton C  ,Gowangardie
1283,Loddon S  ,Gowar
1284,Northern Grampians S  ,Gowar
1285,Mount Alexander S  ,Gower
1286,Greater Shepparton C  ,Grahamvale
1287,Southern Grampians S  ,Grampians
1288,Latrobe C  ,Grand
1289,Wellington S  ,Grand
1290,Buloke S  ,Granite
1291,East Gippsland S  ,Granite
1292,Bass Coast S  ,Grantville
1293,Towong S  ,Granya
1294,Horsham RC  ,Grass
1295,West Wimmera S  ,Grass
1296,Glenelg S  ,Grassdale
1297,Moyne S  ,Grassmere
1298,Northern Grampians S  ,Grays
1299,Strathbogie S  ,Graytown
1300,Northern Grampians S  ,Gre
1301,Nthn Grampians S  ,Gre
1302,Nthn Grampians S  ,Gre
1303,Indigo S  ,Great
1304,Ararat RC  ,Great
1305,Nthn Grampians S  ,Great
1306,Gannawarra S  ,Gredgwin
1307,Loddon S  ,Gredgwin
1308,Mount Alexander S  ,Green
1309,Horsham RC  ,Green
1310,Moorabool S  ,Greendale
1311,Macedon Ranges S  ,Greenhill
1312,Mount Alexander S  ,Greenhill
1313,Horsham RC  ,Greenland
1314,Wellington S  ,Greenmount
1315,Nthn Grampians S  ,Greens
1316,Banyule C  ,Greensborough
1317,Nillumbik S  ,Greensborough
1318,Hume C  ,Greenvale
1319,Glenelg S  ,Greenwald
1320,Golden Plains S  ,Grenville
1321,Moorabool S  ,Grenville
1322,Wangaratta RC  ,Greta
1323,Wangaratta RC  ,Greta
1324,Benalla RC  ,Greta
1325,Wangaratta RC  ,Greta
1326,Colac Otway S  ,Grey
1327,Boroondara C  ,Greythorn
1328,Sthn Grampians S  ,Gringegalgona
1329,Southern Grampians S  ,Gritjurk
1330,Greater Geelong C  ,Grovedale
1331,Yarra Ranges S  ,Gruyere
1332,Hepburn S  ,Guildford
1333,Mount Alexander S  ,Guildford
1334,Campaspe S  ,Gunbower
1335,Alpine S  ,Gundowring
1336,Indigo S  ,Gundowring
1337,South Gippsland S  ,Gunyah
1338,Towong S  ,Guys
1339,Cardinia S  ,Guys
1340,West Wimmera S  ,Gymbowen
1341,Golden Plains S  ,Haddon
1342,Moreland C  ,Hadfield
1343,Casey C  ,Hallam
1344,Baw Baw S  ,Hallora
1345,Ararat RC  ,Halls
1346,Northern Grampians S  ,Halls
1347,Baw Baw S  ,Hallston
1348,South Gippsland S  ,Hallston
1349,Southern Grampians S  ,Hamilton
1350,Greater Geelong C  ,Hamlyn
1351,Bayside C  ,Hampton
1352,Bayside C  ,Hampton
1353,Casey C  ,Hampton
1354,Macedon Ranges S  ,Hanging
1355,Wangaratta RC  ,Hansonville
1356,Golden Plains S  ,Happy
1357,Swan Hill RC  ,Happy
1358,Mount Alexander S  ,Harcourt
1359,Greater Bendigo C  ,Harcourt
1360,Mount Alexander S  ,Harcourt
1361,Casey C  ,Harkaway
1362,Bass Coast S  ,Harmers
1363,Alpine S  ,Harrietville
1364,Southern Grampians S  ,Harrow
1365,West Wimmera S  ,Harrow
1366,Campaspe S  ,Harston
1367,Greater Shepparton C  ,Harston
1368,Boroondara C  ,Hartwell
1369,Mornington Peninsula S  ,Hastings
1370,Mildura RC  ,Hattah
1371,Central Goldfields S  ,Havelock
1372,Horsham RC  ,Haven
1373,Alpine S  ,Havilah
1374,Moyne S  ,Hawkesdale
1375,Wellington S  ,Hawkhurst
1376,Stonnington C  ,Hawksburn
1377,Boroondara C  ,Hawthorn
1378,Boroondara C  ,Hawthorn
1379,East Gippsland S  ,Haydens
1380,South Gippsland S  ,Hazel
1381,Murrindindi S  ,Hazeldene
1382,Latrobe C  ,Hazelwood
1383,Latrobe C  ,Hazelwood
1384,Latrobe C  ,Hazelwood
1385,Yarra Ranges S  ,Healesville
1386,Baw Baw S  ,Heath
1387,Cardinia S  ,Heath
1388,Greater Bendigo C  ,Heathcote
1389,Mitchell S  ,Heathcote
1390,Mitchell S  ,Heathcote
1391,Kingston C  ,Heatherton
1392,Glenelg S  ,Heathmere
1393,Maroondah C  ,Heathmont
1394,South Gippsland S  ,Hedley
1395,Wellington S  ,Hedley
1396,Banyule C  ,Heidelberg
1397,Banyule C  ,Heidelberg
1398,Banyule C  ,Heidelberg
1399,Sthn Grampians S  ,Hensley
1400,Glenelg S  ,Henty
1401,Hepburn S  ,Hepburn
1402,Hepburn S  ,Hepburn
1403,Greater Geelong C  ,Herne
1404,Baw Baw S  ,Hernes
1405,Latrobe C  ,Hernes
1406,Macedon Ranges S  ,Hesket
1407,Golden Plains S  ,Hesse
1408,Moyne S  ,Hexham
1409,Wellington S  ,Heyfield
1410,Corangamite S  ,Heytesbury
1411,Moyne S  ,Heytesbury
1412,Glenelg S  ,Heywood
1413,Wellington S  ,Hiamdale
1414,Wellington S  ,Hiawatha
1415,Mitchell S  ,High
1416,Bayside C  ,Highett
1417,Kingston C  ,Highett
1418,Mitchell S  ,Highlands
1419,Murrindindi S  ,Highlands
1420,Greater Geelong C  ,Highton
1421,Southern Grampians S  ,Hilgay
1422,Baw Baw S  ,Hill
1423,Pyrenees S  ,Hillcrest
1424,Mitchell S  ,Hilldene
1425,Brimbank C  ,Hillside
1426,East Gippsland S  ,Hillside
1427,Melton S  ,Hillside
1428,East Gippsland S  ,Hinnomunjie
1429,Mornington Pen S  ,HMAS
1430,South Gippsland S  ,Hoddle
1431,Yarra Ranges S  ,Hoddles
1432,East Gippsland S  ,Hollands
1433,Wellington S  ,Hollands
1434,Stonnington C  ,Holmesglen
1435,Pyrenees S  ,Homebush
1436,Glenelg S  ,Homerton
1437,Murrindindi S  ,Homewood
1438,Yarriambiack S  ,Hopetoun
1439,Glen Eira C  ,Hopetoun
1440,Moorabool S  ,Hopetoun
1441,Yarriambiack S  ,Hopevale
1442,Wyndham C  ,Hoppers
1443,Colac Otway S  ,Horden
1444,Gannawarra S  ,Horfield
1445,Loddon S  ,Horfield
1446,Horsham RC  ,Horsham
1447,Alpine S  ,Hotham
1448,Melbourne C  ,Hotham
1449,Glenelg S  ,Hotspur
1450,Whitehorse C  ,Houston
1451,Mansfield S  ,Howes
1452,Mansfield S  ,Howitt
1453,Wellington S  ,Howitt
1454,Mansfield S  ,Howqua
1455,Mansfield S  ,Howqua
1456,Mansfield S  ,Howqua
1457,Mansfield S  ,Howqua
1458,Monash C  ,Hughesdale
1459,Wodonga RC  ,Hume
1460,Whittlesea C  ,Humevale
1461,Greater Bendigo C  ,Hunter
1462,Wellington S  ,Hunterston
1463,Monash C  ,Huntingdale
1464,Greater Bendigo C  ,Huntly
1465,Greater Bendigo C  ,Huntly
1466,Indigo S  ,Huon
1467,Towong S  ,Huon
1468,Wodonga RC  ,Huon
1469,Nillumbik S  ,Hurstbridge
1470,Baw Baw S  ,Icy
1471,East Gippsland S  ,Iguana
1472,Golden Plains S  ,Illabarook
1473,Northern Grampians S  ,Illawarra
1474,Moyne S  ,Illowa
1475,Warrnambool C  ,Illowa
1476,Greater Geelong C  ,Indented
1477,Indigo S  ,Indigo
1478,Indigo S  ,Indigo
1479,Loddon S  ,Inglewood
1480,Moorabool S  ,Ingliston
1481,Central Goldfields S  ,Inkerman
1482,Loddon S  ,Inkerman
1483,Moira S  ,Invergordon
1484,Gr Shepparton C  ,Invergordon
1485,Golden Plains S  ,Inverleigh
1486,Surf Coast S  ,Inverleigh
1487,Bass Coast S  ,Inverloch
1488,South Gippsland S  ,Inverloch
1489,Ballarat C  ,Invermay
1490,Hepburn S  ,Invermay
1491,Ballarat C  ,Invermay
1492,Cardinia S  ,Iona
1493,Mildura RC  ,Iraak
1494,Mount Alexander S  ,Irishtown
1495,Greater Bendigo C  ,Ironbark
1496,Colac Otway S  ,Irrewarra
1497,Colac Otway S  ,Irrewillipe
1498,Colac Otway S  ,Irrewillipe
1499,Mildura RC  ,Irymple
1500,Banyule C  ,Ivanhoe
1501,Banyule C  ,Ivanhoe
1503,Hume C  ,Jacana
1504,Wellington S  ,Jack
1505,Greater Bendigo C  ,Jackass
1506,Baw Baw S  ,Jacob
1507,Bass Coast S  ,Jam
1508,Mansfield S  ,Jamieson
1509,Surf Coast S  ,Jan
1510,Corangamite S  ,Jancourt
1511,Colac Otway S  ,Jancourt
1512,Corangamite S  ,Jancourt
1513,Loddon S  ,Jarklin
1514,East Gippsland S  ,Jarrahmond
1515,Towong S  ,Jarvis
1516,Latrobe C  ,Jeeralang
1517,Latrobe C  ,Jeeralang
1518,South Gippsland S  ,Jeetho
1519,Buloke S  ,Jeffcott
1520,Buloke S  ,Jeffcott
1521,Hindmarsh S  ,Jeparit
1522,Baw Baw S  ,Jericho
1523,Buloke S  ,Jeruk
1524,Buloke S  ,Jil
1525,Horsham RC  ,Jilpanger
1526,Baw Baw S  ,Jindivick
1527,Northern Grampians S  ,Joel
1528,Northern Grampians S  ,Joel
1529,Colac Otway S  ,Johanna
1530,East Gippsland S  ,Johnsonville
1531,Wellington S  ,Johnstones
1532,Central Goldfields S  ,Joyces
1533,Mount Alexander S  ,Joyces
1534,Latrobe C  ,Jumbuk
1535,South Gippsland S  ,Jumbunna
1536,Casey C  ,Junction
1537,Horsham RC  ,Jung
1538,Yarriambiack S  ,Jung
1539,Loddon S  ,Jungaburra
1540,Greater Bendigo C  ,Junortoun
1541,Moira S  ,Kaarimba
1542,West Wimmera S  ,Kadnook
1543,East Gippsland S  ,Kalimna
1544,East Gippsland S  ,Kalimna
1545,Hume C  ,Kalkallo
1546,Horsham RC  ,Kalkee
1547,Yarra Ranges S  ,Kallista
1548,Yarra Ranges S  ,Kalorama
1549,Buloke S  ,Kalpienung
1550,Greater Bendigo C  ,Kamarooka
1551,Loddon S  ,Kamarooka
1552,Loddon S  ,Kamarooka
1553,Horsham RC  ,Kanagulk
1554,Alpine S  ,Kancoona
1555,Greater Bendigo C  ,Kangaroo
1556,Nillumbik S  ,Kangaroo
1557,Gannawarra S  ,Kangaroo
1558,Hindmarsh S  ,Kaniva
1559,West Wimmera S  ,Kaniva
1560,Mansfield S  ,Kanumbra
1561,Murrindindi S  ,Kanumbra
1562,Northern Grampians S  ,Kanya
1563,Campaspe S  ,Kanyapella
1564,Southern Grampians S  ,Karabeal
1565,South Gippsland S  ,Kardella
1566,South Gippsland S  ,Kardella
1567,Corangamite S  ,Kariah
1568,Frankston C  ,Karingal
1569,West Wimmera S  ,Karnak
1570,Greater Shepparton C  ,Karramomus
1571,Buloke S  ,Karyrie
1572,Moira S  ,Katamatite
1573,Moira S  ,Katamatite
1574,Greater Shepparton C  ,Katandra
1575,Gr Shepparton C  ,Katandra
1576,Moira S  ,Katunga
1577,Colac Otway S  ,Kawarren
1578,Brimbank C  ,Kealba
1579,Gannawarra S  ,Keely
1580,Brimbank C  ,Keilor
1581,Hume C  ,Keilor
1582,Brimbank C  ,Keilor
1583,Brimbank C  ,Keilor
1584,Moonee Valley C  ,Keilor
1585,Brimbank C  ,Keilor
1586,Brimbank C  ,Keilor
1587,Brimbank C  ,Keilor
1588,Yarriambiack S  ,Kellalac
1589,Strathbogie S  ,Kelvin
1590,Swan Hill RC  ,Kenley
1591,Hindmarsh S  ,Kenmare
1592,Colac Otway S  ,Kennedys
1593,Corangamite S  ,Kennedys
1594,Colac Otway S  ,Kennett
1595,Greater Bendigo C  ,Kennington
1596,Melbourne C  ,Kensington
1597,Moonee Valley C  ,Kensington
1598,Darebin C  ,Keon
1599,Gannawarra S  ,Kerang
1600,Gannawarra S  ,Kerang
1601,Indigo S  ,Kergunyah
