historical_hotel,City
Brougham Arms,BENDIGO
Clarendon,BENDIGO
Metropolitan,BENDIGO
Imperial Hustlers,BENDIGO
London,BENDIGO
City Brewery,BENDIGO
Town Hall,BENDIGO
Arcade,BENDIGO
Earl of Kimberley,BENDIGO
Cheshire Arms,BENDIGO
City,BENDIGO
Ennis,BENDIGO
Australian,BENDIGO
Gasworks,BENDIGO
Fire Brigade,BENDIGO
New Bridge,BENDIGO
Great Britain,BENDIGO
Bendigo,BENDIGO
All Nations,BENDIGO
Golden Square,BENDIGO
Red White & Blue,BENDIGO
Blue Bell Inn,BENDIGO
Camp,BENDIGO
Golden Gate,BENDIGO
Cumberland,BENDIGO
City Family,BENDIGO
Golden Age,BENDIGO
Tysons Reef Fam,BENDIGO
Crown,BENDIGO
Crescent,BENDIGO
Lancashire,BENDIGO
Barkley,BENDIGO
Foundry Arms,BENDIGO
Hibernia,BENDIGO
British Queen,BENDIGO
Duke of York,BENDIGO
Leinster,BENDIGO
Imperial,BENDIGO
Show Grounds,BENDIGO
Cavalry,BENDIGO
Harp of Shamrock,BENDIGO
McCrae St,BENDIGO
B B,BENDIGO
European,BENDIGO
National,BENDIGO
Clyde,BENDIGO
Lake Weeroona,BENDIGO
Kilker,BENDIGO
Masonic Shades,BENDIGO
American,BENDIGO
United Kingdom,BENDIGO
B B Brewery,BENDIGO
Adelaide Bry,BENDIGO
Hibernian,BENDIGO
Holtorfs,BENDIGO
Belfast Arms,BENDIGO
Golden Vine,BENDIGO
Mt Pleasant,BENDIGO
Denmark,BENDIGO
Fleece Inn,BENDIGO
Emu Point,BENDIGO
Viiolet St,BENDIGO
Southern Cross Palace,BENDIGO
Rose of Australia,BENDIGO
Bendigo & Northern Bry,BENDIGO
Beehive Mining Exch,BENDIGO
Adelaide Brewery,BENDIGO
Harp & Shamrock,BENDIGO
Foundary Arms,BENDIGO
Kilkee,BENDIGO
Coronation,BENDIGO
Empire,BRIGHT
Lone Star,BRIGHT
Morses Creek,BRIGHT
Lynchs,BRIGHT
Alpine,BRIGHT
Chalet,BRIGHT
Star,BRIGHT
Germanton,BRIGHT
Quon Kee,BRIGHT
Gleesons,BROADFORD
Broadford,BROADFORD
Junction,BROADFORD
Commercial,BROADFORD
Tower,CAMBERWELL
Leura,CAMPERDOWN
Commercial,CAMPERDOWN
Camperdown,CAMPERDOWN
Hampden,CAMPERDOWN
Ye Old Leura,CAMPERDOWN
La Mascotte,CASTLEMAINE
Criterion,CASTLEMAINE
Victoria,CASTLEMAINE
Albert,CASTLEMAINE
Prince of Wales,CASTLEMAINE
Castlemaine,CASTLEMAINE
Clarendon Inn,CASTLEMAINE
Carriers Arms,CASTLEMAINE
Monks,CASTLEMAINE
Royal Hotel & Theatre,CASTLEMAINE
Royal Mail,CASTLEMAINE
Freemansons,CASTLEMAINE
Commercial,CASTLEMAINE
Cumberland,CASTLEMAINE
Belle View,CASTLEMAINE
Exchange,CASTLEMAINE
Clydesdale,CASTLEMAINE
Metropolitan,CASTLEMAINE
Trembaths,CASTLEMAINE
French & English,CASTLEMAINE
Malakoff,CASTLEMAINE
Builders Arms,CASTLEMAINE
Mechanics Arms,CASTLEMAINE
Bignalls,CASTLEMAINE
Bedford,CASTLEMAINE
Railway,CASTLEMAINE
Royal Glengarry,CASTLEMAINE
Supreme Court,CASTLEMAINE
Deep Creek Inn,CASTLEMAINE
Albion,CASTLEMAINE
Princess Alice,CASTLEMAINE
Imperial,CASTLEMAINE
Garibaldi,CASTLEMAINE
Moloneys,CASTLEMAINE
Shamrock,CASTLEMAINE
Mystery,CASTLEMAINE
Diggers,CASTLEMAINE
Horse & Jockey,CASTLEMAINE
Grand Central Hotel & Dining Room,CASTLEMAINE
OHara Burke,CASTLEMAINE
Mount Alexander,CASTLEMAINE
Gellerts,CASTLEMAINE
Queens,CASTLEMAINE
Freemasons Bignells,CASTLEMAINE
Foresters Arms,CASTLEMAINE
Cornish,CASTLEMAINE
Caledonian,CASTLEMAINE
Niagara,CASTLEMAINE
Bridge Hotel & Grocer,CASTLEMAINE
Hotel De LEurope et Pension Suisse,CASTLEMAINE
Volunteer Tavern,CASTLEMAINE
Totts,CASTLEMAINE
Colliban,CASTLEMAINE
Beddards,CASTLEMAINE
Star,CASTLEMAINE
Farmers Arms,CASTLEMAINE
Goldsmiths,CASTLEMAINE
Devonshire Arms,CASTLEMAINE
Haymarket,CASTLEMAINE
Thwaites,CASTLEMAINE
Yandoit,CASTLEMAINE
Cricketers Arms,CASTLEMAINE
Crown,CASTLEMAINE
Council Club,CASTLEMAINE
The Old Lady of Threadneedle Street,CASTLEMAINE
Corner,CASTLEMAINE
Erin Go Bragh,CASTLEMAINE
Webbers Brighton Hotel & General Store,CASTLEMAINE
Druids,CASTLEMAINE
Harp of Erin,CASTLEMAINE
Railway Hotel,CASTLEMAINE
Old House at Home,CASTLEMAINE
British & American,CASTLEMAINE
Sebastopol,CASTLEMAINE
Lanes,CASTLEMAINE
Bristol Arms,CASTLEMAINE
Globe,CASTLEMAINE
Nags Head,CASTLEMAINE
Standard of Freedom,CASTLEMAINE
Beehive,CASTLEMAINE
View Point,CASTLEMAINE
Dunstans,CASTLEMAINE
Gardiners,CASTLEMAINE
Junction,CASTLEMAINE
Kettyles,CASTLEMAINE
Sporting Club,CASTLEMAINE
Central Club,CASTLEMAINE
Royal (Theatre),CASTLEMAINE
Town Hall,CASTLEMAINE
Richmond,CASTLEMAINE
Cobram,COBRAM
Royal Victoria,COBRAM
Grand Central,COBRAM
Royal,COLAC
Telegraph,COLAC
Oddfellows,COLAC
Victoria,COLAC
Victoria Hotel & Coach Office,COLAC
Colac,COLAC
Farmers Arms,COLAC
Great Western Hotel & Coach House,COLAC
Union Club,COLAC
Prince of Wales,COLAC
Wheelwrights Arms,COLAC
Brewers Arms,COLAC
Brewers Arms & Rail Ref Rooms,COLAC
Great Western,COLAC
Commercial,COLAC
Austral,COLAC
Oriental,COLAC
Dunbars,DANDENONG
Dandenong,DANDENONG
Royal,DANDENONG
Newmarket,DANDENONG
Bridge,DANDENONG
Dunbars Family,DANDENONG
Albion,DANDENONG
Shamrock,DANDENONG
Club,DANDENONG
Hodges Belle Vue,DAYLESFORD
Shades,DAYLESFORD
Freemasons Hotel & Concert Hall,DAYLESFORD
Manchester,DAYLESFORD
Commercial,DAYLESFORD
Daylesford,DAYLESFORD
Wombat,DAYLESFORD
Royal,DAYLESFORD
Royal Oak,DAYLESFORD
National,DAYLESFORD
Travesis,DAYLESFORD
Prince of Wales,DAYLESFORD
Union,DAYLESFORD
West of England,DAYLESFORD
White Star,DAYLESFORD
Belle Vue,DAYLESFORD
Red Lion,DAYLESFORD
Jamiesons Family,DAYLESFORD
Victoria,DAYLESFORD
Athens,DAYLESFORD
Farmers Arms,DAYLESFORD
Court House,DAYLESFORD
All Nations,DAYLESFORD
Imperial,DAYLESFORD
Albert,DAYLESFORD
Volunteer,DAYLESFORD
Argus,DAYLESFORD
Liverpool Arms,DAYLESFORD
Shearers,DAYLESFORD
Moores,DAYLESFORD
Terminus,DAYLESFORD
Town Hall,DAYLESFORD
Jockey Club,DAYLESFORD
Golden Fleece,DAYLESFORD
Raglan,DAYLESFORD
Star,DAYLESFORD
Ivesons Dayesford,DAYLESFORD
Crown,DAYLESFORD
Queens Head,DAYLESFORD
Carriers Arms,DAYLESFORD
Fire Brigade,DAYLESFORD
Elm Tree,DAYLESFORD
Federal,DAYLESFORD
Wentworth,DAYLESFORD
Doncaster,DONCASTER
Tower,DONCASTER
Morning Star,DONCASTER
Steam Packet,ECHUCA
Palace,ECHUCA
Bridge,ECHUCA
Limerick Castle,ECHUCA
Hopwoods Old House,ECHUCA
Victoria Hotel & Produce Store,ECHUCA
Commercial,ECHUCA
Echuca,ECHUCA
Hopwoods,ECHUCA
Redmonds,ECHUCA
Caledonian Family,ECHUCA
Freemasons,ECHUCA
Murray River Hotel & Dining Rooms,ECHUCA
Criterion,ECHUCA
Wiltshire Arms,ECHUCA
Shamrock,ECHUCA
Alma,ECHUCA
Terminus,ECHUCA
Harp & Shamrock,ECHUCA
BellRock,ECHUCA
Riverine,ECHUCA
Jolly Waggoner,ECHUCA
Old House,ECHUCA
Bendigo,ECHUCA
Esplanade,ECHUCA
Wards,ECHUCA
Caledonian,ECHUCA
Duke of Edinburgh,ECHUCA
Star,ECHUCA
Town Hall,ECHUCA
Carriers Arms,ECHUCA
Taras Hall,ECHUCA
American,ECHUCA
Noahs Ark,ECHUCA
Cumberland,ECHUCA
Homebush,ECHUCA
Sale Yards,ECHUCA
Farmers Arms,ECHUCA
Post Office,ECHUCA
Crown,ECHUCA
All Nations,ECHUCA
Daylesford,ECHUCA
Ballarat,ECHUCA
Oddfellows,ECHUCA
Murray Bridge,ECHUCA
Union Club,ECHUCA
European,ECHUCA
Rodney,ECHUCA
Pastoral,ECHUCA
Belvidere,ECHUCA
Clarence,ECHUCA
Southern Cross Hotel Cash Store & Post Office,ECHUCA
West End,ECHUCA
Federal Club,ECHUCA
Royal,ECHUCA
Federal,ECHUCA
Globe & Crossenvale,ECHUCA
Echuca North,ECHUCA
Travellers Rest,ECHUCA
Lake Wallace,EDENHOPE
Edenhope Inn,EDENHOPE
Edgecombe Hotel & Store,EDGECOMBE
Railway,EUROA
Euroa Inn,EUROA
Pilgrim Inn,EUROA
Royal Oak,EUROA
Pilgrim,EUROA
Farmers Arms,EUROA
North Eastern,EUROA
Bay View,FRANKSTON
Frankston,FRANKSTON
Ritchies,FRANKSTON
Pier,FRANKSTON
Prince of Wales,FRANKSTON
Greenwoods Fam,GEELONG
Red Light,GEELONG
Macks,GEELONG
Retreat Inn,GEELONG
Woolpack Inn,GEELONG
Commercial,GEELONG
Corio,GEELONG
Heart of Midlothian,GEELONG
Ashby,GEELONG
Caledonian,GEELONG
Thistle Inn,GEELONG
Eureka,GEELONG
Shearers Arms,GEELONG
Wheatsheaf,GEELONG
Barwon Inn,GEELONG
Farmers,GEELONG
Victoria,GEELONG
Royal Exchange,GEELONG
Thistle,GEELONG
Shamrock Inn,GEELONG
Woolpack,GEELONG
Fitzroy Arms,GEELONG
Dan OConnell,GEELONG
Daniel OConnell,GEELONG
Harp of Erin,GEELONG
Joiners Arms,GEELONG
Rock of Cashel,GEELONG
Shamrock,GEELONG
Royal,GEELONG
Scotts,GEELONG
Black Bull,GEELONG
Hibernia,GEELONG
Punt (Barwon),GEELONG
Red Lion,GEELONG
Scottish Chief,GEELONG
Ship Inn,GEELONG
Sir William Wallace,GEELONG
Albion,GEELONG
Australian Inn,GEELONG
Britannia,GEELONG
Builders Arms,GEELONG
Kildare,GEELONG
Lord Nelson,GEELONG
Petrel,GEELONG
Prince Albert,GEELONG
Prince of Wales,GEELONG
Royal Oak,GEELONG
Brian Boru,GEELONG
Bridge Inn,GEELONG
Bunyip,GEELONG
Golden Fleece,GEELONG
Harp,GEELONG
Nelsons Victory,GEELONG
Rising Sun,GEELONG
Sawyers Arms,GEELONG
Sportsmans Arms,GEELONG
Steam Packet,GEELONG
Union,GEELONG
Young Queen,GEELONG
Moorabool Inn,GEELONG
Union Inn,GEELONG
Ocean Child,GEELONG
Royal Mail,GEELONG
Queenss Head,GEELONG
Scottish Chiefs Inn,GEELONG
Bush Inn,GEELONG
Clare,GEELONG
Freemasons,GEELONG
London,GEELONG
Queens Head,GEELONG
Racecourse,GEELONG
Stag & Hounds,GEELONG
OFarrells Sale Yards,GEELONG
Belle Vue,GEELONG
British,GEELONG
Court House,GEELONG
Cremorne,GEELONG
Cricket Club,GEELONG
Crown,GEELONG
C- - - - - -N Castle,GEELONG
Duke of Wellington,GEELONG
Globe Inn,GEELONG
Imperial,GEELONG
Oxford Arms,GEELONG
Prestons,GEELONG
Railway,GEELONG
Steam Coach,GEELONG
St George,GEELONG
Windsor Castle,GEELONG
Black Swan,GEELONG
Bellport,GEELONG
City of Norwich,GEELONG
Edinburgh Castle,GEELONG
Gamekeepers,GEELONG
Geelong,GEELONG
Glenmore,GEELONG
Gold Diggers Arms,GEELONG
Great Western,GEELONG
Great Isle,GEELONG
Gundrys,GEELONG
Latrobe,GEELONG
Nugget,GEELONG
Oddfellows,GEELONG
Olive Branch,GEELONG
Plough Inn,GEELONG
Prince Arthur Inn,GEELONG
Rosemary Branch,GEELONG
Shakespeare,GEELONG
Shirley Inn,GEELONG
Sir Charles Hotham,GEELONG
Telegraph,GEELONG
Terminus,GEELONG
Western,GEELONG
Royal Highlander,GEELONG
Duke of York,GEELONG
Geelong & Ballarat,GEELONG
Golden Age,GEELONG
Governor Hotham,GEELONG
Haymarket,GEELONG
Queen of the South,GEELONG
Travellers Rest,GEELONG
Watchmakers Arms,GEELONG
Commun Na Feinne,GEELONG
Derby Arms,GEELONG
Newtown,GEELONG
Portarlington,GEELONG
Roebuck,GEELONG
Royal Charter,GEELONG
Star,GEELONG
Waggon & Horses,GEELONG
Argyle,GEELONG
Barwon Bridge,GEELONG
Botanical Gardens,GEELONG
Carlow,GEELONG
Carriers Arms,GEELONG
Doughenys,GEELONG
George & Dragon,GEELONG
Good Woman,GEELONG
Hotel de Ville,GEELONG
Limerick Arms,GEELONG
Manchester Arms,GEELONG
National,GEELONG
Newmarket,GEELONG
Clyde,GEELONG
St Georges,GEELONG
Red Lion Inn,GEELONG
Australian,GEELONG
Macs,GEELONG
Phoenix,GEELONG
Bawon Club,GEELONG
Grange Family,HAMILTON
Victoria,HAMILTON
Hamilton Inn,HAMILTON
Prince of Wales,HAMILTON
Commercial,HAMILTON
Hamilton,HAMILTON
Racecourse,HAMILTON
Criterion,HAMILTON
Argyle Arms,HAMILTON
Railway,HAMILTON
Town Hall,HAMILTON
Caledonian,HAMILTON
Grand Central,HAMILTON
Crown,HORSHAM
Exchange,HORSHAM
Club,HORSHAM
Horsham,HORSHAM
Moores,HORSHAM
Welcome,HORSHAM
Wimmera,HORSHAM
Commercial,HORSHAM
National,HORSHAM
Wimmera Farmers Union,HORSHAM
Farmers Arms,HORSHAM
Royal,HORSHAM
Criterion,HORSHAM
Green Park,HORSHAM
Albion,HORSHAM
Victoria,HORSHAM
White Hart,HORSHAM
Bull & Mouth,HORSHAM
Railway,HORSHAM
Locarno,HORSHAM
Royal,KERANG
Kerang,KERANG
Loddon,KERANG
Bridge,KERANG
Commercial,KERANG
Shire Hall,KERANG
Gilbert Club,KERANG
Exchange,KERANG
Court House,KYNETON
Commercial,KYNETON
Royal,KYNETON
Harp of Erin,KYNETON
Shamrock,KYNETON
View Point,KYNETON
Railway,KYNETON
Newsmarket,KYNETON
Clare Castle,KYNETON
Albion,KYNETON
Crown,KYNETON
Junction,KYNETON
Criterion,KYNETON
Royal George,KYNETON
Robert Burns,KYNETON
Gold Diggers Arms,KYNETON
Royal Oak,KYNETON
Kyneton,KYNETON
Great Western,KYNETON
St Agnes,KYNETON
Mechanics Arms,KYNETON
Belliss Family,KYNETON
Emdens Junction,KYNETON
Terminus,KYNETON
College,KYNETON
Alexanders,KYNETON
Freemasons,KYNETON
Queens Head,KYNETON
Oak,KYNETON
Victorian,KYNETON
Weighbridge,KYNETON
Prince Patrick,KYNETON
Alexanders Family,KYNETON
Farmers Arms,KYNETON
Harvest Home,KYNETON
Volunteer,KYNETON
Wedgewoods,KYNETON
Railway Station,KYNETON
Town Hall,KYNETON
Shire Arms,KYNETON
Club,KYNETON
Langley,KYNETON
Ashleys Family,KYNETON
Commercial,LEONGATHA
Otago,LEONGATHA
Lilydale Hotel & Store,LILYDALE
Commercial Hotel & Store,LILYDALE
Crown,LILYDALE
Hope,LILYDALE
Lithgows Lilydale,LILYDALE
Black Springs,LILYDALE
Olinda,LILYDALE
Exchange,MANSFIELD
Delatite,MANSFIELD
Royal,MANSFIELD
Mansfield,MANSFIELD
Commercial,MANSFIELD
Conlans Delatite,MANSFIELD
McIvor,MARYBOROUGH
Golden Age,MARYBOROUGH
Gold Diggers Arms,MARYBOROUGH
National,MARYBOROUGH
Bull & Mouth,MARYBOROUGH
Bristol Hill,MARYBOROUGH
Commercial,MARYBOROUGH
Freemasons Tavern,MARYBOROUGH
Bristol Arms,MARYBOROUGH
Camp,MARYBOROUGH
Freemasons,MARYBOROUGH
Maryborough,MARYBOROUGH
Nth British,MARYBOROUGH
Supreme Court,MARYBOROUGH
Talbot,MARYBOROUGH
Telegraph,MARYBOROUGH
Two Brewers,MARYBOROUGH
Union,MARYBOROUGH
Cambrian,MARYBOROUGH
Albion,MARYBOROUGH
Railway,MARYBOROUGH
Park,MARYBOROUGH
Flagstaff Reef,MARYBOROUGH
Flagstaff,MARYBOROUGH
Leviathan,MARYBOROUGH
Albion,MELBOURNE
Raglan,MELTON
Royal,MELTON
Golden Fleece,MELTON
Minns,MELTON
Miners,MELTON
Rose & Crown,MELTON
Commercial,MILDURA
Grand,MILDURA
Wintersun,MILDURA
Farmers Arms,NHILL
Union,NHILL
Commercial,NHILL
Royal,NHILL
New Treasury,NHILL
Tattersalls,NHILL
Latrobe Inn,PAKENHAM
Pakenham,PAKENHAM
Bourkes,PAKENHAM
Gippsland,PAKENHAM
Gembrook Pakenham,PAKENHAM
Stag,PORT FAIRY
Rising Sun,PORT FAIRY
Merrijig Inn,PORT FAIRY
Royal Merrijig Inn,PORT FAIRY
Belfast Inn,PORT FAIRY
Farmers,PORT FAIRY
Commercial,PORT FAIRY
Caledonian,PORT FAIRY
Belfast,PORT FAIRY
Union,PORT FAIRY
Star of the West,PORT FAIRY
Bank,PORT FAIRY
Farmers Inn,PORT FAIRY
New Inn,PORT FAIRY
Market,PORT FAIRY
Victoria,PORT FAIRY
White Hart,PORT FAIRY
Tennysons,PORT FAIRY
Macs,PORTLAND
London,PORTLAND
McKenzies Family,PORTLAND
Golden Fleece,PORTLAND
Portland Bay,PORTLAND
Commercial,PORTLAND
Portland Inn,PORTLAND
Steam Packet Inn,PORTLAND
Union Inn,PORTLAND
Britannia,PORTLAND
Halfway House,PORTLAND
Lamb Inn,PORTLAND
Richmond Family,PORTLAND
Tasmanian Inn,PORTLAND
Builders Arms,PORTLAND
Steam Packet,PORTLAND
Star,PORTLAND
Tasmanian,PORTLAND
Caledonian Inn,PORTLAND
Royal,PORTLAND
Lotts Family,PORTLAND
Union,PORTLAND
Lamb,PORTLAND
Victoria,PORTLAND
Forest Inn,PORTLAND
Club,PORTLAND
Commercial Inn,PORTLAND
Wheatsheaf,PORTLAND
Gordon,PORTLAND
Portland,PORTLAND
Palace,QUEENSCLIFF
Halfway House,QUEENSCLIFF
Commercial,QUEENSCLIFF
Royal,QUEENSCLIFF
Swan Hill House,QUEENSCLIFF
Barkly Arms,QUEENSCLIFF
Australian,QUEENSCLIFF
Family,QUEENSCLIFF
Australasian,QUEENSCLIFF
Victoria,QUEENSCLIFF
Esplanade,QUEENSCLIFF
Barkly,QUEENSCLIFF
Ozone,QUEENSCLIFF
Grand,QUEENSCLIFF
Queenscliff,QUEENSCLIFF
Bendigo,QUEENSCLIFF
Criterion,SALE
Shamrock,SALE
Woolpack,SALE
Royal Exchange,SALE
Star,SALE
Woolpack Inn,SALE
Club,SALE
Albion,SALE
Turf,SALE
Royal,SALE
Adelphi,SALE
Sale,SALE
Prince of Wales,SALE
Railway,SALE
Royal Oak,SALE
Market,SALE
Crown,SALE
La Trobe,SALE
Ballarat,SALE
Victoria,SALE
Swan,SALE
Terminus,SHEPPARTON
Emu Punt Inn,SHEPPARTON
Shepparton,SHEPPARTON
Prince of Wales,SHEPPARTON
Royal Mail,SHEPPARTON
Prince of Wales Hotel Store & Punt,SHEPPARTON
Criterion,SHEPPARTON
Court House,SHEPPARTON
Royal,SHEPPARTON
Farmers Arms,SHEPPARTON
Commercial,SHEPPARTON
Victoria,SHEPPARTON
Coghlans,SHEPPARTON
Union,SHEPPARTON
Goulburn Valley,SHEPPARTON
Union-Australia,SHEPPARTON
Commercial,STAWELL
Quartz Miners,STAWELL
Reefs,STAWELL
Machine,STAWELL
Western Turf,STAWELL
Camp,STAWELL
New Constitution,STAWELL
Shamrock,STAWELL
Constitution,STAWELL
Bull & Mouth,STAWELL
Burnsides,STAWELL
Hibernia,STAWELL
Castlemaine,STAWELL
Star,STAWELL
Cross Reefs,STAWELL
Albion,STAWELL
Royal Exchange,STAWELL
Belle Vue,STAWELL
Bridge,STAWELL
Cosmopolitan,STAWELL
Crown,STAWELL
European,STAWELL
Crown & Anchor,STAWELL
Magdala,STAWELL
Market,STAWELL
Miners Rest,STAWELL
National,STAWELL
Oriental,STAWELL
Post Office,STAWELL
Pleasant Creek,STAWELL
Provincial,STAWELL
Railway,STAWELL
Railway Terminus,STAWELL
Royal,STAWELL
Foresters,STAWELL
Court House,STAWELL
Tyrone,STAWELL
Town Hall,STAWELL
Bricklayers Arms,STAWELL
St George,STAWELL
Caledonian,STAWELL
Royal Oak,STAWELL
Swan,STAWELL
Golden Age,STAWELL
Unicorn,STAWELL
Club,STAWELL
Prince Patrick,STAWELL
Telegraph,STAWELL
Miners Welcome,STAWELL
Fire Brigade,STAWELL
Terminus,STAWELL
Bicycle Club,STAWELL
County Court,STAWELL
Commonwealth,STAWELL
Half-way House,STAWELL
Shamrock,SWAN HILL
Royal,SWAN HILL
White Swan,SWAN HILL
Federal,SWAN HILL
Tallangatta,TALLANGATTA
Victoria,TALLANGATTA
Crystal Springs,TALLANGATTA
Pioneer Palace,TORQUAY
Royal,WANGARATTA
Royal Victoria,WANGARATTA
Council Club Hotel & St Georges Hall,WANGARATTA
Hope Inn,WANGARATTA
Australian,WANGARATTA
Salutatiion,WANGARATTA
Meldrums,WANGARATTA
Commercial,WANGARATTA
Sydney,WANGARATTA
Salutation,WANGARATTA
Wangaratta,WANGARATTA
Royal Hotel & Theatre,WANGARATTA
Council Club,WANGARATTA
Horse & Jockey,WANGARATTA
Bulls Head,WANGARATTA
Black Eagle,WANGARATTA
Albion,WANGARATTA
Australasia,WANGARATTA
Bull & Mouth,WANGARATTA
Harp of Erin,WANGARATTA
Clare,WANGARATTA
Railway,WANGARATTA
Criterion,WANGARATTA
North Eastern,WANGARATTA
Royal Oak,WANGARATTA
Travellers Rest,WANGARATTA
Pinsent,WANGARATTA
Pincent,WANGARATTA
Hotel & Store,WARRACKNABEAL
Palace,WARRACKNABEAL
Warracknabeal,WARRACKNABEAL
Farmers Union,WARRACKNABEAL
Railway,WARRACKNABEAL
Royal,WARRACKNABEAL
Club,WARRACKNABEAL
Commercial,WARRACKNABEAL
Macs Royal,WARRACKNABEAL
Crown,WARRAGUL
Royal,WARRAGUL
Commercial,WARRAGUL
Orient,WARRAGUL
Club,WARRAGUL
Railway,WARRAGUL
Farmers Rest,WARRNAMBOOL
Warrnambool,WARRNAMBOOL
Victoria,WARRNAMBOOL
Western,WARRNAMBOOL
Commercial,WARRNAMBOOL
OMealleys,WARRNAMBOOL
Railway,WARRNAMBOOL
Bryen Boiroimre,WARRNAMBOOL
Royal,WARRNAMBOOL
Hopkins River,WARRNAMBOOL
Rising Sun,WARRNAMBOOL
Caledonian,WARRNAMBOOL
Royal Exchange,WARRNAMBOOL
Royal Archer,WARRNAMBOOL
Dobsons,WARRNAMBOOL
Family,WARRNAMBOOL
Duchess of Kent,WARRNAMBOOL
Chisholms,WARRNAMBOOL
Flying Buck,WARRNAMBOOL
Hopkins Ferry,WARRNAMBOOL
Royal Temperance,WARRNAMBOOL
Princess Alexandra,WARRNAMBOOL
Calendonia,WARRNAMBOOL
Hibernian,WARRNAMBOOL
Prince of Wales,WARRNAMBOOL
Marine,WARRNAMBOOL
Foresters Arms,WARRNAMBOOL
Terminus,WARRNAMBOOL
Criterion,WARRNAMBOOL
Anglers,WARRNAMBOOL
Turf Club,WARRNAMBOOL
Union,WARRNAMBOOL
Brian Boru,WARRNAMBOOL
Olive Branch,WARRNAMBOOL
Princess Royal,WARRNAMBOOL
Taylors Family,WARRNAMBOOL
Otway,WARRNAMBOOL
National,WARRNAMBOOL
Victoria Market,WARRNAMBOOL
Bay View,WARRNAMBOOL
Tattersalls,WARRNAMBOOL
Hennessys,WARRNAMBOOL
Ozone,WARRNAMBOOL
Pietor Both,WARRNAMBOOL
Half-Way House,WARRNAMBOOL
Market,WARRNAMBOOL
Eckers,WARRNAMBOOL
Grand Central,WARRNAMBOOL
Macs,WARRNAMBOOL
Farmers,WARRNAMBOOL
Royal,WEDDERBURN
San Francisco,WEDDERBURN
Wedderburn,WEDDERBURN
Simpsons,WEDDERBURN
Victoria,WEDDERBURN
Commercial,WEDDERBURN
Golden Fleece,WEDDERBURN
Armstrongs,WERRIBEE
Bridge Inn,WERRIBEE
Camp,WERRIBEE
Anglers,WERRIBEE
Racecourse,WERRIBEE
Club,WERRIBEE
Bridge,WERRIBEE
Commercial,WERRIBEE
Walls,WERRIBEE
Dalhousie,WODONGA
Springfield,WODONGA
Railway,WODONGA
Sydney,WODONGA
Woodend,WODONGA
London & Liverpool,WODONGA
Highland Chief,WODONGA
Victoria,WODONGA
Wodonga,WODONGA
Border,WODONGA
Carriers Arms,WODONGA
Imperial Hotel & Wodonga Store,WODONGA
Junction,WODONGA
Terminus,WODONGA
Commercial,WODONGA
Half-way House,WODONGA
Powlett Hostel,WONTHAGGI
Powlet,WONTHAGGI
State Mine,WONTHAGGI
Wonthaggi,WONTHAGGI
Royal Mine,WYCHEPROOF
Terminus,WYCHEPROOF
Mt Wycheproof,WYCHEPROOF
Post Office Club,WYCHEPROOF
Royal Mail,WYCHEPROOF
Royal,WYCHEPROOF
