historical_hotel,City
Robinsons 2nd Hd Shop,BALLARAT
London Tavern,BALLARAT
Belgium Café,BALLARAT
Commonwealth,BALLARAT
Sam Wah,BALLARAT
Roff (Tailor),BALLARAT
Yarrowee,BALLARAT
Sulieman Palace Mine,BALLARAT
Scandinavian,BALLARAT
Court House,BALLARAT
Council Chambers,BALLARAT
Ball Court,BALLARAT
Gem,BALLARAT
Hermits Cave,BALLARAT
Chinese Camp,BALLARAT
Barley Sheaf,BALLARAT
Tram Terminus,BALLARAT
Half Moon,BALLARAT
Seven Stars,BALLARAT
Hola,BALLARAT
Wrights Store,BALLARAT
Hit or Miss,BALLARAT
Brian Boru,BALLARAT
Brewery Tap,BALLARAT
London,BALLARAT
Shannon View,BALLARAT
Falcon Inn,BALLARAT
7th Day Church,BALLARAT
ANA Rooms,BALLARAT
Coates,BALLARAT
Rose of Denmark,BALLARAT
Champions Garden,BALLARAT
Springdallah,BALLARAT
Try Again,BALLARAT
Lusitana,BALLARAT
Club,BALLARAT
Bensons Royal,BALLARAT
Deans Store,BALLARAT
Royal George,BALLARAT
City,BALLARAT
Brewery Yard,BALLARAT
Chidlows,BALLARAT
Craigs Royal,BALLARAT
Dents,BALLARAT
Trots,BALLARAT
Palace,BALLARAT
Trustees Company,BALLARAT
Royal Exchange,BALLARAT
Locomotive Inn,BALLARAT
Panthers Store,BALLARAT
Beaufort House,BALLARAT
Princess Royal,BALLARAT
Kent,BALLARAT
City Oval,BALLARAT
Glen,BALLARAT
Retreat,BALLARAT
Black Hill ProgressHall,BALLARAT
Military Arms,BALLARAT
Dunmow Flitch,BALLARAT
Australian,BALLARAT
Sir Garnet Wolseley,BALLARAT
Revival,BALLARAT
Corn Exchange,BALLARAT
Sinclairs Hill,BALLARAT
Prince Charlie,BALLARAT
Band of Hope Mine,BALLARAT
Whites Florist,BALLARAT
Lesters,BALLARAT
Thompsons,BALLARAT
Judds,BALLARAT
Central,BALLARAT
Temple Pomona Café,BALLARAT
Daveys Furrier Shop,BALLARAT
Delveens,BALLARAT
Ellis Motor Garage,BALLARAT
Coomora,BALLARAT
Red House Bakery,BALLARAT
Yorkshire Arms,BALLARAT
State Elec Comm of Vic,BALLARAT
Camerons Family & Commercial,BALLARAT
Friends,BALLARAT
Hunts,BALLARAT
Fussells,BALLARAT
Ferns,BALLARAT
Phillips,BALLARAT
Carlyons,BALLARAT
Corner,BALLARAT
Ewins,BALLARAT
Patersons Drapery Store,BALLARAT
Owens Sports Depot,BALLARAT
Halleys,BALLARAT
Jacks,BALLARAT
Brophys,BALLARAT
Newtons,BALLARAT
Taylors,BALLARAT
Sturt,BALLARAT
Golden City,BALLARAT
Fire Brigade,BALLARAT
City Brigade,BALLARAT
Brays Groc,BALLARAT
Windemere,BALLARAT
Sussex,BALLARAT
Morgan Lees,BALLARAT
Olive Branch,BALLARAT
Carbine,BALLARAT
Halls Btmkr,BALLARAT
Nicholsons Wd Yd,BALLARAT
Arrah-No-Pogue,BALLARAT
St Patricks College,BALLARAT
Inkerman & Durham,BALLARAT
Steeles,BALLARAT
McKenzie Grocer,BALLARAT
Backs,BALLARAT
Park,BALLARAT
Duke of Wellington,BALLARAT
Malakoff,BALLARAT
Nugget,BALLARAT
Caranvon,BALLARAT
Cambrian,BALLARAT
Black Bull,BALLARAT
Reform Club,BALLARAT
Earl of Zetland,BALLARAT
Havilah,BALLARAT
Erin Go Bragh,BALLARAT
Dunstans Grocers,BALLARAT
Hand of Friendship,BALLARAT
Leicester Arms,BALLARAT
Mark Rosenthal Pawn Shop,BALLARAT
Klines Bakery,BALLARAT
Major,BALLARAT
Victoria United,BALLARAT
St Johns Presbyterian Church,BALLARAT
Meaghers,BALLARAT
Orphanage,BALLARAT
Melbourne,BALLARAT
Sieferths,BALLARAT
Blucher,BALLARAT
Tontine,BALLARAT
Windsor,BALLARAT
Winsor Arms,BALLARAT
Red Hill,BALLARAT
Northern Junction,BALLARAT
Parkers,BALLARAT
Monastery,BALLARAT
Elephant,BALLARAT
White Flag,BALLARAT
Lord Clyde,BALLARAT
Coach & Horses,BALLARAT
Haigs,BALLARAT
Donegal Arms,BALLARAT
Hamburger,BALLARAT
Club House,BALLARAT
Halls Boot Shop,BALLARAT
Lake View,BALLARAT
Friend,BALLARAT
Rifle Ranges,BALLARAT
Marretts,BALLARAT
Royal Highlander,BALLARAT
Ballarat Hunt Club,BALLARAT
New Cemetery,BALLARAT
Cricket Ground Club,BALLARAT
Enterprise,BALLARAT
Duke of Edinburgh,BALLARAT
Cardiff,BALLARAT
Adelphi,BALLARAT
Albion,BALLARAT
Alfred,BALLARAT
Belfast,BALLARAT
Nags Head,BALLARAT
Belle Vue,BALLARAT
Bricklayers Arms,BALLARAT
Burra Burra,BALLARAT
Canarvon,BALLARAT
Cornubian,BALLARAT
Cemetery,BALLARAT
Eastern Railway,BALLARAT
Eastern Station,BALLARAT
Grapes,BALLARAT
North Grant,BALLARAT
Old Kayser,BALLARAT
Australia Felix,BALLARAT
Argyle,BALLARAT
Australian Arms,BALLARAT
Brewery,BALLARAT
British North American,BALLARAT
British Queen,BALLARAT
Brown Hill,BALLARAT
Bucks Head,BALLARAT
Bull & Mouth,BALLARAT
Bunch of Grapes,BALLARAT
Caledonian,BALLARAT
Camerons Post Office Hill,BALLARAT
City of York,BALLARAT
Cosmopolitan,BALLARAT
Devon & Cornwall,BALLARAT
Exchange,BALLARAT
Federal,BALLARAT
Globe,BALLARAT
Grand,BALLARAT
Grand Stand,BALLARAT
Horse Bazaar,BALLARAT
Lade of the Lake,BALLARAT
Macks,BALLARAT
Mallow,BALLARAT
Miners Support,BALLARAT
Munster Arms,BALLARAT
New Eglinton,BALLARAT
Plough & Harrow,BALLARAT
Provincial,BALLARAT
Queens Head,BALLARAT
Robin Hood,BALLARAT
Royal Don,BALLARAT
Sir Wm Don,BALLARAT
Sovereign,BALLARAT
Surrey,BALLARAT
Tam OShanter,BALLARAT
Victoria,BALLARAT
Warrior,BALLARAT
Western Ocean,BALLARAT
Wheatsheaf,BALLARAT
North Grenville,BALLARAT
Scottish,BALLARAT
Trial,BALLARAT
Toll Gate,BALLARAT
Farmers,BALLARAT
Baths,BALLARAT
Ballaguay,BALLARAT
Balligney,BALLARAT
Troopers Arms,BALLARAT
Crow,BALLARAT
Baths Ballarat,BALLARAT
Arcade,BALLARAT
Turf Inn,BALLARAT
Continential,BALLARAT
Stockade,BALLARAT
New Eureka,BALLARAT
Alhambra,BALLARAT
Coliseum,BALLARAT
Sir Charles Hotham,BALLARAT
Clarendon,BALLARAT
Old Swan,BALLARAT
Ebenezer Manse,BALLARAT
Clare,BALLARAT
Tannery,BALLARAT
Village Inn,BALLARAT
Swan,BALLARAT
Boomerang,BALLARAT
Ryans,BALLARAT
Tasmanian,BALLARAT
Boulters British Stores,BALLARAT
City of London,BALLARAT
Bruns,BALLARAT
Royal,BALLARAT
Edinburgh House,BALLARAT
Glasgow Arms,BALLARAT
Royal Charlotte,BALLARAT
Royal Charter,BALLARAT
Blue Jacket,BALLARAT
Sportsmans Arms,BALLARAT
Fasserts,BALLARAT
