accommodation_name,accommodation_address,accommodation_rating,City
Phyl & May's Luxury Accommodation Ballarat,"412 Lydiard St N, Soldiers Hill VIC 3350, Australia",5.0,BALLARAT
Webster Apartment,"21 Webster St, Ballarat Central VIC 3350, Australia",4.7,BALLARAT
Eyre House,"1130 Eyre St, Newington VIC 3350, Australia",4.3,BALLARAT
Cardigan Lodge Motel,"741 Remembrance Dr, Cardigan Village VIC 3352, Australia",3.5,BALLARAT
Calbung Stays,"315 Windermere St, Ballarat Central VIC 3350, Australia",5.0,BALLARAT
Eastern Station Guest House,"79 Humffray St N, Ballarat East VIC 3350, Australia",1.8,BALLARAT
City Square Motel,"67 Swanston St, Melbourne VIC 3000, Australia",3.8,GREENSBOROUGH
City Lifestyle Accommodtion,"707/270 King St, Melbourne VIC 3000, Australia",3.5,GREENSBOROUGH
Wonthaggi Motel,"40-44 McKenzie St, Wonthaggi VIC 3995, Australia",4.3,WONTHAGGI
Wonthaggi Hotel,"2 McBride Ave, Wonthaggi VIC 3995, Australia",4.3,WONTHAGGI
Kilcunda Ocean View Motel,"3529 Bass Hwy, Kilcunda VIC 3995, Australia",3.9,WONTHAGGI
Wonthaggi Park Lane Holiday Park,"245 Graham St, Wonthaggi VIC 3995, Australia",4.3,WONTHAGGI
State Mines Hotel B&B,"46-48 Station St, Wonthaggi VIC 3995, Australia",4.8,WONTHAGGI
Motel on A'Beckett,"24 Abeckett St, Inverloch VIC 3996, Australia",4.8,WONTHAGGI
Kilcunda Ocean View Hotel,"3531-3533 Bass Hwy, Kilcunda VIC 3995, Australia",4.2,WONTHAGGI
Inverloch Motel,"39 Powlett St, Inverloch VIC 3996, Australia",4.3,WONTHAGGI
Archies Creek Hotel,"89-91 Archies Creek Rd, Archies Creek VIC 3995, Australia",4.4,WONTHAGGI
San Remo Hotel Motel,"145 Marine Parade, San Remo VIC 3925, Australia",4.3,WONTHAGGI
Inverloch Central Motor Inn,"32-34 Abeckett St, Inverloch VIC 3996, Australia",4.4,WONTHAGGI
George Bass Hotel,"5 Hade Ave, Bass VIC 3991, Australia",4.3,WONTHAGGI
RACV Inverloch Resort,"70 Cape Paterson-Inverloch Rd, Inverloch VIC 3996, Australia",4.5,WONTHAGGI
