,Hotel_name,City,Hotel_price,Hotel_rating
82,Clayton One Bedroom Stylish Apartment FREE PARKING WIFI & FOXTEL,MELBOURNE,183,4.2
83,Cute cosy Gypsy Caravan with outdoor bath and firepit,WARBURTON,60,1.3
84,Modern St Kilda East 1 Bedroom Apartment - Free parking,MELBOURNE,206,5.0
85,Spacious Light Filled Apartment with City Views,MELBOURNE,162,4.1
86,Ocean Views  Top Location  Parking  Restaurants,MELBOURNE,461,5.0
87,Clean Modern Apartment 15 Mins From City on Tram,MELBOURNE,191,3.8
88,Walk to cafe wifi fenced court yard off street parking linen supplied,MELBOURNE,330,5.0
89,10A Brunswick Living Brand New Studio Unit- ground floor close to Airport & CBD,MELBOURNE,72,3.8
90,South Yarra 1 BDR Apt near ChapelSt shops and Cafe,MELBOURNE,230,4.4
91,In the heart of Melbourne City,MELBOURNE,193,3.8
92,U101 Brand new balcony apartment close to Airport & CBD,MELBOURNE,117,4.3
93,Oliver Lane - Boutique Accommodation - CBD,MELBOURNE,169,5.0
94,Elan Cottage with large corner spa,MELBOURNE,146,2.6
95,Art Deco Inspired 2 bedroom House with off street Parking,MELBOURNE,216,4.8
96,Lochiel Original Cottage (10 Persons Max),MELBOURNE,390,4.3
97,Apartment,MELBOURNE,175,4.3
98,Apartment 60m,MELBOURNE,220,4.5
99,Dylene Caravan Park - Family Cabin - No AirCon BYO Linen,PORTARLINGTON,215,4.2
100,Whitehorse Apartments Hotel,MELBOURNE,170,3.9
101,StayCentral Merigold on Collins,MELBOURNE,183,5.0
102,THE WHITE ROOM Fitzroy,MELBOURNE,243,4.8
103,CBD Collins St 2 bed near Southern Cross with Gym Pool & Spa,MELBOURNE,176,3.8
104,Stunning Studio Apt in Seddon,MELBOURNE,135,5.0
105,2 BR Modern Melbourne CBD Apartment,MELBOURNE,163,3.8
106,Stunning 2 bdrms  APT@ParkvilleFree carpark+wifi,MELBOURNE,189,4.4
107,Owen  'Owen' Soaring City Views | Central Location,MELBOURNE,436,5.0
108,Pure Beachfront Bliss,MELBOURNE,195,3.0
109,Musical Village Retreat : Paris Love Nest For Two,SHIRE OF BAW BAW,122,5.0
110,Lynwood Rural Retreat with beautiful gardens & farm animals,MELBOURNE,294,4.7
111,Richmond Warehouse Wonder,MELBOURNE,200,4.7
112,Yarra River Views & City Lights - Free Wifi & Netflix,MELBOURNE,164,5.0
113,luxury & comfort and safety: close to all with secure car park Bundoora,MELBOURNE,156,5.0
114,City Heights and Views,MELBOURNE,299,4.0
115,Annie's Escape in Warburton,WARBURTON,237,4.7
116,"""Vista"" - Pearl Apartments St Kilda",MELBOURNE,157,5.0
117,The Caulfield,MELBOURNE,209,4.4
118,Take a step back in time,SHIRE OF MACEDON RANGES,130,4.3
119,Brumby Townhouse Dinner Plain,DINNER PLAIN,162,5.0
120,Absolute Lakeside Self-Contained Luxury Apartment,DAYLESFORD,364,4.3
121,Circa Red London Daylesford   TOWN CENTRE,DAYLESFORD,257,4.5
122,Clean + Bright Apartment in the Heart of the City,MELBOURNE,184,3.8
123,Madam Saddler A Gorgeous Accommodation In Clunes.,HEPBURN SHIRE,287,5.0
124,LuxuryBrandNew3Bedroom:HotTubPoolBarWiFi&CarPark,MELBOURNE,306,4.4
125,Newport Leadlight Haven,MELBOURNE,154,4.9
126,Scandi Stayz Retreat 1,TAWONGA SOUTH,206,4.4
127,"""ABODE 316"" NEW boutique 2 Bedroom 2 Bathroom",MELBOURNE,424,4.8
128,Family-friendly Apartment in Green Glen Iris,MELBOURNE,184,3.4
129,LITTLE ABODE ON ADENEY FREE WIFI PET FRIENDLY,MELBOURNE,209,5.0
130,ASHLAR @ Manna Gums - Romantic/Fire/Spa Escape - Daylesford,DAYLESFORD,251,4.9
131,ormond stunner-- the heart of southeast melbourne,MELBOURNE,111,3.8
132,Apartments Of Waverley - 1 Bed Apartment Free Wifi & Parking,MELBOURNE,204,5.0
133,Hilltop Tiny House Su,SHIRE OF MITCHELL,127,4.5
134,Shadow Play@Lv36/2BR near Crown with Ocean View,MELBOURNE,318,4.6
135,Quiet haven lively precinct,MELBOURNE,219,4.8
136,Elsinore Ballarat - self contained apartment,BALLARAT,199,4.8
137,Retro mid century home in historic gold-fields township.,MALDON (VICTORIA),167,5.0
138,"""Abbey Road"" - Pearl Apartments",MELBOURNE,139,5.0
139,Rest Haven,SHIRE OF SOUTH GIPPSLAND,160,4.4
140,City View South Yarra Apart*CarPark*Netflix*Wine,MELBOURNE,201,4.8
141,Great Southbank apartment with stunning view,MELBOURNE,161,4.7
142,Ground Floor Apartment with Courtyard WiFi and Off Street Parking,MELBOURNE,113,5.0
143,Richmond Apartment with Parking - Walk to MCG,MELBOURNE,133,4.4
144,One bedroom unit in Camberwell. Off street parking.,MELBOURNE,185,4.8
145,The Nook Studio Apartment,MELBOURNE,158,5.0
146,Lakeside Villas Nagambie,NAGAMBIE,296,2.6
147,ouble Room with Private Bathroom and Kitchenette near Murray River,SHIRE OF MOIRA,83,3.8
148,villa 2 fully self contained,GOLDEN BEACH (VICTORIA),177,4.5
149,Brand New Luxury Studio Apartment on Gregory Street,BALLARAT,125,4.8
150,Stylish Southbank Apartment,MELBOURNE,206,5.0
151,Comfortable clean and charming St Kilda studio with Wifi and bikes,MELBOURNE,132,3.8
152,Lavender Suite at Sage Cottage The Oaks Lilydale,MELBOURNE,191,5.0
153,Perfectly located in the heart of the Melbourne CBD,MELBOURNE,240,5.0
154,Shocko 1 - Boutique Accommodation - CBD,MELBOURNE,226,5.0
155,Ultra-Modern Luxury With Views At Kai Waterfront,MELBOURNE,188,3.2
156,Stone's Throw Cottage B&B Belgrave,MELBOURNE,219,4.8
157,BOUTIQUE STAYS  The Residence,MELBOURNE,570,5.0
158,DeeeLuxe - soo.. sophisticated,MELBOURNE,193,3.5
159,Deluxe Modern New Apartment@Melbourne New Landmark,MELBOURNE,279,5.0
160,"""Claremont"" - Pearl Apartments",MELBOURNE,139,4.8
161,City Edge Apartment Spacious Terrace Views to Melbourne City,MELBOURNE,213,5.0
162,Studio apartment in desirable tree lined locale. Walk to Hospital & town,BENDIGO,117,4.9
163,Artistic Apartment in Sunny Elwood near St Kilda,MELBOURNE,211,3.8
164,Mt Buller Prime Location Ski in Ski Out,MT BULLER,535,4.8
165,A Serene & Cozy CBD Suite near Southern Cross,MELBOURNE,579,5.0
166,One bedroom in Neo with city balcony!,MELBOURNE,138,5.0
167,The Barkly on the fringe of Melbourne,MELBOURNE,202,4.8
168,Geilo Snow Holiday Unit,FALLS CREEK,330,4.9
169,Homely Albert Park Suite Next to Grand Prix Circuit,MELBOURNE,406,5.0
170,By George! Super cool  St Kilda loft,MELBOURNE,168,5.0
171,Stylish & Sunny with house like proportions,MELBOURNE,183,5.0
172,Peel Cottage Bed & Breakfast,BALLARAT,165,5.0
173,Daysend Cottages - Merrijig,MERRIJIG,378,5.0
174,A Modern & Cozy Suite with Beautiful City Views,MELBOURNE,587,3.9
175,Melbourne short stay- Burwood Deakin Uni-Burwood,MELBOURNE,61,2.9
176,Central Clean and Convenient Unlimited WiFi,MELBOURNE,55,3.8
177,Modern 2 bed apartment in trendy Collingwood,MELBOURNE,233,3.3
178,Albert Park: close to everything yet quiet and relaxing,MELBOURNE,127,5.0
179,master bedroom with ensuite in frankston walk to cbd updated bathroom & kitchen,FRANKSTON,121,5.0
180,For the discerning traveller who appreciates the best quality and style!,MELBOURNE,267,5.0
181,"Sanctuary  ""Sanctuary"" Resort-Style on the Banks of the Yarra",MELBOURNE,259,5.0
182,Views and hotel-style extras in a great location,MELBOURNE,187,5.0
183,Chestnut Daylesford Centrally Located,DAYLESFORD,328,4.5
184,The Eyrie at elevation652 at Mt Bellevue,RURAL CITY OF WANGARATTA,307,5.0
185,Loft Apartment Bond Quarter,MELBOURNE,233,4.8
186,Apartment 45m,MELBOURNE,153,3.8
187,Quiet and private spacious 1 bedroom in prestigious Hawthorn street,MELBOURNE,114,4.6
188,Frogsong Strawbale Cottage BLUE ID p7318970,GOUGHS BAY,119,3.9
189,Penthouse in Northcote,MELBOURNE,203,3.4
