,Hotel_name,City,Hotel_price,Hotel_rating
366,Smart apartment in elegant suburb close to city,MELBOURNE,230,1.8
367,Dartmouth Mountain Retreat,SHIRE OF TOWONG,132,3.8
368,Apartment 390m,MELBOURNE,231,4.9
369,Quiet & Peaceful 3bed2bath HOME @Keilor Downs,MELBOURNE,249,5.0
370,HUSKI 2: Ideal Family & Friend Accommodation - Mt Buller Village,MT BULLER,498,5.0
371,Numurkah Self Contained Apartments  - The Saxton,SHIRE OF MOIRA,143,5.0
372,Sophisicated Family Oasis in Richmond,MELBOURNE,792,5.0
373,Sun Apartments - Mt Hotham,HOTHAM HEIGHTS,292,4.8
374,LonsdaleStar:New2bed2bath High Floor View+CarPark+PoolGym,MELBOURNE,246,3.1
375,The Cottage at the Colonial,SHIRE OF MOIRA,265,4.4
376,Tiptre - at Blampied,HEPBURN SHIRE,221,4.0
377,Two Bedroom one bath room Standard  Cityview/Free Parking,MELBOURNE,263,4.4
378,"An ideal place to live while renovating. 
Classy 4bed/ 2bth",MELBOURNE,384,5.0
379,Melbourne's Crown Jewel 'The Victoria' - 4 Bedroom Rooftop Penthouse,MELBOURNE,3495,5.0
380,Beaumont Grange House,MELBOURNE,138,3.0
381,Cosy Mount Hotham Retreat,HOTHAM HEIGHTS,231,4.6
382,Shop Til You Drop At Sleek Unit In Hip Area,MELBOURNE,163,1.3
383,Hollywood Haven Mildura,MILDURA VIC,218,3.8
384,For a good time or a long time,BALLARAT,186,4.4
385,Magnolia House: 4BR 2 free car parking spaces & big backyard,MELBOURNE,554,5.0
386,Homely Getaways - Central Mildura,MILDURA VIC,725,3.5
387,Clyvemore - Luxurious boutique accommodation in the heart of the Ballarat.,BALLARAT,206,5.0
388,Whistler 1C 2 Bedrooms 2 Bathrooms,MT BULLER,420,3.8
389,930 Big House OnTheBeach-30 metres Beach/Shops/Pub/Resturants-Leave Car Behind,MELBOURNE,1915,5.0
390,Ballarat BreakAway Short Stays -Beautiful Comfortable Accommadation.,BALLARAT,234,4.9
391,Luxury 4 bedroom Townhouse in Glen Waverley,MELBOURNE,324,5.0
392,Sawmill Mountain Retreat- dcs retreats,MERRIJIG,420,4.5
393,Eureka Ski at Mount Hotham,HOTHAM HEIGHTS,276,4.7
394,Golf View Charm - Large two story House,MELBOURNE,215,4.0
395,Spacious natural light filled 4BDR house in a CENTRAL location,MELBOURNE,256,5.0
396,A701 TWIN TOWERS: Mt BULLER VILLAGE Ski In / SkOut,MT BULLER,582,5.0
397,Luxury Accommodation,MILDURA VIC,542,4.9
398,Bluebell Apartments in Box Hill Melbourne,MELBOURNE,139,1.3
399,ResortStyle 4BR House with parking@Werribee,MELBOURNE,265,5.0
400,Keppt Holiday Cottage,MERRIJIG,331,5.0
401,Park Lane Apartment East Melbourne,MELBOURNE,387,4.8
402,Triggerplant 3-DPA,DINNER PLAIN,200,4.7
403,Two Truffles Cottages,SHIRE OF YARRA RANGES,226,4.4
404,Stylish Renovated Edwardian Home in Kew.,MELBOURNE,180,5.0
405,GIPPSLAND HOLIDAY STAY TRARALGON,LATROBE CITY,203,5.0
406,The Grainger Fitzroy,MELBOURNE,1009,5.0
407,Sun Apartments - Mount Hotham,HOTHAM HEIGHTS,308,5.0
408,Bungunyah Apartments: Cotton,MELBOURNE,303,4.7
409,Well suited to families couples individuals conference and others,BALLARAT,248,5.0
410,Exclusive Stays - SouthbankONE II,MELBOURNE,665,4.4
411,Lakes Entrance Holiday Units,LAKES ENTRANCE,253,2.8
412,Azalea House - Family Accommodation,WARBURTON,334,3.6
413,SPACIOUS 3BR/2BTH CBD APT + WIFI + VIEW!,MELBOURNE,452,5.0
414,D118 Cawood Family Stay,MELBOURNE,219,5.0
415,THE WINDSOR Executive 2.5 Bedroom Freshwater Place,MELBOURNE,706,5.0
416,Entire house with unlimited WIFI and NETFLIX in the heart of Eastern Suburbs,MELBOURNE,408,5.0
417,Gifford chalet dog friendly.,HARRIETVILLE,508,5.0
418,Mulberry - Walk to MCG & Heart of Richmond,MELBOURNE,457,4.8
419,Cadeau at Merrijig - The Base of Mount Buller,MERRIJIG,468,4.9
420,Luxury Holiday House in the Inner City,MELBOURNE,867,4.8
421,Bristol House Accommodation UNIT,MARYBOROUGH (VICTORIA),179,4.2
422,Mawson 5 Family Apartment close to Ski School,MT BULLER,572,5.0
423,Himalayinn - Ski lodge or Alpine retreat,MERRIJIG,827,4.6
424,The Amazing Wiltshire of warehouse conversion!,MELBOURNE,259,3.3
425,Brunswick Getaway walking distance to bars cafes restaurants,MELBOURNE,165,5.0
426,Torquay Surfcoast  Victoria,TORQUAY (VICTORIA),1567,5.0
427,Box Hill accommodation,MELBOURNE,154,4.0
428,Sunny Sunday Getaway,SHIRE OF MITCHELL,203,5.0
429,Quiet Comfortable Family House in Melbourne Great Ocean RdTourist stopover,MELBOURNE,207,4.2
430,Wirraway Farm-stay,SHIRE OF MITCHELL,134,4.9
431,Fire & Ice - At the base of Mt Buller,MERRIJIG,414,5.0
432,Alpine Edge Chalet - alpine-getaways,DINNER PLAIN,1368,5.0
433,Murmeli Falls Creek,FALLS CREEK,183,4.3
434,Gorgeous family retreat,MELBOURNE,247,3.3
435,"Red Rock of Alvie- ""Aviemore"" heavenly and hidden retreat",SHIRE OF COLAC OTWAY,370,4.5
436,Stay Belgravia -  9 bedroom house,MELBOURNE,678,5.0
437,Hawthorn Holiday House,MELBOURNE,280,3.8
438,Ski Break Luxury Chalet - Dinner Plain,HARRIETVILLE,849,5.0
439,Spacious Lovely 4 Bed Room Family Home,MELBOURNE,357,4.4
440,Boutique Stays - Brighton Abode,MELBOURNE,417,2.3
441,Halen's hourse,MELBOURNE,75,4.0
442,Queens Lakeside Apartment,MELBOURNE,287,4.8
443,BLAIRGOWRIE GEM .....,BLAIRGOWRIE,1135,3.8
444,Melbourne Luxury Villa at Doncaster,MELBOURNE,398,4.6
445,Luxurious apartment at Hardware Lane 3 Bed Gym Pool and many more,MELBOURNE,554,4.9
446,D103 Lemon tree house,MELBOURNE,232,3.8
447,Hudson@Stockmans Mansfield Vic,MANSFIELD (VICTORIA),847,5.0
448,Federation Square Apartments - Breathtaking View,MELBOURNE,311,5.0
449,Studio 4 - Saint George Accommodation,MELBOURNE,99,4.2
450,Chum Creek Hut,SHIRE OF YARRA RANGES,350,4.8
451,MERINDA - minil & merinda chalets,MERRIJIG,527,4.5
452,Summit Ridge Alpine Lodge,FALLS CREEK,216,4.6
453,Spacious Lovely 5Beds home@Point Cook,MELBOURNE,266,3.8
454,Inner City Oasis on Buckingham,MELBOURNE,305,5.0
455,Alice Manor 3---New & Up market high quality,MELBOURNE,371,4.2
456,The Blue Barn,DAYLESFORD,252,4.5
457,Best Western Fawkner Suites & Serviced Apartments,MELBOURNE,136,4.7
458,Accommodation in Melbourne,MELBOURNE,362,4.5
459,Toolebewang Farm Cottage,SHIRE OF YARRA RANGES,234,4.5
460,Madam Saddler - On Fraser Clunes,HEPBURN SHIRE,272,5.0
461,Eastern Hill Creswick,CRESWICK,138,4.4
462,165 On Bogong,BALLARAT,250,4.9
463,Gravity Tower,MELBOURNE,199,4.4
464,Koovelly Garden Studio,DAYLESFORD,232,4.7
465,Elizabethan Lodge,MELBOURNE,99,4.1
466,Space for all in Southbank - 3 Bedroom Apartment,MELBOURNE,244,3.1
467,Apple House,MELBOURNE,69,4.2
468,Gunyah Valley Retreat,CITY OF GREATER BENDIGO,140,4.7
469,Castlemaine Central Cabin & Van Park,CASTLEMAINE,118,4.4
470,Ballarat cottages incorporating yarrowee cottage and Admirals cottage,BALLARAT,150,4.7
471,The Garden Room,DAYLESFORD,222,4.5
472,Aparment Sky Home,MELBOURNE,251,5.0
473,Poets Lodge Boutique Group Stays and Events,DAYLESFORD,2224,5.0
474,The home is only 30 minutes from Melbourne Airport.,SHIRE OF MACEDON RANGES,202,4.7
475,Discovery Parks  Melbourne,MELBOURNE,115,4.3
476,Melbourne Fitzroy Terrace,MELBOURNE,415,4.7
477,RiverCottage-selfcontained,MARYSVILLE (VICTORIA),215,4.2
478,Apple House Upper Point Cook,MELBOURNE,89,4.5
479,Majella Chalet alpine-getaway,DINNER PLAIN,1674,5.0
480,Large Quiet Art Deco Apt Camberwell,MELBOURNE,200,5.0
481,Airport Tourist Village Melbourne,MELBOURNE,77,4.4
482,Homely Getaways - Eighth Street Mildura,MILDURA VIC,797,3.0
483,ELKHORN 17: Modern Family Accommodation - Mt Buller Village,MT BULLER,434,3.8
484,Spencer Street Apartments,MELBOURNE,236,4.5
485,Lake Hamilton Motor Village and Caravan Park,HAMILTON (VICTORIA),139,4.5
486,Apartments Of Waverley,MELBOURNE,154,4.5
487,MARK 11 2W: Executive Accommodation - Mt. BULLER VILLAGE:,MT BULLER,631,3.8
488,The Recovery Room with Luxury Indoor Spa,DINNER PLAIN,778,4.3
489,Lakeview On Sycamore,MELBOURNE,192,4.8
490,Somerset on Elizabeth Melbourne,MELBOURNE,184,4.4
491,Secret Cottage,HEALESVILLE,200,4.6
492,Mornington Peninsula Retro Glamping,RYE (VICTORIA),173,4.3
493,Melbourne Holiday Apartments Flinders Wharf,MELBOURNE,176,4.6
494,MY80 Apartment located in the inner of Melbourne CBD,MELBOURNE,130,5.0
495,Indulge Apartments - Langtree,MILDURA VIC,174,4.2
496,Orange Stay Apartments,MELBOURNE,201,4.3
497,Apartments @ 57 City,MELBOURNE,157,4.3
498,A big house for big group,MELBOURNE,293,5.0
499,Park Avenue - IKON Glen Waverley,MELBOURNE,120,4.3
500,Oaks Melbourne on Lonsdale Suites,MELBOURNE,120,4.3
501,Daylesford Holiday Park,DAYLESFORD,132,4.1
502,De'Vine Escape,SHIRE OF YARRA RANGES,182,4.0
503,Boutique Stays - Zinc 501 Port Melbourne,MELBOURNE,280,5.0
504,Canvas Suites on A'beckett,MELBOURNE,159,4.2
505,BIG4 Shepparton Park Lane Holiday Park,CITY OF GREATER SHEPPARTON,158,4.2
506,Country Getaway Neerim South,SHIRE OF BAW BAW,226,4.8
507,Mantra Lorne,LORNE,432,4.1
508,Lovely home,MELBOURNE,159,4.1
509,Boutique Stays - South Yarra Lane,MELBOURNE,345,5.0
510,Alexandra Tourist Park,SHIRE OF MURRINDINDI,138,3.9
511,Golden Country Motel and Caravan Park,MARYBOROUGH (VICTORIA),141,3.8
512,Platinum City Serviced Apartments,MELBOURNE,177,4.0
513,Luxury Penthouse 3BDR Inner City  LRG Group  WIFI,MELBOURNE,1294,2.6
514,The Glen Family House,MELBOURNE,310,1.3
515,Homely Getaways @ Swanston Square,MELBOURNE,237,4.1
516,McKillop Geelong by Gold Star Stays,GEELONG,163,3.7
517,Triggerplant 1-DPA,DINNER PLAIN,145,4.1
518,Frankie306,MELBOURNE,243,4.6
519,CBD Little Paris - StayCentral,MELBOURNE,234,4.3
520,Boutique Stays Sandyside- Sandringham Villa Units,MELBOURNE,280,4.3
521,Boutique Stays - Carlton Terrace,MELBOURNE,280,4.5
522,Boutique Stays - Buckingham,MELBOURNE,326,4.8
523,A-Line Holiday Park,CITY OF GREATER BENDIGO,91,4.5
524,Boutique Stays - Somerset Terrace Townhouse in Richmond,MELBOURNE,290,5.0
525,Boutique Stays - Vox Terrace Prahran Apartment,MELBOURNE,244,4.0
526,Lifestyle Villages Traralgon,LATROBE CITY,98,4.3
527,Ski View 1: Funky Family Accommodation - Mt Buller Village,MT BULLER,516,4.4
528,Bacarra Heritage Cottage - 2 bed heritage home in Geelong,GREATER GEELONG CITY,267,5.0
529,Weathering Heights-Chalet In The High Country,DINNER PLAIN,497,4.8
530,BIG4 Dandenong Tourist Park,MELBOURNE,150,4.3
531,Northcote Hill - StayCentral,MELBOURNE,264,3.6
532,Darcy's Cottage on Piper,KYNETON,394,5.0
533,Insaa Serviced Apartments Dandenong,DANDENONG,268,4.0
534,Vineyard Retreat Mildura,MILDURA,550,4.7
535,Top FloorViewsYarraville2 bedroom2bathroom,MELBOURNE,246,4.3
536,NGV Art Centre Retreat - StayCentral,MELBOURNE,270,4.6
537,Boxhill,MELBOURNE,58,3.0
538,Cottage for 1 or 20 People,CAPEL SOUND,1896,4.5
539,Mansfield Holiday Park,MANSFIELD (VICTORIA),147,4.5
540,COMPLETE HOST Coventry St Apartments,MELBOURNE,321,4.4
541,Boutique Stays - Melrose Terrace Townhouse in North Melbourne,MELBOURNE,290,4.7
542,Cottage By The Bay ---Quick Response 24/7,MELBOURNE,1501,5.0
543,Superb Luxe 5BR house@Point Cook near lake,MELBOURNE,251,2.5
544,Your guest room in Keysborough,MELBOURNE,110,2.8
545,Warragul Gardens Holiday Park,SHIRE OF BAW BAW,142,4.6
546,Blairs-DPA,DINNER PLAIN,242,4.5
547,Boutique Stays  Sandy Breeze 1,MELBOURNE,391,4.8
548,StayCentral on Little Collins,MELBOURNE,282,4.7
549,StayCentral on Lonsdale,MELBOURNE,299,4.5
550,Brunswick Vibe - StayCentral,MELBOURNE,270,3.9
551,Boutique Stays - The Veronica,MELBOURNE,495,4.7
552,Boutique Stays - Roxys Place Prahran House,MELBOURNE,409,5.0
553,Boutique Stays-Murrumbeena Place 1,MELBOURNE,381,4.6
554,Boutique Stays - Elwood Hideaway,MELBOURNE,541,4.6
555,StayCentral on Nott,MELBOURNE,270,2.9
556,London Park Resort,MELBOURNE,350,4.3
557,91 Stevenson Court,YARRAWONGA,704,4.6
558,Smoko,DINNER PLAIN,242,4.3
559,Boutique Stays - Highviews,MELBOURNE,354,4.8
560,Quest Maribyrnong,MELBOURNE,149,4.5
561,Boutique Stays - Central Park South Melbourne Townhouse,MELBOURNE,427,5.0
562,Absinthe,DINNER PLAIN,458,4.6
563,Double Bridges,DINNER PLAIN,400,3.8
564,Belltrees,DINNER PLAIN,513,3.7
565,Square Bear-DPA,DINNER PLAIN,444,5.0
566,Classic 6BRM Villa in Melbourne,MELBOURNE,425,0.1
567,Cottage by the Sea ---Quick response 24/7,CAPEL SOUND,1514,1.3
568,Cozy charming and affordable,MELBOURNE,188,0.1
569,Tooroonga Park - Yarra Valley,SHIRE OF YARRA RANGES,331,5.0
570,Comfortable and Lovely Bodkin Cottage - Room 1,KYNETON,204,4.2
571,stand alone fully self contained spa cottage which accommodates 2 people,MELBOURNE,205,4.6
572,The Garden House at elevation652 at Mt Bellevue,RURAL CITY OF WANGARATTA,282,5.0
573,Harvest Home Bed & Breakfast,CITY OF GREATER SHEPPARTON,136,4.9
574,Santa Fe Ranch - peaceful getaway,TOLMIE,200,4.9
575,Heathcote Views with wifi  spabath & carport,SHIRE OF MITCHELL,512,4.9
576,Hideaway in the Hills ... MillDuck StrawBale B&B,CITY OF GREATER BENDIGO,254,5.0
577,"Josephine's Bed & Breakfast
Traditional in-home Bed & Breakfast",MELBOURNE,159,4.7
578,Casa Valeri in Warburton,WARBURTON,414,5.0
579,Fergusson Winery - Executive Suite,SHIRE OF YARRA RANGES,224,5.0
580,Terminus Hotel Healesville,HEALESVILLE,182,4.1
581,casa pizzini near the green,RURAL CITY OF WANGARATTA,160,4.0
582,The Mews - Charan Hills,SHIRE OF MITCHELL,205,4.8
583,Santhosa - a uniquely designed B & B,BASS COAST SHIRE,193,5.0
584,The Canberra Hotel - a Luxury Art Deco Oasis,BALLARAT,199,5.0
585,The Oxley Estate B&B,PORTARLINGTON,253,4.7
586,Austin Rise Bed and Breakfast,HEIDELBERG (MELBOURNE),170,4.8
587,Adina Apartment Hotel Melbourne,MELBOURNE,161,4.4
588,Leafield Cottages,SHIRE OF YARRA RANGES,187,4.7
589,Saladin Lodge,NARBETHONG,270,4.7
590,Allawah Bendigo,BENDIGO,125,4.4
591,Caroline Serviced Apartments Brighton,MELBOURNE,225,4.5
592,Quest Wodonga,WODONGA,128,4.5
593,Blazing Stump Motel & Suites,WODONGA,165,4.6
594,Lanbruk Richmond Hill,MELBOURNE,170,4.6
595,Sandy Hill Serviced Apartments,MELBOURNE,339,4.7
596,Carlton Lygon Lodge,MELBOURNE,126,4.3
597,Lifestyle Apartments at Ferntree,MELBOURNE,157,4.6
598,Tyrian Albert Park Lake,MELBOURNE,272,4.6
599,Quest Burwood East,MELBOURNE,131,4.6
600,Quest Sale,SHIRE OF WELLINGTON,134,4.5
601,Avani Melbourne Box Hill Residences,MELBOURNE,165,4.5
602,Vue Apartments Geelong,GEELONG,227,4.5
603,Quest Docklands,MELBOURNE,158,4.5
604,Quest Sanctuary Lakes,MELBOURNE,179,4.5
605,Bendigo Guesthouse,BENDIGO,120,4.5
606,Quest Flemington Central,MELBOURNE,135,4.5
607,RNR Serviced Apartments North Melbourne,MELBOURNE,158,4.5
608,Oaks Melbourne on Market Hotel,MELBOURNE,146,4.4
609,Camberwell Serviced Apartments,MELBOURNE,175,4.4
610,Quest Melbourne Airport,MELBOURNE,149,4.4
611,Docklands Private Collection - Digital Harbour,MELBOURNE,129,4.4
612,Quest Bundoora,MELBOURNE,140,4.4
613,Quest Dandenong,DANDENONG,156,4.4
614,Quest Shepparton,CITY OF GREATER SHEPPARTON,132,4.3
615,Punthill South Yarra Grand,MELBOURNE,105,4.3
616,Lovely Banks - Rest and Relax,GREATER GEELONG CITY,87,4.6
617,Punthill Dandenong,DANDENONG,60,4.1
618,Quest St Kilda Bayside,MELBOURNE,171,4.3
619,District Apartments Fitzroy,MELBOURNE,225,4.3
620,Comfort Inn & Apartments Dandenong,DANDENONG,146,4.1
621,Park Regis Griffin Suites,MELBOURNE,129,4.2
622,HarbourView Apartment Hotel (now Arrow on Spencer),MELBOURNE,147,3.9
623,Clocktower Apartment Hotel,MELBOURNE,165,4.1
624,Collins Hotel,MELBOURNE,158,4.1
625,Sixty Two On Grey Serviced Apartments,MELBOURNE,145,4.1
626,Beaumont Kew Apartments,MELBOURNE,95,3.9
627,Knox International Hotel and Apartments,MELBOURNE,142,3.8
628,YTI Garden Hotel,MELBOURNE,104,3.9
629,Milano Serviced Apartments,MELBOURNE,119,4.0
630,Barkly Apartments,MELBOURNE,149,3.6
631,The Sebel Residences Melbourne Docklands,MELBOURNE,194,4.0
632,Summer Inn Holiday Apartments,MELBOURNE,200,3.8
633,CBD Victoria Harbour Service Apartments,MELBOURNE,421,3.4
634,Clunes Guest Home,HEPBURN SHIRE,140,3.3
635,Redan Apartments,MELBOURNE,85,1.9
