City,Shire,city,bom_ref_site,site_ref,mean_high_temp
KYNETON,Macedon Ranges Shire Council,KYNETON,KYNETON,88036,27.2
DONCASTER,Manningham City Council,DONCASTER,MELBOURNE,86282,26.6
MANSFIELD,Mansfield Shire Council,MANSFIELD,MANSFIELD,83020,29.6
FOOTSCRAY,Maribyrnong City Council,FOOTSCRAY,MELBOURNE,86282,26.6
RINGWOOD,Maroondah City Council,RINGWOOD,MELBOURNE,86282,26.6
MELBOURNE,Melbourne City Council,MELBOURNE,MELBOURNE,86282,26.6
MELTON,Melton City Council,MELTON,MELBOURNE,86282,26.6
MILDURA,Mildura Rural City Council,MILDURA,MILDURA,76031,32.5
BROADFORD,Mitchell Shire Council,BROADFORD,MELBOURNE,86282,26.6
COBRAM,Moira Shire Council,COBRAM,MELBOURNE,86282,26.6
GLEN WAVERLEY,Monash City Council,GLEN WAVERLEY,MELBOURNE,86282,26.6
MOONEE PONDS,Moonee Valley City Council,MOONEE PONDS,MELBOURNE,86282,26.6
BALLAN,Moorabool Shire Council,BALLAN,BALLAN,87005,24.6
COBURG,Moreland City Council,COBURG,MELBOURNE,86282,26.6
ROSEBUD,Mornington Peninsula Shire Council,ROSEBUD,MELBOURNE,86282,26.6
CASTLEMAINE,Mount Alexander Shire Council,CASTLEMAINE,CASTLEMAINE,88014,28.3
PORT FAIRY,Moyne Shire Council,PORT FAIRY,PORT FAIRY,90069,23.4
ALEXANDRA,Murrindindi Shire Council,ALEXANDRA,ALEXANDRA,88001,29.3
STAWELL,Northern Grampians Shire Council,STAWELL,STAWELL,79042,28.5
ST KILDA,Port Phillip City Council,ST KILDA,MELBOURNE,86282,26.6
BEAUFORT,Pyrenees Shire Council,BEAUFORT,BALLARAT,89002,25.2
QUEENSCLIFF,Borough of Queenscliffe,QUEENSCLIFF,QUEENSCLIFF,87054,22.5
LEONGATHA,South Gippsland Shire Council,LEONGATHA,LEONGATHA,85048,24.9
HAMILTON,Southern Grampians Shire Council,HAMILTON,HAMILTON,90044,25.7
MALVERN,Stonnington City Council,MALVERN,MELBOURNE,86282,26.6
EUROA,Strathbogie Shire Council,EUROA,EUROA,82016,29.7
TORQUAY,Surf Coast Shire Council,TORQUAY,GEELONG,87117,25.5
SWAN HILL,Swan Hill Rural City Council,SWAN HILL,SWAN HILL,77042,31.4
TALLANGATTA,Towong Shire Council,TALLANGATTA,WODONGA,82056,31.8
WANGARATTA,Wangaratta Rural City Council,WANGARATTA,WANGARATTA,82053,31.0
WARRNAMBOOL,Warrnambool City Council,WARRNAMBOOL,WARRNAMBOOL,90082,22.3
SALE,Wellington Shire Council,SALE,SALE,85133,26.1
EDENHOPE,West Wimmera Shire Council,EDENHOPE,HORSHAM,79023,29.8
NUNAWADING,Whitehorse City Council,NUNAWADING,MELBOURNE,86282,26.6
SOUTH MORANG,Whittlesea City Council,SOUTH MORANG,MELBOURNE,86282,26.6
WODONGA,Wodonga City Council,WODONGA,WODONGA,82056,31.8
WERRIBEE,Wyndham City Council,WERRIBEE,WERRIBEE,87065,25.6
RICHMOND,Yarra City Council,RICHMOND,MELBOURNE,86282,26.6
LILYDALE,Yarra Ranges Shire Council,LILYDALE,MELBOURNE,86282,26.6
