Hotel_name,Hotel_city,Hotel_price,Hotel_rating
Roses of Daylesford - Rosemary Cottage ~ Beautiful,Daylesford,235 ,3.0
New Modern luxurious studio appartment 5mins walk to beach shops and cafe's.,Cape Woolamai,279 ,5.0
"Maple Cottage ""The Studio"" Trentham - $99 mid week Specials 700m CBD",Trentham,172 ,4.8
Bella Loft: luxury studio apartment in the heart of Woodend,Woodend,270 ,4.9
The Gatehouse - Light filled  cottage  in the leafy suburb of Hawthorn,Melbourne,200 ,4.9
Port Melbourne Seaviews Gym Pool & Tennis!,Melbourne,200 ,4.7
Lilac Cottage - central but quiet,City of Greater Bendigo,133 ,4.9
Big Tiny Altitude Tiny House Experience,Shire of Macedon Ranges,226 ,5.0
3BR house with pool close to city and beaches!,Melbourne,311 ,4.0
Kate's Place Daylesford Bordering The Botanic Gardens,Daylesford,235 ,4.7
Lakeside Dream-Platypus/Lyrebirds/Views/Walks 欢迎回家,Melbourne,214 ,4.9
Geelong Manna Gum Tiny House,Surf Coast Shire,206 ,5.0
Grand Designs East Melbourne 5x4 Eco House,Melbourne,355 ,5.0
A peaceful retreat in the heart of Carlton,Melbourne,224 ,5.0
Glenlowren,Shire of Yarra Ranges,379 ,5.0
RACV Goldfields Resort,Creswick,242 ,4.4
Castlemaine Gardens Luxury Glamping,Castlemaine,240 ,3.6
BIG4 Melbourne Holiday Park,Melbourne,139 ,4.5
Lakes and Craters Holiday Park,Corangamite,160 ,4.1
Sambar Studio Bed & Breakfast,Shire of Nillumbik,245 ,4.8
Frog Hollow Eastern Banjo Daylesford,Mount Franklin,256 ,4.8
Country Style Art Deco Inspired 2 bedroom house with off street parking,Melbourne,234 ,5.0
Blue Cliffs Dusk Spa Villa,Mount Franklin,297 ,3.8
Kara's at Bungal..Romantic Getaway .. Sorry unavailable for bookings,Shire of Moorabool,320 ,4.6
Lily's Farm Studio,Hepburn Shire,206 ,4.8
Perfect Cosy Retreat Cottage Russki Country Sauna & Spa Hut,Melbourne,197 ,4.6
GALBRAITH BEACH STUDIO 1,Marengo,326 ,4.3
A Cozy CBD Home with Stunning Views,Melbourne,138 ,4.5
Melbourne Villa,Heidelberg (Melbourne),223 ,4.8
Etna Cottage - lovely private corner spa bath,Melbourne,146 ,3.8
Darling Suite in South Yarra,Melbourne,123 ,4.5
1 BR Grand Balcony Suite,Melbourne,161 ,4.4
Frogsong Cottage YELLOW,Goughs Bay,128 ,5.0
Ardingly Tiny House S,Shire of Macedon Ranges,184 ,5.0
Rockmans South Yarra is a Boutique style apartment,Melbourne,117 ,4.4
Your own private space,Shire of Macedon Ranges,106 ,5.0
St Kilda Rd apartment - light filled and lovely,Melbourne,169 ,5.0
"""Fitzroy St Studio 210"" - Pearl Apartments",Melbourne,128 ,3.8
