Hotel_name,Hotel_city,Hotel_price,Hotel_rating
Sandringham - Resort Lifestyle,Melbourne,239 ,4.7
one bedroom apartment with balcony,Melbourne,228 ,3.5
Chic warehouse apartment in hipster foodie hub,Melbourne,208 ,3.8
TREASURY on COLLINS Apartment Hotel in Melbourne CBD,Melbourne,378 ,4.6
Wyndel Apartments - Riverside On Collins,Melbourne,112 ,4.6
Woody lifestyle one bedroom apartment,Olinda (Victoria),205 ,5.0
BHB Designer Collingwood,Melbourne,264 ,2.3
"""Fawkner"" - Pearl Apartments",Melbourne,124 ,4.7
Wyndel Apartments - St Kilda Views One Bedroom apartment Balcony/Gym,Melbourne,205 ,5.0
Fulton Lane · Luxury Apartment with a View in the CBD,Melbourne,174 ,5.0
♡ Perfect Location Spacious 2BR Apt Near Flinders Station,Melbourne,177 ,5.0
EP4 - NEW SPACIOUS 1BR/1BTH - WIFI + NETFLIX!,Melbourne,180 ,4.3
U201 Brunswick Living Brand New Deluxe Balcony Upper Floor Apartment close to Airport and CBD,Melbourne,129 ,4.0
Ballarat Central Contemporary Apartments,Ballarat,210 ,5.0
Stanbridge Cottage Daylesford,Daylesford,209 ,4.9
CLOSE TO CENTRAL CITY OF BENDIGO,City of Greater Bendigo,177 ,5.0
Elegant 1 bed 1 bath apartment free parking,Melbourne,180 ,5.0
Spacious 2 Bedroom Inner City Townhouse with Private Rooftop,Melbourne,296 ,4.9
Convenient City Apartment with Resort-style Extras,Melbourne,182 ,4.2
Spacious 1-BR CBD APT - BALCONY+NETFLIX!,Melbourne,167 ,4.7
The Dairy - Perfectly positioned right in the heart of town located behind the majestic Green Gables,Castlemaine,214 ,4.6
Sun Valley 1A Studio,Falls Creek,193 ,4.9
Cozy Stay Cottage,Hepburn Shire,195 ,4.2
Rendezvous Nexus Summ,Shire of Murrindindi,221 ,5.0
Modern CBD Apartment - Free Secure Parking and Wifi,Melbourne,267 ,4.3
Wyndel Apartments -Southbank Views One Bedroom executive Balcony/Pool,Melbourne,175 ,4.6
Two BR Apt - 889 Collins St Waterfront Docklands,Melbourne,460 ,4.5
Serenity 11 - Room 4,Shire of Cardinia,103 ,3.5
North Melbourne Retreat,Melbourne,126 ,4.6
Leighton Bay Walk,Metung,284 ,4.0
Elevated Plains Retreat 1,Mount Franklin,244 ,4.8
Springfield Cottage - quiet getaway,Shire of Macedon Ranges,379 ,5.0
Albert Park Lake and MSAC 2min Walk Parking Balcony BBQ,Melbourne,261 ,4.2
New York style light filled large 1 bedroom in iconic heritage building,Melbourne,204 ,5.0
Self-isolate in country comfort,Ballarat,102 ,5.0
Brand new 2 BD UNIT IN DEER PARK VIC CLOSE TO DEER PARK TRAIN STATION- FWY- CITY,Melbourne,201 ,5.0
Location location location !,Ballarat,138 ,5.0
Mansi on Raymond Terrace Studio,Shire of Wellington,215 ,5.0
Unforgettable studio for family,Greater Geelong City,189 ,3.8
Village Apartment Yarraville -  Wifi Foxtel Secure parking,Melbourne,213 ,5.0
Homely Getaways @ Queen Vic Market,Melbourne,156 ,4.3
Richmond Hill Townhouse,Melbourne,224 ,5.0
Walk to the MCG The Tan Botanic gardens & train,Melbourne,204 ,4.8
Little Charles Fitzroy,Melbourne,497 ,5.0
Clayton One Bedroom Stylish Apartment FREE PARKING WIFI & FOXTEL,Melbourne,183 ,4.2
Cute cosy Gypsy Caravan with outdoor bath and firepit,Warburton,60 ,1.3
Modern St Kilda East 1 Bedroom Apartment - Free parking,Melbourne,206 ,5.0
Spacious Light Filled Apartment with City Views,Melbourne,162 ,4.1
Ocean Views ☆ Top Location ☆ Parking ☆ Restaurants,Melbourne,461 ,5.0
Clean Modern Apartment 15 Mins From City on Tram,Melbourne,191 ,3.8
Walk to cafe wifi fenced court yard off street parking linen supplied,Melbourne,330 ,5.0
10A Brunswick Living Brand New Studio Unit- ground floor close to Airport & CBD,Melbourne,72 ,3.8
South Yarra 1 BDR Apt near ChapelSt shops and Cafe,Melbourne,230 ,4.4
In the heart of Melbourne City,Melbourne,193 ,3.8
U101 Brand new balcony apartment close to Airport & CBD,Melbourne,117 ,4.3
Oliver Lane - Boutique Accommodation - CBD,Melbourne,169 ,5.0
Elan Cottage with large corner spa,Melbourne,146 ,2.6
Art Deco Inspired 2 bedroom House with off street Parking,Melbourne,216 ,4.8
Lochiel Original Cottage (10 Persons Max),Melbourne,390 ,4.3
Apartment,Melbourne,175 ,4.3
Apartment 60m²,Melbourne,220 ,4.5
Dylene Caravan Park - Family Cabin - No AirCon BYO Linen,Portarlington,215 ,4.2
Whitehorse Apartments Hotel,Melbourne,170 ,3.9
StayCentral Merigold on Collins,Melbourne,183 ,5.0
THE WHITE ROOM Fitzroy,Melbourne,243 ,4.8
CBD Collins St 2 bed near Southern Cross with Gym Pool & Spa,Melbourne,176 ,3.8
Stunning Studio Apt in Seddon,Melbourne,135 ,5.0
2 BR Modern Melbourne CBD Apartment,Melbourne,163 ,3.8
Stunning 2 bdrms  APT@Parkville「Free carpark+wifi」,Melbourne,189 ,4.4
Owen · 'Owen' Soaring City Views | Central Location,Melbourne,436 ,5.0
Pure Beachfront Bliss,Melbourne,195 ,3.0
Musical Village Retreat : Paris Love Nest For Two,Shire of Baw Baw,122 ,5.0
Lynwood Rural Retreat with beautiful gardens & farm animals,Melbourne,294 ,4.7
Richmond Warehouse Wonder,Melbourne,200 ,4.7
Yarra River Views & City Lights - Free Wifi & Netflix,Melbourne,164 ,5.0
luxury & comfort and safety: close to all with secure car park Bundoora,Melbourne,156 ,5.0
City Heights and Views,Melbourne,299 ,4.0
Annie's Escape in Warburton,Warburton,237 ,4.7
"""Vista"" - Pearl Apartments St Kilda",Melbourne,157 ,5.0
The Caulfield,Melbourne,209 ,4.4
Take a step back in time,Shire of Macedon Ranges,130 ,4.3
Brumby Townhouse Dinner Plain,Dinner Plain,162 ,5.0
Absolute Lakeside Self-Contained Luxury Apartment,Daylesford,364 ,4.3
Circa Red London Daylesford ~ TOWN CENTRE,Daylesford,257 ,4.5
Clean + Bright Apartment in the Heart of the City,Melbourne,184 ,3.8
Madam Saddler A Gorgeous Accommodation In Clunes.,Hepburn Shire,287 ,5.0
LuxuryBrandNew3Bedroom:HotTubPoolBarWiFi&CarPark,Melbourne,306 ,4.4
Newport Leadlight Haven,Melbourne,154 ,4.9
Scandi Stayz Retreat 1,Tawonga South,206 ,4.4
"""ABODE 316"" NEW boutique 2 Bedroom 2 Bathroom",Melbourne,424 ,4.8
Family-friendly Apartment in Green Glen Iris,Melbourne,184 ,3.4
LITTLE ABODE ON ADENEY FREE WIFI PET FRIENDLY,Melbourne,209 ,5.0
ASHLAR @ Manna Gums - Romantic/Fire/Spa Escape - Daylesford,Daylesford,251 ,4.9
ormond stunner-- the heart of southeast melbourne,Melbourne,111 ,3.8
Apartments Of Waverley - 1 Bed Apartment Free Wifi & Parking,Melbourne,204 ,5.0
Hilltop Tiny House Su,Shire of Mitchell,127 ,4.5
Shadow Play@Lv36/2BR near Crown with Ocean View,Melbourne,318 ,4.6
Quiet haven lively precinct,Melbourne,219 ,4.8
Elsinore Ballarat - self contained apartment,Ballarat,199 ,4.8
Retro mid century home in historic gold-fields township.,Maldon (Victoria),167 ,5.0
"""Abbey Road"" - Pearl Apartments",Melbourne,139 ,5.0
Rest Haven,Shire of South Gippsland,160 ,4.4
City View South Yarra Apart*CarPark*Netflix*Wine,Melbourne,201 ,4.8
Great Southbank apartment with stunning view,Melbourne,161 ,4.7
Ground Floor Apartment with Courtyard WiFi and Off Street Parking,Melbourne,113 ,5.0
Richmond Apartment with Parking - Walk to MCG,Melbourne,133 ,4.4
One bedroom unit in Camberwell. Off street parking.,Melbourne,185 ,4.8
The Nook Studio Apartment,Melbourne,158 ,5.0
Lakeside Villas Nagambie,Nagambie,296 ,2.6
ouble Room with Private Bathroom and Kitchenette near Murray River,Shire of Moira,83 ,3.8
villa 2 fully self contained,Golden Beach (Victoria),177 ,4.5
Brand New Luxury Studio Apartment on Gregory Street,Ballarat,125 ,4.8
Stylish Southbank Apartment,Melbourne,206 ,5.0
Comfortable clean and charming St Kilda studio with Wifi and bikes,Melbourne,132 ,3.8
Lavender Suite at Sage Cottage The Oaks Lilydale,Melbourne,191 ,5.0
Perfectly located in the heart of the Melbourne CBD,Melbourne,240 ,5.0
Shocko 1 - Boutique Accommodation - CBD,Melbourne,226 ,5.0
Ultra-Modern Luxury With Views At Kai Waterfront,Melbourne,188 ,3.2
Stone's Throw Cottage B&B Belgrave,Melbourne,219 ,4.8
BOUTIQUE STAYS – The Residence,Melbourne,570 ,5.0
DeeeLuxe - soo.. sophisticated,Melbourne,193 ,3.5
Deluxe Modern New Apartment@Melbourne New Landmark,Melbourne,279 ,5.0
"""Claremont"" - Pearl Apartments",Melbourne,139 ,4.8
City Edge Apartment Spacious Terrace Views to Melbourne City,Melbourne,213 ,5.0
Studio apartment in desirable tree lined locale. Walk to Hospital & town,Bendigo,117 ,4.9
Artistic Apartment in Sunny Elwood near St Kilda,Melbourne,211 ,3.8
Mt Buller Prime Location Ski in Ski Out,Mt Buller,535 ,4.8
A Serene & Cozy CBD Suite near Southern Cross,Melbourne,579 ,5.0
One bedroom in Neo with city balcony!,Melbourne,138 ,5.0
The Barkly on the fringe of Melbourne,Melbourne,202 ,4.8
Geilo Snow Holiday Unit,Falls Creek,330 ,4.9
Homely Albert Park Suite Next to Grand Prix Circuit,Melbourne,406 ,5.0
By George! Super cool  St Kilda loft,Melbourne,168 ,5.0
Stylish & Sunny with house like proportions,Melbourne,183 ,5.0
Peel Cottage Bed & Breakfast,Ballarat,165 ,5.0
Daysend Cottages - Merrijig,Merrijig,378 ,5.0
A Modern & Cozy Suite with Beautiful City Views,Melbourne,587 ,3.9
Melbourne short stay- Burwood Deakin Uni墨尔本民宿-迪肯大学Burwood,Melbourne,61 ,2.9
Central Clean and Convenient Unlimited WiFi,Melbourne,55 ,3.8
Modern 2 bed apartment in trendy Collingwood,Melbourne,233 ,3.3
Albert Park: close to everything yet quiet and relaxing,Melbourne,127 ,5.0
master bedroom with ensuite in frankston walk to cbd updated bathroom & kitchen,Frankston,121 ,5.0
For the discerning traveller who appreciates the best quality and style!,Melbourne,267 ,5.0
"Sanctuary · ""Sanctuary"" Resort-Style on the Banks of the Yarra",Melbourne,259 ,5.0
Views and hotel-style extras in a great location,Melbourne,187 ,5.0
Chestnut Daylesford Centrally Located,Daylesford,328 ,4.5
The Eyrie at elevation652 at Mt Bellevue,Rural City of Wangaratta,307 ,5.0
Loft Apartment Bond Quarter,Melbourne,233 ,4.8
Apartment 45m²,Melbourne,153 ,3.8
Quiet and private spacious 1 bedroom in prestigious Hawthorn street,Melbourne,114 ,4.6
Frogsong Strawbale Cottage BLUE ID p7318970,Goughs Bay,119 ,3.9
Penthouse in Northcote,Melbourne,203 ,3.4
Vintage Heaven - located at Healesville,Healesville,210 ,5.0
Modern 1-BR Apartment + Seaview!,Melbourne,157 ,4.7
Alpino Apartments Marysville,Marysville (Victoria),276 ,4.8
Balwyn Views Apartments,Melbourne,189 ,5.0
Village BELLE Stunning home in Yarraville Village,Melbourne,282 ,4.8
"""206 Studio on Acland"" - Pearl Apartments",Melbourne,135 ,5.0
Stylishly appointed Family Executives Parking Cafes 350m Public Transport,Melbourne,305 ,4.7
Petite and Sweet Pad close to St Kilda Beach,Melbourne,129 ,4.7
Homewood Apartment-Self contained apartment,City of Greater Shepparton,102 ,5.0
CONVENIENCE in Melbourne CBD 1BR Apt + FREE WIFI,Melbourne,257 ,3.1
Nelse Lodge,Falls Creek,190 ,4.5
Long Stay Discount Parking Degraves St Corporates FamiliesCouples Shopping,Melbourne,342 ,4.5
Waterfront 2 Bedroom - Freshwater Place,Melbourne,389 ,4.6
Stylish 2-bed 2 bath with free parking+pool+gym+wifi,Melbourne,251 ,4.5
Light airey 2 storey 2 deck penthouse in Collingwood nr cafes restaurants trams,Melbourne,345 ,5.0
Forget Me Not Moonlight Blue Miners' Cottage Daylesford,Daylesford,181 ,4.8
Upper West Side - Madison,Melbourne,271 ,4.9
Apartments @ Port of Sale 2 bedrooms,Shire of Wellington,210 ,4.7
Elegant 2BR@Footscray Station,Melbourne,216 ,5.0
Bungunyah Apartments: Margriet,Melbourne,200 ,5.0
Melbourne Chinatown 2 bedrooms APARTMENTs,Melbourne,237 ,5.0
Stylish 2 bedroom Victorian terrace 1860's old charm & modern renovation!,Melbourne,431 ,5.0
StayCentral in Brunswick & Parkville 2Br near cafes restaurants shops bars trams,Melbourne,278 ,4.5
The Hive Graffiti Apartments,Melbourne,169 ,4.8
Bungunyah Apartments: Kaori,Melbourne,209 ,4.6
Brand New APT with Sea Views in Heart of St Kilda,Melbourne,207 ,3.8
Modern Apartment - Southbank,Melbourne,285 ,4.4
Wheelchair Accessible 1 Bedroom Apartment,Melbourne,162 ,3.8
Blue Rosella on Piper,Kyneton,276 ,4.6
Luxury Art Deco Lifestyle,Melbourne,235 ,4.8
Beachfront Apartment Elwood,Melbourne,182 ,3.8
StayCentral on Northcote Hill views shops trams,Melbourne,327 ,5.0
'Bogong' a romantic chalet for couples,Dinner Plain,455 ,4.9
"""Sea Breeze"" - Pearl Apartments St Kilda",Melbourne,102 ,5.0
DesignLife :Spacious Design Location,Melbourne,220 ,5.0
Cozy APT Opposite Southern Cross station,Melbourne,258 ,3.9
Family Friendly: Feed your soul : Cosy and warm.,Shire of Moorabool,123 ,4.5
Hawthorn East 2 Bedroom Apt Wifi Netflix Parking quiet,Melbourne,120 ,4.1
Light-Filled Beachside Apartment in Trendy Area,Melbourne,155 ,5.0
8 minutes Walk to clayton train station close to monash medical center.,Melbourne,180 ,4.2
Briar Hill Accommodation,Melbourne,149 ,4.5
BOUTIQUE STAYS – Ace's Place - perfectly located near Chapel and Swan streets,Melbourne,214 ,4.2
Kiss me by the City-quiet & pretty inner city retreat to unwind & rejuvenate,Melbourne,331 ,3.2
The Residence - Domain,Melbourne,460 ,4.7
Whole Apartment right in the heart of Melbourne,Melbourne,233 ,4.8
Delightful Cozy & Modern House,Melbourne,159 ,4.2
Blackburn Holiday Apartment 5,Melbourne,136 ,4.2
Serena Cottages 361 reids way,Shire of Indigo,165 ,4.8
Bright Apartment with City Views in Trendy Locale,Melbourne,169 ,2.6
Sublime Southbank - Incredible Views and Location,Melbourne,381 ,4.9
CORONET CASTLE PET FRIENDLY,Coronet Bay,391 ,5.0
Avant · Sleek CBD Apartment with Skyline Views,Melbourne,182 ,2.6
4-Poster Bed Room in Mountain Cottage,Warburton,56 ,4.1
Spacious apartment within minutes of Acland Street,Melbourne,168 ,4.2
Airport West Stunner,Melbourne,430 ,5.0
Charan Lane Comfortable Townhouse in Heritage Inner Suburb Location,Melbourne,309 ,5.0
Boutique Stays - Victorian Vogue Richmond House,Melbourne,636 ,4.8
Bungunyah Apartments: Waratah,Melbourne,209 ,5.0
St Kilda  Home away from Home 2BR,Melbourne,163 ,5.0
Architecturally Designed 2 Bedroom Apartment,Melbourne,354 ,4.8
Clarendon Towers - 2 bedroom apartment,Melbourne,315 ,4.3
Seaside Melbourne accommodation,Melbourne,132 ,3.2
TOP DECK APARTMENT - PORTSEA,Melbourne,379 ,4.4
Merrimont Downs - Country Escape - set on magnificent acreage property,Merrijig,497 ,5.0
Modern 1 Bedroom Apartment In Tranquil Parklands,Melbourne,149 ,3.8
DeBeers Townhouses Bendigo,Bendigo,188 ,5.0
Modern & Stylish Apartment in the heart of Melbourne| Pool Gym Sauna,Melbourne,167 ,4.6
Self contained two-bedroom unit in a bush garden setting,Melbourne,195 ,5.0
Perfect Location - 2 Bedroom Modern Unit,Bendigo,160 ,4.7
Close to Everything Entire St Kilda Queen Bed Apartment,Melbourne,130 ,4.5
Bungunyah Apartments: Maasai,Melbourne,209 ,5.0
A Modern 2BR Apt 5-min Walk to Melbourne Central,Melbourne,177 ,4.6
Courtyard Cottage - charming heritage self-contained hideaway,Healesville,412 ,4.2
Les Chalets 14 - Ski in Ski out,Falls Creek,236 ,4.8
Melbourne Airport - 1 bedroom Apartment,Melbourne,117 ,3.2
Betty's Place - Accommodation in Heyfield,Shire of Wellington,171 ,5.0
Heatherlie Cottages Halls Gap,Halls Gap,179 ,4.8
Private suite with garden and river views,Melbourne,117 ,4.2
Contemporary Luxury With Views At Maya Waterfront,Melbourne,236 ,3.2
Amazing 3 Bedroom Apartment in Melbourne Central CBD!,Melbourne,271 ,4.8
Pride Fawkner Apt Bay-view 4 Free PARKING+POOL PaperRolls HandWash * Mask,Melbourne,232 ,4.5
Melbourne Soul 108 sleeps 2-6,Melbourne,187 ,4.9
Modern 1 Bedroom Apartment With Rooftop Terrace And Spa,Melbourne,181 ,2.6
Stunning 2 Bed 2 Bath Apartment at St Kilda Free WiFi Carpark,Melbourne,171 ,4.5
B&B on Piper - Beautiful Cottage Accommodation,Kyneton,265 ,4.7
Plough Cottage Country getaway,Howqua Inlet,287 ,4.1
Comfy 2BR Suite Near Flemington Races FREE Parking,Melbourne,471 ,4.5
Lovely Classic Apartment Steps From Beach,Melbourne,175 ,5.0
Willowbank at Taggerty,Shire of Murrindindi,309 ,4.8
House on the Red Hill,Red Hill South,774 ,5.0
RACV Cape Schanck Resort,Cape Schanck,654 ,4.5
Melbourne River Views,Melbourne,330 ,4.6
Toolebewong Farm Cottage,Shire of Yarra Ranges,182 ,4.9
Somerset Residential Apartment,Melbourne,154 ,4.7
Dawn's Retreat near the Murray,Shire of Indigo,131 ,5.0
Quiet and comfortable townhouse - walk to river tram and Highpoint Shopping,Melbourne,158 ,5.0
Modern 2-Bedroom @ Southbank & Crown Casino *FREE PARKING + WIFI*,Melbourne,214 ,3.8
Vaughan St Guest House Shepparton - Central location long term stay reduced rate,Shepparton,165 ,4.5
Romantic Getaway with Spa and Gardens,Sassafras,307 ,2.6
2BR Suites on Bourke Perfect Location Views,Melbourne,177 ,4.0
Walk to Elwood beach and village,Melbourne,176 ,2.6
EAST MELBOURNE TERRACE,Melbourne,747 ,3.8
Blackburn Holiday Apartment 4,Melbourne,115 ,4.6
"""Retreat & Relax @ 128""- Mildura Holiday & Corporate Accommodation",Mildura VIC,240 ,4.8
Tullaburra Farm Stay and Horse agistment,Shire of Moorabool,150 ,4.8
CHIC APARTMENT- CLOSE TO BEACH,Melbourne,161 ,4.8
Ravenswood-an iconic Drouin property,Shire of Baw Baw,179 ,5.0
Princes off Chapel in Prahran 2BR with CBD Views,Melbourne,180 ,5.0
BOUTIQUE STAYS – Central Park,Melbourne,633 ,4.6
Luxury Apt in Southbank,Melbourne,300 ,5.0
50th Floor sub penthouse in front of Casino!,Melbourne,756 ,3.8
Scandi Stayz Retreat 3,Tawonga South,210 ,2.6
One Fine Day We Shall See,Melbourne,243 ,4.6
Melbourne Star - central city location - sleeps 5,Melbourne,273 ,4.0
"""Carlisle"" - Pearl Apartments St Kilda",Melbourne,201 ,4.7
Deluxe 1 Bedroom Twin Apartment & Double Sofa Bed,Melbourne,172 ,4.1
Sleek Skyline View Apartment Ideal for City Break,Melbourne,454 ,4.4
165 On Bogong - self contained unit,Ballarat,206 ,4.2
Harbour Escape Apartments Docklands,Melbourne,238 ,4.4
A Comfy 2BR Apt with a Panoramic View of the City,Melbourne,153 ,3.9
Beach Stay Apartment Melbourne City & Port,Melbourne,217 ,5.0
Birches Serviced Apartments,Melbourne,175 ,4.2
Oversized Apartment Close to City Parks MCG,Melbourne,292 ,3.9
ABODE ON ADENEY FREE WIFI / PET FRIENDLY,Melbourne,426 ,4.9
Stunning farmstay in beautiful Harcourt Hills,City of Greater Bendigo,149 ,4.7
The Royal Absolute Ripper,Melbourne,140 ,4.7
Ultimate location  parking and public transport shopping and restaurants,Melbourne,306 ,3.8
executive   Shepparton,Shepparton,226 ,5.0
Very Spacious apartment in city centre close to tourist attractions,Melbourne,265 ,3.5
Riverside apartment overlooking parkland with river views.  Near transport,Melbourne,155 ,4.8
Superb St Kilda Location 2BR Renovated Art Deco Family-Friendly Quiet Street,Melbourne,268 ,4.8
Lake Apartments - Metres to Lake Wendouree,Ballarat,178 ,4.7
Long Stay Discount Parking Great Family Getaway Close to Zoo Spa Bath BBQ,Melbourne,364 ,4.7
AHA @ Port of Sale 12 or 3 bedroom,Shire of Wellington,243 ,5.0
Readyset on Spencer,Melbourne,152 ,4.0
Cityside - StayCentral,Melbourne,299 ,3.8
Seaside Boutique Accommodation just moments to Seaford Beach,Melbourne,298 ,5.0
"Laurent · ""Laurent"" Balcony Views | Steps from Laneway Vibes",Melbourne,422 ,3.8
LuxuryBrandNew2Bedroom:HotTubPoolBarWiFi&CarPark,Melbourne,360 ,3.4
2BR Apt Central to Everything in Melbourne CBD w/ CITY VIEW + POOL,Melbourne,441 ,4.4
3 Bedroom Family Apartment in the heart of Southbank,Melbourne,544 ,4.7
Melbourne Central - StayCentral,Melbourne,278 ,4.3
Modern Cottage in Maryborough,Maryborough (Victoria),133 ,4.0
Cove Holiday House quiet near golf club & beach,Cowes (Victoria),411 ,4.4
BUXTON BEAUTY - Central location river views,Shire of Murrindindi,286 ,4.7
NY Style Living &  FREE Secure Car Parking,Melbourne,379 ,2.6
Sambuca 5 Mount Hotham,Hotham Heights,686 ,4.9
Gracefield Estate 2 Bedroom Private Cottage,Shire of Baw Baw,442 ,5.0
Docklands 1 Bedroom Pool and Gym,Melbourne,192 ,5.0
"""Bliss"" - Pearl Apartments",Melbourne,136 ,4.3
Central View - Walking Distance to the Fountain,Bendigo,185 ,4.4
Perfectly Located Gorgeous St Kilda Queen Bed Apartment,Melbourne,131 ,4.6
Cozy & Brand New Western Apartment,Melbourne,171 ,2.3
Bienvenu- Self Contained Cottage,Halls Gap,119 ,3.6
Near Federation Sq Flinders St Station restaurants shopping & graffiti alleys,Melbourne,112 ,4.7
Fitzroy north oasis - 3 bedroom  apartment,Melbourne,170 ,4.7
The Forrest Cottage in Wheatsheaf,Hepburn Shire,414 ,5.0
Iris Cottage - 24 Prince Street Myrtleford,Myrtleford,269 ,5.0
Designer 3 Bedroom Heritage Central Melbourne CBD,Melbourne,338 ,4.8
BIG4 Bendigo Park Lane Holiday Park,City of Greater Bendigo,129 ,4.2
TREE TOP - Marysville VIC,Marysville (Victoria),278 ,4.0
Readyset on Upper West Side,Melbourne,139 ,3.9
Convenience and Luxurious Comfort in Carnegie,Melbourne,333 ,3.8
Wahroonga - in Central Carlton,Melbourne,328 ,5.0
2 BR Modern Apartment Melbourne CBD!,Melbourne,162 ,2.6
New - Blue Jay in the heart of Daylesford,Daylesford,420 ,5.0
Two story mudbrick home nestled in the Dandenong Ranges.,Melbourne,289 ,4.2
Gum Tree View - Welcoming Quiet Getaway Near Boutique Shops,Healesville,249 ,4.9
Cosmo Stays - Spacious 3-bedroom deluxe townhouse,Melbourne,384 ,4.8
The Ritz- large St Kilda apartment w amazing views,Melbourne,274 ,4.8
Opposite the beach with Wifi and secure undercover carpark,Melbourne,160 ,4.1
Southbank high-rise residence,Melbourne,258 ,3.6
Exotic Forest's Edge Sanctuary - Entire 3 Bedroom Cottage,Healesville,409 ,4.5
3 Bedroom Apt Convenient Location,Melbourne,354 ,5.0
City Stay at Melbourne Tower - Southbank **3BR+High Speed WiFi+Netflix+Parking**,Melbourne,414 ,4.9
Apartment Geilo 4 Excellent value,Falls Creek,387 ,5.0
Smart apartment in elegant suburb close to city,Melbourne,230 ,1.8
Dartmouth Mountain Retreat,Shire of Towong,132 ,3.8
Apartment 390m²,Melbourne,231 ,4.9
Quiet & Peaceful 3bed2bath HOME @Keilor Downs,Melbourne,249 ,5.0
HUSKI 2: Ideal Family & Friend Accommodation - Mt Buller Village,Mt Buller,498 ,5.0
Numurkah Self Contained Apartments  - The Saxton,Shire of Moira,143 ,5.0
Sophisicated Family Oasis in Richmond,Melbourne,792 ,5.0
Sun Apartments - Mt Hotham,Hotham Heights,292 ,4.8
LonsdaleStar:New2bed2bath High Floor View+CarPark+PoolGym,Melbourne,246 ,3.1
The Cottage at the Colonial,Shire of Moira,265 ,4.4
Tiptre - at Blampied,Hepburn Shire,221 ,4.0
Two Bedroom one bath room Standard  Cityview/Free Parking,Melbourne,263 ,4.4
"An ideal place to live while renovating. 
Classy 4bed/ 2bth",Melbourne,384 ,5.0
Melbourne's Crown Jewel 'The Victoria' - 4 Bedroom Rooftop Penthouse,Melbourne,"3,495 ",5.0
Beaumont Grange House,Melbourne,138 ,3.0
Cosy Mount Hotham Retreat,Hotham Heights,231 ,4.6
Shop Til You Drop At Sleek Unit In Hip Area,Melbourne,163 ,1.3
Hollywood Haven Mildura,Mildura VIC,218 ,3.8
For a good time or a long time,Ballarat,186 ,4.4
Magnolia House: 4BR 2 free car parking spaces & big backyard,Melbourne,554 ,5.0
Homely Getaways - Central Mildura,Mildura VIC,725 ,3.5
Clyvemore - Luxurious boutique accommodation in the heart of the Ballarat.,Ballarat,206 ,5.0
Whistler 1C 2 Bedrooms 2 Bathrooms,Mt Buller,420 ,3.8
