City,Council
Cowwarr (3857),Latrobe C  
Cowwarr (3857),Wellington S  
Craigie (3465),Central Goldfields S  
Craigieburn (3064),Hume C  
Cranbourne (3977),Casey C  
Cranbourne East (3977),Casey C  
Cranbourne North (3977),Casey C  
Cranbourne South (3977),Casey C  
Cranbourne West (3977),Casey C  
Creek Junction (3669),Benalla RC  
Creek Junction (3669),Mansfield S  
Creek Junction (3669),Strathbogie S  
Creek View (3558),Campaspe S  
Creighton (3666),Strathbogie S  
Creightons Creek (3666),Strathbogie S  
Cresmorne (3121),Yarra C  
Cressy (3322),Colac Otway S  
Cressy (3322),Corangamite S  
Cressy (3322),Golden Plains S  
Creswick (3363),Ballarat C  
Creswick (3363),Hepburn S  
Creswick North (3363),Hepburn S  
Crib Point (3919),Mornington Peninsula S  
Cromer (3193),Bayside C  
Crookayan (3858),Wellington S  
Crooked River (3862),Wellington S  
Cross Roads (3373),Pyrenees S  
Crossley (3283),Moyne S  
Crossover (3821),Baw Baw S  
Crowlands (3377),Ararat RC  
Crowlands (3377),Northern Grampians S  
Crowlands (3377),Pyrenees S  
Croxton East (3301),Southern Grampians S  
Croydon (3136),Maroondah C  
Croydon Hills (3136),Maroondah C  
Croydon North (3136),Maroondah C  
Croydon South (3136),Maroondah C  
Crymelon (3393),Hindmarsh S  
Crymelon (3393),Yarriambiack S  
Cudgee (3265),Moyne S  
Cudgewa (3705),Towong S  
Culgoa (3530),Buloke S  
Culla (3315),Southern Grampians S  
Cullen (3568),Gannawarra S  
Cullulleraine (3496),Mildura RC  
Cundare (3251),Colac Otway S  
Cundare North (3251),Colac Otway S  
Cundare North (3251),Corangamite S  
Curdie Vale (3268),Corangamite S  
Curdie Vale (3268),Moyne S  
Curdies River (3268),Corangamite S  
Curlewis (3222),Greater Geelong C  
Curyo (3483),Buloke S  
Dadswells Bridge (3385),Horsham RC  
Dadswells Bridge (3385),Nthn Grampians S  
Daisy Hill (3465),Central Goldfields S  
Dales Creek (3341),Moorabool S  
Dallas (3047),Hume C  
Dalmore (3981),Cardinia S  
Daltons Bridge (3568),Gannawarra S  
Dalyenong (-),Northern Grampians S  
Dalyston (3992),Bass Coast S  
Dandenong (3175),Greater Dandenong C  
Dandenong North (3175),Gr Dandenong C  
Dandenong South (3164),Gr Dandenong C  
Dandongadale (3737),Alpine S  
Dargo (3862),Alpine S  
Dargo (3862),Wellington S  
Darkbonee (3478),Northern Grampians S  
Darley (3340),Moorabool S  
Darlimurla (3871),Latrobe C  
Darlimurla (3871),South Gippsland S  
Darlington (3271),Corangamite S  
Darlington (3271),Moyne S  
Darnum (3822),Baw Baw S  
Darraweit Guim (3756),Macedon Ranges S  
Darriman (3851),Wellington S  
Dartmoor (3304),Glenelg S  
Dartmouth (3701),East Gippsland S  
Dartmouth (3701),Towong S  
Dawson (3858),Wellington S  
Daylesford (3460),Hepburn S  
Dean (3352),Hepburn S  
Deans Marsh (3235),Surf Coast S  
Deddick Valley (3888),East Gippsland S  
Dederang (3691),Alpine S  
Deep Lead (3381),Northern Grampians S  
Deer Park (3023),Brimbank C  
Delacombe (3356),Ballarat C  
Delahey (3037),Brimbank C  
Delatite (3723),Mansfield S  
Delburn (3871),Baw Baw S  
Delburn (3871),Latrobe C  
Delburn (3871),South Gippsland S  
Delegate River East (3888),East Gippsland S  
Dellicknora (3888),East Gippsland S  
Dendy (3186),Bayside C  
Denicull Creek (3377),Ararat RC  
Denison (3858),Wellington S  
Dennington (3280),Moyne S  
Dennington (3280),Warrnambool C  
Denver (3461),Hepburn S  
Denver (3461),Macedon Ranges S  
Deptford (3875),East Gippsland S  
Derby (3516),Loddon S  
Dereel (3352),Golden Plains S  
Dergholm (3312),Glenelg S  
Dergholm (3312),West Wimmera S  
Derrimut (3030),Brimbank C  
Derrinal (3523),Greater Bendigo C  
Derrinallum (3325),Corangamite S  
Devenish (3726),Benalla RC  
Devils River (3714),Murrindindi S  
Devon Meadows (3977),Casey C  
Devon North (3971),Wellington S  
Dewhurst (3808),Cardinia S  
Dhurringile (3610),Greater Shepparton C  
Diamond Creek (3089),Nillumbik S  
Diamond Hill (3550),Greater Bendigo C  
Digby (3309),Glenelg S  
Diggers Rest (3427),Hume C  
Diggers Rest (3427),Melton S  
Diggora (3561),Campaspe S  
Dimboola (3414),Hindmarsh S  
Dingee (3571),Campaspe S  
Dingee (3571),Loddon S  
Dingley Village (3172),Kingston C  
Dingwall (3579),Gannawarra S  
Dinner Plain (3898),Alpine S  
Dixie (3265),Corangamite S  
Dixons Creek (3775),Yarra Ranges S  
Dobie (3377),Ararat RC  
Docker (3678),Wangaratta RC  
Dockers Plains (3678),Wangaratta RC  
Docklands (3008),Melbourne C  
Doctors Flat (3895),East Gippsland S  
Dollar (3871),South Gippsland S  
Don Valley (3139),Yarra Ranges S  
Donald (3480),Buloke S  
Doncaster (3108),Manningham C  
Doncaster East (3109),Manningham C  
Donnybrook (3064),Whittlesea C  
Donvale (3111),Manningham C  
Dooboobetic (3478),Buloke S  
Dooen (3401),Horsham RC  
Dookie (3646),Greater Shepparton C  
Dookie College (3647),Greater Shepparton C  
Doreen (3754),Nillumbik S  
Doreen (3754),Whittlesea C  
Dorodong (3312),West Wimmera S  
Double Bridges (3893),East Gippsland S  
Douglas (3409),Horsham RC  
Douglas (3409),West Wimmera S  
Doveton (3177),Casey C  
Dreeite (3249),Colac Otway S  
Dreeite (3249),Corangamite S  
Dreeite South (3249),Colac Otway S  
Dreeite South (3249),Corangamite S  
Driffield (3840),Baw Baw S  
Driffield (3840),Latrobe C  
Drik Drik (3304),Glenelg S  
Dromana (3936),Mornington Peninsula S  
Dropmore (3660),Murrindindi S  
Drouin (3818),Baw Baw S  
Drouin East (3818),Baw Baw S  
Drouin South (3818),Baw Baw S  
Drouin West (3818),Baw Baw S  
Drumanure (3636),Moira S  
Drumborg (3304),Glenelg S  
Drumcondra (3215),Greater Geelong C  
Drummartin (3570),Campaspe S  
Drummartin (3570),Greater Bendigo C  
Drummond (3461),Hepburn S  
Drummond (3461),Macedon Ranges S  
Drummond North (3446),Hepburn S  
Drummond North (3446),Macedon Ranges S  
Drummond North (3446),Mt Alexander S  
Drung (3401),Horsham RC  
Dry Diggings (3461),Hepburn S  
Drysdale (3222),Greater Geelong C  
Duchembegarra (3409),Horsham RC  
Dudley South (3995),Bass Coast S  
Dumbalk (3956),South Gippsland S  
Dumbalk North (3956),South Gippsland S  
Dumosa (3527),Buloke S  
Dunach (3371),Central Goldfields S  
Dunach (3371),Hepburn S  
Dundonnell (3271),Moyne S  
Dunearn (3175),Greater Dandenong C  
Dunkeld (3294),Ararat RC  
Dunkeld (3294),Southern Grampians S  
Dunkirk (3630),Greater Shepparton C  
Dunluce (3472),Central Goldfields S  
Dunneworthy (3377),Ararat RC  
Dunneworthy (3377),Nthn Grampians S  
Dunnstown (3352),Moorabool S  
Dunolly (3472),Central Goldfields S  
Dunolly (3472),Loddon S  
Dunrobin (3312),Glenelg S  
Durdidwarrah (3342),Golden Plains S  
Durham Lead (3352),Ballarat C  
Durham Lead (3352),Golden Plains S  
Durham Lead (3352),Moorabool S  
Durham Ox (3576),Loddon S  
Dutson (3851),Wellington S  
Dutson Downs (3851),Wellington S  
Dutton Way (3305),Glenelg S  
Duverney (3323),Corangamite S  
Dysart (3660),Mitchell S  
Eagle Point (3878),East Gippsland S  
Eaglehawk (3556),Greater Bendigo C  
Eaglehawk North (3556),Gr Bendigo C  
Eaglemont (3084),Banyule C  
Earlston (3669),Strathbogie S  
East Melbourne (3002),Melbourne C  
Eastern View (3231),Surf Coast S  
Eastville (3463),Loddon S  
Eastville (3463),Mount Alexander S  
Ebden (3691),Wodonga RC  
Echuca (3564),Campaspe S  
Echuca Village (3564),Campaspe S  
Echuca West (3564),Campaspe S  
Ecklin South (3265),Corangamite S  
Ecklin South (3265),Moyne S  
Eddington (3472),Central Goldfields S  
Eddington (3472),Loddon S  
Eddington (3472),Mount Alexander S  
Eden Park (3757),Whittlesea C  
Edenhope (3318),West Wimmera S  
Edgecombe (3444),Macedon Ranges S  
Edi (3678),Wangaratta RC  
Edi Upper (3678),Wangaratta RC  
Edithvale (3196),Kingston C  
Eganstown (3461),Hepburn S  
Eildon (3713),Mansfield S  
Eildon (3713),Murrindindi S  
Elaine (3334),Moorabool S  
Elberton (3478),Northern Grampians S  
Eldorado (3746),Wangaratta RC  
Elevated Plains (3461),Hepburn S  
Elingamite (3266),Corangamite S  
Elingamite North (3266),Corangamite S  
Ellaswood (3875),East Gippsland S  
Ellerslie (3265),Moyne S  
Elliminyt (3250),Colac Otway S  
Ellinbank (3821),Baw Baw S  
Elmhurst (3469),Ararat RC  
Elmhurst (3469),Pyrenees S  
Elmore (3558),Campaspe S  
Elmore (3558),Greater Bendigo C  
Elphinstone (3448),Mount Alexander S  
Elsternwick (3185),Glen Eira C  
Eltham (3095),Banyule C  
Eltham (3095),Nillumbik S  
Eltham North (3095),Banyule C  
Eltham North (3095),Nillumbik S  
Elwood (3184),Port Phillip C  
Emerald (3782),Cardinia S  
Emerald (3782),Yarra Ranges S  
Emu (3475),Central Goldfields S  
Emu (3475),Loddon S  
Emu (3475),Northern Grampians S  
Emu Creek (3551),Greater Bendigo C  
Emu Flat (3522),Mitchell S  
Endeavour Hills (3802),Casey C  
Enfield (3352),Golden Plains S  
Englefield (3407),Southern Grampians S  
Ensay (3895),East Gippsland S  
Ensay North (3895),East Gippsland S  
Eppalock (3551),Greater Bendigo C  
Epping (3076),Whittlesea C  
Epsom (3551),Greater Bendigo C  
Ercildoune (3352),Ballarat C  
Ercildoune (3352),Pyrenees S  
Erica (3825),Baw Baw S  
Erinunderra (3889),East Gippsland S  
Eskdale (3701),Towong S  
Esmond (3730),Moira S  
Essendon (3040),Moonee Valley C  
Essendon North (3041),Moonee Valley C  
Essendon West (3040),Moonee Valley C  
Eumemmerring (3177),Casey C  
Eurack (3251),Colac Otway S  
Eureka (3350),Ballarat C  
Euroa (3666),Strathbogie S  
Eurobin (3739),Alpine S  
Evansford (3371),Hepburn S  
Evansford (3371),Pyrenees S  
Eversley (3377),Ararat RC  
Eversley (3377),Pyrenees S  
Everton (3678),Wangaratta RC  
Everton Upper (3678),Wangaratta RC  
Exford (3338),Melton S  
Eynesbury (3338),Melton S  
Eynesbury (3338),Wyndham C  
Fairbank (3951),South Gippsland S  
Fairfield (3078),Darebin C  
Fairfield (3078),Yarra C  
Fairhaven (3231),Surf Coast S  
Fairley (3579),Gannawarra S  
Fairy Dell (3561),Campaspe S  
Fairy Dell (3875),East Gippsland S  
Falls Creek (3699),Alpine S  
Faraday (3451),Mount Alexander S  
Fawcett (3714),Murrindindi S  
Fawkner (3060),Hume C  
Fawkner (3060),Moreland C  
Fentons Creek (3518),Loddon S  
Ferguson (3237),Colac Otway S  
Fern Hill (3458),Hepburn S  
Fern Hill (3458),Macedon Ranges S  
Fernbank (3864),East Gippsland S  
Fernbank (3864),Wellington S  
Ferndale (3821),Baw Baw S  
Fernihurst (3518),Loddon S  
Fernshaw (3778),Yarra Ranges S  
Ferntree Gully (3156),Knox C  
Ferny Creek (3786),Yarra Ranges S  
Fiery Flat (3520),Loddon S  
Fingal (3939),Mornington Peninsula S  
Fish Creek (3959),South Gippsland S  
Fish Point (3585),Swan Hill RC  
Fiskville (3342),Moorabool S  
Fitzroy (3065),Yarra C  
Fitzroy North (3068),Moreland C  
Fitzroy North (3068),Yarra C  
Flaggy Creek (3875),East Gippsland S  
Flagstaff (3465),Central Goldfields S  
Flamingo Beach (3851),Wellington S  
Flemington (3031),Melbourne C  
Flemington (3031),Moonee Valley C  
Flinders (3929),Mornington Peninsula S  
Flora Hill (3550),Greater Bendigo C  
Flowerdale (3658),Mitchell S  
Flowerdale (3717),Murrindindi S  
Flynn (3844),Latrobe C  
Flynn (3844),Wellington S  
Flynns Creek (3844),Latrobe C  
Flynns Creek (3844),Wellington S  
Footscray (3011),Maribyrnong C  
Footscray West (3012),Maribyrnong C  
Forbes (3764),Mitchell S  
Forest Hill (3131),Whitehorse C  
Forge Creek (3875),East Gippsland S  
Forrest (3236),Colac Otway S  
Foster (3960),South Gippsland S  
Foster North (3960),South Gippsland S  
Fosterville (3557),Greater Bendigo C  
Fountain Gate (3805),Casey C  
Foxhow (3323),Corangamite S  
Framlingham (3265),Moyne S  
Framlingham East (3265),Moyne S  
Franklinford (3461),Hepburn S  
Franklinford (3461),Mount Alexander S  
Frankston (3199),Frankston C  
Frankston North (3200),Frankston C  
Frankston South (3199),Frankston C  
Freeburgh (3741),Alpine S  
Frenchmans (3384),Pyrenees S  
Freshwater Creek (3216),Surf Coast S  
Fryerstown (3451),Mount Alexander S  
Fulham (3851),Wellington S  
Fumina (3825),Baw Baw S  
Fumina South (3825),Baw Baw S  
Fyans Creek (3381),Northern Grampians S  
Fyansford (3221),Greater Geelong C  
Gaffneys Creek (3723),Mansfield S  
Gainsborough (3822),Baw Baw S  
Gannawarra (3568),Gannawarra S  
Gapsted (3737),Alpine S  
Garden City (3207),Port Phillip C  
Gardenvale (3185),Glen Eira C  
Garfield (3814),Cardinia S  
Garfield North (3814),Cardinia S  
Garibaldi (3352),Golden Plains S  
Garvoc (3265),Corangamite S  
Garvoc (3265),Moyne S  
Gateway Island (3691),Wodonga RC  
Gatum (3407),Southern Grampians S  
Gazette (3289),Moyne S  
Gazette (3289),Southern Grampians S  
Geelong (3220),Greater Geelong C  
Geelong East (3219),Greater Geelong C  
Geelong North (3215),Greater Geelong C  
Geelong South (3220),Greater Geelong C  
Geelong West (3218),Greater Geelong C  
Gelantipy (3885),East Gippsland S  
Gellibrand (3239),Colac Otway S  
Gellibrand Lower (3237),Colac Otway S  
Gellibrand Lower (3237),Corangamite S  
Gelliondale (3971),Wellington S  
Gembrook (3783),Cardinia S  
Genoa (3891),East Gippsland S  
Gentle Annie (3833),Baw Baw S  
Georges Creek (3700),Towong S  
Gerahmin (3546),Swan Hill RC  
Gerang Gerung (3418),Hindmarsh S  
Gerangamete (3243),Colac Otway S  
Germania (3381),Northern Grampians S  
Germantown (3741),Alpine S  
Gerrigerrup (3289),Moyne S  
Gherang (3240),Surf Coast S  
Gheringhap (3331),Golden Plains S  
Ghin Ghin (3717),Murrindindi S  
Giffard (3851),Wellington S  
Giffard West (3851),Wellington S  
Gil Gil (3480),Buloke S  
Gilderoy (3797),Yarra Ranges S  
Gillieston (3616),Greater Shepparton C  
Gillum (3858),Wellington S  
Gipsy Point (3891),East Gippsland S  
Girgarre (3624),Campaspe S  
Girgarre East (3616),Greater Shepparton C  
Gisborne (3437),Macedon Ranges S  
Gisborne South (3437),Macedon Ranges S  
Gladfield (3575),Loddon S  
Gladstone Park (3043),Hume C  
Gladysdale (3797),Yarra Ranges S  
Glen Alvie (3979),Bass Coast S  
Glen Creek (3691),Alpine S  
Glen Falloch (3858),Wellington S  
Glen Forbes (3990),Bass Coast S  
Glen Huntly (3163),Glen Eira C  
Glen Iris (3146),Boroondara C  
Glen Iris (3146),Stonnington C  
Glen Park (3352),Ballarat C  
Glen Park (3352),Moorabool S  
Glen Valley (3898),East Gippsland S  
Glen Waverely (3150),Monash C  
Glen Wills (3898),East Gippsland S  
Glenaire (3238),Colac Otway S  
Glenaladale (3864),East Gippsland S  
Glenalbyn (3517),Loddon S  
Glenaroua (3764),Mitchell S  
Glenbrae (3352),Pyrenees S  
Glenburn (3717),Murrindindi S  
Glendaruel (3363),Ballarat C  
Glendonnel (3364),Ballarat C  
Glenferrie South (3122),Boroondara C  
Glenfyne (3266),Corangamite S  
Glengara (3020),Brimbank C  
Glengarry (3854),Latrobe C  
Glengarry (3854),Wellington S  
Glengarry North (3854),Baw Baw S  
Glengarry North (3854),Latrobe C  
Glengarry West (3854),Latrobe C  
Glengower (3370),Central Goldfields S  
Glengower (3370),Hepburn S  
Glenhope (3444),Macedon Ranges S  
Glenhope (3444),Mitchell S  
Glenhope East (3444),Mitchell S  
Glenisla (3314),Northern Grampians S  
Glenisla (3314),Southern Grampians S  
Glenlee (3418),Hindmarsh S  
Glenlofty (3469),Pyrenees S  
Glenlogie (3469),Ararat RC  
Glenlogie (3469),Pyrenees S  
Glenloth (3527),Buloke S  
Glenloth East (3527),Buloke S  
Glenloth East (3527),Loddon S  
Glenluce (3451),Mount Alexander S  
Glenlyon (3461),Hepburn S  
Glenmaggie (3858),Wellington S  
Glenmore (3340),Moorabool S  
Glenorchy (3385),Northern Grampians S  
Glenormiston North (3265),Corangamite S  
Glenormiston North (3265),Moyne S  
Glenormiston South (3265),Corangamite S  
Glenpatrick (3469),Pyrenees S  
Glenrowan (3675),Benalla RC  
Glenrowan (3675),Wangaratta RC  
Glenrowan West (3675),Benalla RC  
Glenroy (3046),Moreland C  
Glenthompson (3293),Ararat RC  
Glenthompson (3293),Sthn Grampians S  
Glomar Beach (3851),Wellington S  
Gnarwarre (3221),Surf Coast S  
Gnotuk (3260),Corangamite S  
Gobur (3719),Murrindindi S  
Golden Beach (3851),Wellington S  
Golden Gully (3555),Greater Bendigo C  
Golden Point (3350),Ballarat C  
Golden Point (3465),Central Goldfields S  
Golden Point (3451),Mount Alexander S  
Golden Square (3555),Greater Bendigo C  
Goldie (3435),Macedon Ranges S  
Goldsborough (3472),Central Goldfields S  
Goldsborough (3472),Loddon S  
Gong Gong (3352),Ballarat C  
Gonn Crossing (3579),Gannawarra S  
Goomalibee (3673),Benalla RC  
Goon Nure (3875),East Gippsland S  
Goongerah (3888),East Gippsland S  
Gooram (3666),Murrindindi S  
Gooram (3666),Strathbogie S  
Gooramadda (3685),Indigo S  
Goorambat (3725),Benalla RC  
Goornong (3557),Greater Bendigo C  
Gooroc (3478),Northern Grampians S  
Gorae (3305),Glenelg S  
Gorae West (3305),Glenelg S  
Gordon (3345),Moorabool S  
Gormandale (3873),Wellington S  
Goroke (3412),West Wimmera S  
Goschen (3585),Swan Hill RC  
Goughs Bay (3723),Mansfield S  
Goulburn Weir (3608),Strathbogie S  
Gowanbrae (3043),Moreland C  
Gowanford (3544),Swan Hill RC  
Gowangardie (3669),Greater Shepparton C  
Gowar East (3478),Loddon S  
Gowar East (3478),Northern Grampians S  
Gower (3451),Mount Alexander S  
Grahamvale (3631),Greater Shepparton C  
Grampians (3314),Southern Grampians S  
Grand Ridge (3870),Latrobe C  
Grand Ridge (3870),Wellington S  
Granite Flat (3525),Buloke S  
Granite Rock (3875),East Gippsland S  
Grantville (3984),Bass Coast S  
Granya (3701),Towong S  
Grass Flat (3409),Horsham RC  
Grass Flat (3409),West Wimmera S  
Grassdale (3302),Glenelg S  
Grassmere (3281),Moyne S  
Grays Bridge (3381),Northern Grampians S  
Graytown (3608),Strathbogie S  
Gre Gre (3478),Northern Grampians S  
Gre Gre North (3478),Nthn Grampians S  
Gre Gre South (3478),Nthn Grampians S  
Great Northern (3685),Indigo S  
Great Western (3377),Ararat RC  
Great Western (3377),Nthn Grampians S  
Gredgwin (3537),Gannawarra S  
Gredgwin (3537),Loddon S  
Green Gully (3462),Mount Alexander S  
Green Lake (3401),Horsham RC  
Greendale (3341),Moorabool S  
Greenhill (3444),Macedon Ranges S  
Greenhill (3444),Mount Alexander S  
Greenland Dam (3401),Horsham RC  
Greenmount (3971),Wellington S  
Greens Creek (3381),Nthn Grampians S  
Greensborough (3088),Banyule C  
Greensborough (3088),Nillumbik S  
Greenvale (3059),Hume C  
Greenwald (3304),Glenelg S  
Grenville (3352),Golden Plains S  
Grenville (3357),Moorabool S  
Greta (3675),Wangaratta RC  
Greta South (3675),Wangaratta RC  
Greta West (3675),Benalla RC  
Greta West (3675),Wangaratta RC  
Grey River (3221),Colac Otway S  
Greythorn (3104),Boroondara C  
Gringegalgona (3315),Sthn Grampians S  
Gritjurk (3315),Southern Grampians S  
Grovedale (3216),Greater Geelong C  
Gruyere (3770),Yarra Ranges S  
Guildford (3451),Hepburn S  
Guildford (3451),Mount Alexander S  
Gunbower (3566),Campaspe S  
Gundowring (3691),Alpine S  
Gundowring (3691),Indigo S  
Gunyah (3960),South Gippsland S  
Guys Forest (3709),Towong S  
Guys Hill (3807),Cardinia S  
Gymbowen (3401),West Wimmera S  
Haddon (3351),Golden Plains S  
Hadfield (3046),Moreland C  
Hallam (3803),Casey C  
Hallora (3818),Baw Baw S  
Halls Gap (3381),Ararat RC  
Halls Gap (3381),Northern Grampians S  
Hallston (3953),Baw Baw S  
Hallston (3953),South Gippsland S  
Hamilton (3300),Southern Grampians S  
Hamlyn Heights (3215),Greater Geelong C  
Hampton (3188),Bayside C  
Hampton East (3188),Bayside C  
Hampton Park (3976),Casey C  
Hanging Rock (3442),Macedon Ranges S  
Hansonville (3675),Wangaratta RC  
Happy Valley (3360),Golden Plains S  
Happy Valley (3549),Swan Hill RC  
Harcourt (3453),Mount Alexander S  
Harcourt North (3453),Greater Bendigo C  
Harcourt North (3453),Mount Alexander S  
Harkaway (3806),Casey C  
Harmers Haven (3995),Bass Coast S  
Harrietville (3741),Alpine S  
Harrow (3317),Southern Grampians S  
Harrow (3317),West Wimmera S  
Harston (3616),Campaspe S  
Harston (3616),Greater Shepparton C  
Hartwell (3124),Boroondara C  
Hastings (3915),Mornington Peninsula S  
Hattah (3501),Mildura RC  
Havelock (3465),Central Goldfields S  
Haven (3401),Horsham RC  
Havilah (3737),Alpine S  
Hawkesdale (3287),Moyne S  
Hawkhurst (3862),Wellington S  
Hawksburn (3142),Stonnington C  
Hawthorn (3122),Boroondara C  
Hawthorn East (3123),Boroondara C  
Haydens Bog (3888),East Gippsland S  
Hazel Park (3966),South Gippsland S  
Hazeldene (3658),Murrindindi S  
Hazelwood (3840),Latrobe C  
Hazelwood North (3840),Latrobe C  
Hazelwood South (3840),Latrobe C  
Healesville (3777),Yarra Ranges S  
Heath Hill (3981),Baw Baw S  
Heath Hill (3981),Cardinia S  
Heathcote (3523),Greater Bendigo C  
Heathcote Junction (3758),Mitchell S  
Heathcote South (3523),Mitchell S  
Heatherton (3202),Kingston C  
Heathmere (3305),Glenelg S  
Heathmont (3135),Maroondah C  
Hedley (3967),South Gippsland S  
Hedley (3967),Wellington S  
Heidelberg (3084),Banyule C  
Heidelberg Heights (3081),Banyule C  
Heidelberg West (3081),Banyule C  
Hensley Park (3301),Sthn Grampians S  
Henty (3312),Glenelg S  
Hepburn (3461),Hepburn S  
Hepburn Springs (3461),Hepburn S  
Herne Hill (3218),Greater Geelong C  
Hernes Oak (3825),Baw Baw S  
Hernes Oak (3825),Latrobe C  
Hesket (3442),Macedon Ranges S  
Hesse (3321),Golden Plains S  
Hexham (3273),Moyne S  
Heyfield (3858),Wellington S  
Heytesbury Lower (3268),Corangamite S  
Heytesbury Lower (3268),Moyne S  
Heywood (3304),Glenelg S  
Hiamdale (3847),Wellington S  
Hiawatha (3971),Wellington S  
High Camp (3764),Mitchell S  
Highett (3190),Bayside C  
Highett (3190),Kingston C  
Highlands (3660),Mitchell S  
Highlands (3660),Murrindindi S  
Highton (3216),Greater Geelong C  
Hilgay (3315),Southern Grampians S  
Hill End (3825),Baw Baw S  
Hillcrest (3351),Pyrenees S  
Hilldene (3662),Mitchell S  
Hillside (3875),Brimbank C  
Hillside (3875),East Gippsland S  
Hillside (3037),Melton S  
Hinnomunjie (3898),East Gippsland S  
HMAS Cerberus (3920),Mornington Pen S  
Hoddle (3959),South Gippsland S  
Hoddles Creek (3139),Yarra Ranges S  
Hollands Landing (3862),East Gippsland S  
Hollands Landing (3862),Wellington S  
Holmesglen (3148),Stonnington C  
Homebush (3465),Pyrenees S  
Homerton (3304),Glenelg S  
Homewood (3717),Murrindindi S  
Hopetoun (3396),Yarriambiack S  
Hopetoun Gardens (3162),Glen Eira C  
Hopetoun Park (3340),Moorabool S  
Hopevale (3396),Yarriambiack S  
Hoppers Crossing (3029),Wyndham C  
Horden Vale (3238),Colac Otway S  
Horfield (3567),Gannawarra S  
Horfield (3567),Loddon S  
Horsham (3400),Horsham RC  
Hotham Heights (3741),Alpine S  
Hotham Hill (3051),Melbourne C  
Hotspur (3303),Glenelg S  
Houston (3128),Whitehorse C  
Howes Creek (3723),Mansfield S  
Howitt Plains (3858),Mansfield S  
Howitt Plains (3858),Wellington S  
Howqua (3723),Mansfield S  
Howqua Hills (3723),Mansfield S  
Howqua Inlet (3723),Mansfield S  
Howqua Plains (3722),Mansfield S  
Hughesdale (3166),Monash C  
Hume Weir (3691),Wodonga RC  
Humevale (3757),Whittlesea C  
Hunter (3558),Greater Bendigo C  
Hunterston (3971),Wellington S  
Huntingdale (3166),Monash C  
Huntly (3551),Greater Bendigo C  
Huntly North (3551),Greater Bendigo C  
Huon (3695),Indigo S  
Huon (3695),Towong S  
Huon Creek (3691),Wodonga RC  
Hurstbridge (3099),Nillumbik S  
Icy Creek (3833),Baw Baw S  
Iguana Creek (3875),East Gippsland S  
Illabarook (3351),Golden Plains S  
Illawarra (3381),Northern Grampians S  
Illowa (3282),Moyne S  
Illowa (3282),Warrnambool C  
Indented Head (3223),Greater Geelong C  
Indigo (3683),Indigo S  
Indigo Valley (3688),Indigo S  
Inglewood (3517),Loddon S  
Ingliston (3342),Moorabool S  
Inkerman (3472),Central Goldfields S  
Inkerman (3472),Loddon S  
Invergordon (3636),Moira S  
Invergordon South (3634),Greater Shepparton C  
Inverleigh (3321),Golden Plains S  
Inverleigh (3321),Surf Coast S  
Inverloch (3996),Bass Coast S  
Inverloch (3996),South Gippsland S  
Invermay (3352),Ballarat C  
Invermay (3352),Hepburn S  
Invermay Park (3350),Ballarat C  
Iona (3815),Cardinia S  
Iraak (3494),Mildura RC  
Irishtown (3451),Mount Alexander S  
Ironbark (3550),Greater Bendigo C  
Irrewarra (3249),Colac Otway S  
Irrewillipe (3249),Colac Otway S  
Irrewillipe West (3249),Colac Otway S  
Irymple (3498),Mildura RC  
Ivanhoe (3079),Banyule C  
Ivanhoe East (3079),Banyule C  
- - J - -  ,
Jacana (3047),Hume C  
Jack River (3971),Wellington S  
Jackass Flat (3556),Greater Bendigo C  
Jacob Creek (3825),Baw Baw S  
Jam Jerrup (3984),Bass Coast S  
Jamieson (3723),Mansfield S  
Jan Juc (3228),Surf Coast S  
Jancourt (3266),Corangamite S  
Jancourt East (3266),Colac Otway S  
Jancourt East (3266),Corangamite S  
Jarklin (3517),Loddon S  
Jarrahmond (3888),East Gippsland S  
Jarvis Creek (3700),Towong S  
Jeeralang (3840),Latrobe C  
Jeeralang Junction (3840),Latrobe C  
Jeetho (3945),South Gippsland S  
Jeffcott (3480),Buloke S  
Jeffcott North (3480),Buloke S  
Jeparit (3423),Hindmarsh S  
Jericho (3825),Baw Baw S  
Jeruk (3527),Buloke S  
Jil Jil (3483),Buloke S  
Jilpanger (3409),Horsham RC  
Jindivick (3818),Baw Baw S  
Joel Joel (3381),Northern Grampians S  
Joel South (3381),Northern Grampians S  
Johanna (3238),Colac Otway S  
Johnsonville (3902),East Gippsland S  
Johnstones Hill (3870),Wellington S  
Joyces Creek (3462),Central Goldfields S  
Joyces Creek (3462),Mount Alexander S  
Jumbuk (3869),Latrobe C  
Jumbunna (3951),South Gippsland S  
Junction Village (3977),Casey C  
Jung (3401),Horsham RC  
Jung (3401),Yarriambiack S  
Jungaburra (3575),Loddon S  
Junortoun (3551),Greater Bendigo C  
Kaarimba (3635),Moira S  
Kadnook (3318),West Wimmera S  
Kalimna (3909),East Gippsland S  
Kalimna West (3909),East Gippsland S  
Kalkallo (3064),Hume C  
Kalkee (3401),Horsham RC  
Kallista (3791),Yarra Ranges S  
Kalorama (3766),Yarra Ranges S  
Kalpienung (3529),Buloke S  
Kamarooka (3570),Greater Bendigo C  
Kamarooka (3570),Loddon S  
Kamarooka North (3571),Loddon S  
Kanagulk (3401),Horsham RC  
Kancoona (3691),Alpine S  
