City,Council
Barongarook West (3249),Colac Otway S  
Barrabool (3221),Surf Coast S  
Barrakee (3525),Buloke S  
Barramunga (3249),Colac Otway S  
Barraport (3537),Loddon S  
Barraport West (3537),Loddon S  
Barrys Reef (3458),Moorabool S  
Barunah Park (3329),Golden Plains S  
Barwidgee (3737),Alpine S  
Barwite (3722),Mansfield S  
Barwon Downs (3243),Colac Otway S  
Barwon Heads (3227),Greater Geelong C  
Basalt (3460),Hepburn S  
Bass (3991),Bass Coast S  
Batesford (3221),Golden Plains S  
Batesford (3221),Greater Geelong C  
Bathumi (3730),Moira S  
Batman (3058),Moreland C  
Baw Baw (3833),Baw Baw S  
Baw Baw Village (3833),Baw Baw S  
Baxter (3911),Mornington Peninsula S  
Bayindeen (3375),Ararat RC  
Bayles (3981),Cardinia S  
Baynton (3444),Macedon Ranges S  
Baynton East (3444),Macedon Ranges S  
Bayswater (3153),Knox C  
Bayswater North (3153),Maroondah C  
Beaconsfield (3807),Cardinia S  
Beaconsfield (3807),Casey C  
Beaconsfield Upper (3808),Cardinia S  
Bealiba (3475),Central Goldfields S  
Bealiba (3475),Loddon S  
Bearii (3641),Moira S  
Bears Lagoon (3517),Loddon S  
Beauchamp (3579),Gannawarra S  
Beauchamp (3579),Swan Hill RC  
Beaufort (3373),Pyrenees S  
Beaumaris (3193),Bayside C  
Beazleys Bridge (3478),Nthn Grampians S  
Beeac (3251),Colac Otway S  
Beech Forest (3237),Colac Otway S  
Beechworth (3747),Indigo S  
Beenak (3139),Yarra Ranges S  
Belgrave (3160),Yarra Ranges S  
Belgrave Heights (3160),Yarra Ranges S  
Belgrave South (3160),Yarra Ranges S  
Bell Park (3215),Greater Geelong C  
Bell Post Hill (3215),Greater Geelong C  
Bellarine (3221),Greater Geelong C  
Bellbird Creek (3889),East Gippsland S  
Bellbrae (3228),Surf Coast S  
Bellbridge (3691),Towong S  
Bellellen (3380),Northern Grampians S  
Bellfield (3081),Banyule C  
Bellfield (3381),Northern Grampians S  
Bellfield (3381),Southern Grampians S  
Bells Beach (3228),Surf Coast S  
Belmont (3216),Greater Geelong C  
Bemm River (3889),East Gippsland S  
Bena (3946),South Gippsland S  
Benalla (3672),Benalla RC  
Benambra (3900),East Gippsland S  
Benayeo (3319),West Wimmera S  
Bend of Islands (3097),Nillumbik S  
Bendigo (3550),Greater Bendigo C  
Bendigo East (3550),Greater Bendigo C  
Bendigo North (3550),Greater Bendigo C  
Bendigo West (3550),Greater Bendigo C  
Bendoc (3888),East Gippsland S  
Bengworden (3875),East Gippsland S  
Benjeroop (3579),Gannawarra S  
Benloch (3435),Macedon Ranges S  
Bennettswood (3125),Whitehorse C  
Bennison (3960),South Gippsland S  
Bentleigh (3204),Glen Eira C  
Bentleigh East (3165),Glen Eira C  
Benwerrin (3235),Surf Coast S  
Beremboke (3342),Moorabool S  
Berrimal (3518),Loddon S  
Berringa (3351),Golden Plains S  
Berringama (3691),Towong S  
Berriwillock (3531),Buloke S  
Berrybank (3323),Corangamite S  
Berrybank (3323),Golden Plains S  
Berrys Creek (3953),South Gippsland S  
Berwick (3806),Casey C  
Bessiebelle (3304),Glenelg S  
Bessiebelle (3304),Moyne S  
Bet Bet (3472),Central Goldfields S  
Bete Bolong (3888),East Gippsland S  
Bete Bolong North (3888),East Gippsland S  
Bethanga (3691),Towong S  
Betley (3472),Central Goldfields S  
Beulah (3395),Yarriambiack S  
Beverford (3590),Swan Hill RC  
Beveridge (3753),Mitchell S  
Beveridge (3753),Whittlesea C  
Big Desert (-),Hindmarsh S  
Big Desert (-),Mildura RC  
Big Desert (-),West Wimmera S  
Big Hill (3555),Greater Bendigo C  
Big Hill (3231),Surf Coast S  
Big Pats Creek (3799),Yarra Ranges S  
Biggara (3707),Towong S  
Billabong (3858),Wellington S  
Bimbourie (3533),Buloke S  
Bindi (3896),East Gippsland S  
Binginwarri (3966),South Gippsland S  
Binginwarri (3966),Wellington S  
Bingo Munji (3898),East Gippsland S  
Birchip (3483),Buloke S  
Birchip West (3483),Buloke S  
Birdwoodton (3505),Mildura RC  
Birregurra (3242),Colac Otway S  
Birregurra (3242),Surf Coast S  
Bittern (3918),Mornington Peninsula S  
Black Hill (3350),Ballarat C  
Black Range (-),Ararat RC  
Black Range (-),Northern Grampians S  
Black Rock (3193),Bayside C  
Blackburn (3130),Whitehorse C  
Blackburn North (3130),Whitehorse C  
Blackburn South (3130),Whitehorse C  
Blackheath (3401),Horsham RC  
Blackwarry (3844),Wellington S  
Blackwood (3458),Moorabool S  
Blackwood Forest (3992),Bass Coast S  
Blackwood North (3458),Hepburn S  
Blairgowrie (3942),Mornington Peninsula S  
Blakeville (3342),Moorabool S  
Blampied (3364),Hepburn S  
Blind Bight (3980),Casey C  
Blowhard (3352),Ballarat C  
Bo Peep (3351),Ballarat C  
Bo Peep (3351),Pyrenees S  
Bobinawarrah (3678),Wangaratta RC  
Bochara (3301),Southern Grampians S  
Bogong (3699),Alpine S  
Boho (3669),Strathbogie S  
Boho South (3669),Benalla RC  
Boho South (3669),Strathbogie S  
Boigbeat (3531),Buloke S  
Boinka (3490),Mildura RC  
Boisdale (3860),Wellington S  
Bolangum (3381),Northern Grampians S  
Bolinda (3432),Macedon Ranges S  
Bolton (3546),Swan Hill RC  
Bolwarra (3305),Glenelg S  
Bolwarrah (3352),Moorabool S  
Bona Vista (3820),Baw Baw S  
Bonang (3888),East Gippsland S  
Bonbeach (3196),Kingston C  
Bonegilla (3691),Wodonga RC  
Boneo (3939),Mornington Peninsula S  
Bonnie Doon (3720),Benalla RC  
Bonnie Doon (3720),Mansfield S  
Bonshaw (3356),Ballarat C  
Bookaar (3260),Corangamite S  
Boola (3825),Baw Baw S  
Boola (3825),Latrobe C  
Boolarong (3960),South Gippsland S  
Boolarra (3870),Latrobe C  
Boolarra (3870),South Gippsland S  
Boolarra South (3870),Latrobe C  
Boolarra South (3870),South Gippsland S  
Boole Poole (3880),East Gippsland S  
Boolite (3480),Yarriambiack S  
Boomahnoomoonah (3728),Moira S  
Boonah (3235),Surf Coast S  
Boorcan (3265),Corangamite S  
Boorhaman (3678),Wangaratta RC  
Boorhaman East (3678),Wangaratta RC  
Boorhaman North (3685),Wangaratta RC  
Boorolite (3723),Mansfield S  
Boorool (3953),South Gippsland S  
Boort (3537),Loddon S  
Boosey (3730),Moira S  
Boralma (3682),Wangaratta RC  
Bornes Hill (3379),Ararat RC  
Boronia (3155),Knox C  
Borung (3518),Loddon S  
Bostock Creek (3260),Corangamite S  
Boundary Bend (3599),Swan Hill RC  
Bowenvale (3465),Central Goldfields S  
Boweya (3675),Benalla RC  
Boweya (3675),Wangaratta RC  
Boweya North (3675),Moira S  
Bowmans Forest (3735),Wangaratta RC  
Bowser (3678),Wangaratta RC  
Box Hill (3128),Whitehorse C  
Box Hill North (3129),Whitehorse C  
Box Hill South (3128),Whitehorse C  
Boxwood (3725),Benalla RC  
Boxwood (3725),Greater Shepparton C  
Bradford (3463),Mount Alexander S  
Bradvale (3361),Corangamite S  
Braeside (3195),Kingston C  
Branditt (3630),Greater Shepparton C  
Brandy Creek (3821),Baw Baw S  
Branxholme (3302),Glenelg S  
Branxholme (3302),Southern Grampians S  
Bravington (3821),Baw Baw S  
Braybrook (3019),Maribyrnong C  
