Hotel_name,Hotel_city,Hotel_price
"""206 Studio on Acland"" - Pearl Apartments",Melbourne,A$135 / night
"Stylishly appointed, Family, Executives, Parking, Cafes 350m, Public Transport",Melbourne,A$305 / night
Petite and Sweet Pad close to St Kilda Beach,Melbourne,A$129 / night
"""Luna Suite"" - Pearl Apartments",Melbourne,A$159 / night
"Very Clean Private Room, Apartment shared with owner, Grand Prix Track, Beach",Melbourne,A$146 / night
Cosy Modern Apartment With Leafy Courtyard,Melbourne,A$144 / night
Chic CBD Studio in Heritage House with Pool and BBQ,Melbourne,A$144 / night
Homewood Apartment-Self contained apartment,City of Greater Shepparton,A$102 / night
"""Serendipity"" – Pearl Apartments",Melbourne,A$124 / night
CONVENIENCE in Melbourne CBD 1BR Apt + FREE WIFI,Melbourne,A$257 / night
"Bright and Cosy Apartment with Terrific View, Cbd",Melbourne,A$184 / night
Nelse Lodge,Falls Creek,A$190 / night
Camberwell Serviced Apartments,Melbourne,A$231 / night
"Long Stay Discount, Parking, Degraves St, Corporates, Families,Couples, Shopping",Melbourne,A$342 / night
Waterfront 2 Bedroom - Freshwater Place,Melbourne,A$389 / night
Bright and clean studio apartment in St Kilda with WIFI,Melbourne,A$148 / night
Comfort Zone in Melbourne City 10,Melbourne,A$141 / night
Stylish 2-bed 2 bath with free parking+pool+gym+wifi,Melbourne,A$251 / night
The Icart - Sophistication at its Best,Melbourne,A$547 / night
"Light, airey 2 storey 2 deck penthouse in Collingwood nr cafes restaurants trams",Melbourne,A$345 / night
"StayCentral - CBD Little Paris, cafes shops trams",Melbourne,A$289 / night
Forget Me Not Moonlight Blue Miners' Cottage Daylesford,Daylesford,A$181 / night
Upper West Side - Madison,Melbourne,A$271 / night
Apartments @ Port of Sale 2 bedrooms,Shire of Wellington,A$210 / night
Central & Stylish - Quiet & Comfortable,Melbourne,A$169 / night
Elegant 2BR@Footscray Station,Melbourne,A$216 / night
"""Studio 306"" – Pearl Apartments",Melbourne,A$165 / night
Bungunyah Apartments: Margriet,Melbourne,A$200 / night
PERFECT High country retreat for TWO!,Dinner Plain,A$458 / night
"A destination for lovers of art, architecture and romance!",Bright VIC,A$665 / night
Retro styled 1 bedroom.,Daylesford,A$251 / night
Melbourne Chinatown 2 bedrooms APARTMENTs,Melbourne,A$237 / night
"Stylish, 2 bedroom Victorian terrace, 1860's old charm & modern renovation!",Melbourne,A$431 / night
Private *5* Star Apartment in heart of Melbourne,Melbourne,A$268 / night
Charming Double Storey Apartment in the heart of Brunswick,Melbourne,A$215 / night
2 BR Urban Apartment Melbourne CBD,Melbourne,A$182 / night
StayCentral in Brunswick & Parkville 2Br near cafes restaurants shops bars trams,Melbourne,A$278 / night
Modern and Luxurious 2 Bed 2 Bath Apartment,Melbourne,A$227 / night
Surrey | Family Home,City of Greater Bendigo,A$177 / night
"A's Funky Retro Wonderland - Prime Location in Thornbury, close to everything!",Melbourne,A$213 / night
Luxurious Living with Unbeatable Views,Melbourne,A$209 / night
Modern Edwardian 2 bedroom beach house inquiet tree lined street 2 mins to beach,Melbourne,A$461 / night
The Hive Graffiti Apartments,Melbourne,A$169 / night
Bungunyah Apartments: Kaori,Melbourne,A$209 / night
Brand New APT with Sea Views in Heart of St Kilda,Melbourne,A$207 / night
Modern Apartment - Southbank,Melbourne,A$285 / night
Wheelchair Accessible 1 Bedroom Apartment,Melbourne,A$162 / night
Domi Rentals - The Hawthorn Residence,Melbourne,A$222 / night
One Bedroom with Water View/Free park,Melbourne,A$221 / night
"Atelier Apartment - Easy Walk to MCG, Rod Laver, Melbourne Park and the City",Melbourne,A$226 / night
Blue Rosella on Piper,Kyneton,A$276 / night
"Modern, Spacious Apartment in an Amazing Location",Melbourne,A$170 / night
Great view of Sunset South Yarra on 21st floor,Melbourne,A$516 / night
Modern 1 Bedroom Apartment in Richmond,Melbourne,A$179 / night
MAGPIE NEST - All you need for a comfortable getaway,Marysville (Victoria),A$286 / night
Luxury Art Deco Lifestyle,Melbourne,A$235 / night
Beachfront Apartment Elwood,Melbourne,A$182 / night
StayCentral on Northcote Hill views shops trams,Melbourne,A$327 / night
Bayside Luxe Sandringham 2 Bedroom Apartment,Melbourne,A$205 / night
A Modern 2BR Apt Near Federation Square,Melbourne,A$177 / night
City living & immaculate spacious in Southbank,Melbourne,A$285 / night
'Bogong' a romantic chalet for couples,Dinner Plain,A$455 / night
Collingwood Central Seven,Melbourne,A$468 / night
"""Sea Breeze"" - Pearl Apartments St Kilda",Melbourne,A$102 / night
DesignLife :Spacious Design Location,Melbourne,A$220 / night
Cozy APT Opposite Southern Cross station,Melbourne,A$258 / night
"Scarlett · Docklands Delight | Balcony, Gym & Pool",Melbourne,A$211 / night
Mansi on Raymond Accessible Room,Shire of Wellington,A$199 / night
Family Friendly: Feed your soul : Cosy and warm.,Shire of Moorabool,A$123 / night
Hawthorn East 2 Bedroom Apt Wifi Netflix Parking quiet,Melbourne,A$120 / night
Light-Filled Beachside Apartment in Trendy Area,Melbourne,A$155 / night
"StayCentral on Little Collins, 2 bdrm CBD shops",Melbourne,A$555 / night
"8 minutes Walk to clayton train station, close to monash medical center.",Melbourne,A$180 / night
Briar Hill Accommodation,Melbourne,A$149 / night
BOUTIQUE STAYS – Ace's Place - perfectly located near Chapel and Swan streets,Melbourne,A$214 / night
Funky loft Apartment in Melbourne on Spencer st close to everything melbourne has to offer!,Melbourne,A$153 / night
Kiss me by the City-quiet & pretty inner city retreat to unwind & rejuvenate,Melbourne,A$331 / night
The Residence - Domain,Melbourne,A$460 / night
Mansi on Raymond Villa Studio,Shire of Wellington,A$199 / night
Whole Apartment right in the heart of Melbourne,Melbourne,A$233 / night
♦ A Central & Cozy 2BR Apt Near Federation Square,Melbourne,A$177 / night
Cozy 1 BR Apartment / Free car parking,Melbourne,A$193 / night
"Delightful, Cozy & Modern House",Melbourne,A$159 / night
Exclusive Stays - Freshwater III,Melbourne,A$496 / night
Primrose Apartment Glen Waverley,Melbourne,A$221 / night
Cardigan Relaxing 2Bed2Bath Apt with Free Wifi,Melbourne,A$296 / night
Sophisticated Luxury in the Heart of Melbourne CBD,Melbourne,A$231 / night
Blackburn Holiday Apartment 5,Melbourne,A$136 / night
Serena Cottages 361 reids way,Shire of Indigo,A$165 / night
Modern Two Bedroom Apartment in Melbourne CBD,Melbourne,A$217 / night
This quirky semi detached Edwardian is centrally located. Great for a city fix.,Melbourne,A$283 / night
Bright Apartment with City Views in Trendy Locale,Melbourne,A$169 / night
Peaceful Designer 2BR@Leafy Mill Park,Melbourne,A$200 / night
One-bed Apartment with Balcony and Luna Park Views,Melbourne,A$136 / night
Exquisite 2BR apartment M-city with Free parking,Melbourne,A$187 / night
Sublime Southbank - Incredible Views and Location,Melbourne,A$381 / night
Cozy APT Seaview Next to Southern Cross/Pool/Gym,Melbourne,A$215 / night
"The Franklin, Saint Kilda",Melbourne,A$518 / night
CORONET CASTLE PET FRIENDLY,Coronet Bay,A$391 / night
Avant · Sleek CBD Apartment with Skyline Views,Melbourne,A$182 / night
4-Poster Bed Room in Mountain Cottage,Warburton,A$56 / night
Spacious apartment within minutes of Acland Street,Melbourne,A$168 / night
Airport West Stunner,Melbourne,A$430 / night
"Charan Lane, Comfortable Townhouse in Heritage Inner Suburb Location",Melbourne,A$309 / night
"Boutique Stays - Victorian Vogue, Richmond House",Melbourne,A$636 / night
Bungunyah Apartments: Waratah,Melbourne,A$209 / night
"Iconic 2B2B Apt near Queensberry Stop, FREE WIFI",Melbourne,A$353 / night
St Kilda  Home away from Home 2BR,Melbourne,A$163 / night
Small property close to Venus Bay shops and Beach one.,Venus Bay,"A$1,547 / night"
Architecturally Designed 2 Bedroom Apartment,Melbourne,A$354 / night
Stunning Southbank Corner Apartment 20th floor,Melbourne,A$504 / night
Clarendon Towers - 2 bedroom apartment,Melbourne,A$315 / night
Seaside Melbourne accommodation,Melbourne,A$132 / night
St Kilda Rd LVL4  2BDR2BATHR  WIFI  Albert Park,Melbourne,A$354 / night
TOP DECK APARTMENT - PORTSEA,Melbourne,A$379 / night
Merrimont Downs - Country Escape - set on magnificent acreage property,Merrijig,A$497 / night
Delightful 2BR Riverview@Docklands,Melbourne,A$210 / night
Modern 1 Bedroom Apartment In Tranquil Parklands,Melbourne,A$149 / night
"Top Floor, 2 Beds & 2 Baths Wifi, Parking, Netflix",Melbourne,A$354 / night
DeBeers Townhouses Bendigo,Bendigo,A$188 / night
Iconic   Eureka Tower,Melbourne,A$454 / night
"Modern & Stylish Apartment in the heart of Melbourne| Pool, Gym, Sauna",Melbourne,A$167 / night
3 bedroom self-contained family getaway in natural bush setting,Ballarat,A$256 / night
Self contained two-bedroom unit in a bush garden setting,Melbourne,A$195 / night
Southbank Luxury apartment in Central of CBD,Melbourne,A$915 / night
The Chapel at FLORES,Daylesford,A$354 / night
Perfect Location - 2 Bedroom Modern Unit,Bendigo,A$160 / night
Exclusive Stays - Sentinel II,Melbourne,A$608 / night
"Close to Everything, Entire St Kilda Queen Bed Apartment",Melbourne,A$130 / night
"Habour views, Lovely 2BRs, free tram zone,",Melbourne,A$213 / night
"Snow Gums 3, alpine-getaways",Dinner Plain,A$705 / night
"1br - 377m2 - ""Beach House"" -  (Victoria)",Melbourne,A$364 / night
Bungunyah Apartments: Maasai,Melbourne,A$209 / night
"A Modern 2BR Apt, 5-min Walk to Melbourne Central",Melbourne,A$177 / night
"Courtyard Cottage - charming, heritage, self-contained hideaway",Healesville,A$412 / night
Bright St Kilda Apartment in Perfect Location!!,Melbourne,A$149 / night
Bank Place Luxury & City Lights,Melbourne,A$386 / night
"Les Chalets 14 - Ski in, Ski out",Falls Creek,A$236 / night
Melbourne Airport - 1 bedroom Apartment,Melbourne,A$117 / night
Luxury Holiday Home with Pool - Illawarra,Melbourne,A$881 / night
Beautiful place with amazing city and river views,Melbourne,A$178 / night
Betty's Place - Accommodation in Heyfield,Shire of Wellington,A$171 / night
Heatherlie Cottages Halls Gap,Halls Gap,A$179 / night
Private suite with garden and river views,Melbourne,A$117 / night
Contemporary Luxury With Views At Maya Waterfront,Melbourne,A$236 / night
Amazing 3 Bedroom Apartment in Melbourne Central CBD!,Melbourne,A$271 / night
Pride Fawkner Apt Bay-view 4 Free PARKING+POOL PaperRolls HandWash * Mask,Melbourne,A$232 / night
"LOCATION, LOCATION!!! Just across Wydham Club (Ramada) steps to everything!",Dinner Plain,A$407 / night
Melbourne Soul 108 sleeps 2-6,Melbourne,A$187 / night
Fully furnished serviced apartment close to everything you need!!!,Melbourne,A$303 / night
Well appointed apartment with its own loft close to beaches and city.,Melbourne,A$271 / night
Modern 1 Bedroom Apartment With Rooftop Terrace And Spa,Melbourne,A$181 / night
1 BEDROOM APARTMENT WITH SWEEPING BAY VIEWS,Melbourne,A$792 / night
"Degraves St, Parking, 4th floor, Lift, WiFi, 100m Fed Square, Kitchen, Sunfilled",Melbourne,A$342 / night
"Stunning 2 Bed 2 Bath Apartment at St Kilda, Free WiFi, Carpark",Melbourne,A$171 / night
B&B on Piper - Beautiful Cottage Accommodation,Kyneton,A$265 / night
Cheerful 2Bd Apartment 15min from CBD,Melbourne,A$147 / night
"Kalamunda 2 - Bright, VIC",Bright VIC,A$172 / night
Plough Cottage Country getaway,Howqua Inlet,A$287 / night
"Comfy 2BR Suite Near Flemington Races, FREE Parking",Melbourne,A$471 / night
Bayside Bounce! - Sunfilled family house,Melbourne,A$444 / night
Lovely Classic Apartment Steps From Beach,Melbourne,A$175 / night
Willowbank at Taggerty,Shire of Murrindindi,A$309 / night
House on the Red Hill,Red Hill South,A$774 / night
SUBLIME LUXURY IN THE HEART OF SORRENTO,Sorrento (Victoria),"A$3,777 / night"
RACV Cape Schanck Resort,Cape Schanck,A$654 / night
Melbourne River Views,Melbourne,A$330 / night
Toolebewong Farm Cottage,Shire of Yarra Ranges,A$182 / night
"Corporate & family friendly, newly renovated, close to shops/eateries, free wifi",Mildura VIC,A$174 / night
Somerset Residential Apartment,Melbourne,A$154 / night
Enjoy Bayside Life At Stylish Studio Close To City,Melbourne,A$153 / night
"27 Little Collins St, Melbourne 1 Bedroom",Melbourne,A$192 / night
"Comfy Quite 4BR Family House,1 min to Shopping Centre,Tarneit,Melbourne独栋别墅",Victoria,A$170 / night
Dawn's Retreat near the Murray,Shire of Indigo,A$131 / night
Domi Rentals - Three Bedroom Townhouse,Melbourne,A$252 / night
"Quiet and comfortable townhouse - walk to river, tram and Highpoint Shopping",Melbourne,A$158 / night
Superb Inner City 2 story Terrace House with Pool.,Melbourne,A$711 / night
Domi Rentals - The Skywalker,Melbourne,A$222 / night
Enjoy Walking To The Beach From Bright Apartment,Melbourne,A$228 / night
Modern 2-Bedroom @ Southbank & Crown Casino *FREE PARKING + WIFI*,Melbourne,A$214 / night
"Stunning, Central Huge CBD Pad, free WiFi, Netflix",Melbourne,A$297 / night
Domi Rentals - The Hampton Homes,Melbourne,A$221 / night
Fergusson Homestead,Shire of Yarra Ranges,A$429 / night
Vaughan St Guest House Shepparton - Central location long term stay reduced rate,Shepparton,A$165 / night
"East Doncaster at Tunstall, Full Kitchen close to Tunstall Square Shops",Melbourne,A$163 / night
"Stunning 2 Bed 2 Bath Apartment at St Kilda,
Free WiFi, Carpark + Gym!",Melbourne,A$177 / night
Brand New Beachside Studio Apartment,Melbourne,A$153 / night
Romantic Getaway with Spa and Gardens,Sassafras,A$307 / night
"2BR Suites on Bourke, Perfect Location, Views",Melbourne,A$177 / night
"Little Bourke Hotel Apartment(s), 2-bedroom",Melbourne,A$249 / night
Walk to Elwood beach and village,Melbourne,A$176 / night
EAST MELBOURNE TERRACE,Melbourne,A$747 / night
Blackburn Holiday Apartment 4,Melbourne,A$115 / night
"""Retreat & Relax @ 128""- Mildura Holiday & Corporate Accommodation",Mildura VIC,A$240 / night
Tullaburra Farm Stay and Horse agistment,Shire of Moorabool,A$150 / night
CHIC APARTMENT- CLOSE TO BEACH,Melbourne,A$161 / night
Ravenswood-an iconic Drouin property,Shire of Baw Baw,A$179 / night
Princes off Chapel in Prahran 2BR with CBD Views,Melbourne,A$180 / night
Mountain views,Dunkeld,A$200 / night
Luxury Beach holiday,Melbourne,A$947 / night
Green with Envy SC 1B Chic Apartment  FREE WIFI,Melbourne,A$236 / night
BOUTIQUE STAYS – Central Park,Melbourne,A$633 / night
Domi Rentals - The Bond Residences,Melbourne,A$224 / night
Luxury Apt in Southbank,Melbourne,A$300 / night
Domi Rentals - The Carlisle Apartments,Melbourne,A$207 / night
50th Floor sub penthouse in front of Casino!,Melbourne,A$756 / night
Scandi Stayz Retreat 3,Tawonga South,A$210 / night
Big and Bright in the heart of St Kilda,Melbourne,A$234 / night
"Luxury 2BR Apt with Yarra River View, Free Parking",Melbourne,A$286 / night
StayCentral - NGV Arts Centre Retreat 2 Br 2 Ba,Melbourne,A$334 / night
Domi Rentals - The Wilgah Hideaway,Melbourne,A$208 / night
Domi Rentals - The Brunswick Place,Melbourne,A$216 / night
Malvern 3 Bedroom Home,Melbourne,A$549 / night
Albert Park Lakeside Apt Free Parking+Pocket WIFI +Pool/Gym+Smart TV * Mask,Melbourne,A$202 / night
One Fine Day We Shall See,Melbourne,A$243 / night
Melbourne Star - central city location - sleeps 5,Melbourne,A$273 / night
Domi Rentals - The Cantala Apartment,Melbourne,A$207 / night
Domi Rentals - Huge Malvern Rd Penthouse and View,Melbourne,A$214 / night
5 acre country retreat,Arthurs Seat,A$772 / night
"Marine Sanctuary, Elwood",Melbourne,A$746 / night
"""Carlisle"" - Pearl Apartments St Kilda",Melbourne,A$201 / night
"Factory Penthouse, Fitzroy",Melbourne,A$651 / night
"The Philadelphia, Melbourne",Melbourne,"A$1,079 / night"
Deluxe 1 Bedroom Twin Apartment & Double Sofa Bed,Melbourne,A$172 / night
Sleek Skyline View Apartment Ideal for City Break,Melbourne,A$454 / night
Domi Rentals - The Townhouse,Melbourne,A$208 / night
A Stylish 2BR CBD Apt with Beautiful City Views,Melbourne,A$446 / night
BOUTIQUE STAYS - Edinburgh Place,Melbourne,A$400 / night
Melbourne Apt 2BD 2Bath WIFI & PARKING SOUTH YARRA,Melbourne,A$213 / night
Sonoma Chalet,Dinner Plain,A$457 / night
StayCentral on Lonsdale 2 BR 2 BA Melbourne CBD,Melbourne,A$371 / night
165 On Bogong - self contained unit,Ballarat,A$206 / night
Harbour Escape Apartments Docklands,Melbourne,A$238 / night
"Heart of the CBD! Free Netflix, WiFi, Pool, Gym",Melbourne,A$300 / night
A Comfy 2BR Apt with a Panoramic View of the City,Melbourne,A$153 / night
StayCentral on Nott - beach cafes restaurants tram,Melbourne,A$325 / night
Beach Stay Apartment Melbourne City & Port,Melbourne,A$217 / night
Birches Serviced Apartments,Melbourne,A$175 / night
"Oversized Apartment Close to City, Parks, MCG",Melbourne,A$292 / night
Malvern 3 Bedroom Park Land,Melbourne,A$464 / night
"Bosisto Loft, Richmond",Melbourne,A$527 / night
JUDD Stylish Richmond Abode Awaits You,Melbourne,A$388 / night
Retro Styled 3 Bedroom Apartment with Tree Views,Melbourne,A$224 / night
ABODE ON ADENEY FREE WIFI / PET FRIENDLY,Melbourne,A$426 / night
Delightful 3 Bedroom Apartment near Chapel Street in St Kilda,Melbourne,A$183 / night
Stunning farmstay in beautiful Harcourt Hills,City of Greater Bendigo,A$149 / night
The Royal Absolute Ripper,Melbourne,A$140 / night
The Oaks B&B Courtyard Unit,Frankston,A$294 / night
A Comfy & Spacious 2BR Suite Next to Emporium,Melbourne,A$177 / night
"Ultimate location , parking and public transport, shopping and restaurants",Melbourne,A$306 / night
executive   Shepparton,Shepparton,A$226 / night
BOUTIQUE STAYS – The Veronica,Melbourne,A$428 / night
Albert Park lakehouse,Melbourne,A$401 / night
2BR HarbourView Suites in Docklands (FREE Parking),Melbourne,A$954 / night
【5 BEDS】Walk to Train Station Melbourne CBD 14KM Airport 15mins,Melbourne,A$206 / night
Your Peaceful City Holiday Cottage,Melbourne,A$182 / night
"Collins Tower, Melbourne",Melbourne,"A$1,311 / night"
Very Spacious apartment in city centre close to tourist attractions,Melbourne,A$265 / night
Comfy beautiful 3Beds House in Epping,Melbourne,A$208 / night
Live Perfect Experience with City View,Melbourne,A$903 / night
Elegant 2BR Abode within Melbourne CBD FREE WIFI,Melbourne,A$330 / night
Ilixir Apartments by Ready Set Host,Melbourne,A$380 / night
Springwater Retreat,Shire of Murrindindi,A$248 / night
Riverside apartment overlooking parkland with river views.  Near transport,Melbourne,A$155 / night
"Superb St Kilda Location, 2BR Renovated Art Deco, Family-Friendly, Quiet Street",Melbourne,A$268 / night
BOUTIQUE STAYS – Contempo,Melbourne,A$671 / night
Lake Apartments - Metres to Lake Wendouree,Ballarat,A$178 / night
"Contempo Caulfield, Caulfield South",Melbourne,A$946 / night
"Long Stay Discount, Parking, Great Family Getaway, Close to Zoo, Spa Bath, BBQ",Melbourne,A$364 / night
"AHA @ Port of Sale 1,2 or 3 bedroom",Shire of Wellington,A$243 / night
Boutique Stays - The Richardson,Melbourne,A$354 / night
Como Villa - Luxury Family Parkdale Retreat short walk to cafes & the beach,Melbourne,A$685 / night
Readyset on Spencer,Melbourne,A$152 / night
Cityside - StayCentral,Melbourne,A$299 / night
"Seaside Boutique Accommodation, just moments to Seaford Beach",Melbourne,A$298 / night
Brand New Luxurious Inner City Townhouse WIFI Netflix,Mildura VIC,A$241 / night
Spacious 4 Bedoom Family Home close to Uni and Uni Hill,Melbourne,A$237 / night
Northern peaks - holiday getaway,Smith's Beach,A$725 / night
HOLIDAY HOME 3BR TOWNHOUSE  with WIFI  NEAR HIGHPOINT,Melbourne,A$616 / night
"Laurent · ""Laurent"" Balcony Views | Steps from Laneway Vibes",Melbourne,A$422 / night
"LuxuryBrandNew2Bedroom:HotTub,Pool,BarWiFi&CarPark",Melbourne,A$360 / night
2BR Apt Central to Everything in Melbourne CBD w/ CITY VIEW + POOL,Melbourne,A$441 / night
KOOKABURRA COTTAGE - Perfect family getaway,Marysville (Victoria),A$343 / night
3 Bedroom Family Apartment in the heart of Southbank,Melbourne,A$544 / night
"Historic Dunedin nestled in roses, solely yours",Shire of Murrindindi,A$260 / night
Foreshore McCrae Apt 4 ... Opposite the beach,Melbourne,A$475 / night
Lakes Entrance Holiday Units,Lakes Entrance,A$253 / night
Daisy Villa – close to Mel. Airport & Hume Fwy.,Victoria,A$238 / night
BOUTIQUE STAYS - Catani Gardens,Melbourne,A$550 / night
Melbourne Central - StayCentral,Melbourne,A$278 / night
Modern Cottage in Maryborough,Maryborough (Victoria),A$133 / night
GREAT 5 BEDROOM HOUSE PERFECT FOR GROUP GREAT ST KILDA LOCATION,Melbourne,"A$1,352 / night"
"Cove Holiday House, quiet, near golf club & beach",Cowes (Victoria),A$411 / night
"BUXTON BEAUTY - Central location, river views",Shire of Murrindindi,A$286 / night
NY Style Living &  FREE Secure Car Parking,Melbourne,A$379 / night
"Beachside Retreat, Elwood",Melbourne,A$522 / night
"Sambuca 5, Mount Hotham",Hotham Heights,A$686 / night
Cohuna Waterfront Holiday Home,Victoria,A$490 / night
Kings Domain - in the House of Windsor,Melbourne,A$342 / night
Numurkah Self Contained Apartments - The Miekeljohn,Shire of Moira,A$154 / night
Mt Helen Accommodation - Ideal for large groups and short stays,Ballarat,A$637 / night
Gracefield Estate 2 Bedroom Private Cottage,Shire of Baw Baw,A$442 / night
Docklands 1 Bedroom Pool and Gym,Melbourne,A$192 / night
Large 3 Bed Aprt in South Yarra,Melbourne,A$331 / night
Spacious 3BR Family House Close to Westfield,Melbourne,A$249 / night
"""Bliss"" - Pearl Apartments",Melbourne,A$136 / night
Central View - Walking Distance to the Fountain,Bendigo,A$185 / night
"Perfectly Located, Gorgeous St Kilda Queen Bed Apartment",Melbourne,A$131 / night
Cozy & Brand New Western Apartment,Melbourne,A$171 / night
Bienvenu- Self Contained Cottage,Halls Gap,A$119 / night
"Near Federation Sq, Flinders St Station, restaurants, shopping & graffiti alleys",Melbourne,A$112 / night
Fitzroy north oasis - 3 bedroom  apartment,Melbourne,A$170 / night
The Forrest Cottage in Wheatsheaf,Hepburn Shire,A$414 / night
Iris Cottage - 24 Prince Street Myrtleford,Myrtleford,A$269 / night
One bedroom by the sea,Melbourne,A$139 / night
Designer 3 Bedroom Heritage Central Melbourne CBD,Melbourne,A$338 / night
BIG4 Bendigo Park Lane Holiday Park,City of Greater Bendigo,A$129 / night
"TREE TOP - Marysville, VIC",Marysville (Victoria),A$278 / night
Readyset on Upper West Side,Melbourne,A$139 / night
"House, Farm retreat, with out door entertainment",City of Greater Bendigo,"A$1,147 / night"
"King beds in CBD, 2 Bath, High level Harbour View",Melbourne,A$258 / night
Magnificent Views - right on Chamois Run!!  2020 Season Rental Only,Mt Buller,"A$1,504 / night"
【WATERFRONT 】Water View 1BR+1Study Apt/Free Parking,Melbourne,A$244 / night
One bedroom with one study water View/free park,Melbourne,A$256 / night
EQ Tower 2 Bed Apartment,Melbourne,A$231 / night
2 BED 2 BATHROOM BRAND NEW UNIT WITH GYM AND POOL,Melbourne,A$381 / night
Convenience and Luxurious Comfort in Carnegie,Melbourne,A$333 / night
"Room for 2, near to Yarra Valley wineries",Melbourne,A$86 / night
"3 Bedroom house with heated pool, metres from Sovereign Hill",Ballarat,A$398 / night
Peace & quiet in a country settting,Greater Geelong City,A$387 / night
Wahroonga - in Central Carlton,Melbourne,A$328 / night
Eve- Contemporary Nook with Sky-Pool & Netflix,Melbourne,A$394 / night
2 BR Modern Apartment Melbourne CBD!,Melbourne,A$162 / night
New - Blue Jay in the heart of Daylesford,Daylesford,A$420 / night
Two story mudbrick home nestled in the Dandenong Ranges.,Melbourne,A$289 / night
Gum Tree View - Welcoming Quiet Getaway Near Boutique Shops,Healesville,A$249 / night
Cosmo Stays - Spacious 3-bedroom deluxe townhouse,Melbourne,A$384 / night
The Ritz- large St Kilda apartment w amazing views,Melbourne,A$274 / night
Foreshore McCrae Apt 2 ... Opposite the beach,Melbourne,A$475 / night
Great Breach Rental!,Torquay (Victoria),A$709 / night
Opposite the beach with Wifi and secure undercover carpark,Melbourne,A$160 / night
Southbank high-rise residence,Melbourne,A$258 / night
Exotic Forest's Edge Sanctuary - Entire 3 Bedroom Cottage,Healesville,A$409 / night
One bedroom with one study city View/free park,Melbourne,A$256 / night
Secret 2 Bedroom Apartment -  Heart of Melbourne,Melbourne,A$122 / night
3 Bedroom Apt Convenient Location,Melbourne,A$354 / night
City Stay at Melbourne Tower - Southbank **3BR+High Speed WiFi+Netflix+Parking**,Melbourne,A$414 / night
Apartment Geilo 4 Excellent value,Falls Creek,A$387 / night
Smart apartment in elegant suburb close to city,Melbourne,A$230 / night
Dartmouth Mountain Retreat,Shire of Towong,A$132 / night
Apartment 390m²,Melbourne,A$231 / night
Modern Apartment in a great location close to city,Melbourne,A$192 / night
Deluxe Cityview 2Bedroom 2Bath room Apt/Free Parking,Melbourne,A$256 / night
"PRIVATE HOT TUB overlooking run, 2 bedroom (sleeps 6)",Mt Buller,"A$1,060 / night"
Quiet & Peaceful 3bed2bath HOME @Keilor Downs,Melbourne,A$249 / night
HUSKI 2: Ideal Family & Friend Accommodation - Mt Buller Village,Mt Buller,A$498 / night
Numurkah Self Contained Apartments  - The Saxton,Shire of Moira,A$143 / night
"StayCentral on Kavanagh - Near Arts Precinct & trams, with Wi-Fi tennis pool gym",Melbourne,A$240 / night
Sophisicated Family Oasis in Richmond,Melbourne,A$792 / night
"Boutique style 4BR, 2 bath Home, Bunglow,Pool on 780sqm land near Brighton beach",Melbourne,A$382 / night
Sun Apartments - Mt Hotham,Hotham Heights,A$292 / night
"LonsdaleStar:New2bed2bath, High Floor View+CarPark+PoolGym",Melbourne,A$246 / night
One Bedroom with Study & City View Apartment,Melbourne,A$244 / night
5 bedroom house in quiet location- pet friendly,Ballarat,A$230 / night
The Cottage at the Colonial,Shire of Moira,A$265 / night
Tiptre - at Blampied,Hepburn Shire,A$221 / night
Bendigo Farm Stay - Boutique Working Farm Surrounded By Friendly Farm Animals.,City of Greater Bendigo,A$283 / night
"Deep Spring Estate ""FSC Amulla"" @ Daylesford.",Hepburn Shire,A$526 / night
Cabin Style 3 - Glamping Cabin,Rye (Victoria),A$442 / night
"Old Style Farm house, set in dairy country side",Shire of Colac Otway,A$547 / night
StayCentral on Acland - Catani 3 Wi-Fi cafes beach,Melbourne,A$236 / night
6 Bedrooms Contemporary Big House at Pakenhem,Shire of Cardinia,A$232 / night
A Wonderful beach home,Barwon Heads,A$489 / night
Malvern 3 Bedroom Delight,Melbourne,A$926 / night
"Luxury Inner City Townhouse WIFI , AppleTV",Mildura VIC,A$328 / night
Two Bedroom one bath room Standard  Cityview/Free Parking,Melbourne,A$263 / night
"An ideal place to live while renovating. 
Classy 4bed/ 2bth",Melbourne,A$384 / night
Melbourne's Crown Jewel 'The Victoria' - 4 Bedroom Rooftop Penthouse,Melbourne,"A$3,495 / night"
Two Bedroom one bath room Standard  Water view/Free Parking,Melbourne,A$260 / night
"Charlotte · ""Charlotte"" Inner City Gem close to Marvel Stadium",Melbourne,A$368 / night
"Pasley St, South Yarra",Melbourne,A$752 / night
Undera Manor 125 years old house,City of Greater Shepparton,A$182 / night
Brand New Luxury Inner City Townhouse WIFI Netflix,Mildura VIC,A$291 / night
Walk to everything in St Kilda,Melbourne,A$199 / night
Beaumont Grange House,Melbourne,A$138 / night
Cosy Mount Hotham Retreat,Hotham Heights,A$231 / night
"Entire 3bedroom home for 6 people, Doveton",Melbourne,A$196 / night
Shop Til You Drop At Sleek Unit In Hip Area,Melbourne,A$163 / night
"Style, Comfort and Convenience",Melbourne,A$358 / night
Apartments Of Waverley - 3 Bedroom Townhouse,Melbourne,A$325 / night
Hollywood Haven Mildura,Mildura VIC,A$218 / night
