Council,City
CampaspeS,EchucaWest
CorangamiteS,EcklinSouth
MoyneS,EcklinSouth
CentralGoldfieldsS,Eddington
LoddonS,Eddington
MountAlexanderS,Eddington
WhittleseaC,EdenPark
WestWimmeraS,Edenhope
MacedonRangesS,Edgecombe
WangarattaRC,Edi
WangarattaRC,EdiUpper
KingstonC,Edithvale
HepburnS,Eganstown
MansfieldS,Eildon
MurrindindiS,Eildon
MooraboolS,Elaine
NorthernGrampiansS,Elberton
WangarattaRC,Eldorado
HepburnS,ElevatedPlains
CorangamiteS,Elingamite
CorangamiteS,ElingamiteNorth
EastGippslandS,Ellaswood
MoyneS,Ellerslie
ColacOtwayS,Elliminyt
BawBawS,Ellinbank
AraratRC,Elmhurst
PyreneesS,Elmhurst
CampaspeS,Elmore
GreaterBendigoC,Elmore
MountAlexanderS,Elphinstone
GlenEiraC,Elsternwick
BanyuleC,Eltham
NillumbikS,Eltham
BanyuleC,ElthamNorth
NillumbikS,ElthamNorth
PortPhillipC,Elwood
CardiniaS,Emerald
YarraRangesS,Emerald
CentralGoldfieldsS,Emu
LoddonS,Emu
NorthernGrampiansS,Emu
GreaterBendigoC,EmuCreek
MitchellS,EmuFlat
CaseyC,EndeavourHills
GoldenPlainsS,Enfield
SouthernGrampiansS,Englefield
EastGippslandS,Ensay
EastGippslandS,EnsayNorth
GreaterBendigoC,Eppalock
WhittleseaC,Epping
GreaterBendigoC,Epsom
BallaratC,Ercildoune
PyreneesS,Ercildoune
BawBawS,Erica
EastGippslandS,Erinunderra
TowongS,Eskdale
MoiraS,Esmond
MooneeValleyC,Essendon
MooneeValleyC,EssendonNorth
MooneeValleyC,EssendonWest
CaseyC,Eumemmerring
ColacOtwayS,Eurack
BallaratC,Eureka
StrathbogieS,Euroa
AlpineS,Eurobin
HepburnS,Evansford
PyreneesS,Evansford
AraratRC,Eversley
PyreneesS,Eversley
WangarattaRC,Everton
WangarattaRC,EvertonUpper
MeltonS,Exford
MeltonS,Eynesbury
WyndhamC,Eynesbury
SouthGippslandS,Fairbank
DarebinC,Fairfield
YarraC,Fairfield
SurfCoastS,Fairhaven
GannawarraS,Fairley
CampaspeS,FairyDell
EastGippslandS,FairyDell
AlpineS,FallsCreek
MountAlexanderS,Faraday
MurrindindiS,Fawcett
HumeC,Fawkner
MorelandC,Fawkner
LoddonS,FentonsCreek
ColacOtwayS,Ferguson
HepburnS,FernHill
MacedonRangesS,FernHill
EastGippslandS,Fernbank
WellingtonS,Fernbank
BawBawS,Ferndale
LoddonS,Fernihurst
YarraRangesS,Fernshaw
KnoxC,FerntreeGully
YarraRangesS,FernyCreek
LoddonS,FieryFlat
MorningtonPeninsulaS,Fingal
SouthGippslandS,FishCreek
SwanHillRC,FishPoint
MooraboolS,Fiskville
YarraC,Fitzroy
MorelandC,FitzroyNorth
YarraC,FitzroyNorth
EastGippslandS,FlaggyCreek
CentralGoldfieldsS,Flagstaff
WellingtonS,FlamingoBeach
MelbourneC,Flemington
MooneeValleyC,Flemington
MorningtonPeninsulaS,Flinders
GreaterBendigoC,FloraHill
MitchellS,Flowerdale
MurrindindiS,Flowerdale
LatrobeC,Flynn
WellingtonS,Flynn
LatrobeC,FlynnsCreek
WellingtonS,FlynnsCreek
MaribyrnongC,Footscray
MaribyrnongC,FootscrayWest
MitchellS,Forbes
WhitehorseC,ForestHill
EastGippslandS,ForgeCreek
ColacOtwayS,Forrest
SouthGippslandS,Foster
SouthGippslandS,FosterNorth
GreaterBendigoC,Fosterville
CaseyC,FountainGate
CorangamiteS,Foxhow
MoyneS,Framlingham
MoyneS,FramlinghamEast
HepburnS,Franklinford
MountAlexanderS,Franklinford
FrankstonC,Frankston
FrankstonC,FrankstonNorth
FrankstonC,FrankstonSouth
AlpineS,Freeburgh
PyreneesS,Frenchmans
SurfCoastS,FreshwaterCreek
MountAlexanderS,Fryerstown
WellingtonS,Fulham
BawBawS,Fumina
BawBawS,FuminaSouth
NorthernGrampiansS,FyansCreek
GreaterGeelongC,Fyansford
MansfieldS,GaffneysCreek
BawBawS,Gainsborough
GannawarraS,Gannawarra
AlpineS,Gapsted
PortPhillipC,GardenCity
GlenEiraC,Gardenvale
CardiniaS,Garfield
CardiniaS,GarfieldNorth
GoldenPlainsS,Garibaldi
CorangamiteS,Garvoc
MoyneS,Garvoc
WodongaRC,GatewayIsland
SouthernGrampiansS,Gatum
MoyneS,Gazette
SouthernGrampiansS,Gazette
GreaterGeelongC,Geelong
GreaterGeelongC,GeelongEast
GreaterGeelongC,GeelongNorth
GreaterGeelongC,GeelongSouth
GreaterGeelongC,GeelongWest
EastGippslandS,Gelantipy
ColacOtwayS,Gellibrand
ColacOtwayS,GellibrandLower
CorangamiteS,GellibrandLower
WellingtonS,Gelliondale
CardiniaS,Gembrook
EastGippslandS,Genoa
BawBawS,GentleAnnie
TowongS,GeorgesCreek
SwanHillRC,Gerahmin
HindmarshS,GerangGerung
ColacOtwayS,Gerangamete
NorthernGrampiansS,Germania
AlpineS,Germantown
MoyneS,Gerrigerrup
SurfCoastS,Gherang
GoldenPlainsS,Gheringhap
MurrindindiS,GhinGhin
WellingtonS,Giffard
WellingtonS,GiffardWest
BulokeS,GilGil
YarraRangesS,Gilderoy
GreaterSheppartonC,Gillieston
WellingtonS,Gillum
EastGippslandS,GipsyPoint
CampaspeS,Girgarre
GreaterSheppartonC,GirgarreEast
MacedonRangesS,Gisborne
MacedonRangesS,GisborneSouth
LoddonS,Gladfield
HumeC,GladstonePark
YarraRangesS,Gladysdale
BassCoastS,GlenAlvie
AlpineS,GlenCreek
WellingtonS,GlenFalloch
BassCoastS,GlenForbes
GlenEiraC,GlenHuntly
BoroondaraC,GlenIris
StonningtonC,GlenIris
BallaratC,GlenPark
MooraboolS,GlenPark
EastGippslandS,GlenValley
MonashC,GlenWaverely
EastGippslandS,GlenWills
ColacOtwayS,Glenaire
EastGippslandS,Glenaladale
LoddonS,Glenalbyn
MitchellS,Glenaroua
PyreneesS,Glenbrae
MurrindindiS,Glenburn
BallaratC,Glendaruel
BallaratC,Glendonnel
BoroondaraC,GlenferrieSouth
CorangamiteS,Glenfyne
BrimbankC,Glengara
LatrobeC,Glengarry
WellingtonS,Glengarry
BawBawS,GlengarryNorth
LatrobeC,GlengarryNorth
LatrobeC,GlengarryWest
CentralGoldfieldsS,Glengower
HepburnS,Glengower
MacedonRangesS,Glenhope
MitchellS,Glenhope
MitchellS,GlenhopeEast
NorthernGrampiansS,Glenisla
SouthernGrampiansS,Glenisla
HindmarshS,Glenlee
PyreneesS,Glenlofty
AraratRC,Glenlogie
PyreneesS,Glenlogie
BulokeS,Glenloth
BulokeS,GlenlothEast
LoddonS,GlenlothEast
MountAlexanderS,Glenluce
HepburnS,Glenlyon
WellingtonS,Glenmaggie
MooraboolS,Glenmore
NorthernGrampiansS,Glenorchy
CorangamiteS,GlenormistonNorth
MoyneS,GlenormistonNorth
CorangamiteS,GlenormistonSouth
PyreneesS,Glenpatrick
BenallaRC,Glenrowan
WangarattaRC,Glenrowan
BenallaRC,GlenrowanWest
MorelandC,Glenroy
AraratRC,Glenthompson
SthnGrampiansS,Glenthompson
WellingtonS,GlomarBeach
SurfCoastS,Gnarwarre
CorangamiteS,Gnotuk
MurrindindiS,Gobur
WellingtonS,GoldenBeach
GreaterBendigoC,GoldenGully
BallaratC,GoldenPoint
CentralGoldfieldsS,GoldenPoint
MountAlexanderS,GoldenPoint
GreaterBendigoC,GoldenSquare
MacedonRangesS,Goldie
CentralGoldfieldsS,Goldsborough
LoddonS,Goldsborough
BallaratC,GongGong
GannawarraS,GonnCrossing
BenallaRC,Goomalibee
EastGippslandS,GoonNure
EastGippslandS,Goongerah
MurrindindiS,Gooram
StrathbogieS,Gooram
IndigoS,Gooramadda
BenallaRC,Goorambat
GreaterBendigoC,Goornong
NorthernGrampiansS,Gooroc
GlenelgS,Gorae
GlenelgS,GoraeWest
MooraboolS,Gordon
WellingtonS,Gormandale
WestWimmeraS,Goroke
SwanHillRC,Goschen
MansfieldS,GoughsBay
StrathbogieS,GoulburnWeir
MorelandC,Gowanbrae
SwanHillRC,Gowanford
GreaterSheppartonC,Gowangardie
LoddonS,GowarEast
NorthernGrampiansS,GowarEast
MountAlexanderS,Gower
GreaterSheppartonC,Grahamvale
SouthernGrampiansS,Grampians
LatrobeC,GrandRidge
WellingtonS,GrandRidge
BulokeS,GraniteFlat
EastGippslandS,GraniteRock
BassCoastS,Grantville
TowongS,Granya
HorshamRC,GrassFlat
WestWimmeraS,GrassFlat
GlenelgS,Grassdale
MoyneS,Grassmere
NorthernGrampiansS,GraysBridge
StrathbogieS,Graytown
NorthernGrampiansS,GreGre
NthnGrampiansS,GreGreNorth
NthnGrampiansS,GreGreSouth
IndigoS,GreatNorthern
AraratRC,GreatWestern
NthnGrampiansS,GreatWestern
GannawarraS,Gredgwin
LoddonS,Gredgwin
MountAlexanderS,GreenGully
HorshamRC,GreenLake
MooraboolS,Greendale
MacedonRangesS,Greenhill
MountAlexanderS,Greenhill
HorshamRC,GreenlandDam
WellingtonS,Greenmount
NthnGrampiansS,GreensCreek
BanyuleC,Greensborough
NillumbikS,Greensborough
HumeC,Greenvale
GlenelgS,Greenwald
GoldenPlainsS,Grenville
MooraboolS,Grenville
WangarattaRC,Greta
WangarattaRC,GretaSouth
BenallaRC,GretaWest
WangarattaRC,GretaWest
ColacOtwayS,GreyRiver
BoroondaraC,Greythorn
SthnGrampiansS,Gringegalgona
SouthernGrampiansS,Gritjurk
GreaterGeelongC,Grovedale
YarraRangesS,Gruyere
HepburnS,Guildford
MountAlexanderS,Guildford
CampaspeS,Gunbower
AlpineS,Gundowring
IndigoS,Gundowring
SouthGippslandS,Gunyah
TowongS,GuysForest
CardiniaS,GuysHill
WestWimmeraS,Gymbowen
GoldenPlainsS,Haddon
MorelandC,Hadfield
CaseyC,Hallam
BawBawS,Hallora
AraratRC,HallsGap
NorthernGrampiansS,HallsGap
BawBawS,Hallston
SouthGippslandS,Hallston
SouthernGrampiansS,Hamilton
GreaterGeelongC,HamlynHeights
BaysideC,Hampton
BaysideC,HamptonEast
CaseyC,HamptonPark
MacedonRangesS,HangingRock
WangarattaRC,Hansonville
GoldenPlainsS,HappyValley
SwanHillRC,HappyValley
MountAlexanderS,Harcourt
GreaterBendigoC,HarcourtNorth
MountAlexanderS,HarcourtNorth
CaseyC,Harkaway
BassCoastS,HarmersHaven
AlpineS,Harrietville
SouthernGrampiansS,Harrow
WestWimmeraS,Harrow
CampaspeS,Harston
GreaterSheppartonC,Harston
BoroondaraC,Hartwell
MorningtonPeninsulaS,Hastings
MilduraRC,Hattah
CentralGoldfieldsS,Havelock
HorshamRC,Haven
AlpineS,Havilah
MoyneS,Hawkesdale
WellingtonS,Hawkhurst
StonningtonC,Hawksburn
BoroondaraC,Hawthorn
BoroondaraC,HawthornEast
EastGippslandS,HaydensBog
SouthGippslandS,HazelPark
MurrindindiS,Hazeldene
LatrobeC,Hazelwood
LatrobeC,HazelwoodNorth
LatrobeC,HazelwoodSouth
YarraRangesS,Healesville
BawBawS,HeathHill
CardiniaS,HeathHill
GreaterBendigoC,Heathcote
MitchellS,HeathcoteJunction
MitchellS,HeathcoteSouth
KingstonC,Heatherton
GlenelgS,Heathmere
MaroondahC,Heathmont
SouthGippslandS,Hedley
WellingtonS,Hedley
BanyuleC,Heidelberg
BanyuleC,HeidelbergHeights
BanyuleC,HeidelbergWest
SthnGrampiansS,HensleyPark
GlenelgS,Henty
HepburnS,Hepburn
HepburnS,HepburnSprings
GreaterGeelongC,HerneHill
BawBawS,HernesOak
LatrobeC,HernesOak
MacedonRangesS,Hesket
GoldenPlainsS,Hesse
MoyneS,Hexham
WellingtonS,Heyfield
CorangamiteS,HeytesburyLower
MoyneS,HeytesburyLower
GlenelgS,Heywood
WellingtonS,Hiamdale
WellingtonS,Hiawatha
MitchellS,HighCamp
BaysideC,Highett
KingstonC,Highett
MitchellS,Highlands
MurrindindiS,Highlands
GreaterGeelongC,Highton
SouthernGrampiansS,Hilgay
BawBawS,HillEnd
PyreneesS,Hillcrest
MitchellS,Hilldene
BrimbankC,Hillside
EastGippslandS,Hillside
MeltonS,Hillside
EastGippslandS,Hinnomunjie
MorningtonPenS,HMASCerberus
SouthGippslandS,Hoddle
YarraRangesS,HoddlesCreek
EastGippslandS,HollandsLanding
WellingtonS,HollandsLanding
StonningtonC,Holmesglen
PyreneesS,Homebush
GlenelgS,Homerton
MurrindindiS,Homewood
YarriambiackS,Hopetoun
GlenEiraC,HopetounGardens
MooraboolS,HopetounPark
YarriambiackS,Hopevale
WyndhamC,HoppersCrossing
ColacOtwayS,HordenVale
GannawarraS,Horfield
LoddonS,Horfield
HorshamRC,Horsham
AlpineS,HothamHeights
MelbourneC,HothamHill
GlenelgS,Hotspur
WhitehorseC,Houston
MansfieldS,HowesCreek
MansfieldS,HowittPlains
WellingtonS,HowittPlains
MansfieldS,Howqua
MansfieldS,HowquaHills
MansfieldS,HowquaInlet
MansfieldS,HowquaPlains
MonashC,Hughesdale
WodongaRC,HumeWeir
WhittleseaC,Humevale
GreaterBendigoC,Hunter
WellingtonS,Hunterston
MonashC,Huntingdale
GreaterBendigoC,Huntly
GreaterBendigoC,HuntlyNorth
IndigoS,Huon
TowongS,Huon
WodongaRC,HuonCreek
NillumbikS,Hurstbridge
BawBawS,IcyCreek
EastGippslandS,IguanaCreek
GoldenPlainsS,Illabarook
NorthernGrampiansS,Illawarra
MoyneS,Illowa
WarrnamboolC,Illowa
GreaterGeelongC,IndentedHead
IndigoS,Indigo
IndigoS,IndigoValley
LoddonS,Inglewood
MooraboolS,Ingliston
CentralGoldfieldsS,Inkerman
LoddonS,Inkerman
MoiraS,Invergordon
GreaterSheppartonC,InvergordonSouth
GoldenPlainsS,Inverleigh
SurfCoastS,Inverleigh
BassCoastS,Inverloch
SouthGippslandS,Inverloch
BallaratC,Invermay
HepburnS,Invermay
BallaratC,InvermayPark
CardiniaS,Iona
MilduraRC,Iraak
MountAlexanderS,Irishtown
GreaterBendigoC,Ironbark
ColacOtwayS,Irrewarra
ColacOtwayS,Irrewillipe
ColacOtwayS,IrrewillipeWest
MilduraRC,Irymple
BanyuleC,Ivanhoe
BanyuleC,IvanhoeEast
HumeC,Jacana
WellingtonS,JackRiver
GreaterBendigoC,JackassFlat
BawBawS,JacobCreek
BassCoastS,JamJerrup
MansfieldS,Jamieson
SurfCoastS,JanJuc
CorangamiteS,Jancourt
ColacOtwayS,JancourtEast
CorangamiteS,JancourtEast
LoddonS,Jarklin
EastGippslandS,Jarrahmond
TowongS,JarvisCreek
LatrobeC,Jeeralang
LatrobeC,JeeralangJunction
SouthGippslandS,Jeetho
BulokeS,Jeffcott
BulokeS,JeffcottNorth
HindmarshS,Jeparit
BawBawS,Jericho
BulokeS,Jeruk
BulokeS,JilJil
HorshamRC,Jilpanger
BawBawS,Jindivick
NorthernGrampiansS,JoelJoel
NorthernGrampiansS,JoelSouth
ColacOtwayS,Johanna
EastGippslandS,Johnsonville
WellingtonS,JohnstonesHill
CentralGoldfieldsS,JoycesCreek
MountAlexanderS,JoycesCreek
LatrobeC,Jumbuk
SouthGippslandS,Jumbunna
CaseyC,JunctionVillage
HorshamRC,Jung
YarriambiackS,Jung
LoddonS,Jungaburra
GreaterBendigoC,Junortoun
MoiraS,Kaarimba
WestWimmeraS,Kadnook
EastGippslandS,Kalimna
EastGippslandS,KalimnaWest
HumeC,Kalkallo
HorshamRC,Kalkee
YarraRangesS,Kallista
YarraRangesS,Kalorama
BulokeS,Kalpienung
GreaterBendigoC,Kamarooka
LoddonS,Kamarooka
LoddonS,KamarookaNorth
HorshamRC,Kanagulk
AlpineS,Kancoona
GreaterBendigoC,KangarooFlat
NillumbikS,KangarooGround
GannawarraS,KangarooLake
HindmarshS,Kaniva
WestWimmeraS,Kaniva
MansfieldS,Kanumbra
MurrindindiS,Kanumbra
NorthernGrampiansS,Kanya
CampaspeS,Kanyapella
SouthernGrampiansS,Karabeal
SouthGippslandS,Kardella
SouthGippslandS,KardellaSouth
CorangamiteS,Kariah
FrankstonC,Karingal
WestWimmeraS,Karnak
GreaterSheppartonC,Karramomus
BulokeS,Karyrie
MoiraS,Katamatite
MoiraS,KatamatiteEast
GreaterSheppartonC,Katandra
GreaterSheppartonC,KatandraWest
MoiraS,Katunga
ColacOtwayS,Kawarren
BrimbankC,Kealba
GannawarraS,Keely
BrimbankC,Keilor
HumeC,Keilor
BrimbankC,KeilorDowns
BrimbankC,KeilorEast
MooneeValleyC,KeilorEast
BrimbankC,KeilorLodge
BrimbankC,KeilorNorth
BrimbankC,KeilorPark
YarriambiackS,Kellalac
StrathbogieS,KelvinView
SwanHillRC,Kenley
HindmarshS,Kenmare
ColacOtwayS,KennedysCreek
CorangamiteS,KennedysCreek
ColacOtwayS,KennettRiver
GreaterBendigoC,Kennington
MelbourneC,Kensington
MooneeValleyC,Kensington
DarebinC,KeonPark
GannawarraS,Kerang
GannawarraS,KerangEast
IndigoS,Kergunyah
AlpineS,KergunyahSouth
BassCoastS,Kernot
MacedonRangesS,Kerrie
WhitehorseC,Kerrimuir
MurrindindiS,Kerrisdale
MansfieldS,Kevington
BoroondaraC,Kew
BoroondaraC,KewEast
HorshamRC,Kewell
YarriambiackS,Kewell
GreaterDandenongC,Keysborough
GreaterSheppartonC,Kialla
GreaterSheppartonC,KiallaEast
GreaterSheppartonC,KiallaWest
HindmarshS,Kiata
IndigoS,Kiewa
BassCoastS,Kilcunda
GlenelgS,Killara
WodongaRC,Killara
MoyneS,Killarney
WangarattaRC,Killawarra
MurrindindiS,Killingworth
WellingtonS,Kilmany
MitchellS,Kilmore
MitchellS,KilmoreEast
MaroondahC,Kilsyth
YarraRangesS,Kilsyth
MaroondahC,KilsythSouth
GreaterBendigoC,Kimbolton
WangarattaRC,KingValley
MurrindindiS,Kinglake
NillumbikS,Kinglake
MurrindindiS,KinglakeCentral
NillumbikS,KinglakeCentral
MurrindindiS,KinglakeWest
NillumbikS,KinglakeWest
WhittleseaC,KinglakeWest
LoddonS,Kingower
BrimbankC,KingsPark
DarebinC,Kingsbury
HepburnS,Kingston
MaribyrnongC,Kingsville
HobsonsBayC,KingsvilleSouth
BulokeS,Kinnabulla
LoddonS,Kinypanial
MoyneS,Kirkstall
StrathbogieS,KirwinsBridge
StrathbogieS,Kithbrook
MoyneS,Knebsworth
GreaterBendigoC,Knowsley
KnoxC,Knoxfield
CorangamiteS,Koallah
MitchellS,Kobyboyn
TowongS,Koetong
CorangamiteS,Kolora
MoyneS,Kolora
BassCoastS,Kongwak
SouthGippslandS,Kongwak
SthnGrampiansS,Konongwootong
CardiniaS,KooWeeRup
CardiniaS,KooWeeRupNorth
SwanHillRC,Kooloonong
StrathbogieS,Koonda
GannawarraS,Koondrook
MoiraS,Koonoomoo
SouthGippslandS,Koonwarra
NorthernGrampiansS,Kooreh
MilduraRC,Koorlong
LatrobeC,Koornalla
HepburnS,Kooroocheang
WellingtonS,Koorool
SouthGippslandS,Koorooman
StonningtonC,Kooyong
MurrindindiS,Koriella
MooraboolS,Korobeit
MoyneS,Koroit
LoddonS,KorongVale
GannawarraS,Koroop
SouthGippslandS,Korumburra
SthGippslandS,KorumburraSouth
HepburnS,Korweinguboora
MooraboolS,Korweinguboora
CampaspeS,Kotta
MoiraS,Kotupna
CampaspeS,KowSwamp
CampaspeS,Koyuga
BassCoastS,Krowera
SouthGippslandS,Krowera
MilduraRC,Kulwin
SwanHillRC,Kunat
MorningtonPeninsulaS,Kunyung
LoddonS,Kurraca
LoddonS,KurracaWest
LoddonS,Kurting
MeltonS,Kurunjang
CampaspeS,KyValley
CampaspeS,KyWest
CampaspeS,Kyabram
GreaterSheppartonC,Kyabram
GreaterSheppartonC,KyabramSouth
MacedonRangesS,Kyneton
MacedonRangesS,KynetonSouth
LoddonS,Laanecoorie
MoyneS,Laang
BawBawS,Labertouche
WhitehorseC,Laburnum
WangarattaRC,Laceby
GreaterBendigoC,LadysPass
BulokeS,Laen
NorthernGrampiansS,Laen
YarriambiackS,Laen
BulokeS,LaenEast
BulokeS,LaenNorth
YarriambiackS,Lah
HorshamRC,Laharum
NorthernGrampiansS,Laharum
SwanHillRC,LakeBoga
AraratRC,LakeBolac
BulokeS,LakeBuloke
EastGippslandS,LakeBunga
GannawarraS,LakeCharm
GlenelgS,LakeCondah
MoyneS,LakeCondah
CampaspeS,LakeCooper
MansfieldS,LakeEildon
NorthernGrampiansS,LakeFyans
BallaratC,LakeGardens
PyreneesS,LakeGoldsmith
HindmarshS,LakeHindmarsh
NthnGrampiansS,LakeLonsdale
LoddonS,LakeMarmal
BulokeS,LakeMarmel
GannawarraS,LakeMeran
LoddonS,LakeMeran
BenallaRC,LakeMokoan
GlenelgS,LakeMundi
SwanHillRC,LakePowell
MoiraS,LakeRowan
EastGippslandS,LakeTyers
EastGippslandS,LakeTyersBeach
BulokeS,LakeTyrrell
WellingtonS,LakeWellington
BallaratC,LakeWendouree
PyreneesS,LakeWongan
EastGippslandS,LakesEntrance
MooraboolS,LalLal
GannawarraS,Lalbert
WhittleseaC,Lalor
PyreneesS,Lamplough
CampaspeS,Lancaster
GreaterSheppartonC,Lancaster
BassCoastS,LanceCreek
MacedonRangesS,Lancefield
PyreneesS,Landsborough
WellingtonS,Landsborough
NorthernGrampiansS,LandsboroughWest
PyreneesS,LandsboroughWest
BassCoastS,LangLang
CardiniaS,LangLang
SouthGippslandS,LangLang
CardiniaS,LangLangEast
HepburnS,LangdonsHill
PyreneesS,LangiKalKal
AraratRC,LangiLogan
WestWimmeraS,Langkoop
MountAlexanderS,Langley
FrankstonC,Langwarrin
FrankstonC,LangwarrinSouth
GreaterGeelongC,Lara
BawBawS,Lardner
ColacOtwayS,Larpent
CorangamiteS,Larralea
YarriambiackS,Lascelles
YarraRangesS,LaunchingPlace
MacedonRangesS,Lauriston
ColacOtwayS,LaversHill
HobsonsBayC,Laverton
WyndhamC,Laverton
WyndhamC,LavertonNorth
WyndhamC,LavertonRAAF
BulokeS,Lawler
YarriambiackS,Lawler
WestWimmeraS,Lawloit
HepburnS,Lawrence
LoddonS,Leaghur
BallaratC,Learmonth
NorthernGrampiansS,Ledcourt
GreaterBendigoC,Leichardt
LoddonS,Leichardt
MooraboolS,LeighCreek
GannawarraS,Leitchville
LoddonS,Leitchville
GreaterSheppartonC,Lemnos
WodongaRC,Leneva
HepburnS,LeonardsHill
SouthGippslandS,Leongatha
SouthGippslandS,LeongathaNorth
SouthGippslandS,LeongathaSouth
GreaterGeelongC,Leopold
MooraboolS,Lerderderg
CorangamiteS,LeslieManor
GoldenPlainsS,Lethbridge
PyreneesS,Lexton
WellingtonS,Licola
MansfieldS,LicolaNorth
WellingtonS,LicolaNorth
BawBawS,Lillico
CentralGoldfieldsS,Lillicur
PyreneesS,Lillicur
WestWimmeraS,Lillimur
IndigoS,Lilliput
YarraRangesS,Lilydale
BenallaRC,Lima
BenallaRC,LimaEast
BenallaRC,LimaSouth
MansfieldS,LimaSouth
MurrindindiS,Limestone
SouthGippslandS,Limonite
EastGippslandS,Lindenow
EastGippslandS,LindenowSouth
GlenelgS,Lindsay
MilduraRC,LindsayPoint
MilduraRC,Linga
GoldenPlainsS,Linton
SwanHillRC,Liparoo
CorangamiteS,Lismore
BulokeS,Litchfield
HindmarshS,LittleDesert
HepburnS,LittleHampton
GreaterGeelongC,LittleRiver
WyndhamC,LittleRiver
LoddonS,Llanelly
WellingtonS,Llowalong
BassCoastS,Loch
SouthGippslandS,Loch
WellingtonS,LochSport
BawBawS,LochValley
EastGippslandS,Lochend
CampaspeS,Lockington
StrathbogieS,Locksley
GreaterBendigoC,Lockwood
GreaterBendigoC,LockwoodSouth
MountAlexanderS,LockwoodSouth
LoddonS,LoddonVale
LoddonS,Logan
NorthernGrampiansS,Logan
WangarattaRC,Londrigan
MooraboolS,LongForest
GreaterBendigoC,LongGully
HorshamRC,Longerenong
YarriambiackS,Longerenong
WellingtonS,Longford
GreaterBendigoC,Longlea
BawBawS,Longwarry
CardiniaS,Longwarry
BawBawS,LongwarryNorth
StrathbogieS,Longwood
StrathbogieS,LongwoodEast
SurfCoastS,Lorne
HindmarshS,Lorquon
GreaterGeelongC,LovelyBanks
MoiraS,LowerMoira
HorshamRC,LowerNorton
BanyuleC,LowerPlenty
LatrobeC,LoyYang
NorthernGrampiansS,Lubeck
YarriambiackS,Lubeck
EastGippslandS,Lucknow
TowongS,Lucyvale
BenallaRC,Lurg
BenallaRC,LurgUpper
WangarattaRC,LurgUpper
GreaterBendigoC,Lyal
CaseyC,Lynbrook
CaseyC,Lyndhurst
GreaterDandenongC,Lyndhurst
GlenelgS,Lyons
HepburnS,Lyonville
KnoxC,Lysterfield
YarraRangesS,Lysterfield
CaseyC,LysterfieldSouth
MoyneS,Macarthur
YarraRangesS,Macclesfield
MacedonRangesS,Macedon
WellingtonS,MacksCreek
BanyuleC,Macleod
DarebinC,Macleod
GannawarraS,Macorna
LoddonS,Macorna
GannawarraS,MacornaNorth
MansfieldS,MacsCove
WellingtonS,Madalya
MooraboolS,Maddingley
AraratRC,Mafeking
WellingtonS,Maffra
WellingtonS,MaffraWestUpper
BallaratC,Magpie
GreaterBendigoC,MaidenGully
MaribyrnongC,Maidstone
MoyneS,MailorFlat
PyreneesS,MainLead
MorningtonPeninsulaS,MainRidge
MansfieldS,Maindample
MurrindindiS,Maintongoon
BenallaRC,MajorPlains
GreaterSheppartonC,MajorPlains
CentralGoldfieldsS,Majorca
MountAlexanderS,Maldon
EastGippslandS,Mallacoota
HepburnS,Malmsbury
MacedonRangesS,Malmsbury
MountAlexanderS,Malmsbury
StonningtonC,Malvern
StonningtonC,MalvernEast
WyndhamC,Mambourin
SwanHillRC,Manangatang
GreaterBendigoC,Mandurang
GreaterBendigoC,MandurangSouth
MitchellS,Mangalore
StrathbogieS,Mangalore
GreaterGeelongC,ManifoldHeights
GreaterGeelongC,Mannerim
GoldenPlainsS,Mannibadar
WellingtonS,MannsBeach
EastGippslandS,Manorina
MansfieldS,Mansfield
EastGippslandS,MaramingoCreek
GreaterGeelongC,MarcusHill
SouthGippslandS,Mardan
ColacOtwayS,Marengo
MaribyrnongC,Maribyrnong
GreaterSheppartonC,Marionvale
WangarattaRC,Markwood
BulokeS,Marlbed
EastGippslandS,Marlo
NorthernGrampiansS,Marnoo
NorthernGrampiansS,MarnooEast
NorthernGrampiansS,MarnooWest
GreaterBendigoC,Marong
LoddonS,Marong
AraratRC,Maroona
StrathbogieS,Marraweeny
GreaterGeelongC,Marshall
EastGippslandS,Marthavale
GreaterSheppartonC,Marungi
MoiraS,Marungi
CentralGoldfieldsS,Maryborough
CardiniaS,Maryknoll
MurrindindiS,Marysville
LatrobeC,Maryvale
BulokeS,Massey
MansfieldS,Matlock
YarraRangesS,Matlock
GoldenPlainsS,Maude
MorningtonPeninsulaS,McCrae
CampaspeS,McEvoys
LoddonS,McIntyre
HorshamRC,McKenzieCreek
MountAlexanderS,McKenziesHill
GlenEiraC,McKinnon
WellingtonS,McLoughlinsBeach
YarraRangesS,McMahonsCreek
GannawarraS,McMillans
GannawarraS,Mead
WangarattaRC,MeadowCreek
HumeC,MeadowHeights
GannawarraS,Meatian
SwanHillRC,Meatian
SouthGippslandS,Meeniyan
GannawarraS,MeeringWest
LoddonS,MeeringWest
WellingtonS,Meerlieu
MelbourneC,Melbourne
MelbourneC,Melbourne
PortPhillipC,Melbourne
HumeC,MelbourneAirport
MelbourneC,MelbourneWest
MeltonS,Melton
MeltonS,MeltonSouth
MeltonS,MeltonWest
SthnGrampiansS,MelvilleForest
EastGippslandS,Melwood
PyreneesS,MenaPark
KingstonC,Mentone
CardiniaS,MenziesCreek
YarraRangesS,MenziesCreek
