,City,Hotel
215,Bannockburn,Railway
216,Creswick,Bull&Mouth
217,Ballarat,Burke&Wills
218,Leongatha,Commercial
219,Nhill,FarmersArms
220,Nathalia,Railway
221,Carapoore,PetersHotel&Store
222,Horsham,Exchange
223,Ballarat,National
224,Nirranda,BoggyBridge
225,Rushworth,Rushworth
226,Ballan,Commercial
227,Portland,Macs
228,Mordialloc,Mordialloc
229,Coleraine,Coleraine
230,Sale,Criterion
231,Sale,Criterion
232,Kyneton,Newsmarket
233,Echuca,SteamPacket
234,Mooroopna,ShamrockHotel&Store
235,Portland,McKenziesFamily
236,Ballarat,Angel
237,Inverloch,Esplanade
238,Lawloit,SquattersArms
239,Maryborough,GoldenAge
240,ArnoldssBridge,Half-way
241,Clunes,Criterion
242,Ballarat,SouthernCross
243,Warrnambool,Commercial
244,Lockwood,QueensHead
245,Donald,Richardson
246,Ballarat,Times
247,BacchusMarsh,Royal
248,Mooroopna,Commercial
249,Ballarat,SirJohnFranklin
250,Kyneton,ClareCastle
251,Casterton,BridgeInn
252,Sale,Star
253,NeerimSouth,YeKingsArms
254,Mooroopna,MorrellsJunction
255,Benalla,Victoria
256,Ballarat,HamptonCourt
257,Ballarat,Market
258,Heathcote,McIvorInn
259,Ballarat,Shamrock
260,Ballarat,BlackHorseInn
261,Ballarat,Galatea
262,Stawell,Commercial
263,Warrnambool,Warrnambool
264,Cardigan,Crown&Sceptre
265,Inverloch,Esplanade
266,Ballarat,BirdinHand
267,Kerang,Royal
268,Ballarat,NorthStar
269,Ballarat,Northages
270,BacchusMarsh,Woolpack
271,Echuca,Palace
272,Ballarat,American
273,Kyneton,Railway
274,Mooroopna,LancefieldHotel&Store
275,Kyneton,Railway
276,Charlton,GoldenFleece
277,Kerang,Royal
278,Dandenong,Shamrock
279,Birchip,Commercial
280,Woorak,Albion
281,Queenscliff,HalfwayHouse
282,Daylesford,HodgesBelleVue
283,Jung,Commercial
284,Condah,FleeceInn
285,GreenHills,FleeceInn
286,Mansfield,Delatite
287,Ballarat,Cumberland&Durham
288,Harrow,Harrow
289,Ballarat,Inkerman
290,Ballarat,Pioneer
291,Kyneton,Albion
292,Rossbridge,RossBridge
293,Stawell,Reefs
294,Ballarat,SirWilliamWallace
295,Ballarat,Copenhagen
296,Ballarat,PhoenixPark
297,Longwood,WhiteHart
298,Ballan,Freemasons
299,BacchusMarsh,Woolpack
