City,Hotel
Ballarat,HamptonCourt
Ballarat,Market
Heathcote,McIvorInn
Ballarat,Shamrock
Ballarat,BlackHorseInn
Ballarat,Galatea
Stawell,Commercial
Warrnambool,Warrnambool
Cardigan,Crown&Sceptre
Inverloch,Esplanade
Ballarat,BirdinHand
Kerang,Royal
Ballarat,NorthStar
Ballarat,Northages
BacchusMarsh,Woolpack
Echuca,Palace
Ballarat,American
Kyneton,Railway
Mooroopna,LancefieldHotel&Store
Kyneton,Railway
Charlton,GoldenFleece
Kerang,Royal
Dandenong,Shamrock
Birchip,Commercial
Woorak,Albion
Queenscliff,HalfwayHouse
Daylesford,HodgesBelleVue
Jung,Commercial
Condah,FleeceInn
GreenHills,FleeceInn
Mansfield,Delatite
Ballarat,Cumberland&Durham
Harrow,Harrow
Ballarat,Inkerman
Ballarat,Pioneer
Kyneton,Albion
Rossbridge,RossBridge
Stawell,Reefs
Ballarat,SirWilliamWallace
Ballarat,Copenhagen
Ballarat,PhoenixPark
Longwood,WhiteHart
Ballan,Freemasons
BacchusMarsh,Woolpack
Ballan,EastBallan
NarNarGoon,NarNarGoon
Ballarat,PostOffice
Ballarat,Ballarat
Ballarat,NewYork
PortAlbert,PortAlbert
Ballarat,CornishArms
Ballarat,Eureka
Skipton,Ripon
Ballarat,BakeryHill
Ballarat,RoyalOak
Stawell,Commercial
Ballarat,Eureka
BethangaUpper,Albion
Ballarat,TownHall
Ballan,Shannon
Sebastopol,CardiffArms
Stawell,QuartzMiners
Barramunga,Junction
Mornington,Frankston
KiallaWest,SevenCreeksHotel&Store
StLeonards,StLeonards
Horsham,Club
Ballarat,PlankRoad
FieryCreek,GoldenAge&Hall
Wangaratta,CouncilClubHotel&StGeorgesHall
Wangaratta,CouncilClubHotel&StGeorgesHall
Ballarat,Excelsior
Ballarat,Smiths
Wangaratta,Royal
Mooroopna,Moorooopna
Mooroopna,RoyalMail
Kyneton,Crown
Lockwood,QueensHead
Rokewood,Rokewood
Benalla,Benalla
Benalla,Benalla
Benalla,Benalla
Benalla,Benalla
Creswick,Star
Frankston,BayView
Ballarat,Streets
Euroa,EuroaInn
Bannockburn,Somerset
Kyneton,Junction
Skipton,Skipton
Beechworth,Tanswells
Ballarat,TurfClub
Ballarat,CityofHamburg
LongGully,RoseofAustralia
Ballarat,National
GreenHills,FleeceInn
Ballarat,RussellSquare
Kyneton,HarpofErin
Condah,FleeceInn
Kyneton,Criterion
Bealiba,Commercial
Linton,RoyalStandard
MountClear,Half-wayHouse
SwanHill,Shamrock
Benalla,Royal
Camperdown,Leura
Ballarat,OldEglington
Ballarat,WardsFamily
Ballarat,RifleButts
Dromana,Dromana
Queenscliff,Commercial
BacchusMarsh,BorderInn
Baringhup,SportsmansArms
Kilmore,Kilmore
Ballarat,Haymarket
Wangaratta,CouncilClubHotel&StGeorgesHall
Creswick,MinersRight
Creswick,SevenStar
Ballarat,TurfClub
Mooroopna,CricketersArms
Glenthompson,Macs
Ballarat,WhiteHorse
Mooroopna,LancefieldHotel&Store
Mansfield,Commercial
Ballarat,National
Ballarat,BrewersArms
Ararat,AsylumHill
RedHill,Victoria
Beaufort,Camp
Boorhaman,BontheramboHotel&PO
