City,Council
BarwonDowns(3243),ColacOtwayS
BarwonHeads(3227),GreaterGeelongC
Basalt(3460),HepburnS
Bass(3991),BassCoastS
Batesford(3221),GoldenPlainsS
Batesford(3221),GreaterGeelongC
Bathumi(3730),MoiraS
Batman(3058),MorelandC
BawBaw(3833),BawBawS
BawBawVillage(3833),BawBawS
Baxter(3911),MorningtonPeninsulaS
Bayindeen(3375),AraratRC
Bayles(3981),CardiniaS
Baynton(3444),MacedonRangesS
BayntonEast(3444),MacedonRangesS
Bayswater(3153),KnoxC
BayswaterNorth(3153),MaroondahC
Beaconsfield(3807),CardiniaS
Beaconsfield(3807),CaseyC
BeaconsfieldUpper(3808),CardiniaS
Bealiba(3475),CentralGoldfieldsS
Bealiba(3475),LoddonS
Bearii(3641),MoiraS
BearsLagoon(3517),LoddonS
Beauchamp(3579),GannawarraS
Beauchamp(3579),SwanHillRC
Beaufort(3373),PyreneesS
Beaumaris(3193),BaysideC
BeazleysBridge(3478),NthnGrampiansS
Beeac(3251),ColacOtwayS
BeechForest(3237),ColacOtwayS
Beechworth(3747),IndigoS
Beenak(3139),YarraRangesS
Belgrave(3160),YarraRangesS
BelgraveHeights(3160),YarraRangesS
BelgraveSouth(3160),YarraRangesS
BellPark(3215),GreaterGeelongC
BellPostHill(3215),GreaterGeelongC
Bellarine(3221),GreaterGeelongC
BellbirdCreek(3889),EastGippslandS
Bellbrae(3228),SurfCoastS
Bellbridge(3691),TowongS
Bellellen(3380),NorthernGrampiansS
Bellfield(3081),BanyuleC
Bellfield(3381),NorthernGrampiansS
Bellfield(3381),SouthernGrampiansS
BellsBeach(3228),SurfCoastS
Belmont(3216),GreaterGeelongC
BemmRiver(3889),EastGippslandS
Bena(3946),SouthGippslandS
Benalla(3672),BenallaRC
Benambra(3900),EastGippslandS
Benayeo(3319),WestWimmeraS
BendofIslands(3097),NillumbikS
Bendigo(3550),GreaterBendigoC
BendigoEast(3550),GreaterBendigoC
BendigoNorth(3550),GreaterBendigoC
BendigoWest(3550),GreaterBendigoC
Bendoc(3888),EastGippslandS
Bengworden(3875),EastGippslandS
Benjeroop(3579),GannawarraS
Benloch(3435),MacedonRangesS
Bennettswood(3125),WhitehorseC
Bennison(3960),SouthGippslandS
Bentleigh(3204),GlenEiraC
BentleighEast(3165),GlenEiraC
Benwerrin(3235),SurfCoastS
Beremboke(3342),MooraboolS
Berrimal(3518),LoddonS
Berringa(3351),GoldenPlainsS
Berringama(3691),TowongS
Berriwillock(3531),BulokeS
Berrybank(3323),CorangamiteS
Berrybank(3323),GoldenPlainsS
BerrysCreek(3953),SouthGippslandS
Berwick(3806),CaseyC
Bessiebelle(3304),GlenelgS
Bessiebelle(3304),MoyneS
BetBet(3472),CentralGoldfieldsS
BeteBolong(3888),EastGippslandS
BeteBolongNorth(3888),EastGippslandS
Bethanga(3691),TowongS
Betley(3472),CentralGoldfieldsS
Beulah(3395),YarriambiackS
Beverford(3590),SwanHillRC
Beveridge(3753),MitchellS
Beveridge(3753),WhittleseaC
BigDesert(-),HindmarshS
BigDesert(-),MilduraRC
BigDesert(-),WestWimmeraS
BigHill(3555),GreaterBendigoC
BigHill(3231),SurfCoastS
BigPatsCreek(3799),YarraRangesS
Biggara(3707),TowongS
Billabong(3858),WellingtonS
Bimbourie(3533),BulokeS
Bindi(3896),EastGippslandS
Binginwarri(3966),SouthGippslandS
Binginwarri(3966),WellingtonS
BingoMunji(3898),EastGippslandS
Birchip(3483),BulokeS
BirchipWest(3483),BulokeS
Birdwoodton(3505),MilduraRC
Birregurra(3242),ColacOtwayS
Birregurra(3242),SurfCoastS
Bittern(3918),MorningtonPeninsulaS
BlackHill(3350),BallaratC
BlackRange(-),AraratRC
BlackRange(-),NorthernGrampiansS
BlackRock(3193),BaysideC
Blackburn(3130),WhitehorseC
BlackburnNorth(3130),WhitehorseC
BlackburnSouth(3130),WhitehorseC
Blackheath(3401),HorshamRC
Blackwarry(3844),WellingtonS
Blackwood(3458),MooraboolS
BlackwoodForest(3992),BassCoastS
BlackwoodNorth(3458),HepburnS
Blairgowrie(3942),MorningtonPeninsulaS
Blakeville(3342),MooraboolS
Blampied(3364),HepburnS
BlindBight(3980),CaseyC
Blowhard(3352),BallaratC
BoPeep(3351),BallaratC
BoPeep(3351),PyreneesS
Bobinawarrah(3678),WangarattaRC
Bochara(3301),SouthernGrampiansS
Bogong(3699),AlpineS
Boho(3669),StrathbogieS
BohoSouth(3669),BenallaRC
BohoSouth(3669),StrathbogieS
Boigbeat(3531),BulokeS
Boinka(3490),MilduraRC
Boisdale(3860),WellingtonS
Bolangum(3381),NorthernGrampiansS
Bolinda(3432),MacedonRangesS
Bolton(3546),SwanHillRC
Bolwarra(3305),GlenelgS
Bolwarrah(3352),MooraboolS
BonaVista(3820),BawBawS
Bonang(3888),EastGippslandS
Bonbeach(3196),KingstonC
Bonegilla(3691),WodongaRC
Boneo(3939),MorningtonPeninsulaS
BonnieDoon(3720),BenallaRC
BonnieDoon(3720),MansfieldS
Bonshaw(3356),BallaratC
Bookaar(3260),CorangamiteS
Boola(3825),BawBawS
Boola(3825),LatrobeC
Boolarong(3960),SouthGippslandS
Boolarra(3870),LatrobeC
Boolarra(3870),SouthGippslandS
BoolarraSouth(3870),LatrobeC
BoolarraSouth(3870),SouthGippslandS
BoolePoole(3880),EastGippslandS
Boolite(3480),YarriambiackS
Boomahnoomoonah(3728),MoiraS
Boonah(3235),SurfCoastS
Boorcan(3265),CorangamiteS
Boorhaman(3678),WangarattaRC
BoorhamanEast(3678),WangarattaRC
BoorhamanNorth(3685),WangarattaRC
Boorolite(3723),MansfieldS
Boorool(3953),SouthGippslandS
Boort(3537),LoddonS
Boosey(3730),MoiraS
Boralma(3682),WangarattaRC
BornesHill(3379),AraratRC
Boronia(3155),KnoxC
Borung(3518),LoddonS
BostockCreek(3260),CorangamiteS
BoundaryBend(3599),SwanHillRC
Bowenvale(3465),CentralGoldfieldsS
Boweya(3675),BenallaRC
Boweya(3675),WangarattaRC
BoweyaNorth(3675),MoiraS
BowmansForest(3735),WangarattaRC
Bowser(3678),WangarattaRC
BoxHill(3128),WhitehorseC
BoxHillNorth(3129),WhitehorseC
