COUNCIL,2018,2019,2018-2019,percentagechange,Naturalincrease,Areakm^2,Populationdensity,,,,,,
Mitchell Shire Council,44298,46082,1784,4,355,2862.1,16.1,,,,,,
Moira Shire Council,29797,29925,128,0.4,6,4046.4,7.4,,,,,,
Monash City Council,200212,202847,2635,1.3,367,81.5,2489.4,,,,,,
Moonee Valley City Council,127906,130294,2388,1.9,619,43.1,3020.4,,,,,,
Moorabool Shire Council,34156,35049,893,2.6,239,2110.6,16.6,,,,,,
Moreland City Council,181780,185767,3987,2.2,1364,51,3645.9,,,,,,
Mornington Peninsula Shire Council,165823,167636,1813,1.1,116,724.2,231.5,,,,,,
Mount Alexander Shire Council,19514,19754,240,1.2,-35,1529.6,12.9,,,,,,
Moyne Shire Council,16887,16953,66,0.4,53,5481.7,3.1,,,,,,
Murrindindi Shire Council,14478,14570,92,0.6,-16,3879.8,3.8,,,,,,
Nillumbik Shire Council,64941,65094,153,0.2,294,432.3,150.6,,,,,,
Northern Grampians Shire Council,11430,11402,-28,-0.2,-13,5729.9,2,,,,,,
Port Phillip City Council,113265,115601,2336,2.1,754,20.7,5582.1,,,,,,
Pyrenees Shire Council,7353,7472,119,1.6,-1,3434.6,2.2,,,,,,
Borough of Queenscliffe,2982,3000,18,0.6,115,10.83,275.35,,,,,,
South Gippsland Shire Council,29575,29914,339,1.1,9,3296.3,9.1,,,,,,
Southern Grampians Shire Council,16134,16100,-34,-0.2,6,6654,2.4,,,,,,
Stonnington City Council,116281,117768,1487,1.3,420,25.7,4591.1,,,,,,
Strathbogie Shire Council,10644,10781,137,1.3,-22,3303.3,3.3,,,,,,
Surf Coast Shire Council,32252,33456,1204,3.7,169,1552.9,21.5,,,,,,
Swan Hill Rural City Council,20760,20649,-111,-0.5,93,6115.3,3.4,,,,,,
Towong Shire Council,6054,6040,-14,-0.2,-23,6674.9,0.9,,,,,,
Wangaratta Rural City Council,29086,29187,101,0.3,10,3645.1,8,,,,,,
Warrnambool City Council,34863,35181,318,0.9,79,120.9,290.9,,,,,,
Wellington Shire Council,44017,44380,363,0.8,96,10817.3,4.1,,,,,,
West Wimmera Shire Council,3862,3841,-21,-0.5,0,9108.2,0.4,,,,,,
Whitehorse City Council,176273,178739,2466,1.4,507,64.3,2780.6,,,,,,
Whittlesea City Council,223347,230238,6891,3.1,2270,489.7,470.2,,,,,,
Wodonga City Council,41429,42083,654,1.6,266,432.7,97.3,,,,,,
Wyndham City Council,255367,270487,15120,5.9,4039,542.1,499,,,,,,
Yarra City Council,98567,101495,2928,3,693,19.5,5193.6,,,,,,
Yarra Ranges Shire Council,158171,159462,1291,0.8,1137,2468.2,64.6,,,,,,
Yarriambiack Shire Council,6658,6639,-19,-0.3,-51,7325.8,0.9,,,,,,
