Title,Name,Relationship,Date,Source
"LambInn&Store,YanYean",Abbott,Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"MorrellsJunction,Mooroopna",Allen,Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Rose&Crown,Ballarat","Arthur,J",Notidentified,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"CommercialHotel&PostOffice&Store,Indigo","Ashdown,James",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Royal,Rupanyup","Ashmore,GeorgeCharles",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Royal,Mansfield","Baldry,CC",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Woolpack,Barkly","Barker,Peter",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"LimerickCastle,Ballarat","Barney,G",Notidentified,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"McIvor,Maryborough","Barrett,HenryHarling",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"CourtHouse,Kyneton","Barry,P",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Commercial,Mooroopna",Bazley,Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Union,Ballarat","Beckman,H",Notidentified,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Coleraine,Coleraine","Bell,Richardson",Other,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"RoyalStandard,Linton",Bell,Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Commercial,Mooroopna",Bell,Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"RedBull,Ballarat",Bellinger,Notidentified,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"DudleyCastle,Ballarat",Bennett,Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Rokewood,Rokewood",Bennett,Other,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Eureka,Ballarat",Bentley,Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"WhiteHorse,Ballarat","Betts,J",Notidentified,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Cosomopolitan,Ballarat","Betts,J",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"WindsorArms,Ballarat","Bextream,Annie",Notidentified,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Rainbow,Ballarat","Beyer,Annie",Notidentified,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"George,Ballarat","Bignall,Wm",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"AvenalArms,HughesCreek","Bignell,John",Other,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"RoyalMail,Mooroopna",Birch,Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Commercial,Stawell","Blackburn,George",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Excelsior,Ballarat","Blackett,T",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Britannia,Ballarat","Blythen,G",Notidentified,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Railway,Euroa","DeBoos,CL",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"BakeryHill,Ballarat","Bourke,J",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Macs,Portland","Bowden,John",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"MerinoInn,MosquitoFlat","Bowden,John",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Soho,Ballarat","Bowes,Jessie",Notidentified,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"BlueBell,StArnaud","Box,Daniel",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"StAndrew,Ballarat","Boyd,Wm",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Copenhagen,Ballarat",Boyd&Prescott,Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"LakeWallace,Edenhope","Boyton,ChasRobt",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"LiverpoolArms,Ballarat","Brabner,Cath",Notidentified,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"CarriersArms,Craigieburn","Bradley,Edward",Other,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"CorduroyBridgeHotel&PO,Clarendon","Bradshaw,HenryJohn",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Consols,Ballarat","Brady,JE",Notidentified,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"GrangeFamily,Hamilton",Brake,Other,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"CattleYardsInn,Alfredton","Brazenor,W",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Esplanade,Inverloch","Brook,RichardD",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"FarmersRest,Warrnambool","Brooker,Chas",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Stag,PortFairy","Brown,AJ",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Castle,RaspberryCreek","Brown,LJas",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"British,BowmansForest","Brown,ThomasHince",Other,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Marramingo,GenoaRiver","Buckland,BH",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
"Railway,Ballan","Bull,George",Licensee,Notidentified,"ahotelentryintheRobertK.ColeIndexofVictorianhotels,1841-1949"
