,Title,City
77,"New Scotch, Ballarat",Mair St 
78,"Prince Albert, Lockwood",Lockwood 
79,"La Mascotte, Castlemaine",corner Hargreaves & Mostyn Sts 
80,"Waaia, Waaia",Waaia 
81,"Stag & Hound, Ballarat",Ballarat 
82,"Scotchmans Arms, Ballarat",Durham St 
83,"Railway, East Murchison",Murchison East 
84,"Victorian Alps, Macedon",Macedon 
85,"Bridge, Dargo",Dargo 
86,"St Leonards, St Leonards",St Leonards 
87,"Commercial, Kyneton",corner Mollison & Yaldwin Sts 
88,"St Leonards, St Leonards",St Leonards 
89,"Clunes, Clunes North",Clunes North 
90,"Dairy & Ice Works, Rushworth",Rushworth 
91,"Warrnambool, Warrnambool",corner Banyan & Merri Sts 
92,"Balaclava, Whroo",Whroo 
93,"Royal, Wangaratta",Wangaratta 
94,"Royal, Kyneton",Kyneton 
95,"Woolpack, Bacchus Marsh",Bacchus Marsh 
96,"Leura, Camperdown",Camperdown 
97,"Commercial, Mooroopna",Morrell St 
98,"Golden Fleece, Charlton",Charlton 
99,"Victoria, Benalla",Benalla 
100,"Victoria, Warrnambool",corner Liebig & Lava Sts 
101,"Western, Warrnambool",Warrnambool 
102,"All Nations, Red Hill",Blackwood Red Hill 
103,"All Nations, Barramunga",Barramunga Red Hill 
104,"All Nations, Red Hill",Red Hill 
105,"Clarkes, Ballarat",Sturt St 
106,"Shearers Arms, Newtown",Western Rd 
107,"Ancient Briton, Ballarat",Main Rd 
108,"Railway, Euroa",Euroa 
109,"King Parrot, Drouin South",Drouin South 
110,"Belmont, Thomastown",Thomastown Dry Creek 
111,"North Eastern, Benalla",Benalla 
112,"Railway, Baddaginnie",Baddaginnie 
113,"Criterion, Sale",corner York & Macalister Sts 
114,"Robin Hood, Drouin West ( Vic. -- Hotels -- Robin Hood",Drouin West 
115,"Harp of Erin, Kyneton",Piper St 
116,"Imperial, Ballarat",Armstrong St 
117,"Royal Victoria, Wangaratta",Faithful St 
118,"Grand Terminus, Bairnsdale",Bairnsdale 
119,"Donegans, Ballarat",Victoria St 
120,"Railway, Ballarat",Wills St 
121,"Foresters Inn, Harrow",Harrow 
122,"Criterion, Rochester",corner Mackay & Gillies Sts 
123,"Mt Egerton, Mount Egerton",Mount Egerton 
124,"Myrniong, Myrniong",Myrniong 
125,"Victorian, Byrneside",Byrneside 
126,"Grand National, Ballarat",Armstrong St 
127,"Exchange, Foster",Foster 
128,"Lancefield Hotel & Store, Mooroopna",Mooroopna 
129,"Port Phillip, Ballarat",Doveton St 
130,"Half-way House, Ballarat",Skipton St 
131,"Post Office, Ballarat",Magpie St 
132,"Lillimur, Lillimur",Lillimur 
133,"Shamrock, Sale",Pearson St 
134,"Grand Terminus, Bairnsdale",Bairnsdale 
135,"Prince of Wales, Ballarat",Grenville St 
136,"Marysville, Marysville",Marysville 
137,"Woolpack, Sale",Sale 
138,"Railway, Bannockburn",Bannockburn 
