,Title,City
4773,"Court House, Buninyong",Learmonth St 
4774,"New Constitution, Stawell",Pleasant Creek 
4775,"Constitution, Stawell",Stawell 
4776,"Commercial, Wangaratta",Murphy St 
4777,"Shamrock, Sale",Pearson St 
4778,"Castlemaine, Castlemaine",corner Hargraves & Lyttleton Sts 
4779,"Victoria, Warrnambool",corner Liebig & Lava Sts 
4780,"Waverley, Majorca",Majorca 
4781,"Royal Oak, Kilmore",Sydney St 
4782,"Lake View, Burrumbeet",Burrumbeet 
4783,"Jolly Waggoner, Echuca",Annesly St 
4784,"Empire, Beechworth",corner Camp & High Sts 
4785,"Commercial, Taradale",High St 
4786,"Plough Inn & Store, Tarrawingee",Tarrawingee 
4787,"Exchange, Sebastopol",Ballarat Sebastopol 
4788,"Victoria Hotel & Produce Store, Echuca",Hare St 
4789,"Royal, Meredith",Meredith 
4790,"Buninyong, Buninyong",Buninyong 
4791,"Reefers, Woods Point",Woods Point 
4792,"International, Kangaroo Flat",Kangaroo Flat 
4793,"Hibernian, Koroit",Warrnambool Koroit 
4794,"Argyle, Geelong",Aberdeen St 
4795,"Old House, Echuca",Hare St 
4796,"Glasgow Arms, Majorca",Majorca 
4797,"Red Lion Inn, Geelong",Moorabool St 
4798,"Mechanics Arms, Castlemaine",Barker St 
4799,"Union Hotel & Store, Barkers Creek",Barkers Creek 
4800,"George & Dragon, Geelong",Moorabool St 
4801,"Bunyip, Geelong",Spring St 
4802,"Black Swan, Newtown",Newtown 
4803,"Court House, Talbot",Camp St 
4804,"Royal, Matlock",Jordan St 
4805,"Cosmopolitan, Stringers Creek",Stringers Creek 
4806,"Carisbrook, Carisbrook",Carisbrook 
4807,"Geelong & Ballarat, Geelong",Church St 
4808,"Grand Junction, Warrenheip",Melbourne Rd 
4809,"Farmers Arms, Daylesford",corner East & Raglan Sts 
4810,"Caledonia, Murchison",corner Bendigo & Tatura Rds 
4811,"Temple Bar, Beechworth",Beechworth 
4812,"Duke of Kent, Malmsbury",Mollison St 
4813,"Freemasons, Taradale",Taradale 
4814,"Freemasons Arms, Tarraville",Reeves St 
4815,"Court House, Taradale",Taradale Suburban 
4816,"Bendigo, Echuca",Pakenham St 
4817,"Clarence, Yackandandah",Yackandandah 
4818,"Royal, Smythesdale",Brooke St 
4819,"Bush Inn, Geelong",Corio St 
4820,"Batts, Yarra Flats",Yarra Flats 
4821,"Yarra Flats, Yarra Glen",Yarra Glen 
4822,"Bridge Hotel & Grocer, Castlemaine",Barkly St 
4823,"Royal, Geelong",Malop St 
4824,"Petrel, Geelong",Packington St 
4825,"Royal, Daylesford",corner Vincent & Albert Sts 
4826,"Commercial Tavern, Newtown",Leviens St 
4827,"Steam Packet, Geelong",Yarra St 
4828,"New York, Ballarat",Main Rd 
4829,"Sydney, Rutherglen",Rutherglen 
4830,"Black Bull, Geelong",Malop St 
4831,"Live & Let Live Hotel & Store, Stanley",Stanley 
4832,"National, Taradale",High St 
4833,"Criterion, Castlemaine",corner Mostyn & Barker Sts 
4834,"Plough Inn, Tower Hill",Tower Hill Flat 
4835,"Hotel De LEurope et Pension Suisse, Castlemaine",Castlemaine 
4836,"Runges, Heathcote",Heathcote 
4837,"Racecourse, Malmsbury",Mollison St 
4838,"Builders Arms, Geelong",Malop St 
4839,"Golden Age, Geelong",Gheringhap St 
4840,"Royal Mail, Woodside",Woodside 
4841,"Royal Hotel & Theatre, Talbot",Talbot 
4842,"Council Club Hotel & St Georges Hall, Wangaratta",Murphy St 
4843,"Mount Arnold, Mount Arnold",Mount Arnold 
4844,"Victoria, Rutherglen",Main St 
4845,"Railway, Runnymede",Runnymede 
4846,"Steiglitz, Steiglitz",Steiglitz 
4847,"Steiglitz, Steiglitz",Steiglitz 
4848,"East Ballan, Ballan",Ballan 
4849,"Argyle, Heathcote",Heathcote 
4850,"Lounge, Maldon",High St 
4851,"Lounge, Maldon",High St 
4852,"Albion, Sale",corner Raymond & Bond Sts 
4853,"Commercial, Benalla",Bridge St 
4854,"Commercial, Creswick",Victoria St 
4855,"London Inn, Talbot",Maryborough Rd 
4856,"Lauriston, Lauriston",Lauriston 
4857,"Lauriston, Lauriston",Lauriston Road 
4858,"Crown, Rutherglen",Rutherglen 
4859,"London, Moorabool",Geelong Moorabool 
4860,"Talbot, Creswick",Melbourne Rd 
4861,"Old House at Home, Carngham",Carngham 
4862,"Freemasons, Echuca",Annesley St 
4863,"Freemasons, Echuca",Annesley St 
4864,"Forest Home, Steiglitz",Steiglitz 
4865,"Sinclaiars, Matlock",Jordan St 
4866,"Brewers Arms, Majorca",Majorca 
4867,"Beehive, Maldon",Main St 
4868,"Turf, Creswick",Creswick Rd 
4869,"Avoca, Avoca",High St 
4870,"Turf, Ballarat",Creswick Rd 
4871,"Coach & Horses, Kilmore",Powlett St 
4872,"London Tavern, Beechworth",Camp St 
4873,"Telegraph, Maryborough",Maryborough 
4874,"Star, Creswick",Creswick Frenchmans Lead 
4875,"Esplanade, Echuca",Esplanade 
4876,"Esplanade, Echuca",Esplanade 
4877,"Volunteer Tavern, Castlemaine",Market Square 
4878,"Union, Geelong",Malop St 
4879,"Kent Hotel & General Storekeepers, Lauriston",Lauriston 
4880,"Britannia, Geelong",Yarra St 
4881,"Cricket Club, Newtown",Latrobe Terrace 
4882,"Australian, Geelong",Ryrie St 
4883,"Caledonian, St Andrews",Queenstown St Andrews 
4884,"Mount Macedon, Woodend",Woodend 
4885,"Myrniong, Myrniong",Myrniong 
4886,"Royal Mail, Geelong",Yarra St 
4887,"Shearers Arms, Geelong",Aberdeen St 
4888,"Bull & Mouth, Kilmore",Kilmore 
4889,"Albert, Whroo",Whroo 
4890,"Moolap, Moolap",Queenscliff Rd 
4891,"Star, Rutherglen",Main St 
4892,"Star, Geelong",Myers St 
4893,"Totts, Castlemaine",Barker St 
4894,"Hibernian, Kilmore",Sydney St 
4895,"Macs, Geelong",Geelong Eastern Beach 
4896,"Commercial, Avoca",Avoca 
4897,"Royal, Warrnambool",corner Merri & Kelp Sts 
4898,"Tarnagulla, Tarnagulla",Tarnagulla 
4899,"Prince Alfred, Ballarat",Sturt St 
4900,"Shamrock Hotel & Store, North Wangaratta",Wangaratta North 
4901,"National, Geelong",Moorabool St 
4902,"Colliban, Castlemaine",Elizabeth St 
4903,"Phoenix, Geelong",Moorabool St 
4904,"Harp of Erin, Majorca",Majorca 
4905,"Prince of Wales, Seymour",Emily St 
4906,"Harvest Home, Creswick",Creswick Rd 
4907,"Wards, Echuca",Hare St 
4908,"Family, Queenscliff",Queenscliff 
4909,"Imperial, Castlemaine",Castlemaine 
4910,"Rising Sun, Warrnambool",Timor St 
4911,"Imperial, Talbot",Ballarat St 
4912,"Court House, Creswick",corner Raglan & Napier Sts 
4913,"Freemasons, Kyneton",Yaldwin St 
4914,"Scarsdale, Scarsdale",Scarsdale 
4915,"Farmers Arms, Coghills Creek",Coghills Creek 
4916,"Farmers, Geelong",Market Square 
4917,"Commercial, Violet Town",Violet Town 
4918,"Guiding Star, Sebastopol",Ballarat Sebastopol 
4919,"McIvor, Maryborough",Maryborough 
4920,"Sir Henry Barkly Hotel & Post Office, Woodside",Woodside 
4921,"Sir Charles Hotham, Geelong",Cavendish St 
4922,"Stevenson, Marysville",Marysville 
4923,"Star, Stanley",Stanley 
4924,"Commercial, Talbot",Talbot 
4925,"Caledonian, Echuca",Anstruther St 
4926,"Woolpack Inn, Dunkeld",Dunkeld 
4927,"Lady of the Lake, Modewarre",Modewarre Moriac 
4928,"Camp, Stawell",Pleasant Creek 
4929,"Commercial, Stawell",Pleasant Creek 
4930,"Castlemaine, Stawell",Pleasant Creek 
4931,"Star, Stawell",Pleasant Creek 
4932,"Star Hotel & Boarding House, Woods Point",Woods Point 
4933,"Washington, Ballarat",Main Rd 
4934,"Union, Bendigo",Williamson St 
4935,"Yorkshire, Bendigo",High St 
4936,"Sandhurst, Bendigo",Lyttleton Ter 
4937,"Portarlington, Geelong",Sydney Place 
4938,"Great Western, Newtown",West Melb Rd 
4939,"Quarry Arms, Bacchus Marsh",Bacchus Marsh 
4940,"Star Hotel & Theatre, Beechworth",Ford St 
4941,"Border Inn, Bacchus Marsh",Bacchus Marsh 
4942,"Exchange, Beechworth",High St 
4943,"Albion, Beechworth",Ford St 
4944,"Royal Mail, Avenel",Old Avenal 
4945,"Victoria, Avoca",High St 
4946,"Harp of Erin, Beechworth",Church St 
4947,"Commercial, Wangaratta",Murphy St 
4948,"Sydney, Wangaratta",Wangaratta 
4949,"Empire State, Wahgunyah",Foord St 
4950,"Victoria, Queenscliff",Queenscliff 
4951,"Royal Exchange, Buninyong",Learmonth St 
4952,"Blanchs Royal, Sebastopol",Ballarat Sebastopol 
4953,"Bridge, Dandenong",Dandenong 
4954,"Bridge, Dandenong",Dandenong 
4955,"Newmarket, Dandenong",Dandenong 
4956,"Newmarket, Dandenong",Dandenong 
4957,"Black Spur, Fernshaw",Fernshaw 
4958,"Alfred the Great, Ballarat",Armstrong St 
4959,"Robert Burns, Healesville",Healesville 
4960,"Queens Head, Ballarat",Lydiard St 
4961,"Royal, Piggoreet",Piggoreet 
4962,"Temperance, Ballarat",Mair St 
4963,"Tootgarook, Rye",Rye 
4964,"Fern Tree Gully, Ferntree Gully",Fern Tree Gully 
4965,"Fern Tree Gully, Ferntree Gully",Fern Tree Gully 
4966,"Castlemaine, Castlemaine",corner Hargraves & Lyttleton Sts 
4967,"Reserve, Cabbage Tree",Cabbage Tree 
4968,"Pub & Store, Break ODay",Break ODay 
4969,"Bull & Mouth, Blackwood",Blackwood 
4970,"Bull & Mouth, Wangaratta",Wangaratta 
4971,"Baltic, Sebastopol",Ballarat Sebastopol 
4972,"Royal Mail Hotel & Store, Healesville",Nicholson St 
4973,"Bank, Ballarat",Lydiard St 
4974,"Ayshire Tavern, Ballarat",Mair St 
4975,"Macs, Mortlake",Dunlop St 
4976,"Border Inn, Bacchus Marsh",Bacchus Marsh 
4977,"Victoria, Castlemaine",Urquhart St 
4978,"Benalla, Benalla",corner Bridge & Nun Sts 
4979,"Royal Victoria, Wangaratta",Faithful St 
4980,"Benalla, Benalla",corner Bridge & Nun Sts 
4981,"McCannys, Bacchus Marsh",Bacchus Marsh 
4982,"Toongabbie, Toongabbie",Toongabbie 
4983,"Tattersalls, Ballarat",Armstrong St 
4984,"Station Peak, Little River",Little River 
4985,"Caledonian Family, Echuca",corner Hare & Darling St 
4986,"Imperial, Majorca",Majorca 
4987,"Middlemisss Longwood, Longwood",Longwood 
4988,"Curries Family, Healesville",Healesville 
4989,"Curriess Family, Healesville",Healesville 
4990,"Kavanaghs, Ballarat",corner Joseph & Clayton Sts 
4991,"City of Cork, Ballarat",corner King & Eureka Sts 
4992,"Hodges Belle Vue, Daylesford",Daylesford 
4993,"Bay View, Hastings",Hastings 
4994,"Middlemisss Longwood, Longwood",Longwood 
4995,"Ancient Druid, Ballarat",Durham St 
4996,"Telegraph, Kilmore",Kilmore 
4997,"Caledonian, St Andrews",Queenstown St Andrews 
4998,"Cosmopolitan, Break ODay",Break ODay 
4999,"Cosmopolitan, Break ODay",Break ODay 
5000,"Happy Home, Donnybrook",Donnybrook 
5001,"Albion, Sale",corner Raymond & Bond Sts 
5002,"Royal, Violet Town",Violet Town 
5003,"Royal, Violet Town",Violet Town 
5004,"Sir John Franklin, Sunbury",Sunbury 
5005,"Court House, Bacchus Marsh",Bacchus Marsh 
5006,"Cranbourne, Cranbourne",Cranbourne 
5007,"Farmers Arms, Benalla",Benalla Broken River 
5008,"Farmers Arms, Benalla",Benalla Broken River 
5009,"Tuckers, Cranbourne",Cranbourne 
5010,"Old Happy Home, Donnybrook",Sydney Rd 
5011,"Union, Happy-Go-Lucky",Happy-Go-Lucky 
5012,"Derwent, Malmsbury",Malmsbury 
5013,"Prince of Wales, Seymour",Emily St 
5014,"Clyde, Wabdallah",Ballarat Rd 
5015,"Budds, Wallan",Wallan Wallan 
5016,"Holloways Factory, Ballarat",Armstrong St 
5017,"Marong, Marong",Marong 
5018,"Victoria, Wodonga",High St 
5019,"Carriers Arms, Millbrook",Millbrook 
5020,"Carriers Arms, Millbrook",Millbrook 
5021,"Border Inn, Berwick",Berwick 
5022,"Union, Avoca",Avoca 
5023,"Barlows Lagoon, Avenel",Avenal 
5024,"Sunbury Inn or Hotel, Sunbury",Sunbury Jacksons Creek 
5025,"Vine, Beechworth",Chiltern Rd 
5026,"Gippsland, Beaconsfield",Beaconsfield 
5027,"Manchester Arms, Ararat",Barkly St 
5028,"Baths Arms, Ballarat",Dana St 
5029,"Golden Valley, Bet Bet",Bet Bet 
5030,"Travellers Rest, Ballan",Ballan 
5031,"Star Hotel & Theatre, Beechworth",Ford St 
5032,"Whittlesea, Whittlesea",Whittlesea 
5033,"Commercial Hotel & Store, Stuart Mill",Stuart Mill 
5034,"Ancient Briton, Ballarat",Main Rd 
5035,"Vine, Beechworth",Chiltern Rd 
5036,"Fern Tree Gully, Ferntree Gully",Fern Tree Gully 
5037,"Royal Standard, Linton",Suffolk St 
5038,"Double Corner, Portland North",Percy St 
5039,"Commercial, Sebastopol",Ballarat Sebastopol 
5040,"Shamrock, Wool Shed",Woolshed Beachworth Vic.
5041,"Evans, Wool Shed",Woolshed 
5042,"Shamrock, Wool Shed",Woolshed Beachworth Vic.
5043,"Neerim Hotel & Store, Crossover",Crossover 
5044,"Ballan Hotel & Store, Ballan",Ballan 
5045,"Royal Mail, Yea",High St 
5046,"Lantica Elvetia, Guildford",Guildford 
5047,"Gippsland, Beaconsfield",Beaconsfield 
5048,"Gippsland, Beaconsfield",Beaconsfield 
5049,"Orwell, Ballan",Inglis St 
5050,"Farmers, Clunes",Clunes 
5051,"Borough Boundary, Ballarat",Creswick Rd 
5052,"Caledonian, St Andrews",Queenstown St Andrews 
5053,"Gap Inn, Wallan",Wallan Wallan Gap 
5054,"Eumemmerring, Eumemmering",Eumemmering 
5055,"Victoria, Birregurra",Birregurra 
5056,"Duck Holes, Lancefield",Lancefield 
5057,"Sportsmans Arms, Coldstream",Coldstream 
5058,"Woodstock, Woodstock",Woodstock 
5059,"Border Inn, Bacchus Marsh",Bacchus Marsh 
5060,"Crown, Geelong",Geelong 
5061,"Crown, Geelong",Geelong Western Beach 
5062,"Woolshed, Hexham",Hexham 
5063,"Emu, Oxley",Oxley 
5064,"St Georges, Geelong",Packington St 
5065,"Commercial, Port Fairy",Sackville St 
5066,"Woodstock, Woodstock",Woodstock 
5067,"Woodstock, Woodstock",Woodstock 
5068,"Newtown, Beechworth",Beechworth 
5069,"Coliban, Malmsbury",Mollison St 
5070,"Commercial Hotel & Store, Stuart Mill",Stuart Mill 
5071,"Carriers Arms, Castlemaine",Elizabeth St 
5072,"Shamrock Hotel & Store, Neilborough",Neilborough 
5073,"Travellers Rest, Raywood",Raywood Elysian Flat 
5074,"Portarlington, Portarlington",Portarlington 
5075,"Portarlington, Portarlington",Portarlington 
5076,"Prince of Wales, Whittlesea",Whittlesea 
5077,"Imperial, Castlemaine",Castlemaine 
5078,"Horseshoe, Chinamans Flat",Chinamans Flat 
5079,"Three Mile Creek, Ararat",Ararat 
5080,"Three Mile Creek, Ararat",Ararat 
5081,"Commercial, Wangaratta",Murphy St 
5082,"Commercial, Eldorado",Eldorado 
5083,"Railway, Sunbury",Sunbury 
5084,"Railway, Sunbury",Sunbury 
5085,"Market, Port Fairy",William St 
5086,"Union Hotel & Store, Barkers Creek",Barkers Creek 
5087,"Curries Family, Healesville",Healesville 
5088,"Clarence, Yackandandah",Yackandandah 
5089,"Belmore Arms, Ballarat",Urquhart St 
5090,"Yarra Flats, Yarra Glen",Yarra Glen 
5091,"Schnapper Point, Mornington",Mornington 
5092,"Schnapper Point, Mornington",Schnapper Point 
5093,"Black Bull, Geelong",Geelong 
5094,"Imperial, Beechworth",High St 
5095,"Corop, Corop",Corop 
5096,"Pumps, Ararat",Ararat 
5097,"Scotts, Ararat",Barkly St 
5098,"Travellers Rest, Ballan",Ballan 
5099,"Travellers Rest, Ballan",Ballan 
5100,"Woodstock, Woodstock",Woodstock 
5101,"Commercial, Barrys Reef",Barrys Reef Blackwood 
5102,"London, Barrys Reef",Barrys Reef 
5103,"Pub House & Store, Avenel",Avenal 
5104,"Pub House & Store, Avenel",Avenal 
5105,"Avoca, Avoca",High St 
5106,"Pub H & Store, Avenel",Avenal 
5107,"Royal, Seymour",Emily St 
5108,"Duke of Edinburgh, Woodend",Woodend 
5109,"Myrniong, Myrniong",Myrniong Pykes Flat 
5110,"Sir John Franklin, Sunbury",Sunbury 
5111,"Court House, Bacchus Marsh",Bacchus Marsh 
5112,"Racecourse, Ballan",Ballan 
5113,"Riddells Creek, Riddells Creek",Riddells Creek 
5114,"Inverleigh, Inverleigh",Inverleigh 
5115,"Racecourse, Hamilton",Hamilton 
5116,"Ararat, Ararat",Barkly St 
5117,"Vine, Beechworth",Chiltern Rd 
5118,"Neerim Hotel & Store, Crossover",Crossover 
5119,"Harp of Erin, Majorca",Majorca 
5120,"Old England, Barkers Creek",Barkers Creek 
5121,"View Point, Ararat",Barkly St 
5122,"Dromana, Dromana",Dromana 
5123,"Iona, Ballarat",Peel St 
5124,"Moorooopna, Mooroopna",corner Finsborough & Elizabeth Sts 
5125,"Shepparton, Shepparton",Shepparton 
5126,"Volunteer, Daylesford",corner Vincent & Stanbridge Sts 
5127,"Prince of Wales, Whittlesea",Whittlesea 
5128,"Gap Inn, Wallan",Wallan Wallan Gap 
5129,"Ascot Hotel & Store, Ascot",Ascot 
5130,"Quarry, Bacchus Marsh",Bacchus Marsh 
5131,"Beddards, Castlemaine",Castlemaine 
5132,"Telegraph, Crowlands",Glenpatrick Moonambel Rd 
5133,"Live & Let Live, Dunolly",Dunolly 
5134,"Court House, Jamieson",Perkin St 
5135,"Bernardo Castle, Maldon",Maldon 
5136,"Royal, Swan Hill",Swan Hill 
5137,"Victoria, Tarnagulla",Tarnagulla 
5138,"Prince of Wales, Whittlesea",Whittlesea 
5139,"Bignells, Ballarat",Sturt St 
5140,"Macks, Geelong",Geelong 
5141,"Criterion, Hamilton",Gray St 
5142,"Scurfields, Dromana",Dromana 
5143,"Caledonian Family, Echuca",corner Hare & Darling St 
5144,"Mornington, Cranbourne",Cranbourne 
5145,"Fern Tree Gully, Ferntree Gully",Fern Tree Gully 
5146,"Argyle, Alfredton",Ballarat Alfredton 
5147,"Thompson, Heyfield Bridge",Heyfield Bridge 
5148,"Thompson, Heyfield Bridge",Heyfield Bridge 
5149,"Shakespeare, Stratford",Stratford 
5150,"Angel, Ballarat",Bridge St 
5151,"Brandy Creek Hotel & P O, Brandy Creek",Brandy Creek 
5152,"Farmers Inn, Narrawong",Narrawong 
5153,"Egerton, Egerton",Egerton 
5154,"Sportsmans Arms, Coldstream",Coldstream 
5155,"Britannia, Morang",Morang 
5156,"St Andrews Hotel Store & P O, St Andrews",Queenstown 
5157,"Harp & Shamrock, Echuca",High St 
5158,"Royal, Queenscliff",King St 
5159,"Harvest Home, Wollert",Wollert 
5160,"Cross Reefs, Stawell",Church St 
5161,"Union, Warrandyte",Warrandyte 
5162,"Portarlington, Portarlington",Portarlington 
5163,"Portarlington, Portarlington",Portarlington 
5164,"Britannia, Morang",Morang 
5165,"Commercial, Ballarat",Armstrong St 
5166,"Epping, Epping",Epping 
5167,"Albion, Stawell",Reefs Pleasant Creek 
5168,"Western, Warrnambool",Warrnambool 
5169,"Sportsmans Arms, Coldstream",Coldstream 
5170,"Bay View, Hastings",Hastings 
5171,"Healesville, Healesville",Healesville 
5172,"All Saints, Sebastopol",Ballarat Sebastopol 
5173,"Criterion, Echuca",Esplanade 
5174,"London Tavern, Ballarat",Armstrong St 
5175,"Rochester, Rochester",Rochester 
5176,"Bendigo, Dunolly",Dunolly 
5177,"Union, Warrandyte",Warrandyte 
5178,"St Andrews Hotel Store & P O, St Andrews",Queenstown 
5179,"Court House, Spring Creek",Spring Creek 
5180,"London Tavern, Beechworth",Camp St 
5181,"Globe, Ballarat",Albert St 
5182,"Royal, Dunolly",Dunolly 
5183,"Hibernian, Beechworth",Camp St 
5184,"Woods, Phillip Island",Phillip Island 
5185,"Court, Ballarat",Armstrong St 
5186,"Commercial, Hughes Creek",Hughes Creek 
5187,"Black Swan Hotel & Brewery, Benalla",Arundel St 
5188,"Black Swan Hotel & Brewery, Benalla",Arundel St 
5189,"Family Hotel, Cavendish",Cavendish 
5190,"Dunbars, Dandenong",Dandenong 
5191,"Duke of Edinburgh, Echuca",High St 
5192,"Freemasons, Gordon",Gordons 
5193,"Harp of Erin, Kyneton",Piper St 
5194,"Royal Mail, Malmsbury",corner Main & Waterworks Rds 
5195,"Snapper Point, Mornington",Mornington 
5196,"Post Office General Store & Small Hotel, Sebastopol",Sebastopol 
5197,"Rochester, Rochester",Rochester 
5198,"Hopkins River, Wickliffe",Wickliffe 
5199,"Sportsmans Arms, Heathcote",Wild Duck Creek 
5200,"Corporation Cattle Yards, Alfredton",Ballarat Alfredton 
5201,"Bendigo Hotel & Store, Graytown",Graytown 
5202,"Royal, Ballarat",Sturt St 
5203,"Jamiesons, Ballarat",Sturt St 
5204,"Woodmans, Ballarat",Lydiard St 
5205,"Union, Avoca",Avoca 
5206,"Eagle, Ballarat",Armstrong St 
5207,"Criterion, Ballarat",Doveton St 
5208,"Bauers Family, Phillip Island",Phillip Island 
5209,"Bignells, Ballarat",Sturt St 
5210,"Mordialloc, Mordialloc",Mordialloc 
5211,"Alfred, Ballarat",Sturt St 
5212,"West Freehold, Ballarat",Eyre St 
5213,"Newmarket, Dandenong",Dandenong 
5214,"Racecourse, Ballarat",Pleasant St 
5215,"Masons Arms, Ballarat",Doveton St 
5216,"Bellevue, Ballarat",Sturt St 
5217,"Morrells Junction, Mooroopna",Main St 
5218,"Royal Highlander, Ballarat",Mair St 
5219,"Sovereign, Ballarat",Lydiard St 
5220,"Hand in Hand, Ballarat",Dana St 
5221,"Racecourse, Bungaree",Black Swamp Rd 
5222,"Dana, Ballarat",Dana St 
5223,"Tanjil, Tanjil",Tanjil 
5224,"Clarkes, Ballarat",Sturt St 
5225,"Reef, Mosquito Flat",Mosquito Flat 
5226,"Old Plough & Harrow, Axe Creek",Axe Creek 
5227,"Morning Star, Ballarat",Skipton St 
5228,"Whittlesea, Whittlesea",Whittlesea 
5229,"St Mungo, Ballarat",Lydiard St 
5230,"Millers Arms, Ballarat",Doveton St 
5231,"Bunch of Grapes, Ballarat",Pleasant St 
5232,"New Scotch, Ballarat",Mair St 
5233,"Joiners Arms, Clunes",Clunes 
5234,"Clarendon, Ballarat",Lydiard St 
5235,"Market Square, Ballarat",Mair St 
5236,"Crown, Lilydale",Main St 
5237,"Volunteer, Daylesford",corner Vincent & Stanbridge Sts 
5238,"Flower of Erin, Ballarat",Darling St 
5239,"Castle & Bowl, Ballarat",Sturt St 
5240,"Victoria, Tarnagulla",Tarnagulla 
5241,"Middle Gully, Macedon",Macedon Middle Gully 
5242,"Sir Charles Darling, Ballarat",Darling St 
5243,"Redan Club, Ballarat",Skipton St 
5244,"New Market, Ballarat",Mair St 
5245,"Farmers, Ballarat",Doveton St 
5246,"Nepean, Portsea",Portsea 
5247,"Nepean, Portsea",Portsea 
5248,"Koh-I-Noor, Ballarat",Eyre St 
5249,"City Hall, Ballarat",Sturt St 
5250,"Club, Sale",Foster St 
5251,"Victoria, Ballarat",Urquhart St 
5252,"Commercial, Ballarat",Sturt St 
5253,"Corn Exchange, Ballarat",Creswick Rd 
5254,"Old Plough & Harrow, Axe Creek",Axe Creek 
5255,"Town Hall, St Arnaud",Napier St 
5256,"Sir William Don, Ballarat",Dana St 
5257,"Bull & Mouth, Ballarat",Doveton St 
5258,"Old Plough & Harrow, Axe Creek",Axe Creek 
5259,"Crown, Lilydale",Main St 
5260,"Western Ocean, Ballarat",Skipton St 
5261,"Hislops, Ballarat",Mair St 
5262,"Glencoe, Ballarat",Sturt St 
5263,"Britannia, Morang",Morang 
5264,"Hotel de France, Panton Hill",Panton Hill 
5265,"Newcastle, Ballarat",Sturt St 
5266,"Emu, Milawa",Milawa 
5267,"Emu, Oxley",Oxley 
5268,"Crown & Anchor, Ballarat",Skipton St 
5269,"Grand Stand, Ballarat",Adair St 
5270,"Kohls Family, Ballarat",Darling St 
5271,"Antwerp, Ballarat",Pleasant St 
5272,"Argyle, Ballarat",Doveton St 
5273,"Horse & Jockey, Wangaratta",Ryley St 
5274,"Glenrowan, Glenrowan",Glenrowan 
5275,"Alfred, Ballarat",Sturt St 
5276,"Caledonian, Ballarat",Urquhart St 
5277,"Ballarat & Smythesdale, Ballarat",Armstrong St 
5278,"Mains, Ballarat",Llyons St 
5279,"Carriers Arms, Castlemaine",Elizabeth St 
5280,"Extended No 2, Ballarat",Redan St 
5281,"Soho, Ballarat",Urquhart St 
5282,"Phoenix Park, Ballarat",Lydiard St 
5283,"Robin Hood, Ballarat",Sturt St 
5284,"Rose of Denmark, Ballarat",MacArthur St 
5285,"Princess Royal, Ballarat",MacArthur St 
5286,"Eglington Arms, Alfredton",Ballarat Alfredton 
5287,"Clan Ricarde, Ballarat",Ripon St 
5288,"Macs, Epping",Epping 
5289,"Royal Standard, Ballarat",Doveton St 
5290,"Britannia, Morang",Morang 
5291,"Fallow, Ballarat",Sturt St 
5292,"Willow Tree, Whittlesea",Whittlesea 
5293,"Bush Inn & Store, Baringhup",Baringhup 
5294,"Flying Squadron, Ballarat",Mair St 
5295,"Shamrock, Ballarat",Ripon St 
5296,"Golden Bower, Donovans Creek",Donovans Creek 
5297,"Band of Hope, Ballarat",Skipton St 
5298,"Golden City, Ballarat",Doveton St 
5299,"Munster, Ballarat",Skipton St 
5300,"Miners Home, Andersons Creek",Andersons Creek Pound Bend 
5301,"Glasgow Arms, Ballarat",Raglan St 
5302,"Devon & Cornwall, Ballarat",Sturt St 
5303,"Alfredton, Alfredton",Ballarat Alfredton 
5304,"Plough Inn, Whittlesea",Whittlesea 
5305,"Bridge, Ballarat",Bridge St 
5306,"Warrior, Ballarat",Pleasant St 
5307,"Commercial, Echuca",corner High & Heygarth Sts 
5308,"Heart in Hand, Ballarat",Doveton St 
5309,"Cornish Arms, Ballarat",Doveton St 
5310,"Farmers Arms, Baringhup",Baringhup 
5311,"Waverley, Ballarat",Sturt St 
5312,"Golden Empire, Ballarat",Drummond St 
5313,"Royal Don, Ballarat",Mair St 
5314,"Cricket Club, Ballarat",Ripon St 
5315,"Commercial, Hughes Creek",Hughes Creek 
5316,"Nightingale, Ballarat",South St 
5317,"Sturt, Ballarat",Sturt St 
5318,"Victoria, Woodend",High St 
5319,"Whittlesea, Whittlesea",Whittlesea 
5320,"Club, Ballarat",Eyre St 
5321,"Wannon Inn, Wannon",Wannon 
5322,"Marong, Marong",Marong 
5323,"Ivey Green, Ballarat",Mair St 
5324,"Walshs Family, Ballarat",Main Rd 
5325,"Southern Star, Ballarat",Drummond St 
5326,"Stock Exchange, Ballarat",Lydiard St 
5327,"Freemasons, Kyneton",Kyneton 
5328,"Freemasons, Kyneton",Yaldwin St 
5329,"Royal Alfred, Ballarat",Urquhart St 
5330,"Dew Drop, Ballarat",Sturt St 
5331,"Criterion, Castlemaine",corner Mostyn & Barker Sts 
5332,"Family Hotel, Cavendish",Cavendish 
5333,"Shanahans, Donnybrook",Donnybrook 
5334,"Commercial, Echuca",corner High & Heygarth Sts 
5335,"Coopers, Eldorado",Eldorado 
5336,"Thompson, Heyfield Bridge",Heyfield Bridge 
5337,"Camp, Huntly",Huntley 
5338,"Watts, Longwood",Longwood 
5339,"Wests Half-way House, Marong",Marong 
5340,"Club, Sale",Foster St 
5341,"Kirks, Smeaton",Smeaton 
5342,"Hit or Miss, Hepburn Creek",corner Smeaton & Castlemaine Rd 
5343,"Souths, Trentham",Trentham 
