tourist_site_name,tourist_site_address,tourist_site_rating,tourist_site_city
Yando Street Reserve,"Greensborough VIC 3088, Australia",0.0,GREENSBOROUGH
Kalparrin Gardens,"Greensborough VIC 3088, Australia",4.3,GREENSBOROUGH
Simms Road Reserve,"Greensborough VIC 3088, Australia",4.0,GREENSBOROUGH
Gilmour Rise Reserve,"Banfield Terrace, Greensborough VIC 3088, Australia",4.3,GREENSBOROUGH
Anthony Beale Reserve,"277 St Helena Rd, St Helena VIC 3088, Australia",4.4,GREENSBOROUGH
State Coal Mine,"State Coal Mine, Garden St, Wonthaggi VIC 3995, Australia",4.7,WONTHAGGI
WILLIAMSON'S BEACH,"Lower Powlett Rd, Wonthaggi VIC 3995, Australia",4.6,WONTHAGGI
Tank Hill Reserve,"Wonthaggi VIC 3995, Australia",4.7,WONTHAGGI
Wonthaggi Railway Museum,"Wonthaggi VIC 3995, Australia",5.0,WONTHAGGI
Wonthaggi Cenotaph,"Wonthaggi VIC 3995, Australia",5.0,WONTHAGGI
Baxters Wetland,"165 Campbell St, Wonthaggi VIC 3995, Australia",5.0,WONTHAGGI
Guide Park,"Wonthaggi VIC 3995, Australia",4.3,WONTHAGGI
Wonthaggi showground,"109 Korumburra Rd, Wonthaggi VIC 3995, Australia",4.2,WONTHAGGI
Wonthaggi Wetlands Conservation Park,"Wonthaggi VIC 3995, Australia",3.5,WONTHAGGI
Wonthaggi Centennial Centre,"1 Bent St, Wonthaggi VIC 3995, Australia",4.3,WONTHAGGI
McMahon Reserve,"Wonthaggi VIC 3995, Australia",4.2,WONTHAGGI
Kilcunda - Harmers Haven Coastal Reserve,"Wonthaggi VIC 3995, Australia",0.0,WONTHAGGI
Fincher Street Reserve,"Wonthaggi VIC 3995, Australia",4.0,WONTHAGGI
Wonthaggi Community Garden,"239 White Rd, Wonthaggi VIC 3995, Australia",5.0,WONTHAGGI
Twin Reefs,"400/600 Cape Paterson-Inverloch Rd, Inverloch VIC 3996, Australia",4.8,WONTHAGGI
Baxters Wetland Bird Hide,"Wonthaggi VIC 3995, Australia",4.9,WONTHAGGI
Desalination Plant Wetlands Bird Hide,"Wonthaggi Desalination Plant, 400 Lower Powlett Rd, Dalyston VIC 3992, Australia",4.6,WONTHAGGI
Eagles Nest,"400/600 Cape Paterson-Inverloch Rd, Inverloch VIC 3996, Australia",4.6,WONTHAGGI
The Caves,"400/600 Cape Paterson-Inverloch Rd, Inverloch VIC 3996, Australia",4.4,WONTHAGGI
Drouin West G84 Bushland Reserve,"Gardner and Holman Rd, Drouin VIC 3818, Australia",2.0,WONTHAGGI
Alex Goudie Native Park,"Drouin VIC 3818, Australia",4.4,DROUIN
DROUIN WAR MEMORIAL PARK,"Drouin VIC 3818, Australia",5.0,DROUIN
Drouin Sound Shell,"33 Young St, Drouin VIC 3818, Australia",4.2,DROUIN
Jamescott Park,"8 Jamescott Dr, Drouin VIC 3818, Australia",3.7,DROUIN
The Settlement Giant Walk,"Drouin VIC 3818, Australia",4.0,DROUIN
Robin Hood Reserve,"Fishers Rd, Drouin VIC 3818, Australia",4.0,DROUIN
Visit Baw Baw,"33 Young St, Drouin VIC 3818, Australia",0.0,DROUIN
Drouin West G82 Bushland Reserve,"A R Gardner Rd, Longwarry VIC 3816, Australia",3.3,DROUIN
Civic Park,"Clifford St, Warragul VIC 3820, Australia",4.6,DROUIN
Robin Hood Streamside Reserve,"Drouin West VIC 3818, Australia",4.4,DROUIN
Kid’s park,"50 Jackson Dr, Drouin VIC 3818, Australia",0.0,DROUIN
Brandy Creek Estate,"570 Buln Buln Rd, Drouin East VIC 3818, Australia",4.1,DROUIN
Kestle Park,"Warragul VIC 3820, Australia",4.6,DROUIN
Moore Park Nursery,"300 Buln Buln Rd, Drouin East VIC 3818, Australia",0.0,DROUIN
Picnic Point,"455 Princes Way, Longwarry North VIC 3816, Australia",4.4,DROUIN
Ferntree Ridge Estate Drouin,"110 Weebar Rd, Drouin VIC 3818, Australia",4.8,DROUIN
Drouin Uniting Church,"7 Sinclair St, Drouin VIC 3818, Australia",0.0,DROUIN
Sandringham Band Rotunda,"State Route 33, Sandringham VIC 3191, Australia",4.4,DROUIN
Sandringham Cenotaph,"Sandringham VIC 3191, Australia",5.0,SANDRINGHAM
Trey Bit Reserve,"37 Jetty Rd, Sandringham VIC 3191, Australia",4.2,SANDRINGHAM
Bay Road Reserve,"Sandringham VIC 3191, Australia",4.3,SANDRINGHAM
Trentham Reserve,"Unnamed Road, Sandringham VIC 3191, Australia",4.5,SANDRINGHAM
Tjilatjirrin Reserve (Tulip Street Reserve),"29A Tulip St, Sandringham VIC 3191, Australia",4.5,SANDRINGHAM
Brighton Bathing Boxes,"Esplanade, Brighton VIC 3186, Australia",4.4,SANDRINGHAM
Red Bluff Lookout,"Black Rock VIC 3193, Australia",4.6,SANDRINGHAM
Pobblebonk Park,"41-43 George St, Sandringham VIC 3191, Australia",4.4,SANDRINGHAM
