City,Council
BRIGHT,Alpine Shire Council
ARARAT,Ararat Rural City Council
BALLARAT,Ballarat City Council
GREENSBOROUGH,Banyule City Council
WONTHAGGI,Bass Coast Shire Council
WARRAGUL,Baw Baw Shire Council
SANDRINGHAM,Bayside City Council
BENALLA,Benalla Rural City Council
CAMBERWELL,Boroondara City Council
SUNSHINE,Brimbank City Council
WYCHEPROOF,Buloke Shire Council
ECHUCA,Campaspe Shire Council
PAKENHAM,Cardinia Shire Council
NARRE WARREN,Casey City Council
MARYBOROUGH,Central Goldfields Shire Council
COLAC,Colac Otway Shire Council
CAMPERDOWN,Corangamite Shire Council
PRESTON,Darebin City Council
BAIRNSDALE,East Gippsland Shire Council
FRANKSTON,Frankston City Council
KERANG,Gannawarra Shire Council
CAULFIELD SOUTH,Glen Eira City Council
PORTLAND,Glenelg Shire Council
BANNOCKBURN,Golden Plains Shire Council
BENDIGO,Greater Bendigo City Council
DANDENONG,Greater Dandenong City Council
GEELONG,Greater Geelong City Council
SHEPPARTON,Greater Shepparton City Council
DAYLESFORD,Hepburn Shire Council
NHILL,Hindmarsh Shire Council
ALTONA,Hobsons Bay City Council
HORSHAM,Horsham Rural City Council
DALLAS,Hume City Council
BEECHWORTH,Indigo Shire Council
MENTONE,Kingston City Council
WANTIRNA SOUTH,Knox City Council
MORWELL,Latrobe City Council
WEDDERBURN,Loddon Shire Council
KYNETON,Macedon Ranges Shire Council
DONCASTER,Manningham City Council
MANSFIELD,Mansfield Shire Council
FOOTSCRAY,Maribyrnong City Council
RINGWOOD,Maroondah City Council
MELBOURNE,Melbourne City Council
MELTON,Melton City Council
MILDURA,Mildura Rural City Council
BROADFORD,Mitchell Shire Council
COBRAM,Moira Shire Council
GLEN WAVERLEY,Monash City Council
MOONEE PONDS,Moonee Valley City Council
BALLAN,Moorabool Shire Council
MORELAND,Moreland City Council
ROSEBUD,Mornington Peninsula Shire Council
CASTLEMAINE,Mount Alexander Shire Council
PORT FAIRY,Moyne Shire Council
ALEXANDRA,Murrindindi Shire Council
GREENSBOROUGH,Nillumbik Shire Council
STAWELL,Northern Grampians Shire Council
ST KILDA,Port Phillip City Council
BEAUFORT,Pyrenees Shire Council
QUEENSCLIFF,Borough of Queenscliffe
LEONGATHA,South Gippsland Shire Council
HAMILTON,Southern Grampians Shire Council
MALVERN,Stonnington City Council
EUROA,Strathbogie Shire Council
TORQUAY,Surf Coast Shire Council
SWAN HILL,Swan Hill Rural City Council
TALLANGATTA,Towong Shire Council
WANGARATTA,Wangaratta Rural City Council
WARRNAMBOOL,Warrnambool City Council
SALE,Wellington Shire Council
EDENHOPE,West Wimmera Shire Council
NUNAWADING,Whitehorse City Council
BUNDOORA MDC,Whittlesea City Council
WODONGA,Wodonga City Council
WERRIBEE,Wyndham City Council
RICHMOND,Yarra City Council
LILYDALE,Yarra Ranges Shire Council
WARRACKNABEAL,Yarriambiack Shire Council
