Historical Hotel,City,,,,,,,,,,
Commercial,BAIRNSDALE,,,,,,,,,,
Albion,BAIRNSDALE,,,,,,,,,,
Mitchell,BAIRNSDALE,,,,,,,,,,
Bairnsdale Racing Club,BAIRNSDALE,,,,,,,,,,
Bairnsdale Racing Club,BAIRNSDALE,,,,,,,,,,
Orient,BAIRNSDALE,,,,,,,,,,
Orient,BAIRNSDALE,,,,,,,,,,
Paynes,BAIRNSDALE,,,,,,,,,,
Albion,BAIRNSDALE,,,,,,,,,,
Orient,BAIRNSDALE,,,,,,,,,,
Orient,BAIRNSDALE,,,,,,,,,,
Grand Terminus,BAIRNSDALE,,,,,,,,,,
Commercial,BAIRNSDALE,,,,,,,,,,
Mitchell,BAIRNSDALE,,,,,,,,,,
Main,BAIRNSDALE,,,,,,,,,,
Albion,BAIRNSDALE,,,,,,,,,,
Orient,BAIRNSDALE,,,,,,,,,,
Orient,BAIRNSDALE,,,,,,,,,,
Imperial,BAIRNSDALE,,,,,,,,,,
Main,BAIRNSDALE,,,,,,,,,,
Orient,BAIRNSDALE,,,,,,,,,,
Orient,BAIRNSDALE,,,,,,,,,,
Grand Terminus,BAIRNSDALE,,,,,,,,,,
Commercial,BAIRNSDALE,,,,,,,,,,
Bairnsdale Club,BAIRNSDALE,,,,,,,,,,
Albion,BAIRNSDALE,,,,,,,,,,
Mitchell,BAIRNSDALE,,,,,,,,,,
Bairnsdale Racing Club,BAIRNSDALE,,,,,,,,,,
Main,BAIRNSDALE,,,,,,,,,,
Orient,BAIRNSDALE,,,,,,,,,,
Orient,BAIRNSDALE,,,,,,,,,,
Mitchell,BAIRNSDALE,,,,,,,,,,
Grand Terminus,BAIRNSDALE,,,,,,,,,,
Commercial,BAIRNSDALE,,,,,,,,,,
Commercial,BAIRNSDALE,,,,,,,,,,
Albion,BAIRNSDALE,,,,,,,,,,
Albion,BAIRNSDALE,,,,,,,,,,
Albion,BAIRNSDALE,,,,,,,,,,
Bairnsdale Club,BAIRNSDALE,,,,,,,,,,
Freemasons,BALLAN,,,,,,,,,,
Commercial,BALLAN,,,,,,,,,,
Freemasons,BALLAN,,,,,,,,,,
East Ballan,BALLAN,,,,,,,,,,
Shannon,BALLAN,,,,,,,,,,
Werribee Hunt,BALLAN,,,,,,,,,,
Werribee Hunt,BALLAN,,,,,,,,,,
Werribee Hunt,BALLAN,,,,,,,,,,
Carriers Arms,BALLAN,,,,,,,,,,
Ballan Hotel & Store,BALLAN,,,,,,,,,,
East Ballan,BALLAN,,,,,,,,,,
Ballan Hotel & Store,BALLAN,,,,,,,,,,
Macs,BALLAN,,,,,,,,,,
Ballan,BALLAN,,,,,,,,,,
Great Westerm,BALLAN,,,,,,,,,,
Racecourse,BALLAN,,,,,,,,,,
Royal Mail,BALLAN,,,,,,,,,,
Orwell,BALLAN,,,,,,,,,,
Macs,BALLAN,,,,,,,,,,
Macs,BALLAN,,,,,,,,,,
East Ballan,BALLAN,,,,,,,,,,
Travellers Rest,BALLAN,,,,,,,,,,
Ballan Hotel & Store,BALLAN,,,,,,,,,,
Orwell,BALLAN,,,,,,,,,,
Travellers Rest,BALLAN,,,,,,,,,,
Travellers Rest,BALLAN,,,,,,,,,,
Racecourse,BALLAN,,,,,,,,,,
Ballan Hotel & Store,BALLAN,,,,,,,,,,
Yeoman,BALLAN,,,,,,,,,,
Freemasons,BALLAN,,,,,,,,,,
Freemasons,BALLAN,,,,,,,,,,
Hanrahans,BALLAN,,,,,,,,,,
Ballan Hotel & Store,BALLAN,,,,,,,,,,
Railway,BALLAN,,,,,,,,,,
Orwell,BALLAN,,,,,,,,,,
Hanrahans,BALLAN,,,,,,,,,,
Commercial,BALLAN,,,,,,,,,,
Shannon,BALLAN,,,,,,,,,,
Freemasons,BALLAN,,,,,,,,,,
Railway,BALLAN,,,,,,,,,,
Ballan Hotel & Store,BALLAN,,,,,,,,,,
Orwell,BALLAN,,,,,,,,,,
Hanrahans,BALLAN,,,,,,,,,,
Commercial,BALLAN,,,,,,,,,,
Ballan Hotel & Store,BALLAN,,,,,,,,,,
Commercial,BALLAN,,,,,,,,,,
Ballan Hotel & Store,BALLAN,,,,,,,,,,
Ballan Hotel & Store,BALLAN,,,,,,,,,,
Hanrahans,BALLAN,,,,,,,,,,
Commercial,BALLAN,,,,,,,,,,
Ballan Hotel & Store,BALLAN,,,,,,,,,,
Shannon,BALLAN,,,,,,,,,,
Railway,BALLAN,,,,,,,,,,
Werribee Hunt,BALLAN,,,,,,,,,,
Werribee Hunt,BALLAN,,,,,,,,,,
Werribee Hunt,BALLAN,,,,,,,,,,
Commercial,BALLAN,,,,,,,,,,
Sims Coffee Palace,BALLAN,,,,,,,,,,
Commercial,BALLAN,,,,,,,,,,
Hanrahans,BALLAN,,,,,,,,,,
Ballan Hotel & Store,BALLAN,,,,,,,,,,
Commercial,BALLAN,,,,,,,,,,
Hanrahans,BALLAN,,,,,,,,,,
Travellers Rest,BALLAN,,,,,,,,,,
Rose & Crown,BALLARAT,,,,,,,,,,
Limerick Castle,BALLARAT,,,,,,,,,,
Union,BALLARAT,,,,,,,,,,
Red Bull,BALLARAT,,,,,,,,,,
Dudley Castle,BALLARAT,,,,,,,,,,
Eureka,BALLARAT,,,,,,,,,,
White Horse,BALLARAT,,,,,,,,,,
Cosomopolitan,BALLARAT,,,,,,,,,,
Windsor Arms,BALLARAT,,,,,,,,,,
Rainbow,BALLARAT,,,,,,,,,,
George,BALLARAT,,,,,,,,,,
Excelsior,BALLARAT,,,,,,,,,,
Britannia,BALLARAT,,,,,,,,,,
Bakery Hill,BALLARAT,,,,,,,,,,
Soho,BALLARAT,,,,,,,,,,
St Andrew,BALLARAT,,,,,,,,,,
Copenhagen,BALLARAT,,,,,,,,,,
Liverpool Arms,BALLARAT,,,,,,,,,,
Consols,BALLARAT,,,,,,,,,,
Countess,BALLARAT,,,,,,,,,,
Straffordshire Arms,BALLARAT,,,,,,,,,,
White Hart,BALLARAT,,,,,,,,,,
Eureka,BALLARAT,,,,,,,,,,
Elephant & Castle,BALLARAT,,,,,,,,,,
Vine,BALLARAT,,,,,,,,,,
Carriers Arms,BALLARAT,,,,,,,,,,
New Scotch,BALLARAT,,,,,,,,,,
Stag & Hound,BALLARAT,,,,,,,,,,
Scotchmans Arms,BALLARAT,,,,,,,,,,
Clarkes,BALLARAT,,,,,,,,,,
Ancient Briton,BALLARAT,,,,,,,,,,
Imperial,BALLARAT,,,,,,,,,,
Donegans,BALLARAT,,,,,,,,,,
Railway,BALLARAT,,,,,,,,,,
Grand National,BALLARAT,,,,,,,,,,
Port Phillip,BALLARAT,,,,,,,,,,
Half-way House,BALLARAT,,,,,,,,,,
Post Office,BALLARAT,,,,,,,,,,
Prince of Wales,BALLARAT,,,,,,,,,,
Fawn,BALLARAT,,,,,,,,,,
Northumberland,BALLARAT,,,,,,,,,,
Pavilion,BALLARAT,,,,,,,,,,
Ship Inn,BALLARAT,,,,,,,,,,
Grouts,BALLARAT,,,,,,,,,,
Borough Boundary,BALLARAT,,,,,,,,,,
Alexandra,BALLARAT,,,,,,,,,,
Bute,BALLARAT,,,,,,,,,,
Pack Horse,BALLARAT,,,,,,,,,,
Washington,BALLARAT,,,,,,,,,,
John OGroat,BALLARAT,,,,,,,,,,
Prince of Wales,BALLARAT,,,,,,,,,,
Limerick,BALLARAT,,,,,,,,,,
White Hart,BALLARAT,,,,,,,,,,
Greyhound,BALLARAT,,,,,,,,,,
Golden Point,BALLARAT,,,,,,,,,,
Perseverance,BALLARAT,,,,,,,,,,
Burke & Wills,BALLARAT,,,,,,,,,,
National,BALLARAT,,,,,,,,,,
Angel,BALLARAT,,,,,,,,,,
Southern Cross,BALLARAT,,,,,,,,,,
Times,BALLARAT,,,,,,,,,,
Sir John Franklin,BALLARAT,,,,,,,,,,
Hampton Court,BALLARAT,,,,,,,,,,
Market,BALLARAT,,,,,,,,,,
Shamrock,BALLARAT,,,,,,,,,,
Black Horse Inn,BALLARAT,,,,,,,,,,
Galatea,BALLARAT,,,,,,,,,,
Bird in Hand,BALLARAT,,,,,,,,,,
North Star,BALLARAT,,,,,,,,,,
Northages,BALLARAT,,,,,,,,,,
American,BALLARAT,,,,,,,,,,
Cumberland & Durham,BALLARAT,,,,,,,,,,
Inkerman,BALLARAT,,,,,,,,,,
Pioneer,BALLARAT,,,,,,,,,,
Sir William Wallace,BALLARAT,,,,,,,,,,
Copenhagen,BALLARAT,,,,,,,,,,
Phoenix Park,BALLARAT,,,,,,,,,,
Post Office,BALLARAT,,,,,,,,,,
Ballarat,BALLARAT,,,,,,,,,,
New York,BALLARAT,,,,,,,,,,
Cornish Arms,BALLARAT,,,,,,,,,,
Eureka,BALLARAT,,,,,,,,,,
Bakery Hill,BALLARAT,,,,,,,,,,
Royal Oak,BALLARAT,,,,,,,,,,
Eureka,BALLARAT,,,,,,,,,,
Town Hall,BALLARAT,,,,,,,,,,
Plank Road,BALLARAT,,,,,,,,,,
Excelsior,BALLARAT,,,,,,,,,,
Smiths,BALLARAT,,,,,,,,,,
Streets,BALLARAT,,,,,,,,,,
Turf Club,BALLARAT,,,,,,,,,,
City of Hamburg,BALLARAT,,,,,,,,,,
National,BALLARAT,,,,,,,,,,
Russell Square,BALLARAT,,,,,,,,,,
Old Eglington,BALLARAT,,,,,,,,,,
Wards Family,BALLARAT,,,,,,,,,,
Rifle Butts,BALLARAT,,,,,,,,,,
Haymarket,BALLARAT,,,,,,,,,,
Turf Club,BALLARAT,,,,,,,,,,
White Horse,BALLARAT,,,,,,,,,,
National,BALLARAT,,,,,,,,,,
Brewers Arms,BALLARAT,,,,,,,,,,
Batchs Factory,BALLARAT,,,,,,,,,,
Hutchinsons,BALLARAT,,,,,,,,,,
Gilberts Motors,BALLARAT,,,,,,,,,,
Irwins Shop,BALLARAT,,,,,,,,,,
Munros Sports Depot,BALLARAT,,,,,,,,,,
Phoenix Foundry,BALLARAT,,,,,,,,,,
Royal Navy,BALLARAT,,,,,,,,,,
Craigs Store,BALLARAT,,,,,,,,,,
Wood Yard,BALLARAT,,,,,,,,,,
Johns Social Rooms,BALLARAT,,,,,,,,,,
Frenchmans,BALLARAT,,,,,,,,,,
Edinburgh Castle,BALLARAT,,,,,,,,,,
Mudies Shop,BALLARAT,,,,,,,,,,
Andrews Coffee Palace,BALLARAT,,,,,,,,,,
Albion Imperial,BALLARAT,,,,,,,,,,
Mathers Tailor,BALLARAT,,,,,,,,,,
Andrews Coffee Palace,BALLARAT,,,,,,,,,,
Ludbrooks,BALLARAT,,,,,,,,,,
Ritchies Store,BALLARAT,,,,,,,,,,
Corby Store,BALLARAT,,,,,,,,,,
Empire,BALLARAT,,,,,,,,,,
Retallacks Buildings,BALLARAT,,,,,,,,,,
Moorsheads,BALLARAT,,,,,,,,,,
Berlyns Fish Shop,BALLARAT,,,,,,,,,,
Moorhouses,BALLARAT,,,,,,,,,,
Barnetts Butcher,BALLARAT,,,,,,,,,,
Spargos,BALLARAT,,,,,,,,,,
Miners Arms,BALLARAT,,,,,,,,,,
Kings Chemists Shop,BALLARAT,,,,,,,,,,
E S A Bank,BALLARAT,,,,,,,,,,
Haymes Shop,BALLARAT,,,,,,,,,,
Bridge,BALLARAT,,,,,,,,,,
Williams,BALLARAT,,,,,,,,,,
Bird,BALLARAT,,,,,,,,,,
Liverpool,BALLARAT,,,,,,,,,,
Faulls,BALLARAT,,,,,,,,,,
Criterion,BALLARAT,,,,,,,,,,
Russells,BALLARAT,,,,,,,,,,
Beehive,BALLARAT,,,,,,,,,,
Gin Palace,BALLARAT,,,,,,,,,,
Darks Shop,BALLARAT,,,,,,,,,,
Gowers Shop,BALLARAT,,,,,,,,,,
Banking Coy,BALLARAT,,,,,,,,,,
Georges Garage,BALLARAT,,,,,,,,,,
Wallace Butter Offices,BALLARAT,,,,,,,,,,
Grand Junction Mine,BALLARAT,,,,,,,,,,
Rose Hill,BALLARAT,,,,,,,,,,
Warrens,BALLARAT,,,,,,,,,,
Prince of Wales,BALLARAT,,,,,,,,,,
Monaghans,BALLARAT,,,,,,,,,,
Phoenix,BALLARAT,,,,,,,,,,
Youngs,BALLARAT,,,,,,,,,,
Golf House,BALLARAT,,,,,,,,,,
Criterion,BALLARAT,,,,,,,,,,
Cons Market Saleyards,BALLARAT,,,,,,,,,,
Royal Standard,BALLARAT,,,,,,,,,,
Farmers Arms,BALLARAT,,,,,,,,,,
Edwards Grocery,BALLARAT,,,,,,,,,,
Sheet Masons Arms,BALLARAT,,,,,,,,,,
Golf Links,BALLARAT,,,,,,,,,,
Suburban Hermitage,BALLARAT,,,,,,,,,,
Dawes Boot Shop,BALLARAT,,,,,,,,,,
Golden Fleece,BALLARAT,,,,,,,,,,
Trades Union,BALLARAT,,,,,,,,,,
Commercial,BALLARAT,,,,,,,,,,
United States,BALLARAT,,,,,,,,,,
Killaloo,BALLARAT,,,,,,,,,,
Limerick & Killaloo,BALLARAT,,,,,,,,,,
Beachams,BALLARAT,,,,,,,,,,
Exhibition Mart Bldgs,BALLARAT,,,,,,,,,,
Crown,BALLARAT,,,,,,,,,,
Ramages Boot Shop,BALLARAT,,,,,,,,,,
McKellars,BALLARAT,,,,,,,,,,
Limerick & Clare Castle,BALLARAT,,,,,,,,,,
White Horse,BALLARAT,,,,,,,,,,
Eagle Casino,BALLARAT,,,,,,,,,,
Monte Casino,BALLARAT,,,,,,,,,,
Charlie Napier,BALLARAT,,,,,,,,,,
Meeks,BALLARAT,,,,,,,,,,
Temperance,BALLARAT,,,,,,,,,,
Eglinton Castle Inn,BALLARAT,,,,,,,,,,
Gin Palace,BALLARAT,,,,,,,,,,
Gilberts Store,BALLARAT,,,,,,,,,,
Walkers Barber,BALLARAT,,,,,,,,,,
Robinsons 2nd Hd Shop,BALLARAT,,,,,,,,,,
Pioneer,BALLARAT,,,,,,,,,,
London Tavern,BALLARAT,,,,,,,,,,
Belgium Café,BALLARAT,,,,,,,,,,
Commonwealth,BALLARAT,,,,,,,,,,
Sam Wah,BALLARAT,,,,,,,,,,
Roff (Tailor),BALLARAT,,,,,,,,,,
Crown,BALLARAT,,,,,,,,,,
Yarrowee,BALLARAT,,,,,,,,,,
Sulieman Palace Mine,BALLARAT,,,,,,,,,,
Scandinavian,BALLARAT,,,,,,,,,,
Shamrock,BALLARAT,,,,,,,,,,
Court House,BALLARAT,,,,,,,,,,
Council Chambers,BALLARAT,,,,,,,,,,
City of Hamburg,BALLARAT,,,,,,,,,,
Ball Court,BALLARAT,,,,,,,,,,
Gem,BALLARAT,,,,,,,,,,
Hermits Cave,BALLARAT,,,,,,,,,,
Court House,BALLARAT,,,,,,,,,,
Chinese Camp,BALLARAT,,,,,,,,,,
Barley Sheaf,BALLARAT,,,,,,,,,,
Tram Terminus,BALLARAT,,,,,,,,,,
Half Moon,BALLARAT,,,,,,,,,,
Seven Stars,BALLARAT,,,,,,,,,,
Hola,BALLARAT,,,,,,,,,,
Wrights Store,BALLARAT,,,,,,,,,,
Hit or Miss,BALLARAT,,,,,,,,,,
Brian Boru,BALLARAT,,,,,,,,,,
Brewery Tap,BALLARAT,,,,,,,,,,
London,BALLARAT,,,,,,,,,,
Shannon View,BALLARAT,,,,,,,,,,
Imperial,BALLARAT,,,,,,,,,,
Falcon Inn,BALLARAT,,,,,,,,,,
7th Day Church,BALLARAT,,,,,,,,,,
ANA Rooms,BALLARAT,,,,,,,,,,
Coates,BALLARAT,,,,,,,,,,
Rose of Denmark,BALLARAT,,,,,,,,,,
Champions Garden,BALLARAT,,,,,,,,,,
Springdallah,BALLARAT,,,,,,,,,,
Try Again,BALLARAT,,,,,,,,,,
Lusitana,BALLARAT,,,,,,,,,,
Russell Square,BALLARAT,,,,,,,,,,
Club,BALLARAT,,,,,,,,,,
Bensons Royal,BALLARAT,,,,,,,,,,
Deans Store,BALLARAT,,,,,,,,,,
Royal George,BALLARAT,,,,,,,,,,
City,BALLARAT,,,,,,,,,,
Court House,BALLARAT,,,,,,,,,,
Brewery Yard,BALLARAT,,,,,,,,,,
Elephant & Castle,BALLARAT,,,,,,,,,,
Chidlows,BALLARAT,,,,,,,,,,
Craigs Royal,BALLARAT,,,,,,,,,,
Dents,BALLARAT,,,,,,,,,,
Trots,BALLARAT,,,,,,,,,,
Railway,BALLARAT,,,,,,,,,,
Palace,BALLARAT,,,,,,,,,,
Trustees Company,BALLARAT,,,,,,,,,,
Royal Exchange,BALLARAT,,,,,,,,,,
Locomotive Inn,BALLARAT,,,,,,,,,,
Panthers Store,BALLARAT,,,,,,,,,,
Beaufort House,BALLARAT,,,,,,,,,,
Princess Royal,BALLARAT,,,,,,,,,,
Kent,BALLARAT,,,,,,,,,,
City Oval,BALLARAT,,,,,,,,,,
Glen,BALLARAT,,,,,,,,,,
Gem,BALLARAT,,,,,,,,,,
Retreat,BALLARAT,,,,,,,,,,
Black Hill ProgressHall,BALLARAT,,,,,,,,,,
Military Arms,BALLARAT,,,,,,,,,,
Dunmow Flitch,BALLARAT,,,,,,,,,,
Australian,BALLARAT,,,,,,,,,,
Sir Garnet Wolseley,BALLARAT,,,,,,,,,,
Revival,BALLARAT,,,,,,,,,,
Corn Exchange,BALLARAT,,,,,,,,,,
Sinclairs Hill,BALLARAT,,,,,,,,,,
Carriers Arms,BALLARAT,,,,,,,,,,
Prince Charlie,BALLARAT,,,,,,,,,,
Band of Hope Mine,BALLARAT,,,,,,,,,,
Whites Florist,BALLARAT,,,,,,,,,,
Lesters,BALLARAT,,,,,,,,,,
Thompsons,BALLARAT,,,,,,,,,,
Judds,BALLARAT,,,,,,,,,,
Central,BALLARAT,,,,,,,,,,
Temple Pomona Café,BALLARAT,,,,,,,,,,
Daveys Furrier Shop,BALLARAT,,,,,,,,,,
Delveens,BALLARAT,,,,,,,,,,
Ellis Motor Garage,BALLARAT,,,,,,,,,,
Coomora,BALLARAT,,,,,,,,,,
Red House Bakery,BALLARAT,,,,,,,,,,
Yorkshire Arms,BALLARAT,,,,,,,,,,
State Elec Comm of Vic,BALLARAT,,,,,,,,,,
Lesters,BALLARAT,,,,,,,,,,
Camerons Family & Commercial,BALLARAT,,,,,,,,,,
Friends,BALLARAT,,,,,,,,,,
Hunts,BALLARAT,,,,,,,,,,
Fussells,BALLARAT,,,,,,,,,,
Ferns,BALLARAT,,,,,,,,,,
Phillips,BALLARAT,,,,,,,,,,
Carlyons,BALLARAT,,,,,,,,,,
Corner,BALLARAT,,,,,,,,,,
Ewins,BALLARAT,,,,,,,,,,
Patersons Drapery Store,BALLARAT,,,,,,,,,,
Owens Sports Depot,BALLARAT,,,,,,,,,,
Halleys,BALLARAT,,,,,,,,,,
Jacks,BALLARAT,,,,,,,,,,
Brophys,BALLARAT,,,,,,,,,,
Newtons,BALLARAT,,,,,,,,,,
Taylors,BALLARAT,,,,,,,,,,
Sturt,BALLARAT,,,,,,,,,,
Golden City,BALLARAT,,,,,,,,,,
Fire Brigade,BALLARAT,,,,,,,,,,
City Brigade,BALLARAT,,,,,,,,,,
Brays Groc,BALLARAT,,,,,,,,,,
Windemere,BALLARAT,,,,,,,,,,
Sussex,BALLARAT,,,,,,,,,,
Morgan Lees,BALLARAT,,,,,,,,,,
Olive Branch,BALLARAT,,,,,,,,,,
Royal Standard,BALLARAT,,,,,,,,,,
Carbine,BALLARAT,,,,,,,,,,
Halls Btmkr,BALLARAT,,,,,,,,,,
Nicholsons Wd Yd,BALLARAT,,,,,,,,,,
Arrah-No-Pogue,BALLARAT,,,,,,,,,,
St Patricks College,BALLARAT,,,,,,,,,,
Inkerman & Durham,BALLARAT,,,,,,,,,,
National,BALLARAT,,,,,,,,,,
Steeles,BALLARAT,,,,,,,,,,
McKenzie Grocer,BALLARAT,,,,,,,,,,
Backs,BALLARAT,,,,,,,,,,
Park,BALLARAT,,,,,,,,,,
Duke of Wellington,BALLARAT,,,,,,,,,,
Malakoff,BALLARAT,,,,,,,,,,
Nugget,BALLARAT,,,,,,,,,,
Caranvon,BALLARAT,,,,,,,,,,
Cambrian,BALLARAT,,,,,,,,,,
Black Bull,BALLARAT,,,,,,,,,,
Reform Club,BALLARAT,,,,,,,,,,
Earl of Zetland,BALLARAT,,,,,,,,,,
Golden Fleece,BALLARAT,,,,,,,,,,
Havilah,BALLARAT,,,,,,,,,,
Erin Go Bragh,BALLARAT,,,,,,,,,,
Dunstans Grocers,BALLARAT,,,,,,,,,,
Hand of Friendship,BALLARAT,,,,,,,,,,
Leicester Arms,BALLARAT,,,,,,,,,,
Mark Rosenthal Pawn Shop,BALLARAT,,,,,,,,,,
Klines Bakery,BALLARAT,,,,,,,,,,
Major,BALLARAT,,,,,,,,,,
Victoria United,BALLARAT,,,,,,,,,,
St Johns Presbyterian Church,BALLARAT,,,,,,,,,,
Meaghers,BALLARAT,,,,,,,,,,
Orphanage,BALLARAT,,,,,,,,,,
Melbourne,BALLARAT,,,,,,,,,,
White Hart,BALLARAT,,,,,,,,,,
Sieferths,BALLARAT,,,,,,,,,,
Blucher,BALLARAT,,,,,,,,,,
Tontine,BALLARAT,,,,,,,,,,
Windsor,BALLARAT,,,,,,,,,,
Winsor Arms,BALLARAT,,,,,,,,,,
Red Hill,BALLARAT,,,,,,,,,,
Northern Junction,BALLARAT,,,,,,,,,,
Parkers,BALLARAT,,,,,,,,,,
Monastery,BALLARAT,,,,,,,,,,
Elephant,BALLARAT,,,,,,,,,,
White Flag,BALLARAT,,,,,,,,,,
Lord Clyde,BALLARAT,,,,,,,,,,
Limerick Castle,BALLARAT,,,,,,,,,,
Coach & Horses,BALLARAT,,,,,,,,,,
Haigs,BALLARAT,,,,,,,,,,
Elephant & Castle,BALLARAT,,,,,,,,,,
Donegal Arms,BALLARAT,,,,,,,,,,
Hamburger,BALLARAT,,,,,,,,,,
Club House,BALLARAT,,,,,,,,,,
Halls Boot Shop,BALLARAT,,,,,,,,,,
Lake View,BALLARAT,,,,,,,,,,
Friend,BALLARAT,,,,,,,,,,
Rifle Ranges,BALLARAT,,,,,,,,,,
Marretts,BALLARAT,,,,,,,,,,
Royal Highlander,BALLARAT,,,,,,,,,,
Ballarat Hunt Club,BALLARAT,,,,,,,,,,
New Cemetery,BALLARAT,,,,,,,,,,
Cricket Ground Club,BALLARAT,,,,,,,,,,
Pavilion,BALLARAT,,,,,,,,,,
American,BALLARAT,,,,,,,,,,
Enterprise,BALLARAT,,,,,,,,,,
Duke of Edinburgh,BALLARAT,,,,,,,,,,
Cardiff,BALLARAT,,,,,,,,,,
Prince of Wales,BALLARAT,,,,,,,,,,
Adelphi,BALLARAT,,,,,,,,,,
Albion,BALLARAT,,,,,,,,,,
Albion,BALLARAT,,,,,,,,,,
Albion Imperial,BALLARAT,,,,,,,,,,
Alfred,BALLARAT,,,,,,,,,,
Belfast,BALLARAT,,,,,,,,,,
Nags Head,BALLARAT,,,,,,,,,,
Belle Vue,BALLARAT,,,,,,,,,,
