Historical Hotel,City,,,,,,,,,,
Commercial,BENALLA,,,,,,,,,,
Commercial,BENALLA,,,,,,,,,,
Cricketers Arms,BENDIGO,,,,,,,,,,
Three Tvns,BENDIGO,,,,,,,,,,
Kennington,BENDIGO,,,,,,,,,,
Violet Street,BENDIGO,,,,,,,,,,
Queen St,BENDIGO,,,,,,,,,,
Suburban,BENDIGO,,,,,,,,,,
Noahs Ark,BENDIGO,,,,,,,,,,
Niagara,BENDIGO,,,,,,,,,,
Lyceum,BENDIGO,,,,,,,,,,
Kensington,BENDIGO,,,,,,,,,,
New Chum,BENDIGO,,,,,,,,,,
Shenandoah & Shamrock,BENDIGO,,,,,,,,,,
Rosalind Park,BENDIGO,,,,,,,,,,
New Market,BENDIGO,,,,,,,,,,
Show Grouinds,BENDIGO,,,,,,,,,,
Windermere,BENDIGO,,,,,,,,,,
Newport,BENDIGO,,,,,,,,,,
South Atlas,BENDIGO,,,,,,,,,,
Niagara,BENDIGO,,,,,,,,,,
Southern Cross,BENDIGO,,,,,,,,,,
Noahs Ark,BENDIGO,,,,,,,,,,
Spittles,BENDIGO,,,,,,,,,,
Normanby,BENDIGO,,,,,,,,,,
Spring Gully,BENDIGO,,,,,,,,,,
Oddfellows,BENDIGO,,,,,,,,,,
Star & Garter,BENDIGO,,,,,,,,,,
Oiive Branch,BENDIGO,,,,,,,,,,
Suburban,BENDIGO,,,,,,,,,,
Supreme Court,BENDIGO,,,,,,,,,,
Olympic,BENDIGO,,,,,,,,,,
Telegraph,BENDIGO,,,,,,,,,,
One Tree Hill,BENDIGO,,,,,,,,,,
Temple Court,BENDIGO,,,,,,,,,,
Orient,BENDIGO,,,,,,,,,,
Terminus,BENDIGO,,,,,,,,,,
Oriental,BENDIGO,,,,,,,,,,
Three Tuns,BENDIGO,,,,,,,,,,
Park,BENDIGO,,,,,,,,,,
Town Hal,BENDIGO,,,,,,,,,,
Park View,BENDIGO,,,,,,,,,,
Turf Tavern,BENDIGO,,,,,,,,,,
Perseverance,BENDIGO,,,,,,,,,,
Tysons Reef,BENDIGO,,,,,,,,,,
Prince Bismark,BENDIGO,,,,,,,,,,
Unicorn,BENDIGO,,,,,,,,,,
Punchs,BENDIGO,,,,,,,,,,
Queens,BENDIGO,,,,,,,,,,
Union,BENDIGO,,,,,,,,,,
Queens Arms,BENDIGO,,,,,,,,,,
Union,BENDIGO,,,,,,,,,,
Queen Street,BENDIGO,,,,,,,,,,
Union,BENDIGO,,,,,,,,,,
Railway,BENDIGO,,,,,,,,,,
Union Jack,BENDIGO,,,,,,,,,,
Railway Bridge,BENDIGO,,,,,,,,,,
Rainbow,BENDIGO,,,,,,,,,,
United States of Aust,BENDIGO,,,,,,,,,,
Red Lion,BENDIGO,,,,,,,,,,
United States,BENDIGO,,,,,,,,,,
Reservoir,BENDIGO,,,,,,,,,,
Universal,BENDIGO,,,,,,,,,,
Reservoir,BENDIGO,,,,,,,,,,
Kennington,BENDIGO,,,,,,,,,,
Victoria,BENDIGO,,,,,,,,,,
Rifle Brigade,BENDIGO,,,,,,,,,,
Victory,BENDIGO,,,,,,,,,,
Rising Sun,BENDIGO,,,,,,,,,,
View Bend,BENDIGO,,,,,,,,,,
Robert Burns,BENDIGO,,,,,,,,,,
View Point,BENDIGO,,,,,,,,,,
Rock of Cashel,BENDIGO,,,,,,,,,,
Violet St,BENDIGO,,,,,,,,,,
Royal,BENDIGO,,,,,,,,,,
Washington,BENDIGO,,,,,,,,,,
Royal Duke,BENDIGO,,,,,,,,,,
Waterloo,BENDIGO,,,,,,,,,,
Royal George,BENDIGO,,,,,,,,,,
West End,BENDIGO,,,,,,,,,,
Royal Mail,BENDIGO,,,,,,,,,,
Royal Oak,BENDIGO,,,,,,,,,,
Royal Princess,BENDIGO,,,,,,,,,,
Saleyards,BENDIGO,,,,,,,,,,
Sandhurst,BENDIGO,,,,,,,,,,
Saw Mills,BENDIGO,,,,,,,,,,
Shamrock,BENDIGO,,,,,,,,,,
Shamrock,BENDIGO,,,,,,,,,,
Union,BENDIGO,,,,,,,,,,
Yorkshire,BENDIGO,,,,,,,,,,
Sandhurst,BENDIGO,,,,,,,,,,
Greyhound,BENDIGO,,,,,,,,,,
Coach & Horses,BENDIGO,,,,,,,,,,
Limerick,BENDIGO,,,,,,,,,,
Glasgow Arms,BENDIGO,,,,,,,,,,
Mizen Top,BENDIGO,,,,,,,,,,
Her Majestys,BENDIGO,,,,,,,,,,
Five Lions,BENDIGO,,,,,,,,,,
Athenaeum Club,BENDIGO,,,,,,,,,,
Temple Court,BENDIGO,,,,,,,,,,
Court House,BENDIGO,,,,,,,,,,
Albert,BENDIGO,,,,,,,,,,
Olive Branch,BENDIGO,,,,,,,,,,
Lake View,BENDIGO,,,,,,,,,,
Brickmakers Arms,BENDIGO,,,,,,,,,,
Queens,BENDIGO,,,,,,,,,,
View Point,BENDIGO,,,,,,,,,,
Limerick Castle,BENDIGO,,,,,,,,,,
Albion,BENDIGO,,,,,,,,,,
Railway Bridge,BENDIGO,,,,,,,,,,
Alll Nations,BENDIGO,,,,,,,,,,
Lyceum,BENDIGO,,,,,,,,,,
Telegraph,BENDIGO,,,,,,,,,,
Brian Boru,BENDIGO,,,,,,,,,,
Noahs Ark,BENDIGO,,,,,,,,,,
City Club,BENDIGO,,,,,,,,,,
Terminus,BENDIGO,,,,,,,,,,
Builders Arms,BENDIGO,,,,,,,,,,
Shamrock,BENDIGO,,,,,,,,,,
Kent,BENDIGO,,,,,,,,,,
Britannia,BENDIGO,,,,,,,,,,
Mechanics,BENDIGO,,,,,,,,,,
Black Swan,BENDIGO,,,,,,,,,,
Rifle Brigade,BENDIGO,,,,,,,,,,
Oriental,BENDIGO,,,,,,,,,,
Durham Ox,BENDIGO,,,,,,,,,,
Junction,BENDIGO,,,,,,,,,,
Beehive Mining Exchange,BENDIGO,,,,,,,,,,
Hopetoun,BENDIGO,,,,,,,,,,
Law Courts,BENDIGO,,,,,,,,,,
Market,BENDIGO,,,,,,,,,,
Butts,BENDIGO,,,,,,,,,,
McRae St,BENDIGO,,,,,,,,,,
Kent Brewery,BENDIGO,,,,,,,,,,
Railway,BENDIGO,,,,,,,,,,
Criterion,BENDIGO,,,,,,,,,,
Masonic,BENDIGO,,,,,,,,,,
Olympic,BENDIGO,,,,,,,,,,
Star & Garter,BENDIGO,,,,,,,,,,
Exchange,BENDIGO,,,,,,,,,,
Rock of Cashel,BENDIGO,,,,,,,,,,
Victoria,BENDIGO,,,,,,,,,,
Brougham Arms,BENDIGO,,,,,,,,,,
Mizen Top,BENDIGO,,,,,,,,,,
Glasgow Arms,BENDIGO,,,,,,,,,,
Athenaeum Club,BENDIGO,,,,,,,,,,
Queens,BENDIGO,,,,,,,,,,
Olive Branch,BENDIGO,,,,,,,,,,
Her Majestys,BENDIGO,,,,,,,,,,
View Point,BENDIGO,,,,,,,,,,
Coach & Horses,BENDIGO,,,,,,,,,,
Brickmakers Arms,BENDIGO,,,,,,,,,,
Lake View,BENDIGO,,,,,,,,,,
Greyhound,BENDIGO,,,,,,,,,,
Five Lions,BENDIGO,,,,,,,,,,
Temple Court,BENDIGO,,,,,,,,,,
Limerick,BENDIGO,,,,,,,,,,
Albert,BENDIGO,,,,,,,,,,
Court House,BENDIGO,,,,,,,,,,
Alll Nations,BENDIGO,,,,,,,,,,
Brian Boru,BENDIGO,,,,,,,,,,
Terminus,BENDIGO,,,,,,,,,,
Athenaeum Club,BENDIGO,,,,,,,,,,
Queens,BENDIGO,,,,,,,,,,
Telegraph,BENDIGO,,,,,,,,,,
Mizen Top,BENDIGO,,,,,,,,,,
Her Majestys,BENDIGO,,,,,,,,,,
Orient,BENDIGO,,,,,,,,,,
Niagara,BENDIGO,,,,,,,,,,
Albion,BENDIGO,,,,,,,,,,
Railway Bridge,BENDIGO,,,,,,,,,,
City Club,BENDIGO,,,,,,,,,,
Limerick Castle,BENDIGO,,,,,,,,,,
Olive Branch,BENDIGO,,,,,,,,,,
Glasgow Arms,BENDIGO,,,,,,,,,,
View Point,BENDIGO,,,,,,,,,,
Her Majestys,BENDIGO,,,,,,,,,,
Alll Nations,BENDIGO,,,,,,,,,,
Builders Arms,BENDIGO,,,,,,,,,,
Telegraph,BENDIGO,,,,,,,,,,
Athenaeum Club,BENDIGO,,,,,,,,,,
Coach & Horses,BENDIGO,,,,,,,,,,
Lake View,BENDIGO,,,,,,,,,,
Britannia,BENDIGO,,,,,,,,,,
Queens,BENDIGO,,,,,,,,,,
Brian Boru,BENDIGO,,,,,,,,,,
Terminus,BENDIGO,,,,,,,,,,
Kent,BENDIGO,,,,,,,,,,
Orient,BENDIGO,,,,,,,,,,
Mizen Top,BENDIGO,,,,,,,,,,
Shamrock,BENDIGO,,,,,,,,,,
Brickmakers Arms,BENDIGO,,,,,,,,,,
Greyhound,BENDIGO,,,,,,,,,,
Alll Nations,BENDIGO,,,,,,,,,,
Builders Arms,BENDIGO,,,,,,,,,,
Athenaeum Club,BENDIGO,,,,,,,,,,
Telegraph,BENDIGO,,,,,,,,,,
Oriental,BENDIGO,,,,,,,,,,
Mechanics,BENDIGO,,,,,,,,,,
Black Swan,BENDIGO,,,,,,,,,,
Lake View,BENDIGO,,,,,,,,,,
Five Lions,BENDIGO,,,,,,,,,,
Rifle Brigade,BENDIGO,,,,,,,,,,
Her Majestys,BENDIGO,,,,,,,,,,
Temple Court,BENDIGO,,,,,,,,,,
Niagara,BENDIGO,,,,,,,,,,
Durham Ox,BENDIGO,,,,,,,,,,
Coach & Horses,BENDIGO,,,,,,,,,,
Albion,BENDIGO,,,,,,,,,,
Clarendon,BENDIGO,,,,,,,,,,
Railway,BENDIGO,,,,,,,,,,
Waterloo,BENDIGO,,,,,,,,,,
Saw Mills,BENDIGO,,,,,,,,,,
City Club,BENDIGO,,,,,,,,,,
Metropolitan,BENDIGO,,,,,,,,,,
Exchange,BENDIGO,,,,,,,,,,
Brian Boru,BENDIGO,,,,,,,,,,
Imperial Hustlers,BENDIGO,,,,,,,,,,
London,BENDIGO,,,,,,,,,,
Telegraph,BENDIGO,,,,,,,,,,
Her Majestys,BENDIGO,,,,,,,,,,
City Brewery,BENDIGO,,,,,,,,,,
Town Hall,BENDIGO,,,,,,,,,,
Arcade,BENDIGO,,,,,,,,,,
Earl of Kimberley,BENDIGO,,,,,,,,,,
Cheshire Arms,BENDIGO,,,,,,,,,,
City,BENDIGO,,,,,,,,,,
Sandhurst,BENDIGO,,,,,,,,,,
Ennis,BENDIGO,,,,,,,,,,
Niagara,BENDIGO,,,,,,,,,,
United States of Aust,BENDIGO,,,,,,,,,,
Australian,BENDIGO,,,,,,,,,,
Royal Duke,BENDIGO,,,,,,,,,,
Gasworks,BENDIGO,,,,,,,,,,
Red Lion,BENDIGO,,,,,,,,,,
Fire Brigade,BENDIGO,,,,,,,,,,
New Bridge,BENDIGO,,,,,,,,,,
Great Britain,BENDIGO,,,,,,,,,,
View Point,BENDIGO,,,,,,,,,,
View Bend,BENDIGO,,,,,,,,,,
Brougham Arms,BENDIGO,,,,,,,,,,
Bendigo,BENDIGO,,,,,,,,,,
Coach & Horses,BENDIGO,,,,,,,,,,
All Nations,BENDIGO,,,,,,,,,,
Law Courts,BENDIGO,,,,,,,,,,
Golden Square,BENDIGO,,,,,,,,,,
Limerick,BENDIGO,,,,,,,,,,
Market,BENDIGO,,,,,,,,,,
Athenaeum Club,BENDIGO,,,,,,,,,,
Red White & Blue,BENDIGO,,,,,,,,,,
Mizen Top,BENDIGO,,,,,,,,,,
Mechanics,BENDIGO,,,,,,,,,,
Blue Bell Inn,BENDIGO,,,,,,,,,,
Lake View,BENDIGO,,,,,,,,,,
Olive Branch,BENDIGO,,,,,,,,,,
Court House,BENDIGO,,,,,,,,,,
Prince Bismark,BENDIGO,,,,,,,,,,
Five Lions,BENDIGO,,,,,,,,,,
Camp,BENDIGO,,,,,,,,,,
Rifle Brigade,BENDIGO,,,,,,,,,,
Golden Gate,BENDIGO,,,,,,,,,,
Butts,BENDIGO,,,,,,,,,,
Royal,BENDIGO,,,,,,,,,,
Kent,BENDIGO,,,,,,,,,,
Cumberland,BENDIGO,,,,,,,,,,
Temple Court,BENDIGO,,,,,,,,,,
Perseverance,BENDIGO,,,,,,,,,,
Greyhound,BENDIGO,,,,,,,,,,
Rock of Cashel,BENDIGO,,,,,,,,,,
Durham Ox,BENDIGO,,,,,,,,,,
City Family,BENDIGO,,,,,,,,,,
Golden Age,BENDIGO,,,,,,,,,,
Tysons Reef Fam,BENDIGO,,,,,,,,,,
Crown,BENDIGO,,,,,,,,,,
Junction,BENDIGO,,,,,,,,,,
Builders Arms,BENDIGO,,,,,,,,,,
Queens,BENDIGO,,,,,,,,,,
Crescent,BENDIGO,,,,,,,,,,
Oriental,BENDIGO,,,,,,,,,,
Lancashire,BENDIGO,,,,,,,,,,
Barkley,BENDIGO,,,,,,,,,,
Royal Mail,BENDIGO,,,,,,,,,,
Orient,BENDIGO,,,,,,,,,,
Foundry Arms,BENDIGO,,,,,,,,,,
Hibernia,BENDIGO,,,,,,,,,,
British Queen,BENDIGO,,,,,,,,,,
Duke of York,BENDIGO,,,,,,,,,,
London,BENDIGO,,,,,,,,,,
Leinster,BENDIGO,,,,,,,,,,
Imperial,BENDIGO,,,,,,,,,,
Show Grounds,BENDIGO,,,,,,,,,,
Cavalry,BENDIGO,,,,,,,,,,
Union,BENDIGO,,,,,,,,,,
Southern Cross,BENDIGO,,,,,,,,,,
Queen St,BENDIGO,,,,,,,,,,
Beehive Mining Exchange,BENDIGO,,,,,,,,,,
Oddfellows,BENDIGO,,,,,,,,,,
Railway Bridge,BENDIGO,,,,,,,,,,
Hopetoun,BENDIGO,,,,,,,,,,
Harp of Shamrock,BENDIGO,,,,,,,,,,
McCrae St,BENDIGO,,,,,,,,,,
Rising Sun,BENDIGO,,,,,,,,,,
Union,BENDIGO,,,,,,,,,,
New Market,BENDIGO,,,,,,,,,,
Black Swan,BENDIGO,,,,,,,,,,
B B,BENDIGO,,,,,,,,,,
European,BENDIGO,,,,,,,,,,
National,BENDIGO,,,,,,,,,,
Clyde,BENDIGO,,,,,,,,,,
Lake Weeroona,BENDIGO,,,,,,,,,,
Criterion,BENDIGO,,,,,,,,,,
Kilker,BENDIGO,,,,,,,,,,
Masonic Shades,BENDIGO,,,,,,,,,,
Olympic,BENDIGO,,,,,,,,,,
Britannia,BENDIGO,,,,,,,,,,
American,BENDIGO,,,,,,,,,,
Victoria,BENDIGO,,,,,,,,,,
Star & Garter,BENDIGO,,,,,,,,,,
Robert Burns,BENDIGO,,,,,,,,,,
United Kingdom,BENDIGO,,,,,,,,,,
B B Brewery,BENDIGO,,,,,,,,,,
Adelaide Bry,BENDIGO,,,,,,,,,,
Limerick Castle,BENDIGO,,,,,,,,,,
Hibernian,BENDIGO,,,,,,,,,,
Park View,BENDIGO,,,,,,,,,,
Terminus,BENDIGO,,,,,,,,,,
Holtorfs,BENDIGO,,,,,,,,,,
Kent Brewery,BENDIGO,,,,,,,,,,
Exchange,BENDIGO,,,,,,,,,,
Belfast Arms,BENDIGO,,,,,,,,,,
Railway,BENDIGO,,,,,,,,,,
Golden Vine,BENDIGO,,,,,,,,,,
Shamrock,BENDIGO,,,,,,,,,,
Royal Princess,BENDIGO,,,,,,,,,,
Washington,BENDIGO,,,,,,,,,,
Brickmakers Arms,BENDIGO,,,,,,,,,,
Glasgow Arms,BENDIGO,,,,,,,,,,
Albert,BENDIGO,,,,,,,,,,
Adelaide Bry,BENDIGO,,,,,,,,,,
Mt Pleasant,BENDIGO,,,,,,,,,,
Denmark,BENDIGO,,,,,,,,,,
Fleece Inn,BENDIGO,,,,,,,,,,
Crown,BENDIGO,,,,,,,,,,
Niagara,BENDIGO,,,,,,,,,,
Beehive Mining Exchange,BENDIGO,,,,,,,,,,
Railway Bridge,BENDIGO,,,,,,,,,,
Saw Mills,BENDIGO,,,,,,,,,,
City Club,BENDIGO,,,,,,,,,,
New Bridge,BENDIGO,,,,,,,,,,
Royal Duke,BENDIGO,,,,,,,,,,
London,BENDIGO,,,,,,,,,,
Coach & Horses,BENDIGO,,,,,,,,,,
United States of Aust,BENDIGO,,,,,,,,,,
Clarendon,BENDIGO,,,,,,,,,,
Albion,BENDIGO,,,,,,,,,,
Great Britain,BENDIGO,,,,,,,,,,
View Point,BENDIGO,,,,,,,,,,
Brougham Arms,BENDIGO,,,,,,,,,,
Emu Point,BENDIGO,,,,,,,,,,
Town Hall,BENDIGO,,,,,,,,,,
Imperial Hustlers,BENDIGO,,,,,,,,,,
View Bend,BENDIGO,,,,,,,,,,
City,BENDIGO,,,,,,,,,,
Railway,BENDIGO,,,,,,,,,,
Gasworks,BENDIGO,,,,,,,,,,
Telegraph,BENDIGO,,,,,,,,,,
Brian Boru,BENDIGO,,,,,,,,,,
Earl of Kimberley,BENDIGO,,,,,,,,,,
Sandhurst,BENDIGO,,,,,,,,,,
Bendigo,BENDIGO,,,,,,,,,,
Red Lion,BENDIGO,,,,,,,,,,
City Brewery,BENDIGO,,,,,,,,,,
Ennis,BENDIGO,,,,,,,,,,
Metropolitan,BENDIGO,,,,,,,,,,
Waterloo,BENDIGO,,,,,,,,,,
Arcade,BENDIGO,,,,,,,,,,
Cheshire Arms,BENDIGO,,,,,,,,,,
Her Majestys,BENDIGO,,,,,,,,,,
Australian,BENDIGO,,,,,,,,,,
Fire Brigade,BENDIGO,,,,,,,,,,
Golden Square,BENDIGO,,,,,,,,,,
Kent,BENDIGO,,,,,,,,,,
Temple Court,BENDIGO,,,,,,,,,,
Red White & Blue,BENDIGO,,,,,,,,,,
New Bridge,BENDIGO,,,,,,,,,,
London,BENDIGO,,,,,,,,,,
Exchange,BENDIGO,,,,,,,,,,
Camp,BENDIGO,,,,,,,,,,
Golden Gate,BENDIGO,,,,,,,,,,
United States of Aust,BENDIGO,,,,,,,,,,
Royal,BENDIGO,,,,,,,,,,
Perseverance,BENDIGO,,,,,,,,,,
Mizen Top,BENDIGO,,,,,,,,,,
Greyhound,BENDIGO,,,,,,,,,,
Rock of Cashel,BENDIGO,,,,,,,,,,
View Point,BENDIGO,,,,,,,,,,
Great Britain,BENDIGO,,,,,,,,,,
Golden Age,BENDIGO,,,,,,,,,,
Tysons Reef Fam,BENDIGO,,,,,,,,,,
Athenaeum Club,BENDIGO,,,,,,,,,,
Court House,BENDIGO,,,,,,,,,,
Blue Bell Inn,BENDIGO,,,,,,,,,,
Olive Branch,BENDIGO,,,,,,,,,,
Five Lions,BENDIGO,,,,,,,,,,
Limerick,BENDIGO,,,,,,,,,,
Washington,BENDIGO,,,,,,,,,,
Royal Duke,BENDIGO,,,,,,,,,,
Albion,BENDIGO,,,,,,,,,,
Brougham Arms,BENDIGO,,,,,,,,,,
Cumberland,BENDIGO,,,,,,,,,,
Clarendon,BENDIGO,,,,,,,,,,
Prince Bismark,BENDIGO,,,,,,,,,,
Lake View,BENDIGO,,,,,,,,,,
Niagara,BENDIGO,,,,,,,,,,
Saw Mills,BENDIGO,,,,,,,,,,
City Club,BENDIGO,,,,,,,,,,
City Family,BENDIGO,,,,,,,,,,
Market,BENDIGO,,,,,,,,,,
Coach & Horses,BENDIGO,,,,,,,,,,
Law Courts,BENDIGO,,,,,,,,,,
Rifle Brigade,BENDIGO,,,,,,,,,,
Butts,BENDIGO,,,,,,,,,,
Durham Ox,BENDIGO,,,,,,,,,,
Unicorn,BENDIGO,,,,,,,,,,
View Bend,BENDIGO,,,,,,,,,,
Three Tuns,BENDIGO,,,,,,,,,,
Union,BENDIGO,,,,,,,,,,
Camp,BENDIGO,,,,,,,,,,
Golden Square,BENDIGO,,,,,,,,,,
Golden Gate,BENDIGO,,,,,,,,,,
Foundry Arms,BENDIGO,,,,,,,,,,
Leinster,BENDIGO,,,,,,,,,,
Mizen Top,BENDIGO,,,,,,,,,,
Lancashire,BENDIGO,,,,,,,,,,
Great Britain,BENDIGO,,,,,,,,,,
Kent,BENDIGO,,,,,,,,,,
Oriental,BENDIGO,,,,,,,,,,
Temple Court,BENDIGO,,,,,,,,,,
Mechanics,BENDIGO,,,,,,,,,,
New Bridge,BENDIGO,,,,,,,,,,
Hibernia,BENDIGO,,,,,,,,,,
Cricketers Arms,BENDIGO,,,,,,,,,,
Royal Mail,BENDIGO,,,,,,,,,,
Crown,BENDIGO,,,,,,,,,,
United States of Aust,BENDIGO,,,,,,,,,,
Builders Arms,BENDIGO,,,,,,,,,,
Royal,BENDIGO,,,,,,,,,,
Queens,BENDIGO,,,,,,,,,,
Barkley,BENDIGO,,,,,,,,,,
London,BENDIGO,,,,,,,,,,
Imperial Hustlers,BENDIGO,,,,,,,,,,
View Point,BENDIGO,,,,,,,,,,
Viiolet St,BENDIGO,,,,,,,,,,
Duke of York,BENDIGO,,,,,,,,,,
Greyhound,BENDIGO,,,,,,,,,,
London,BENDIGO,,,,,,,,,,
Tysons Reef Fam,BENDIGO,,,,,,,,,,
Unicorn,BENDIGO,,,,,,,,,,
Union,BENDIGO,,,,,,,,,,
Hopetoun,BENDIGO,,,,,,,,,,
Five Lions,BENDIGO,,,,,,,,,,
City Family,BENDIGO,,,,,,,,,,
Suburban,BENDIGO,,,,,,,,,,
Viiolet St,BENDIGO,,,,,,,,,,
Her Majestys,BENDIGO,,,,,,,,,,
Black Swan,BENDIGO,,,,,,,,,,
Earl of Kimberley,BENDIGO,,,,,,,,,,
Oddfellows,BENDIGO,,,,,,,,,,
Mechanics,BENDIGO,,,,,,,,,,
Lancashire,BENDIGO,,,,,,,,,,
Oriental,BENDIGO,,,,,,,,,,
Rifle Brigade,BENDIGO,,,,,,,,,,
Limerick,BENDIGO,,,,,,,,,,
Royal Princess,BENDIGO,,,,,,,,,,
Criterion,BENDIGO,,,,,,,,,,
Mizen Top,BENDIGO,,,,,,,,,,
American,BENDIGO,,,,,,,,,,
Royal Duke,BENDIGO,,,,,,,,,,
Great Britain,BENDIGO,,,,,,,,,,
Queens,BENDIGO,,,,,,,,,,
Brougham Arms,BENDIGO,,,,,,,,,,
Star & Garter,BENDIGO,,,,,,,,,,
Three Tuns,BENDIGO,,,,,,,,,,
Queen St,BENDIGO,,,,,,,,,,
Leinster,BENDIGO,,,,,,,,,,
Beehive Mining Exchange,BENDIGO,,,,,,,,,,
Golden Square,BENDIGO,,,,,,,,,,
McCrae St,BENDIGO,,,,,,,,,,
View Bend,BENDIGO,,,,,,,,,,
Harp of Shamrock,BENDIGO,,,,,,,,,,
Foundry Arms,BENDIGO,,,,,,,,,,
Albion,BENDIGO,,,,,,,,,,
Rising Sun,BENDIGO,,,,,,,,,,
Court House,BENDIGO,,,,,,,,,,
New Market,BENDIGO,,,,,,,,,,
Gasworks,BENDIGO,,,,,,,,,,
Kent,BENDIGO,,,,,,,,,,
Telegraph,BENDIGO,,,,,,,,,,
Clyde,BENDIGO,,,,,,,,,,
European,BENDIGO,,,,,,,,,,
Camp,BENDIGO,,,,,,,,,,
National,BENDIGO,,,,,,,,,,
Temple Court,BENDIGO,,,,,,,,,,
Brian Boru,BENDIGO,,,,,,,,,,
Lake Weeroona,BENDIGO,,,,,,,,,,
Hibernia,BENDIGO,,,,,,,,,,
Red Lion,BENDIGO,,,,,,,,,,
Kilker,BENDIGO,,,,,,,,,,
Masonic Shades,BENDIGO,,,,,,,,,,
Cricketers Arms,BENDIGO,,,,,,,,,,
Royal Mail,BENDIGO,,,,,,,,,,
Crown,BENDIGO,,,,,,,,,,
Sandhurst,BENDIGO,,,,,,,,,,
Olympic,BENDIGO,,,,,,,,,,
B B,BENDIGO,,,,,,,,,,
Union,BENDIGO,,,,,,,,,,
Victoria,BENDIGO,,,,,,,,,,
Bendigo,BENDIGO,,,,,,,,,,
Britannia,BENDIGO,,,,,,,,,,
United States of Aust,BENDIGO,,,,,,,,,,
New Bridge,BENDIGO,,,,,,,,,,
Olive Branch,BENDIGO,,,,,,,,,,
Builders Arms,BENDIGO,,,,,,,,,,
Golden Gate,BENDIGO,,,,,,,,,,
Royal,BENDIGO,,,,,,,,,,
Robert Burns,BENDIGO,,,,,,,,,,
Southern Cross Palace,BENDIGO,,,,,,,,,,
Unicorn,BENDIGO,,,,,,,,,,
Mechanics,BENDIGO,,,,,,,,,,
View Point,BENDIGO,,,,,,,,,,
Rose of Australia,BENDIGO,,,,,,,,,,
Hopetoun,BENDIGO,,,,,,,,,,
Five Lions,BENDIGO,,,,,,,,,,
Clarendon,BENDIGO,,,,,,,,,,
Barkley,BENDIGO,,,,,,,,,,
Great Britain,BENDIGO,,,,,,,,,,
Black Swan,BENDIGO,,,,,,,,,,
Union,BENDIGO,,,,,,,,,,
Lake View,BENDIGO,,,,,,,,,,
Limerick,BENDIGO,,,,,,,,,,
Lancashire,BENDIGO,,,,,,,,,,
Imperial Hustlers,BENDIGO,,,,,,,,,,
American,BENDIGO,,,,,,,,,,
Suburban,BENDIGO,,,,,,,,,,
Criterion,BENDIGO,,,,,,,,,,
Queens,BENDIGO,,,,,,,,,,
Oriental,BENDIGO,,,,,,,,,,
Earl of Kimberley,BENDIGO,,,,,,,,,,
Cumberland,BENDIGO,,,,,,,,,,
Royal Duke,BENDIGO,,,,,,,,,,
Tysons Reef Fam,BENDIGO,,,,,,,,,,
Oddfellows,BENDIGO,,,,,,,,,,
Ennis,BENDIGO,,,,,,,,,,
Prince Bismark,BENDIGO,,,,,,,,,,
Brougham Arms,BENDIGO,,,,,,,,,,
Mizen Top,BENDIGO,,,,,,,,,,
Star & Garter,BENDIGO,,,,,,,,,,
Railway Bridge,BENDIGO,,,,,,,,,,
Bendigo & Northern Bry,BENDIGO,,,,,,,,,,
Unicorn,BENDIGO,,,,,,,,,,
Metropolitan,BENDIGO,,,,,,,,,,
City Club,BENDIGO,,,,,,,,,,
Albion,BENDIGO,,,,,,,,,,
Black Swan,BENDIGO,,,,,,,,,,
Park View,BENDIGO,,,,,,,,,,
Union,BENDIGO,,,,,,,,,,
London,BENDIGO,,,,,,,,,,
Golden Gate,BENDIGO,,,,,,,,,,
Golden Vine,BENDIGO,,,,,,,,,,
City Family,BENDIGO,,,,,,,,,,
Oriental,BENDIGO,,,,,,,,,,
Court House,BENDIGO,,,,,,,,,,
Washington,BENDIGO,,,,,,,,,,
Sandhurst,BENDIGO,,,,,,,,,,
Athenaeum Club,BENDIGO,,,,,,,,,,
Gasworks,BENDIGO,,,,,,,,,,
Greyhound,BENDIGO,,,,,,,,,,
London,BENDIGO,,,,,,,,,,
Lancashire,BENDIGO,,,,,,,,,,
Robert Burns,BENDIGO,,,,,,,,,,
Kent,BENDIGO,,,,,,,,,,
Durham Ox,BENDIGO,,,,,,,,,,
Royal,BENDIGO,,,,,,,,,,
Five Lions,BENDIGO,,,,,,,,,,
United Kingdom,BENDIGO,,,,,,,,,,
Telegraph,BENDIGO,,,,,,,,,,
Queen St,BENDIGO,,,,,,,,,,
Oddfellows,BENDIGO,,,,,,,,,,
City Brewery,BENDIGO,,,,,,,,,,
Waterloo,BENDIGO,,,,,,,,,,
Arcade,BENDIGO,,,,,,,,,,
B B Brewery,BENDIGO,,,,,,,,,,
Beehive Mining Exch,BENDIGO,,,,,,,,,,
Hopetoun,BENDIGO,,,,,,,,,,
Golden Square,BENDIGO,,,,,,,,,,
Olive Branch,BENDIGO,,,,,,,,,,
Adelaide Brewery,BENDIGO,,,,,,,,,,
Saw Mills,BENDIGO,,,,,,,,,,
Albert,BENDIGO,,,,,,,,,,
Rising Sun,BENDIGO,,,,,,,,,,
Belfast Arms,BENDIGO,,,,,,,,,,
Viiolet St,BENDIGO,,,,,,,,,,
Limerick Castle,BENDIGO,,,,,,,,,,
B B,BENDIGO,,,,,,,,,,
Red Lion,BENDIGO,,,,,,,,,,
