Hotel_name,Hotel_city,Hotel_price,Hotel_rating
The Caulfield,Melbourne,A$209 / night,4.4
Take a step back in time,Shire of Macedon Ranges,A$130 / night,4.3
"Brumby Townhouse, Dinner Plain",Dinner Plain,A$162 / night,5.0
Absolute Lakeside Self-Contained Luxury Apartment,Daylesford,A$364 / night,4.3
Circa Red London Daylesford ~ TOWN CENTRE,Daylesford,A$257 / night,4.5
Clean + Bright Apartment in the Heart of the City,Melbourne,A$184 / night,3.8
Madam Saddler A Gorgeous Accommodation In Clunes.,Hepburn Shire,A$287 / night,5.0
"LuxuryBrandNew3Bedroom:HotTub,Pool,BarWiFi&CarPark",Melbourne,A$306 / night,4.4
Newport Leadlight Haven,Melbourne,A$154 / night,4.9
Scandi Stayz Retreat 1,Tawonga South,A$206 / night,4.4
"""ABODE 316"" NEW boutique 2 Bedroom, 2 Bathroom",Melbourne,A$424 / night,4.8
Family-friendly Apartment in Green Glen Iris,Melbourne,A$184 / night,3.4
LITTLE ABODE ON ADENEY FREE WIFI PET FRIENDLY,Melbourne,A$209 / night,5.0
ASHLAR @ Manna Gums - Romantic/Fire/Spa Escape - Daylesford,Daylesford,A$251 / night,4.9
ormond stunner-- the heart of southeast melbourne,Melbourne,A$111 / night,3.8
Apartments Of Waverley - 1 Bed Apartment Free Wifi & Parking,Melbourne,A$204 / night,5.0
Hilltop Tiny House Su,Shire of Mitchell,A$127 / night,4.5
Shadow Play@Lv36/2BR near Crown with Ocean View,Melbourne,A$318 / night,4.6
"Quiet haven, lively precinct",Melbourne,A$219 / night,4.8
Elsinore Ballarat - self contained apartment,Ballarat,A$199 / night,4.8
Retro mid century home in historic gold-fields township.,Maldon (Victoria),A$167 / night,5.0
"""Abbey Road"" - Pearl Apartments",Melbourne,A$139 / night,5.0
Rest Haven,Shire of South Gippsland,A$160 / night,4.4
City View South Yarra Apart*CarPark*Netflix*Wine,Melbourne,A$201 / night,4.8
Great Southbank apartment with stunning view,Melbourne,A$161 / night,4.7
"Ground Floor Apartment with Courtyard, WiFi and Off Street Parking",Melbourne,A$113 / night,5.0
Richmond Apartment with Parking - Walk to MCG,Melbourne,A$133 / night,4.4
One bedroom unit in Camberwell. Off street parking.,Melbourne,A$185 / night,4.8
The Nook Studio Apartment,Melbourne,A$158 / night,5.0
Lakeside Villas Nagambie,Nagambie,A$296 / night,2.6
ouble Room with Private Bathroom and Kitchenette near Murray River,Shire of Moira,A$83 / night,3.8
villa 2 fully self contained,Golden Beach (Victoria),A$177 / night,4.5
Brand New Luxury Studio Apartment on Gregory Street,Ballarat,A$125 / night,4.8
Stylish Southbank Apartment,Melbourne,A$206 / night,5.0
"Comfortable, clean and charming St Kilda studio with Wifi and bikes",Melbourne,A$132 / night,3.8
"Lavender Suite at Sage Cottage, The Oaks, Lilydale",Melbourne,A$191 / night,5.0
Perfectly located in the heart of the Melbourne CBD,Melbourne,A$240 / night,5.0
Shocko 1 - Boutique Accommodation - CBD,Melbourne,A$226 / night,5.0
Ultra-Modern Luxury With Views At Kai Waterfront,Melbourne,A$188 / night,3.2
Stone's Throw Cottage B&B Belgrave,Melbourne,A$219 / night,4.8
BOUTIQUE STAYS – The Residence,Melbourne,A$570 / night,5.0
DeeeLuxe - soo.. sophisticated,Melbourne,A$193 / night,3.5
Deluxe Modern New Apartment@Melbourne New Landmark,Melbourne,A$279 / night,5.0
"""Claremont"" - Pearl Apartments",Melbourne,A$139 / night,4.8
"City Edge Apartment, Spacious Terrace, Views to Melbourne City",Melbourne,A$213 / night,5.0
Studio apartment in desirable tree lined locale. Walk to Hospital & town,Bendigo,A$117 / night,4.9
Artistic Apartment in Sunny Elwood near St Kilda,Melbourne,A$211 / night,3.8
"Mt Buller Prime Location, Ski in Ski Out",Mt Buller,A$535 / night,4.8
A Serene & Cozy CBD Suite near Southern Cross,Melbourne,A$579 / night,5.0
One bedroom in Neo with city balcony!,Melbourne,A$138 / night,5.0
"The Barkly, on the fringe of Melbourne",Melbourne,A$202 / night,4.8
Geilo Snow Holiday Unit,Falls Creek,A$330 / night,4.9
Homely Albert Park Suite Next to Grand Prix Circuit,Melbourne,A$406 / night,5.0
By George! Super cool  St Kilda loft,Melbourne,A$168 / night,5.0
Stylish & Sunny with house like proportions,Melbourne,A$183 / night,5.0
Peel Cottage Bed & Breakfast,Ballarat,A$165 / night,5.0
Daysend Cottages - Merrijig,Merrijig,A$378 / night,5.0
A Modern & Cozy Suite with Beautiful City Views,Melbourne,A$587 / night,3.9
Melbourne short stay- Burwood Deakin Uni墨尔本民宿-迪肯大学Burwood,Melbourne,A$61 / night,2.9
"Central, Clean and Convenient Unlimited WiFi",Melbourne,A$55 / night,3.8
Modern 2 bed apartment in trendy Collingwood,Melbourne,A$233 / night,3.3
"Albert Park: close to everything, yet quiet and relaxing",Melbourne,A$127 / night,5.0
"master bedroom with ensuite in frankston walk to cbd, updated bathroom & kitchen",Frankston,A$121 / night,5.0
For the discerning traveller who appreciates the best quality and style!,Melbourne,A$267 / night,5.0
"Sanctuary · ""Sanctuary"" Resort-Style on the Banks of the Yarra",Melbourne,A$259 / night,5.0
Views and hotel-style extras in a great location,Melbourne,A$187 / night,5.0
Chestnut Daylesford Centrally Located,Daylesford,A$328 / night,4.5
The Eyrie at elevation652 at Mt Bellevue,Rural City of Wangaratta,A$307 / night,5.0
Loft Apartment Bond Quarter,Melbourne,A$233 / night,4.8
Apartment 45m²,Melbourne,A$153 / night,3.8
Quiet and private spacious 1 bedroom in prestigious Hawthorn street,Melbourne,A$114 / night,4.6
Frogsong Strawbale Cottage BLUE ID p7318970,Goughs Bay,A$119 / night,3.9
Penthouse in Northcote,Melbourne,A$203 / night,3.4
Vintage Heaven - located at Healesville,Healesville,A$210 / night,5.0
Modern 1-BR Apartment + Seaview!,Melbourne,A$157 / night,4.7
Alpino Apartments Marysville,Marysville (Victoria),A$276 / night,4.8
Balwyn Views Apartments,Melbourne,A$189 / night,5.0
Village BELLE Stunning home in Yarraville Village,Melbourne,A$282 / night,4.8
"""206 Studio on Acland"" - Pearl Apartments",Melbourne,A$135 / night,5.0
"Stylishly appointed, Family, Executives, Parking, Cafes 350m, Public Transport",Melbourne,A$305 / night,4.7
Petite and Sweet Pad close to St Kilda Beach,Melbourne,A$129 / night,4.7
Homewood Apartment-Self contained apartment,City of Greater Shepparton,A$102 / night,5.0
CONVENIENCE in Melbourne CBD 1BR Apt + FREE WIFI,Melbourne,A$257 / night,3.1
Nelse Lodge,Falls Creek,A$190 / night,4.5
"Long Stay Discount, Parking, Degraves St, Corporates, Families,Couples, Shopping",Melbourne,A$342 / night,4.5
Waterfront 2 Bedroom - Freshwater Place,Melbourne,A$389 / night,4.6
Stylish 2-bed 2 bath with free parking+pool+gym+wifi,Melbourne,A$251 / night,4.5
"Light, airey 2 storey 2 deck penthouse in Collingwood nr cafes restaurants trams",Melbourne,A$345 / night,5.0
Forget Me Not Moonlight Blue Miners' Cottage Daylesford,Daylesford,A$181 / night,4.8
Upper West Side - Madison,Melbourne,A$271 / night,4.9
Apartments @ Port of Sale 2 bedrooms,Shire of Wellington,A$210 / night,4.7
Elegant 2BR@Footscray Station,Melbourne,A$216 / night,5.0
Bungunyah Apartments: Margriet,Melbourne,A$200 / night,5.0
Melbourne Chinatown 2 bedrooms APARTMENTs,Melbourne,A$237 / night,5.0
"Stylish, 2 bedroom Victorian terrace, 1860's old charm & modern renovation!",Melbourne,A$431 / night,5.0
StayCentral in Brunswick & Parkville 2Br near cafes restaurants shops bars trams,Melbourne,A$278 / night,4.5
The Hive Graffiti Apartments,Melbourne,A$169 / night,4.8
Bungunyah Apartments: Kaori,Melbourne,A$209 / night,4.6
Brand New APT with Sea Views in Heart of St Kilda,Melbourne,A$207 / night,3.8
Modern Apartment - Southbank,Melbourne,A$285 / night,4.4
Wheelchair Accessible 1 Bedroom Apartment,Melbourne,A$162 / night,3.8
Blue Rosella on Piper,Kyneton,A$276 / night,4.6
Luxury Art Deco Lifestyle,Melbourne,A$235 / night,4.8
Beachfront Apartment Elwood,Melbourne,A$182 / night,3.8
StayCentral on Northcote Hill views shops trams,Melbourne,A$327 / night,5.0
'Bogong' a romantic chalet for couples,Dinner Plain,A$455 / night,4.9
"""Sea Breeze"" - Pearl Apartments St Kilda",Melbourne,A$102 / night,5.0
DesignLife :Spacious Design Location,Melbourne,A$220 / night,5.0
Cozy APT Opposite Southern Cross station,Melbourne,A$258 / night,3.9
Family Friendly: Feed your soul : Cosy and warm.,Shire of Moorabool,A$123 / night,4.5
Hawthorn East 2 Bedroom Apt Wifi Netflix Parking quiet,Melbourne,A$120 / night,4.1
Light-Filled Beachside Apartment in Trendy Area,Melbourne,A$155 / night,5.0
"8 minutes Walk to clayton train station, close to monash medical center.",Melbourne,A$180 / night,4.2
Briar Hill Accommodation,Melbourne,A$149 / night,4.5
BOUTIQUE STAYS – Ace's Place - perfectly located near Chapel and Swan streets,Melbourne,A$214 / night,4.2
Kiss me by the City-quiet & pretty inner city retreat to unwind & rejuvenate,Melbourne,A$331 / night,3.2
The Residence - Domain,Melbourne,A$460 / night,4.7
Whole Apartment right in the heart of Melbourne,Melbourne,A$233 / night,4.8
"Delightful, Cozy & Modern House",Melbourne,A$159 / night,4.2
Blackburn Holiday Apartment 5,Melbourne,A$136 / night,4.2
Serena Cottages 361 reids way,Shire of Indigo,A$165 / night,4.8
Bright Apartment with City Views in Trendy Locale,Melbourne,A$169 / night,2.6
Sublime Southbank - Incredible Views and Location,Melbourne,A$381 / night,4.9
CORONET CASTLE PET FRIENDLY,Coronet Bay,A$391 / night,5.0
Avant · Sleek CBD Apartment with Skyline Views,Melbourne,A$182 / night,2.6
4-Poster Bed Room in Mountain Cottage,Warburton,A$56 / night,4.1
Spacious apartment within minutes of Acland Street,Melbourne,A$168 / night,4.2
Airport West Stunner,Melbourne,A$430 / night,5.0
"Charan Lane, Comfortable Townhouse in Heritage Inner Suburb Location",Melbourne,A$309 / night,5.0
"Boutique Stays - Victorian Vogue, Richmond House",Melbourne,A$636 / night,4.8
Bungunyah Apartments: Waratah,Melbourne,A$209 / night,5.0
St Kilda  Home away from Home 2BR,Melbourne,A$163 / night,5.0
Architecturally Designed 2 Bedroom Apartment,Melbourne,A$354 / night,4.8
Clarendon Towers - 2 bedroom apartment,Melbourne,A$315 / night,4.3
Seaside Melbourne accommodation,Melbourne,A$132 / night,3.2
TOP DECK APARTMENT - PORTSEA,Melbourne,A$379 / night,4.4
Merrimont Downs - Country Escape - set on magnificent acreage property,Merrijig,A$497 / night,5.0
Modern 1 Bedroom Apartment In Tranquil Parklands,Melbourne,A$149 / night,3.8
DeBeers Townhouses Bendigo,Bendigo,A$188 / night,5.0
"Modern & Stylish Apartment in the heart of Melbourne| Pool, Gym, Sauna",Melbourne,A$167 / night,4.6
Self contained two-bedroom unit in a bush garden setting,Melbourne,A$195 / night,5.0
Perfect Location - 2 Bedroom Modern Unit,Bendigo,A$160 / night,4.7
"Close to Everything, Entire St Kilda Queen Bed Apartment",Melbourne,A$130 / night,4.5
Bungunyah Apartments: Maasai,Melbourne,A$209 / night,5.0
"A Modern 2BR Apt, 5-min Walk to Melbourne Central",Melbourne,A$177 / night,4.6
"Courtyard Cottage - charming, heritage, self-contained hideaway",Healesville,A$412 / night,4.2
"Les Chalets 14 - Ski in, Ski out",Falls Creek,A$236 / night,4.8
Melbourne Airport - 1 bedroom Apartment,Melbourne,A$117 / night,3.2
Betty's Place - Accommodation in Heyfield,Shire of Wellington,A$171 / night,5.0
Heatherlie Cottages Halls Gap,Halls Gap,A$179 / night,4.8
Private suite with garden and river views,Melbourne,A$117 / night,4.2
Contemporary Luxury With Views At Maya Waterfront,Melbourne,A$236 / night,3.2
Amazing 3 Bedroom Apartment in Melbourne Central CBD!,Melbourne,A$271 / night,4.8
Pride Fawkner Apt Bay-view 4 Free PARKING+POOL PaperRolls HandWash * Mask,Melbourne,A$232 / night,4.5
Melbourne Soul 108 sleeps 2-6,Melbourne,A$187 / night,4.9
Modern 1 Bedroom Apartment With Rooftop Terrace And Spa,Melbourne,A$181 / night,2.6
"Stunning 2 Bed 2 Bath Apartment at St Kilda, Free WiFi, Carpark",Melbourne,A$171 / night,4.5
B&B on Piper - Beautiful Cottage Accommodation,Kyneton,A$265 / night,4.7
Plough Cottage Country getaway,Howqua Inlet,A$287 / night,4.1
"Comfy 2BR Suite Near Flemington Races, FREE Parking",Melbourne,A$471 / night,4.5
