Title,Location,Name,Relationship,Date,Source
"Klines Bakery, Ballarat",Victoria St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Major, Ballarat",Victoria St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victoria United, Ballarat",Victoria St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"St Johns Presbyterian Church, Ballarat",Victoria St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Meaghers, Ballarat",Victoria St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Orphanage, Ballarat",Victoria St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Melbourne, Ballarat",Victoria St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"White Hart, Ballarat",Victoria St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Sieferths, Ballarat",Seymour St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Blucher, Ballarat",Seymour St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Tontine, Ballarat",York St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Windsor, Ballarat",York St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Winsor Arms, Ballarat",York St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Red Hill, Ballarat",York St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Northern Junction, Ballarat",Burnbank Rd (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Parkers, Ballarat",Burnbank Rd (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Monastery, Ballarat",Burnbank Rd (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Elephant, Ballarat",Burnbank Rd (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"White Flag, Ballarat",Black Hill (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Lord Clyde, Ballarat",Black Hill (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Limerick Castle, Ballarat",Darling St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Coach & Horses, Ballarat",Raglan St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Haigs, Ballarat",Raglan St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Elephant & Castle, Ballarat",Adair St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Alfred, Alfredton",Ballarat Alfredton (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Market, Alfredton",Ballarat Alfredton (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Park, Alfredton",Ballarat Alfredton (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Donegal Arms, Ballarat",Ripon St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Hamburger, Ballarat",Neil St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Club House, Ballarat",Neil St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Halls Boot Shop, Ballarat",Neil St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Lake View, Ballarat",Wendouree Parade (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Friend, Ballarat",Wendouree Parade (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Rifle Ranges, Ballarat",corner Latrobe & Ascot Sts (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Marretts, Ballarat",Latrobe St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Monmouth & Clan Morgan, Cabbage Tree Hill",Ballarat Cabbage Tree Hill (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Highlander, Ballarat",Ballarat (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Ballarat Hunt Club, Ballarat",Ballarat (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"New Cemetery, Ballarat",Ballarat (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Airds, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Britannia, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bartons, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Chibnalls, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Crickerters Arms, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Criterion, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Guiding Star Mine, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Criterion, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Dudley Castle, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Dudley & Clare Castle, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Ebbles, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Elephant & Castle, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Empire, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Gagans, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Great Britain, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Half-way House, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Hanrahans, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Hibernian, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Iona, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"John OGrouts, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Junction, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Kemps, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Keys, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Kilkenny, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Magpie, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Marshals, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Mounts Bay, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Prince Alfred, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Prince of Wales, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Redan, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Retreat, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Robert Burns, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal George, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Sheehans, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Star & Garter, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"St Georges, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Taras Hall, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Travellers Rest, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Winters, Sebastopol",Ballarat Sebastopol (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cricket Ground Club, Ballarat",Havelock St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Pavilion, Ballarat",Havelock St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"American, Ballarat",Chisholm St (Ballarat Vic.),,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Enterprise, Ballarat",Chisholm St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Duke of Edinburgh, Ballarat",Grenville St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cardiff, Ballarat",Grenville St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Prince of Wales, Ballarat",Grenville St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Adelphi, Ballarat",corner Sturt & Dawson Sts (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Albion, Ballarat",Creswick St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Albion, Ballarat",Sturt St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Albion Imperial, Ballarat",Armstrong St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Alfred, Ballarat",Sturt St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Auld Reekie, Little Bendigo",Ballarat Little Bendigo (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Belfast, Ballarat",corner Howitt & Forest Sts (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Nags Head, Ballarat",corner Howitt & Forest Sts (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Belle Vue, Ballarat",corner Sturt & Windemere Sts (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bricklayers Arms, Ballarat",corner Victoria & Stawell Sts (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Burra Burra, Ballarat",South Rd (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Canarvon, Ballarat",corner Urquhart & Dawson St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Carbine, Ballarat",corner Sturt & Windemere Sts (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cattle Yards Inn, Alfredton",Ballarat Alfredton (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cattle Market Inn, Alfredton",Ballarat Alfredton (Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cornubian, Ballarat",Creswick Rd (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cemetery, Ballarat",Creswick Rd (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Eastern Railway, Ballarat",Humffray St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Eastern Station, Ballarat",Humffray St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grapes, Ballarat",corner Grant & Humffray Sts (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"North Grant, Ballarat",corner Bridge & Peel Sts (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Old Kayser, Ballarat",Main Rd (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Ancient Briton, Ballarat",Main Rd (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Alexandra, Ballarat",Sturt St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Australia Felix, Ballarat",Eureka St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Argyle, Ballarat",Doveton St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Australian Arms, Ballarat",Sturt St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Brewery, Ballarat",Drummond St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bridge, Ballarat",Bridge St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"British North American, Ballarat",Durham St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"British Queen, Ballarat",Bridge St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Brown Hill, Ballarat",Humffray St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bucks Head, Ballarat",Bridge St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bull & Mouth, Ballarat",Doveton St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bunch of Grapes, Ballarat",Pleasant St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Caledonian, Ballarat",Urquhart St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Camerons Post Office Hill, Ballarat",Magpie St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Carlyons, Ballarat",Sturt St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"City Brigade, Ballarat",Sturt St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"City of York, Ballarat",Ligar St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Club, Ballarat",Lydiard St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commonwealth, Ballarat",Main Rd (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Corner, Ballarat",Sturt St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cosmopolitan, Ballarat",Lydiard St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Craigs Royal, Ballarat",Lydiard St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Crown, Ballarat",Main Rd (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Devon & Cornwall, Ballarat",Sturt St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Earl of Zetland, Ballarat",Bridge St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Exchange, Ballarat",Bridge St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Federal, Ballarat",Lydiard St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Gem, Ballarat",Armstrong St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"George, Ballarat",Lydiard St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Globe, Ballarat",Lydiard St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Globe, Ballarat",Skipton St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Golden City, Ballarat",Sturt St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grand, Ballarat",Lydiard St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grand Stand, Ballarat",Adair St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Half-way House, Ballarat",Skipton St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Havilah, Ballarat",Victoria St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Horse Bazaar, Ballarat",Armstrong St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Imperial, Ballarat",Humffray St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Lade of the Lake, Ballarat",Armstrong St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Lake View, Ballarat",Wendouree Pde (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Lesters, Ballarat",Sturt St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Limerick & Clare Castle, Ballarat",Grant St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Macks, Ballarat",Victoria St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Mallow, Ballarat",Skipton St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Military Arms, Ballarat",Peel St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Miners Support, Ballarat",Skipton St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Munster Arms, Ballarat",Victoria St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"New Eglinton, Ballarat",Main Rd (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"North Star, Ballarat",Lydiard St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Palace, Ballarat",Lydiard St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Park, Ballarat",Sturt St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Phoenix, Ballarat",Doveton St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Plough & Harrow, Ballarat",Mair St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Princess Royal, Ballarat",MacArthur St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Provincial, Ballarat",Lydiard St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Queens Head, Ballarat",Humffray St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Ballarat",Lydiard St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Robin Hood, Ballarat",Peel St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Don, Ballarat",Mair St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Exchange, Ballarat",Mair St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Oak, Ballarat",Peel St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Standard, Ballarat",Main Rd (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Seven Stars, Ballarat",Humffray St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Sir Wm Don, Ballarat",Dana St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Southern Cross, Ballarat",Sturt St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Sovereign, Ballarat",Lydiard St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Surrey, Ballarat",Mair St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Tam OShanter, Ballarat",Creswick Rd (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victoria, Ballarat",Urquhart St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Warrior, Ballarat",Pleasant St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Washington, Ballarat",Skipton St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Western Ocean, Ballarat",Skipton St (Ballarat Vic.),,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
