Title,Location,Name,Relationship,Date,Source
"Liverpool Arms, Ballarat",Victoria St (Ballarat Vic.),"Brabner, Cath",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Carriers Arms, Craigieburn",Craigieburn (Vic.),"Bradley, Edward",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Corduroy Bridge Hotel & P O, Clarendon",Clarendon (Vic.),"Bradshaw, Henry John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Consols, Ballarat",Skipton St (Ballarat Vic.),"Brady, J E",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Grange Family, Hamilton",Hamilton (Vic.),Brake,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cattle Yards Inn, Alfredton",Ballarat Alfredton (Vic.),"Brazenor, W",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Esplanade, Inverloch",Inverloch (Vic.),"Brook, Richard D",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Farmers Rest, Warrnambool",Fairy St (Warrnambool Vic.),"Brooker, Chas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Stag, Port Fairy",Port Fairy (Vic.),"Brown, A J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Castle, Raspberry Creek",Raspberry Creek (Vic.),"Brown, L Jas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"British, Bowmans Forest",Bowmans Forest (Vic.),"Brown, Thomas Hince",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Marramingo, Genoa River",Genoa River (Vic.),"Buckland, B H",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Ballan",Ballan (Vic.),"Bull, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Freemasons, Ballan",Inglis St (Ballan Vic.),"Bull, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Quartz Miners, Stawell",Stawell (Vic.),"Burnside, J",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"London, Portland",corner Bentinck & Julia Sts (Portland Vic.),"Bush, Timothy",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Seymour, Seymour",Sydney Rd (Seymour Vic.),"Butler, Jas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Caledonian, Yea",High St (Yea Vic.),"Cairns, John William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bay View, Portarlington",Portarlington (Vic.),"Calhoun, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Family, Portarlington",Portarlington (Vic.),"Calhoun, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mooroopna",Morrell St (Mooroopna Vic.),Caligari,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Fleece Inn, Condah",Condah (Vic.),"Cameron, Ewan",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Fleece Inn, Green Hills",Green Hills (Vic.),"Cameron, Ewan",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Tri Bhean, Glen Watts",Glen Watts (Vic.),Cameron,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Post Office, Beechworth",Camp St (Beechworth Vic.),"Carkeek, A",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Countess, Ballarat",Victoria St (Ballarat Vic.),"Carroll, T",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mooroopna",Morrell St (Mooroopna Vic.),Carroll,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Seven Creeks Hotel & Store, Kialla West",Euroa Kialla West (Vic.),"Casement, Witt",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Straffordshire Arms, Ballarat",Main Rd (Ballarat Vic.),"Casey, R",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"White Hart, Ballarat",Sturt St (Ballarat Vic.),"Chaplin, Dr",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Metropolitan, Castlemaine",Mostyn St (Castlemaine Vic.),"Chapman, James",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Carngham Inn, Carngham",Carngham (Vic.),Chepstowe,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Eureka, Ballarat",Otway St (Ballarat Vic.),Cherry,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Elephant & Castle, Ballarat",Lydiard St (Ballarat Vic.),Chidlows,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Rupanyup",Rupanyup (Vic.),"Claringbold, Jane Lilian",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Vine, Ballarat",Lydiard St (Ballarat Vic.),"Clark, M",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Roseberry, Roseberry",Roseberry (Vic.),"Clark, Robert",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Carriers Arms, Ballarat",Skipton St (Ballarat Vic.),"Clarke, R",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Ross Bridge, Rossbridge",Ross Bridge (Vic.),"Clarke, Thomas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"New Scotch, Ballarat",Mair St (Ballarat Vic.),"Cleaver, Fanny",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Prince Albert, Lockwood",Lockwood (Vic.),"Clements, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"La Mascotte, Castlemaine",corner Hargreaves & Mostyn Sts (Castlemaine Vic.),Cleverly,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Waaia, Waaia",Waaia (Vic.),"Cochran, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Stag & Hound, Ballarat",Ballarat (Vic.),"Cochrane, A",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Scotchmans Arms, Ballarat",Durham St (Ballarat Vic.),"Collins, G",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, East Murchison",Murchison East (Vic.),"Collins, Rita Victoria",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
