,Hotel,City
220,Railway,Nathalia
221,Peters Hotel & Store,Carapoore
222,Exchange,Horsham
223,National,Ballarat
224,Boggy Bridge,Nirranda
225,Rushworth,Rushworth
226,Commercial,Ballan
227,Macs,Portland
228,Mordialloc,Mordialloc
229,Coleraine,Coleraine
230,Criterion,Sale
231,Criterion,Sale
232,Newsmarket,Kyneton
233,Steam Packet,Echuca
234,Shamrock Hotel & Store,Mooroopna
235,McKenzies Family,Portland
236,Angel,Ballarat
237,Esplanade,Inverloch
238,Squatters Arms,Lawloit
239,Golden Age,Maryborough
240,Half-way,Arnoldss Bridge
241,Criterion,Clunes
242,Southern Cross,Ballarat
243,Commercial,Warrnambool
244,Queens Head,Lockwood
245,Richardson,Donald
246,Times,Ballarat
247,Royal,Bacchus Marsh
248,Commercial,Mooroopna
249,Sir John Franklin,Ballarat
250,Clare Castle,Kyneton
251,Bridge Inn,Casterton
252,Star,Sale
253,Ye Kings Arms,Neerim South
254,Morrells Junction,Mooroopna
255,Victoria,Benalla
256,Hampton Court,Ballarat
257,Market,Ballarat
258,McIvor Inn,Heathcote
259,Shamrock,Ballarat
260,Black Horse Inn,Ballarat
261,Galatea,Ballarat
262,Commercial,Stawell
263,Warrnambool,Warrnambool
264,Crown & Sceptre,Cardigan
265,Esplanade,Inverloch
266,Bird in Hand,Ballarat
267,Royal,Kerang
268,North Star,Ballarat
269,Northages,Ballarat
270,Woolpack,Bacchus Marsh
271,Palace,Echuca
272,American,Ballarat
273,Railway,Kyneton
274,Lancefield Hotel & Store,Mooroopna
275,Railway,Kyneton
276,Golden Fleece,Charlton
277,Royal,Kerang
278,Shamrock,Dandenong
279,Commercial,Birchip
280,Albion,Woorak
281,Halfway House,Queenscliff
282,Hodges Belle Vue,Daylesford
283,Commercial,Jung
284,Fleece Inn,Condah
285,Fleece Inn,Green Hills
286,Delatite,Mansfield
287,Cumberland & Durham,Ballarat
288,Harrow,Harrow
289,Inkerman,Ballarat
290,Pioneer,Ballarat
291,Albion,Kyneton
292,Ross Bridge,Rossbridge
293,Reefs,Stawell
294,Sir William Wallace,Ballarat
295,Copenhagen,Ballarat
296,Phoenix Park,Ballarat
297,White Hart,Longwood
298,Freemasons,Ballan
299,Woolpack,Bacchus Marsh
300,East Ballan,Ballan
