Title,Name,Relationship,Date,Source
"Shamrock, Kyneton","Leaney, G",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Turf Club, Buln Buln","Lee, Arthur",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Ditchley Park Hotel & Post Office, Beech Forest","Legge, Thomas C",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Golden Point, Ballarat","Lepp, J A",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Perseverance, Ballarat",Lewis,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Mail, Mooroopna","Lovelock, Tom",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Bannockburn","Lucas, Frank P",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bull & Mouth, Creswick","Luckraft, John N",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Burke & Wills, Ballarat","Lysaught, A",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Leongatha","Maddern, Sol",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Farmers Arms, Nhill","Maddren, A R",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Nathalia","Maher, F",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Peters Hotel & Store, Carapoore","Malcolm, James",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Exchange, Horsham","Malcolm, R",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"National, Ballarat","Malin, W",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Boggy Bridge, Nirranda",Mason,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Rushworth, Rushworth","McCollough, Sed",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Ballan","McCormick, V",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Macs, Portland","McDonald, Hector",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Mordialloc, Mordialloc",McDonald,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Coleraine, Coleraine","McElvery, C",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Criterion, Sale","McGill, Mavis Adele",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Criterion, Sale","McGill, William John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Newsmarket, Kyneton",McGrath,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Steam Packet, Echuca","McInerney, M",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shamrock Hotel & Store, Mooroopna","McKenzie, Colin",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"McKenzies Family, Portland",McKenzie,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Angel, Ballarat","McManamny, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Esplanade, Inverloch","McNamara, Edward Francis",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Squatters Arms, Lawloit","McNiven, Joseph",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Golden Age, Maryborough","Meincke, William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Half-way, Arnoldss Bridge","Metalman, Chris",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Criterion, Clunes","Metzger, Martin",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Southern Cross, Ballarat","Michaelson, A K",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Warrnambool","Mickle, Thomas",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Queens Head, Lockwood","Miller, Albert",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Richardson, Donald","Miller, Edward",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Times, Ballarat","Miller, W",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Bacchus Marsh",Miller,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mooroopna",Miller,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Sir John Franklin, Ballarat","Millett, M A",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Clare Castle, Kyneton","Minogue, James",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bridge Inn, Casterton","Mohr, M I",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Star, Sale","Molphy, T R",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Ye Kings Arms, Neerim South","Morgan, William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Morrells Junction, Mooroopna","Morrell, W H",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victoria, Benalla","Morriss, Mary A",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Hampton Court, Ballarat","Munro, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Market, Ballarat","Murphy, W",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"McIvor Inn, Heathcote","Murray, Matthew",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shamrock, Ballarat","Neylan, M",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Black Horse Inn, Ballarat","Nicholas, T",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Galatea, Ballarat","Nicholl, R",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Stawell",Nicholls,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Warrnambool, Warrnambool","Nicol, G",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Crown & Sceptre, Cardigan","Niphard, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Esplanade, Inverloch","Nokes , Abel",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bird in Hand, Ballarat","Norman, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Kerang","Norman, William C",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"North Star, Ballarat",North,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Northages, Ballarat","Northage, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Woolpack, Bacchus Marsh","Oatway, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Palace, Echuca",OBrien,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"American, Ballarat",OBrien,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Kyneton",OCallaghan,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Lancefield Hotel & Store, Mooroopna",ODonohue,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Railway, Kyneton",OFarrell,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Golden Fleece, Charlton","OKeefe, W",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Kerang","Oliver, Leslie Rupert",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shamrock, Dandenong","Osboldstone, Mary",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Birchip","Palliser, John W",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Albion, Woorak","Parker, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Halfway House, Queenscliff",Pascoe,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Hodges Belle Vue, Daylesford","Patterson, George",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Jung","Paull, Richard",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Fleece Inn, Condah","Payne, Charles",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Fleece Inn, Green Hills","Payne, Charles",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Delatite, Mansfield","Payne, R",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cumberland & Durham, Ballarat","Peart, W",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Harrow, Harrow","Peel, Thomas Henry",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Inkerman, Ballarat","Penhall, C",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Pioneer, Ballarat","Phelan, D",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Albion, Kyneton","Piggins, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Ross Bridge, Rossbridge",Pike,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Reefs, Stawell",Pond,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Sir William Wallace, Ballarat","Powell, Susan",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Copenhagen, Ballarat",Boyd & Prescott,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Phoenix Park, Ballarat","Preston, T",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"White Hart, Longwood","Puddy, Cornelius",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Freemasons, Ballan","Pung, W C",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Woolpack, Bacchus Marsh","Pyke, Robert",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"East Ballan, Ballan","Pyke, Thos",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Nar Nar Goon, Nar Nar Goon",Raftis,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Post Office, Ballarat","Ratcliffe, T",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Ballarat, Ballarat","Raverty, Helen",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"New York, Ballarat","Reid, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Port Albert, Port Albert","Rhoden, William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cornish Arms, Ballarat","Robertson, A",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Eureka, Ballarat","Rowett, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Ripon, Skipton","Sanders, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bakery Hill, Ballarat","Sanderson, Bride",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Oak, Ballarat","Sass, H",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Stawell","Sauerbrey, C R",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Eureka, Ballarat",Scobie,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Albion, Bethanga Upper","Scogland, A H",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Town Hall, Ballarat","Searle, W T",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shannon, Ballan","Shannon, William",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cardiff Arms, Sebastopol","Shields, M",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Quartz Miners, Stawell",Short & Mrs,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Junction, Barramunga","Simmons, Geo",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Frankston, Mornington","Simpson, Henry John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Seven Creeks Hotel & Store, Kialla West","Simpson, Samuel",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"St Leonards, St Leonards","Smiley, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Club, Horsham","Smith, Charles",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Plank Road, Ballarat","Smith, E",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Golden Age & Hall, Fiery Creek","Smith, Jeremiah",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Council Club Hotel & St Georges Hall, Wangaratta","Smith, M J",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Council Club Hotel & St Georges Hall, Wangaratta","Smith, P F",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Excelsior, Ballarat","Smith, T",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Smiths, Ballarat","Smith, W",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Wangaratta","Smith, Father",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Moorooopna, Mooroopna",Smith,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Mail, Mooroopna",Smith,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Crown, Kyneton",Southern,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Queens Head, Lockwood","Sp, James A",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Rokewood, Rokewood","Stanbrook, C W",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Benalla, Benalla","Stapleton, Joseph Bernard",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Benalla, Benalla","Stapleton, Joseph Lawrence",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Benalla, Benalla","Stapleton, Rowland John",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Benalla, Benalla","Stapleton, Valeria",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Star, Creswick","Stevens, Harry",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bay View, Frankston","Stone, Frank",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Streets, Ballarat","Street, G",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Euroa Inn, Euroa","Sutherland, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Somerset, Bannockburn",Sutherland,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Junction, Kyneton",Swinton,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Skipton, Skipton","Tait, John",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Tanswells, Beechworth","Tanswell, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Turf Club, Ballarat",Tate & Williams,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"City of Hamburg, Ballarat","Taylor, G",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Rose of Australia, Long Gully","Thomas, A",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"National, Ballarat","Thomas, Lydia",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Fleece Inn, Green Hills","Thompson, Alex",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Russell Square, Ballarat","Thompson, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Harp of Erin, Kyneton",Thompson,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Fleece Inn, Condah","Thomson, Alex",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Criterion, Kyneton",Thomson,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Bealiba","Todd, H",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal Standard, Linton",Trestrail,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Half-way House, Mount Clear","Trudgen, Thomas",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Shamrock, Swan Hill","Walker, George",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Royal, Benalla","Walker, William H",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Leura, Camperdown","Walker , D S",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Old Eglington, Ballarat","Walsch, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Wards Family, Ballarat","Ward, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Rifle Butts, Ballarat",Warren,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Dromana, Dromana",Laing & Watkins,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Queenscliff","Watmough, George",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Border Inn, Bacchus Marsh",Watt,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Sportsmans Arms, Baringhup",Webb,Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Kilmore, Kilmore",Wheeler,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Haymarket, Ballarat","Williams, J",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Council Club Hotel & St Georges Hall, Wangaratta","Williams, R J",Other,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Miners Right, Creswick","Williams, T",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Seven Star, Creswick","Williams, Tom",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Turf Club, Ballarat",Tate & Williams,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Cricketers Arms, Mooroopna","Wilson, J",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Macs, Glenthompson",Wilson,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"White Horse, Ballarat","Woo, S",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Lancefield Hotel & Store, Mooroopna","Woods, Charlie",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Commercial, Mansfield","Woods, Harry",Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"National, Ballarat",Worrall,Licensee,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Brewers Arms, Ballarat","Wright, T",Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Asylum Hill, Ararat",,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Victoria, Red Hill",,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Camp, Beaufort",,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
"Bontherambo Hotel & P O, Boorhaman",,Not identified,Not identified,"a hotel entry in the Robert K. Cole Index of Victorian hotels, 1841-1949"
